date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,9,9,-1,1,1,6,4,5,8,254,1025,13,0.0,0.0,11.3,-5,54,3,Currituck County,North Carolina
2020-03-02,17,17,5,9,9,6,11,13,13,219,1020,22,0.0,0.0,10.2,4,62,4,Currituck County,North Carolina
2020-03-03,19,19,12,14,14,5,15,16,14,229,1010,23,0.7,0.0,7.3,12,82,4,Currituck County,North Carolina
2020-03-04,16,16,8,11,11,6,12,13,9,241,1014,15,0.0,0.0,11.6,6,66,4,Currituck County,North Carolina
2020-03-05,9,9,5,7,7,4,9,9,8,57,1019,12,0.5,0.0,10.2,3,65,3,Currituck County,North Carolina
2020-03-06,11,11,6,7,7,4,9,10,11,297,1010,18,33.4,0.0,5.9,7,87,2,Currituck County,North Carolina
2020-03-07,9,9,3,2,2,6,5,7,13,342,1024,20,0.0,0.0,10.2,-1,67,2,Currituck County,North Carolina
2020-03-08,12,12,2,5,5,6,7,9,6,234,1034,10,0.0,0.0,11.6,-1,58,3,Currituck County,North Carolina
2020-03-09,17,17,6,9,9,6,11,13,11,229,1033,19,0.0,0.0,11.6,4,61,4,Currituck County,North Carolina
2020-03-10,19,19,13,15,15,6,16,17,14,223,1026,23,1.8,0.0,7.3,11,77,4,Currituck County,North Carolina
2020-03-11,17,17,9,13,13,5,14,15,7,103,1019,11,0.8,0.0,5.9,12,86,4,Currituck County,North Carolina
2020-03-12,21,21,13,16,16,5,16,18,6,124,1016,11,3.2,0.0,8.8,13,84,4,Currituck County,North Carolina
2020-03-13,22,22,16,18,18,6,18,20,13,243,1016,22,3.8,0.0,6.0,15,83,4,Currituck County,North Carolina
2020-03-14,14,14,6,9,9,6,11,12,9,36,1028,14,0.0,0.0,11.6,3,55,4,Currituck County,North Carolina
2020-03-15,11,11,4,7,7,5,9,10,11,51,1028,15,0.5,0.0,6.0,5,72,3,Currituck County,North Carolina
