date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,0,5,5,6,8,10,12,194,1018,20,1.4,0.0,8.6,2,68,2,Daviess County,Kentucky
2020-03-02,17,17,11,11,11,5,13,14,11,241,1009,18,17.1,0.0,5.6,11,89,3,Daviess County,Kentucky
2020-03-03,15,15,9,10,10,5,12,13,11,284,1007,18,11.9,0.0,10.1,7,73,4,Daviess County,Kentucky
2020-03-04,14,14,6,8,8,6,9,11,8,280,1016,14,0.0,0.0,10.1,3,66,3,Daviess County,Kentucky
2020-03-05,15,15,4,7,7,6,9,10,8,209,1019,14,0.0,0.0,8.6,2,64,2,Daviess County,Kentucky
2020-03-06,8,8,1,0,0,5,4,4,15,326,1026,21,0.0,0.0,8.6,-2,66,1,Daviess County,Kentucky
2020-03-07,10,10,-2,2,2,6,4,5,5,125,1034,7,0.0,0.0,11.4,-3,63,2,Daviess County,Kentucky
2020-03-08,16,16,2,6,6,6,8,10,10,192,1029,17,0.0,0.0,7.2,2,64,2,Daviess County,Kentucky
2020-03-09,17,17,10,11,11,6,13,14,16,194,1024,26,1.6,0.0,8.7,8,74,3,Daviess County,Kentucky
2020-03-10,15,15,7,11,11,5,12,12,11,321,1021,16,4.5,0.0,5.7,10,84,3,Daviess County,Kentucky
2020-03-11,16,16,5,9,9,6,10,11,4,226,1019,6,0.0,0.0,11.5,7,81,4,Daviess County,Kentucky
2020-03-12,19,19,9,14,14,3,14,15,10,181,1010,16,7.4,0.0,5.8,13,89,4,Daviess County,Kentucky
2020-03-13,10,10,7,7,7,5,9,8,10,349,1023,15,6.1,0.0,10.1,3,68,2,Daviess County,Kentucky
2020-03-14,7,7,1,2,2,5,5,6,10,64,1029,15,12.1,0.0,5.8,1,74,2,Daviess County,Kentucky
2020-03-15,7,7,2,1,1,6,5,5,9,40,1032,13,0.1,0.0,6.0,2,81,2,Daviess County,Kentucky
2020-03-16,9,9,2,5,5,6,6,6,3,203,1027,5,0.1,0.0,7.4,3,83,2,Daviess County,Kentucky
