date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,-1,6,6,6,8,9,4,192,1024,6,0.0,0.0,8.6,-1,60,2,Dawson County,Georgia
2020-03-02,8,8,1,5,5,3,6,6,2,121,1018,4,15.9,0.0,5.7,5,94,2,Dawson County,Georgia
2020-03-03,18,18,10,12,12,4,13,14,5,227,1011,9,25.2,0.0,5.7,11,94,3,Dawson County,Georgia
2020-03-04,11,11,4,9,9,4,10,11,3,151,1016,4,10.9,0.0,5.7,8,90,3,Dawson County,Georgia
2020-03-05,8,8,6,6,6,3,7,8,5,62,1018,7,67.2,0.0,5.7,7,96,2,Dawson County,Georgia
2020-03-06,7,7,0,1,1,5,5,6,13,315,1022,18,0.2,0.0,11.6,0,72,3,Dawson County,Georgia
2020-03-07,15,15,-3,5,5,6,7,8,3,245,1031,6,0.0,0.0,11.6,-3,63,3,Dawson County,Georgia
2020-03-08,13,13,2,7,7,6,8,9,4,138,1034,6,0.0,0.0,7.3,0,63,2,Dawson County,Georgia
2020-03-09,16,16,4,9,9,6,9,12,4,161,1032,7,0.1,0.0,8.8,5,74,3,Dawson County,Georgia
2020-03-10,14,14,10,11,11,3,11,12,3,214,1026,5,5.4,0.0,5.9,11,96,3,Dawson County,Georgia
2020-03-11,18,18,11,15,15,4,15,16,5,251,1019,7,0.6,0.0,7.4,12,87,4,Dawson County,Georgia
2020-03-12,20,20,11,15,15,4,15,15,3,181,1015,4,2.3,0.0,6.0,13,90,4,Dawson County,Georgia
2020-03-13,18,18,14,16,16,5,16,16,5,307,1019,8,11.4,0.0,8.8,13,88,4,Dawson County,Georgia
2020-03-14,13,13,9,11,11,5,12,12,5,79,1025,8,2.1,0.0,6.0,9,81,3,Dawson County,Georgia
2020-03-15,19,19,13,15,15,5,15,16,3,275,1025,5,11.7,0.0,6.0,14,92,4,Dawson County,Georgia
2020-03-16,11,11,9,9,9,6,10,10,6,93,1026,8,1.1,0.0,6.0,8,84,3,Dawson County,Georgia
2020-03-17,21,21,9,14,14,6,15,15,3,252,1023,4,3.7,0.0,7.4,11,90,3,Dawson County,Georgia
2020-03-18,17,17,11,14,14,4,14,15,5,105,1024,8,0.3,0.0,6.0,13,91,4,Dawson County,Georgia
2020-03-19,24,24,13,18,18,3,19,20,4,194,1023,6,0.1,0.0,6.0,15,84,5,Dawson County,Georgia
2020-03-20,24,24,14,18,18,4,19,20,6,245,1023,9,3.4,0.0,8.8,15,84,5,Dawson County,Georgia
2020-03-21,21,21,13,17,17,5,17,18,6,302,1024,8,0.6,0.0,8.8,11,78,4,Dawson County,Georgia
2020-03-22,14,14,8,9,9,4,11,12,7,96,1025,10,0.4,0.0,6.1,8,81,3,Dawson County,Georgia
2020-03-23,14,14,9,11,11,4,11,12,3,114,1021,4,48.0,0.0,6.1,11,97,3,Dawson County,Georgia
2020-03-24,13,13,10,11,11,3,12,12,5,80,1015,8,51.1,0.0,6.1,12,98,3,Dawson County,Georgia
2020-03-25,21,21,12,16,16,4,17,17,5,325,1012,8,28.3,0.0,11.6,11,78,5,Dawson County,Georgia
2020-03-26,18,18,10,12,12,5,13,14,5,132,1016,7,0.0,0.0,7.5,10,85,3,Dawson County,Georgia
2020-03-27,26,26,12,19,19,5,20,22,5,243,1014,7,0.0,0.0,11.6,14,77,6,Dawson County,Georgia
2020-03-28,24,24,17,20,20,4,21,21,5,238,1014,8,0.1,0.0,8.9,16,85,5,Dawson County,Georgia
2020-03-29,23,23,16,19,19,5,21,21,8,275,1017,12,0.9,0.0,6.1,13,72,5,Dawson County,Georgia
2020-03-30,20,20,11,14,14,6,15,17,7,335,1020,11,0.0,0.0,11.6,6,57,5,Dawson County,Georgia
2020-03-31,10,10,5,7,7,5,9,9,9,82,1010,14,14.0,0.0,6.2,7,84,2,Dawson County,Georgia
2020-04-01,12,12,2,6,6,6,9,9,8,329,1014,12,0.0,0.0,11.6,2,72,3,Dawson County,Georgia
2020-04-02,19,19,2,11,11,6,12,14,5,278,1019,8,0.0,0.0,11.6,2,64,4,Dawson County,Georgia
2020-04-03,23,23,6,14,14,6,15,17,4,200,1016,7,0.0,0.0,11.6,4,56,5,Dawson County,Georgia
2020-04-04,23,23,12,16,16,6,16,18,3,157,1015,5,0.0,0.0,10.3,7,57,4,Dawson County,Georgia
2020-04-05,23,23,11,16,16,5,17,18,3,199,1018,5,7.2,0.0,9.0,10,71,4,Dawson County,Georgia
2020-04-06,25,25,11,19,19,6,20,21,4,255,1018,6,1.1,0.0,11.6,11,68,6,Dawson County,Georgia
2020-04-07,22,22,14,17,17,5,19,19,5,261,1016,9,8.6,0.0,6.4,14,84,4,Dawson County,Georgia
2020-04-08,26,26,13,20,21,5,21,23,7,275,1009,10,2.4,0.0,7.7,15,80,5,Dawson County,Georgia
2020-04-09,22,22,12,17,17,6,18,19,10,312,1007,15,2.7,0.0,11.6,9,64,5,Dawson County,Georgia
2020-04-10,13,13,4,7,7,6,10,10,11,336,1015,15,0.0,0.0,11.6,-3,45,3,Dawson County,Georgia
2020-04-11,18,18,2,10,10,6,12,13,5,143,1018,8,0.0,0.0,11.6,0,53,4,Dawson County,Georgia
2020-04-12,13,13,6,9,9,5,10,11,6,80,1013,10,18.8,0.0,6.5,9,84,3,Dawson County,Georgia
2020-04-13,18,18,9,14,14,5,15,16,11,279,1011,16,69.8,0.0,11.6,11,81,5,Dawson County,Georgia
2020-04-14,21,21,6,13,13,6,14,16,6,194,1017,9,0.0,0.0,11.6,6,71,5,Dawson County,Georgia
2020-04-15,15,15,2,7,7,6,9,11,7,219,1018,12,0.0,0.0,11.6,-2,53,4,Dawson County,Georgia
2020-04-16,18,18,3,10,10,6,11,13,5,335,1024,9,0.0,0.0,11.6,-1,49,4,Dawson County,Georgia
2020-04-17,20,20,5,12,12,6,13,15,5,184,1021,7,0.0,0.0,11.6,4,60,4,Dawson County,Georgia
2020-04-18,18,18,10,13,13,5,15,15,8,321,1015,12,5.3,0.0,11.6,5,63,4,Dawson County,Georgia
2020-04-19,11,11,3,7,7,4,9,10,3,102,1012,5,4.2,0.0,7.8,6,80,2,Dawson County,Georgia
2020-04-20,20,20,11,15,15,5,16,17,7,330,1006,10,13.5,0.0,11.6,9,74,5,Dawson County,Georgia
2020-04-21,21,21,9,13,13,6,14,17,8,297,1013,13,0.1,0.0,11.6,7,66,5,Dawson County,Georgia
