date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,7,7,-7,-4,-4,6,0,1,11,190,1016,20,0.0,0.0,10.1,-2,84,2,DeKalb County,Indiana
2020-03-02,6,6,-2,2,2,4,5,5,10,305,1008,17,17.1,0.0,8.6,4,90,2,DeKalb County,Indiana
2020-03-03,9,9,2,2,2,6,5,6,11,267,1004,16,0.4,0.0,10.1,0,72,2,DeKalb County,Indiana
2020-03-04,5,5,0,-2,-2,5,2,3,11,293,1013,17,2.0,1.1,8.6,-2,74,1,DeKalb County,Indiana
2020-03-05,10,10,-1,1,1,6,4,5,10,202,1016,14,1.5,0.0,11.3,-2,66,3,DeKalb County,Indiana
2020-03-06,3,3,-2,-4,-4,2,1,2,14,345,1021,19,2.5,1.4,5.7,-2,83,1,DeKalb County,Indiana
2020-03-07,7,7,-3,-2,-2,6,1,3,7,209,1032,11,0.0,0.0,11.4,-5,65,2,DeKalb County,Indiana
2020-03-08,12,12,1,2,2,6,6,7,13,211,1026,23,0.0,0.0,11.4,-1,60,2,DeKalb County,Indiana
2020-03-09,15,15,8,8,8,5,11,12,17,213,1020,27,1.4,0.0,7.2,7,75,3,DeKalb County,Indiana
2020-03-10,9,9,3,5,5,5,8,7,12,323,1018,16,8.6,0.0,5.9,5,82,2,DeKalb County,Indiana
2020-03-11,10,10,2,4,4,6,6,7,5,242,1018,6,0.2,0.0,7.3,2,80,2,DeKalb County,Indiana
2020-03-12,14,14,3,6,6,5,8,9,8,176,1010,12,0.3,0.0,7.4,5,84,2,DeKalb County,Indiana
2020-03-13,6,6,2,0,0,6,5,4,17,286,1019,23,0.0,0.0,11.6,-3,60,2,DeKalb County,Indiana
2020-03-14,5,5,0,0,0,5,2,3,5,45,1032,7,0.6,0.2,8.8,-4,66,1,DeKalb County,Indiana
2020-03-15,6,6,-3,-3,-3,5,1,2,9,65,1035,13,0.6,0.5,11.6,-4,72,2,DeKalb County,Indiana
2020-03-16,7,7,-1,-1,-1,6,2,4,7,210,1027,9,0.2,0.0,8.8,-2,75,1,DeKalb County,Indiana
2020-03-17,9,9,0,1,1,6,4,5,9,297,1024,12,0.0,0.0,11.6,-1,72,3,DeKalb County,Indiana
2020-03-18,8,8,1,1,1,5,4,5,8,127,1023,12,11.4,0.0,6.0,2,83,2,DeKalb County,Indiana
2020-03-19,12,12,4,5,5,4,8,9,12,138,1016,18,19.8,0.0,6.0,8,93,2,DeKalb County,Indiana
