date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,12,12,-3,0,0,6,4,5,12,186,1018,21,0.0,0.0,11.2,-1,70,3,Decatur County,Indiana
2020-03-02,12,12,4,7,7,4,10,10,12,250,1008,19,9.7,0.0,5.6,8,89,3,Decatur County,Indiana
2020-03-03,12,12,6,7,7,5,9,11,12,279,1005,18,14.4,0.0,10.1,5,77,3,Decatur County,Indiana
2020-03-04,11,11,3,3,3,6,6,8,11,279,1015,18,0.0,0.0,10.1,0,66,2,Decatur County,Indiana
2020-03-05,12,12,1,3,3,6,6,7,10,195,1018,16,0.0,0.0,7.1,-1,65,2,Decatur County,Indiana
2020-03-06,3,3,-2,-4,-4,3,1,1,17,321,1022,23,0.6,0.1,5.7,-2,76,1,Decatur County,Indiana
2020-03-07,8,8,-3,0,0,6,2,3,5,173,1034,8,0.0,0.0,11.4,-4,67,2,Decatur County,Indiana
2020-03-08,13,13,0,3,3,6,7,8,11,201,1029,19,0.0,0.0,11.4,0,65,2,Decatur County,Indiana
2020-03-09,15,15,7,8,8,6,11,12,18,202,1024,28,0.8,0.0,10.1,6,72,4,Decatur County,Indiana
2020-03-10,13,13,5,9,9,5,11,12,13,314,1019,18,11.4,0.0,5.7,8,84,3,Decatur County,Indiana
2020-03-11,13,13,4,7,7,6,8,9,5,243,1018,7,0.0,0.0,8.8,4,79,2,Decatur County,Indiana
2020-03-12,17,17,8,11,11,5,12,13,9,176,1010,13,8.9,0.0,6.0,9,84,3,Decatur County,Indiana
2020-03-13,9,9,4,4,4,6,7,6,12,303,1021,17,0.1,0.0,8.8,1,65,2,Decatur County,Indiana
2020-03-14,3,3,-3,-1,-1,3,2,2,8,66,1031,12,13.2,11.1,6.0,-1,82,1,Decatur County,Indiana
