date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,13,13,6,7,7,6,10,11,13,189,1012,21,1.6,0.0,5.8,8,86,3,Dent County,Missouri
2020-03-02,10,10,9,9,9,5,10,10,6,124,1008,9,16.8,0.0,5.8,9,92,2,Dent County,Missouri
2020-03-03,14,14,4,7,7,6,9,10,7,285,1010,11,1.2,0.0,11.6,3,71,3,Dent County,Missouri
2020-03-04,13,13,6,7,7,6,8,10,6,333,1017,10,0.0,0.0,8.7,2,65,3,Dent County,Missouri
2020-03-05,14,14,4,5,5,6,8,10,10,279,1021,15,0.0,0.0,11.6,1,65,3,Dent County,Missouri
2020-03-06,9,9,0,1,1,6,4,4,10,336,1031,15,0.0,0.0,11.6,-3,60,2,Dent County,Missouri
2020-03-07,12,12,0,3,3,6,6,7,9,171,1031,13,0.0,0.0,10.2,-1,63,3,Dent County,Missouri
2020-03-08,16,16,5,7,7,6,10,11,14,185,1024,21,0.0,0.0,11.6,3,61,4,Dent County,Missouri
2020-03-09,13,13,7,10,10,4,12,13,17,188,1018,26,13.4,0.0,5.9,10,85,3,Dent County,Missouri
2020-03-10,14,14,4,7,7,6,9,9,8,334,1023,11,2.4,0.0,10.2,4,76,3,Dent County,Missouri
2020-03-11,18,18,7,11,11,4,11,13,4,167,1017,7,14.4,0.0,5.9,9,87,3,Dent County,Missouri
2020-03-12,20,20,11,13,13,4,14,16,11,205,1008,18,5.6,0.0,7.4,13,90,4,Dent County,Missouri
2020-03-13,11,11,4,4,4,6,7,7,10,46,1025,13,0.0,0.0,11.6,0,61,3,Dent County,Missouri
2020-03-14,3,3,-3,-1,-1,4,2,2,9,83,1028,13,27.4,0.0,6.0,1,88,1,Dent County,Missouri
2020-03-15,6,6,2,-1,-1,6,3,3,8,47,1033,11,0.0,0.0,6.0,1,85,1,Dent County,Missouri
2020-03-16,6,6,-2,1,1,5,3,4,4,169,1026,6,4.9,0.0,6.0,2,92,1,Dent County,Missouri
2020-03-17,13,13,3,6,6,4,8,8,5,87,1025,7,0.3,0.0,6.0,5,85,2,Dent County,Missouri
2020-03-18,18,18,8,12,12,5,13,14,9,208,1017,14,9.3,0.0,6.0,12,93,3,Dent County,Missouri
2020-03-19,22,22,15,18,18,5,18,18,13,204,1012,21,23.1,0.0,6.0,16,90,4,Dent County,Missouri
2020-03-20,13,13,3,7,7,6,9,9,11,347,1022,17,0.5,0.0,6.0,6,82,2,Dent County,Missouri
2020-03-21,10,10,-1,2,2,6,4,5,6,28,1032,8,0.0,0.0,11.6,-2,66,3,Dent County,Missouri
2020-03-22,6,6,1,0,0,3,3,3,8,151,1025,11,7.9,0.0,6.1,1,87,1,Dent County,Missouri
2020-03-23,15,15,3,8,8,4,9,10,3,68,1021,5,0.0,0.0,8.8,6,84,3,Dent County,Missouri
2020-03-24,12,12,5,6,6,4,8,8,6,83,1015,8,16.1,0.0,6.1,7,93,2,Dent County,Missouri
2020-03-25,16,16,5,8,8,3,10,11,7,160,1013,11,0.0,0.0,10.2,8,89,3,Dent County,Missouri
2020-03-26,26,26,10,15,15,6,17,18,10,204,1007,16,0.1,0.0,10.3,13,84,4,Dent County,Missouri
2020-03-27,25,25,15,19,19,5,20,21,8,196,1005,12,1.5,0.0,6.3,17,90,5,Dent County,Missouri
2020-03-28,21,21,14,19,19,6,19,20,12,187,1004,21,5.5,0.0,6.4,15,80,5,Dent County,Missouri
2020-03-29,17,17,7,10,10,6,12,13,13,271,1015,19,0.4,0.0,11.6,4,64,4,Dent County,Missouri
2020-03-30,19,19,7,13,13,6,13,15,4,234,1021,6,0.0,0.0,10.3,6,66,4,Dent County,Missouri
2020-03-31,16,16,9,11,11,5,11,12,6,330,1015,8,4.1,0.0,9.0,6,73,3,Dent County,Missouri
2020-04-01,19,19,4,10,10,4,11,13,5,163,1017,9,0.0,0.0,11.6,7,78,4,Dent County,Missouri
2020-04-02,19,19,9,12,12,6,13,15,11,161,1016,16,0.4,0.0,11.6,8,73,4,Dent County,Missouri
2020-04-03,17,17,5,11,11,5,13,14,9,182,1016,12,4.0,0.0,6.4,10,89,3,Dent County,Missouri
2020-04-04,9,9,2,3,3,5,5,6,6,245,1020,8,1.5,0.0,6.4,3,87,2,Dent County,Missouri
2020-04-05,15,15,7,10,10,6,11,11,3,144,1020,5,0.0,0.0,6.4,8,86,3,Dent County,Missouri
2020-04-06,21,21,9,14,14,4,15,17,9,194,1016,14,0.6,0.0,7.7,12,85,4,Dent County,Missouri
2020-04-07,24,24,14,18,18,4,19,19,9,215,1010,13,0.0,0.0,9.0,16,88,4,Dent County,Missouri
2020-04-08,28,28,16,22,23,4,23,24,7,225,1006,11,1.1,0.0,11.6,15,73,6,Dent County,Missouri
2020-04-09,14,14,6,8,8,6,10,11,11,312,1015,16,1.1,0.0,11.6,2,60,4,Dent County,Missouri
2020-04-10,13,13,-2,4,4,6,6,7,5,312,1021,8,0.0,0.0,11.6,-4,52,3,Dent County,Missouri
2020-04-11,17,17,5,7,7,5,10,10,12,179,1012,19,2.1,0.0,9.1,4,68,3,Dent County,Missouri
2020-04-12,18,18,12,14,14,5,15,16,12,161,1001,18,15.0,0.0,6.5,13,92,4,Dent County,Missouri
2020-04-13,7,7,-1,-1,-1,5,3,4,14,324,1018,18,4.8,0.0,9.1,-4,63,1,Dent County,Missouri
2020-04-14,9,9,0,2,2,5,4,5,4,214,1025,6,0.3,0.3,11.6,-5,53,3,Dent County,Missouri
2020-04-15,13,13,0,4,4,6,6,8,9,285,1021,14,0.0,0.0,11.6,-1,63,3,Dent County,Missouri
2020-04-16,16,16,1,6,6,6,8,10,9,169,1022,15,0.0,0.0,11.6,2,65,3,Dent County,Missouri
2020-04-17,10,10,2,6,6,5,8,8,10,309,1017,15,3.7,0.0,6.6,5,84,2,Dent County,Missouri
2020-04-18,15,15,-2,5,5,6,6,9,6,190,1018,10,0.0,0.0,11.6,-1,66,3,Dent County,Missouri
2020-04-19,13,13,7,8,8,4,9,10,5,102,1010,8,4.2,0.0,6.6,7,87,3,Dent County,Missouri
2020-04-20,19,19,6,12,12,5,12,14,6,196,1010,11,6.4,0.0,9.1,8,77,3,Dent County,Missouri
2020-04-21,18,18,7,12,12,5,12,14,6,225,1015,10,1.0,0.0,11.6,7,71,4,Dent County,Missouri
2020-04-22,17,17,8,10,10,5,12,13,10,157,1012,16,6.5,0.0,7.9,8,80,3,Dent County,Missouri
