date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,-1,-1,-7,-7,-7,2,-3,-2,10,35,1017,13,17.1,13.0,5.6,-6,77,1,Douglas County,Nevada
2020-03-02,5,5,-4,-2,-2,6,1,2,5,44,1021,7,0.0,0.0,11.2,-13,42,2,Douglas County,Nevada
2020-03-03,11,11,-6,1,1,6,2,5,2,21,1021,4,0.0,0.0,11.3,-6,61,3,Douglas County,Nevada
2020-03-04,16,16,-2,6,6,6,8,11,3,227,1020,6,0.0,0.0,11.3,-5,51,4,Douglas County,Nevada
2020-03-05,16,16,1,8,8,6,10,12,6,214,1020,10,0.0,0.0,11.3,-2,51,4,Douglas County,Nevada
2020-03-06,16,16,0,6,6,6,8,11,8,205,1014,13,0.0,0.0,11.3,-3,53,4,Douglas County,Nevada
2020-03-07,7,7,-4,-1,-1,4,2,4,7,229,1011,11,2.6,1.0,5.7,-4,68,1,Douglas County,Nevada
2020-03-08,8,8,-5,1,1,6,2,5,3,204,1014,5,0.0,0.0,10.1,-5,60,1,Douglas County,Nevada
2020-03-09,9,9,1,4,4,6,4,6,2,178,1018,3,0.1,0.0,7.3,-4,56,2,Douglas County,Nevada
2020-03-10,12,12,-3,5,5,6,6,8,4,69,1019,6,0.0,0.0,11.6,-3,61,3,Douglas County,Nevada
2020-03-11,13,13,-2,6,6,6,7,9,3,219,1017,5,0.9,0.0,11.6,-2,60,3,Douglas County,Nevada
2020-03-12,14,14,0,6,6,6,8,11,6,63,1013,8,0.0,0.0,11.6,-3,50,4,Douglas County,Nevada
2020-03-13,14,14,3,6,6,6,8,10,10,233,1006,12,0.0,0.0,11.6,-3,48,4,Douglas County,Nevada
2020-03-14,8,8,1,0,0,5,4,6,13,215,1010,15,28.6,11.6,6.0,0,74,2,Douglas County,Nevada
2020-03-15,2,2,-6,-5,-5,2,-1,2,7,193,1013,12,34.1,35.5,6.0,-2,94,1,Douglas County,Nevada
2020-03-16,3,3,-7,-2,-2,2,-1,1,3,131,1011,4,23.4,18.4,6.0,-1,95,1,Douglas County,Nevada
2020-03-17,2,2,-6,-5,-5,5,-1,-1,6,245,1014,9,0.8,3.6,8.8,-7,73,1,Douglas County,Nevada
2020-03-18,1,1,-8,-5,-5,4,-2,0,3,206,1012,5,7.6,5.9,6.0,-5,81,1,Douglas County,Nevada
2020-03-19,3,3,-4,-2,-2,5,-1,1,3,13,1017,4,0.9,0.9,10.2,-4,80,1,Douglas County,Nevada
2020-03-20,7,7,-2,1,1,6,2,4,3,55,1023,5,0.4,0.0,11.6,-6,61,1,Douglas County,Nevada
2020-03-21,8,8,-6,1,1,6,2,5,3,89,1022,5,0.0,0.0,11.6,-7,57,3,Douglas County,Nevada
2020-03-22,9,9,-5,3,3,6,4,7,2,215,1019,4,0.4,0.0,11.6,-6,59,3,Douglas County,Nevada
2020-03-23,8,8,-4,0,0,5,3,6,7,238,1016,10,1.9,0.7,8.9,-3,72,2,Douglas County,Nevada
2020-03-24,7,7,-4,-1,-1,5,3,5,11,217,1017,16,5.6,2.2,6.3,-4,72,2,Douglas County,Nevada
2020-03-25,3,3,-8,-5,-5,4,-2,1,5,242,1016,9,6.1,5.4,9.0,-7,73,1,Douglas County,Nevada
2020-03-26,3,3,-6,-3,-3,5,-1,1,5,16,1017,7,3.1,1.7,7.6,-9,61,1,Douglas County,Nevada
2020-03-27,6,6,-3,-1,-1,6,1,4,5,264,1019,7,0.0,0.0,11.6,-7,58,2,Douglas County,Nevada
2020-03-28,6,6,-3,0,0,4,2,4,3,266,1021,4,3.6,2.0,6.4,-4,71,1,Douglas County,Nevada
2020-03-29,8,8,-5,1,1,6,3,5,4,271,1019,7,1.9,0.0,7.7,-4,70,2,Douglas County,Nevada
2020-03-30,10,10,-3,1,1,6,4,7,6,229,1023,10,0.0,0.0,11.6,-3,69,3,Douglas County,Nevada
2020-03-31,13,13,-2,4,4,6,7,10,8,234,1018,12,0.0,0.0,11.6,-1,67,3,Douglas County,Nevada
2020-04-01,12,12,-3,3,3,6,5,9,8,247,1012,11,0.0,0.0,11.6,-6,52,3,Douglas County,Nevada
2020-04-02,9,9,-1,2,2,6,4,5,3,122,1018,4,0.0,0.0,11.6,-6,52,3,Douglas County,Nevada
2020-04-03,11,11,0,3,3,6,5,8,4,293,1015,7,0.0,0.0,11.6,-7,46,3,Douglas County,Nevada
2020-04-04,10,10,-3,1,1,5,4,8,10,223,1009,15,1.2,0.0,9.0,-4,61,2,Douglas County,Nevada
2020-04-05,3,3,-5,-3,-3,2,-1,2,6,204,1003,9,46.9,35.0,6.5,-2,92,1,Douglas County,Nevada
2020-04-06,5,5,-8,-2,-2,4,0,2,3,100,1010,6,12.5,9.9,9.0,-4,81,1,Douglas County,Nevada
2020-04-07,8,8,-4,2,2,3,4,5,3,30,1017,5,11.4,4.9,7.8,-2,80,1,Douglas County,Nevada
2020-04-08,14,14,-3,6,6,6,7,11,8,66,1013,10,4.0,0.0,10.3,-2,61,3,Douglas County,Nevada
2020-04-09,8,8,2,4,4,4,5,6,4,127,1015,5,23.1,2.7,6.5,3,91,2,Douglas County,Nevada
2020-04-10,12,12,-4,4,4,5,6,8,3,260,1016,5,2.8,1.2,11.6,-2,70,3,Douglas County,Nevada
2020-04-11,17,17,0,9,9,6,10,14,5,244,1014,7,0.5,0.0,10.3,1,58,3,Douglas County,Nevada
2020-04-12,13,13,6,9,9,6,9,11,3,53,1015,4,0.1,0.0,9.1,0,57,3,Douglas County,Nevada
2020-04-13,11,11,3,6,6,6,7,9,6,39,1020,8,0.0,0.0,11.6,-5,46,3,Douglas County,Nevada
2020-04-14,13,13,-5,5,5,6,7,9,3,52,1024,5,0.0,0.0,11.6,-11,34,3,Douglas County,Nevada
2020-04-15,19,19,0,10,10,6,11,15,6,302,1018,9,0.0,0.0,11.6,-1,47,4,Douglas County,Nevada
2020-04-16,13,13,5,8,8,6,9,10,5,87,1014,6,0.0,0.0,11.6,0,55,4,Douglas County,Nevada
2020-04-17,12,12,3,8,8,5,9,10,3,178,1013,4,6.2,0.0,7.9,-3,53,3,Douglas County,Nevada
2020-04-18,14,14,0,7,7,6,8,11,5,274,1015,8,0.2,0.0,11.6,0,64,3,Douglas County,Nevada
2020-04-19,13,13,-1,6,6,6,8,11,6,268,1016,9,0.3,0.0,10.4,-2,58,3,Douglas County,Nevada
2020-04-20,11,11,-1,5,5,4,7,9,4,212,1017,6,0.9,0.0,7.9,-2,59,2,Douglas County,Nevada
2020-04-21,16,16,-1,9,9,6,10,13,4,226,1020,6,0.0,0.0,11.6,0,61,4,Douglas County,Nevada
2020-04-22,18,18,2,11,11,6,13,16,6,284,1023,8,0.0,0.0,11.6,2,59,5,Douglas County,Nevada
2020-04-23,19,19,2,12,12,6,13,16,4,224,1021,6,0.0,0.0,11.6,2,55,5,Douglas County,Nevada
2020-04-24,21,21,6,14,14,6,15,18,6,303,1019,9,0.0,0.0,11.6,1,48,5,Douglas County,Nevada
2020-04-25,22,22,5,14,14,6,15,18,6,250,1017,9,0.0,0.0,6.7,0,44,4,Douglas County,Nevada
2020-04-26,21,21,3,12,12,6,14,18,7,242,1016,11,0.0,0.0,11.6,-3,40,5,Douglas County,Nevada
2020-04-27,21,21,2,13,13,6,14,18,4,240,1018,7,0.0,0.0,11.6,-1,45,5,Douglas County,Nevada
2020-04-28,25,25,5,17,17,6,18,21,2,167,1018,4,0.0,0.0,11.6,6,54,6,Douglas County,Nevada
2020-04-29,26,26,8,18,19,6,19,22,8,218,1015,12,0.0,0.0,10.4,3,45,6,Douglas County,Nevada
2020-04-30,19,19,5,13,13,6,14,17,11,248,1015,15,0.0,0.0,11.6,-1,47,5,Douglas County,Nevada
2020-05-01,19,19,2,12,12,6,13,16,6,292,1016,9,0.0,0.0,13.5,-1,47,5,Douglas County,Nevada
2020-05-02,18,18,5,11,11,6,13,15,9,234,1017,12,0.0,0.0,13.3,0,47,5,Douglas County,Nevada
2020-05-03,17,17,2,9,9,6,11,14,9,253,1018,13,0.0,0.0,14.0,-3,46,4,Douglas County,Nevada
2020-05-04,19,19,3,12,12,6,13,16,4,225,1020,7,0.0,0.0,14.0,-8,29,5,Douglas County,Nevada
2020-05-05,22,22,2,13,13,6,15,19,6,237,1018,10,0.0,0.0,14.0,-5,33,5,Douglas County,Nevada
2020-05-06,21,21,1,13,13,6,15,18,4,25,1020,8,0.0,0.0,14.0,-9,26,5,Douglas County,Nevada
2020-05-07,22,22,1,13,13,6,14,18,3,64,1018,5,0.0,0.0,14.1,-6,28,5,Douglas County,Nevada
2020-05-08,25,25,6,17,17,6,18,21,4,215,1014,6,0.0,0.0,14.1,-3,29,6,Douglas County,Nevada
2020-05-09,26,26,8,19,19,6,19,23,4,127,1013,6,0.1,0.0,13.4,-1,33,6,Douglas County,Nevada
2020-05-10,24,24,7,16,16,6,17,21,8,210,1011,11,0.0,0.0,12.3,1,40,5,Douglas County,Nevada
2020-05-11,19,19,9,13,13,6,14,17,11,218,1011,14,0.0,0.0,14.5,-1,45,5,Douglas County,Nevada
2020-05-12,13,13,4,6,6,5,9,10,10,228,1013,13,1.2,0.0,9.1,0,64,3,Douglas County,Nevada
2020-05-13,15,15,-3,6,6,6,8,12,8,248,1015,12,0.1,0.0,14.5,-3,57,4,Douglas County,Nevada
2020-05-14,13,13,-1,5,5,5,7,10,6,249,1017,9,0.9,0.0,12.3,1,67,3,Douglas County,Nevada
2020-05-15,20,20,1,12,12,6,13,16,3,226,1014,5,0.0,0.0,14.5,1,58,5,Douglas County,Nevada
2020-05-16,22,22,4,14,14,6,15,18,8,234,1010,11,0.0,0.0,14.5,-1,45,5,Douglas County,Nevada
2020-05-17,15,15,3,7,7,4,9,13,11,212,1008,16,7.6,0.0,10.2,3,66,3,Douglas County,Nevada
2020-05-18,11,11,2,5,5,5,7,9,10,240,1010,15,18.3,0.0,9.2,-1,67,2,Douglas County,Nevada
2020-05-19,12,12,-2,5,5,6,7,10,7,291,1014,11,1.6,0.0,13.4,-4,56,2,Douglas County,Nevada
2020-05-20,16,16,-3,8,8,6,10,13,5,311,1017,8,0.0,0.0,14.5,-2,58,4,Douglas County,Nevada
2020-05-21,19,19,-1,11,11,6,13,16,8,256,1014,12,0.0,0.0,14.5,-2,49,5,Douglas County,Nevada
2020-05-22,16,16,2,8,8,6,10,14,11,178,1011,15,0.0,0.0,14.5,-4,43,4,Douglas County,Nevada
2020-05-23,19,19,-3,10,10,6,11,14,4,37,1015,5,0.0,0.0,14.5,-7,33,4,Douglas County,Nevada
2020-05-24,22,22,3,14,14,6,15,18,4,27,1016,5,0.0,0.0,14.5,-4,32,5,Douglas County,Nevada
2020-05-25,27,27,6,18,19,6,19,22,3,141,1014,5,0.0,0.0,14.5,1,38,6,Douglas County,Nevada
2020-05-26,29,29,8,21,21,6,21,26,6,297,1013,9,0.0,0.0,14.5,5,45,7,Douglas County,Nevada
