date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,5,5,-6,-5,-5,6,0,1,13,190,1014,22,0.0,0.0,8.6,-3,82,1,Eaton County,Michigan
2020-03-02,5,5,0,-1,-1,5,3,3,9,288,1007,15,1.4,0.0,8.6,1,88,1,Eaton County,Michigan
2020-03-03,7,7,0,-1,-1,6,2,4,10,255,1003,15,0.1,0.0,10.1,-1,78,1,Eaton County,Michigan
2020-03-04,4,4,-1,-4,-4,5,1,2,12,288,1012,18,0.6,0.1,8.6,-3,75,1,Eaton County,Michigan
2020-03-05,8,8,-1,-1,-1,5,3,4,10,200,1015,14,0.8,0.2,11.3,-3,68,1,Eaton County,Michigan
2020-03-06,2,2,-3,-5,-5,3,0,1,13,238,1021,18,1.6,0.9,5.7,-2,83,1,Eaton County,Michigan
2020-03-07,7,7,-3,-2,-2,6,1,2,8,214,1031,13,0.0,0.0,11.3,-6,61,2,Eaton County,Michigan
2020-03-08,13,13,1,2,2,6,6,7,16,215,1024,26,0.0,0.0,10.1,-2,55,2,Eaton County,Michigan
2020-03-09,14,14,8,7,7,5,11,11,17,221,1018,28,4.0,0.0,7.2,6,74,3,Eaton County,Michigan
2020-03-10,9,9,4,5,5,6,7,6,11,340,1018,15,2.4,0.0,8.8,2,72,2,Eaton County,Michigan
2020-03-11,8,8,2,3,3,6,4,5,4,225,1018,6,0.0,0.0,5.9,1,79,1,Eaton County,Michigan
2020-03-12,12,12,1,4,4,6,7,7,10,176,1010,15,0.3,0.0,8.8,4,82,2,Eaton County,Michigan
2020-03-13,5,5,0,-3,-3,6,3,3,19,276,1017,25,0.0,0.0,11.6,-4,62,2,Eaton County,Michigan
2020-03-14,5,5,-1,-2,-2,5,1,2,6,123,1033,8,0.5,0.2,11.6,-5,66,1,Eaton County,Michigan
2020-03-15,5,5,-3,-4,-4,5,0,1,9,54,1037,13,0.3,0.3,11.6,-5,70,2,Eaton County,Michigan
2020-03-16,7,7,-3,-2,-2,6,2,3,8,208,1027,11,0.1,0.0,8.8,-4,66,1,Eaton County,Michigan
2020-03-17,7,7,0,-1,-1,6,3,4,10,286,1023,15,0.0,0.0,10.2,-3,70,2,Eaton County,Michigan
2020-03-18,8,8,0,2,2,6,4,5,6,144,1024,9,0.0,0.0,6.0,-2,67,2,Eaton County,Michigan
2020-03-19,11,11,1,4,4,4,7,7,11,146,1016,16,1.4,0.0,7.4,6,90,2,Eaton County,Michigan
2020-03-20,9,9,-3,2,2,5,6,5,17,312,1016,23,2.6,0.0,7.4,2,79,2,Eaton County,Michigan
2020-03-21,3,3,-5,-7,-7,6,-2,-1,9,45,1035,12,0.0,0.0,11.6,-11,52,2,Eaton County,Michigan
2020-03-22,4,4,-4,-5,-5,4,-1,1,9,127,1032,12,2.3,1.0,10.2,-8,61,1,Eaton County,Michigan
