date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,13,13,-1,2,2,6,6,7,15,194,1015,24,0.9,0.0,8.6,2,75,2,Edgar County,Illinois
2020-03-02,11,11,4,7,7,5,9,10,10,331,1008,14,1.0,0.0,8.6,5,77,2,Edgar County,Illinois
2020-03-03,12,12,5,6,6,6,8,9,11,274,1006,15,2.9,0.0,11.3,1,64,3,Edgar County,Illinois
2020-03-04,9,9,5,4,4,6,7,8,11,316,1015,17,0.0,0.0,11.3,0,63,3,Edgar County,Illinois
2020-03-05,12,12,2,4,4,6,6,8,11,231,1018,17,0.0,0.0,10.1,0,63,2,Edgar County,Illinois
2020-03-06,5,5,-1,-4,-4,4,2,2,17,338,1026,23,0.1,0.0,10.1,-4,68,1,Edgar County,Illinois
2020-03-07,9,9,-2,0,0,6,3,4,7,175,1033,12,0.0,0.0,11.4,-5,60,2,Edgar County,Illinois
2020-03-08,14,14,3,4,4,6,8,9,14,194,1027,23,0.0,0.0,11.4,1,61,3,Edgar County,Illinois
2020-03-09,14,14,10,9,9,5,12,12,19,192,1020,31,6.6,0.0,5.7,9,82,3,Edgar County,Illinois
2020-03-10,10,10,5,7,7,5,9,9,10,325,1021,14,6.5,0.0,5.7,7,83,2,Edgar County,Illinois
2020-03-11,13,13,3,7,7,6,8,9,5,235,1018,7,0.0,0.0,10.1,4,79,2,Edgar County,Illinois
2020-03-12,16,16,6,9,9,4,11,12,9,165,1009,13,0.9,0.0,5.7,9,89,3,Edgar County,Illinois
2020-03-13,9,9,2,3,3,6,6,6,12,319,1023,17,0.1,0.0,10.1,-1,60,2,Edgar County,Illinois
2020-03-14,2,2,1,-2,-2,3,2,2,11,56,1032,16,4.2,2.0,5.8,0,86,1,Edgar County,Illinois
2020-03-15,7,7,0,-1,-1,5,3,4,10,55,1034,14,0.4,0.4,10.1,0,81,2,Edgar County,Illinois
2020-03-16,6,6,2,2,2,5,4,5,5,213,1027,8,1.2,0.0,6.0,2,84,1,Edgar County,Illinois
