date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,15,15,1,5,5,6,8,9,13,200,1017,22,1.4,0.0,8.6,4,75,2,Edwards County,Illinois
2020-03-02,15,15,11,11,11,5,12,13,10,283,1008,16,4.6,0.0,5.6,10,86,3,Edwards County,Illinois
2020-03-03,14,14,8,9,9,6,11,11,11,281,1008,16,1.5,0.0,11.3,5,69,4,Edwards County,Illinois
2020-03-04,13,13,6,6,6,6,9,10,10,311,1016,17,0.0,0.0,10.1,2,63,3,Edwards County,Illinois
2020-03-05,15,15,3,6,6,6,8,10,10,233,1019,15,0.0,0.0,10.1,1,63,2,Edwards County,Illinois
2020-03-06,8,8,0,-1,-1,6,4,4,15,330,1027,21,0.0,0.0,11.4,-3,63,2,Edwards County,Illinois
2020-03-07,10,10,-2,1,1,6,4,5,6,146,1034,10,0.0,0.0,11.4,-4,61,2,Edwards County,Illinois
2020-03-08,15,15,3,6,6,6,9,10,12,193,1028,20,0.0,0.0,11.4,2,63,3,Edwards County,Illinois
2020-03-09,16,16,10,10,10,5,13,14,19,189,1022,30,5.8,0.0,5.7,9,79,3,Edwards County,Illinois
2020-03-10,11,11,6,9,9,5,11,10,11,321,1021,16,2.6,0.0,5.7,8,82,2,Edwards County,Illinois
2020-03-11,13,13,4,8,8,6,9,9,4,212,1018,6,0.2,0.0,8.7,6,83,2,Edwards County,Illinois
2020-03-12,18,18,8,12,12,4,13,14,10,175,1009,16,4.3,0.0,5.8,11,91,3,Edwards County,Illinois
2020-03-13,10,10,4,5,5,6,8,7,10,344,1024,16,0.9,0.0,10.1,1,64,2,Edwards County,Illinois
2020-03-14,6,6,-1,1,1,4,4,4,10,55,1030,15,6.5,0.0,5.8,1,79,1,Edwards County,Illinois
2020-03-15,8,8,2,1,1,6,5,5,10,49,1033,14,0.0,0.0,7.4,1,77,2,Edwards County,Illinois
2020-03-16,7,7,3,4,4,6,5,5,3,171,1027,4,0.0,0.0,6.0,2,82,2,Edwards County,Illinois
2020-03-17,12,12,4,6,6,6,8,9,6,18,1025,9,0.2,0.0,11.6,4,76,3,Edwards County,Illinois
2020-03-18,13,13,7,8,8,3,9,10,6,175,1020,11,3.4,0.0,6.2,9,92,2,Edwards County,Illinois
2020-03-19,19,19,12,15,15,4,16,17,12,190,1015,21,18.6,0.0,6.2,15,93,4,Edwards County,Illinois
2020-03-20,18,18,6,12,12,5,13,14,16,320,1020,24,4.8,0.0,6.3,10,80,3,Edwards County,Illinois
2020-03-21,8,8,-1,0,0,6,3,4,9,20,1032,13,0.0,0.0,11.6,-3,64,2,Edwards County,Illinois
2020-03-22,6,6,0,0,0,5,3,3,7,91,1028,11,0.6,0.0,8.9,0,78,1,Edwards County,Illinois
2020-03-23,12,12,3,5,5,6,7,8,5,356,1022,8,0.0,0.0,8.9,3,79,2,Edwards County,Illinois
2020-03-24,14,14,4,6,6,5,8,10,8,100,1016,12,2.8,0.0,7.6,6,87,2,Edwards County,Illinois
2020-03-25,17,17,4,9,9,4,10,11,7,144,1014,11,0.3,0.0,11.6,6,79,4,Edwards County,Illinois
2020-03-26,23,23,9,14,14,6,16,17,11,192,1009,17,1.0,0.0,10.3,13,84,4,Edwards County,Illinois
2020-03-27,22,22,15,19,19,5,20,20,9,178,1008,15,4.7,0.0,6.3,17,90,4,Edwards County,Illinois
2020-03-28,24,24,19,21,21,5,22,22,17,210,1006,26,15.4,0.0,6.4,18,85,5,Edwards County,Illinois
2020-03-29,17,17,10,13,13,6,14,14,17,253,1012,26,5.3,0.0,11.6,8,67,4,Edwards County,Illinois
2020-03-30,16,16,7,11,11,6,12,13,7,299,1021,12,0.0,0.0,10.3,4,63,3,Edwards County,Illinois
2020-03-31,11,11,6,6,6,4,9,9,9,136,1016,14,0.6,0.0,6.4,4,72,2,Edwards County,Illinois
2020-04-01,13,13,2,6,6,6,7,8,5,231,1018,9,0.0,0.0,11.6,2,73,3,Edwards County,Illinois
2020-04-02,17,17,6,10,10,6,11,12,6,146,1020,10,0.0,0.0,11.6,5,68,4,Edwards County,Illinois
2020-04-03,19,19,9,13,13,6,14,15,6,177,1018,10,0.0,0.0,11.6,8,71,5,Edwards County,Illinois
2020-04-04,12,12,7,8,8,6,10,10,7,326,1018,11,0.0,0.0,6.4,7,87,2,Edwards County,Illinois
2020-04-05,17,17,6,10,10,5,11,12,5,234,1020,7,0.0,0.0,11.6,7,76,4,Edwards County,Illinois
2020-04-06,21,21,9,15,15,6,15,16,4,187,1017,6,0.6,0.0,7.7,12,82,4,Edwards County,Illinois
