date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,7,7,1,1,1,5,4,4,9,235,1010,16,3.4,2.9,7.1,-6,56,1,El Paso County,Colorado
2020-03-02,5,5,-5,-5,-5,4,-1,0,8,245,1012,12,6.6,5.6,11.2,-5,80,2,El Paso County,Colorado
2020-03-03,6,6,-3,-2,-2,6,1,2,6,157,1014,11,0.0,0.0,11.3,-8,54,2,El Paso County,Colorado
2020-03-04,9,9,-2,-1,-1,6,2,3,7,237,1019,13,0.0,0.0,11.3,-8,48,2,El Paso County,Colorado
2020-03-05,5,5,-1,-3,-3,6,1,2,9,181,1026,17,0.0,0.0,11.3,-6,59,2,El Paso County,Colorado
2020-03-06,11,11,-2,2,2,6,4,6,4,240,1024,8,0.0,0.0,11.3,-6,49,3,El Paso County,Colorado
2020-03-07,13,13,3,4,4,6,7,8,7,240,1014,14,0.0,0.0,11.4,-4,47,3,El Paso County,Colorado
2020-03-08,12,12,3,6,6,5,7,8,6,156,1008,10,0.9,0.8,11.4,-2,57,3,El Paso County,Colorado
2020-03-09,9,9,2,2,2,4,5,6,7,176,1015,11,4.4,3.7,11.6,-1,68,3,El Paso County,Colorado
2020-03-10,11,11,1,4,4,6,6,7,5,254,1019,8,0.0,0.0,11.6,-5,48,3,El Paso County,Colorado
2020-03-11,14,14,1,5,5,6,7,8,7,250,1014,13,0.0,0.0,11.6,-3,51,3,El Paso County,Colorado
2020-03-12,11,11,4,5,5,6,7,8,9,156,1011,15,0.0,0.0,11.6,-4,52,3,El Paso County,Colorado
2020-03-13,-1,-1,-6,-9,-9,2,-2,-2,19,163,1015,24,7.2,0.3,6.0,-4,88,1,El Paso County,Colorado
2020-03-14,6,6,-5,-2,-2,5,1,3,7,180,1018,11,0.0,0.0,11.6,-4,76,2,El Paso County,Colorado
2020-03-15,6,6,-3,-4,-4,6,1,2,9,172,1021,14,0.0,0.0,11.6,-3,80,2,El Paso County,Colorado
2020-03-16,10,10,1,3,3,6,6,7,8,191,1017,13,0.0,0.0,11.6,-4,54,3,El Paso County,Colorado
2020-03-17,8,8,1,-1,-1,4,4,5,15,164,1014,21,0.2,0.1,10.2,1,82,1,El Paso County,Colorado
2020-03-18,12,12,1,5,5,6,7,9,9,190,1006,14,0.0,0.0,8.8,-7,38,2,El Paso County,Colorado
2020-03-19,3,3,-6,-5,-5,3,0,0,15,252,1006,23,34.1,6.1,6.0,-1,90,1,El Paso County,Colorado
2020-03-20,-1,-1,-8,-11,-11,5,-5,-5,14,164,1029,19,0.5,0.4,8.8,-8,81,1,El Paso County,Colorado
2020-03-21,6,6,-6,-3,-3,5,0,2,6,181,1022,10,0.2,0.1,10.3,-6,64,1,El Paso County,Colorado
2020-03-22,6,6,-2,0,0,5,2,3,6,220,1016,9,0.3,0.1,8.9,-4,66,1,El Paso County,Colorado
2020-03-23,9,9,-2,0,0,6,3,5,8,165,1014,13,0.3,0.0,10.3,-5,56,1,El Paso County,Colorado
2020-03-24,10,10,0,3,3,6,5,7,7,202,1012,12,0.1,0.0,11.6,-5,52,3,El Paso County,Colorado
2020-03-25,12,12,2,4,4,6,7,9,10,259,1007,15,0.0,0.0,10.3,-6,41,2,El Paso County,Colorado
2020-03-26,14,14,2,6,6,6,8,9,10,220,1003,15,0.0,0.0,11.6,-7,36,3,El Paso County,Colorado
2020-03-27,10,10,1,3,3,5,6,6,11,188,1001,15,0.7,0.0,10.3,-6,54,2,El Paso County,Colorado
2020-03-28,4,4,-2,-5,-5,4,0,1,16,256,1011,21,1.8,0.6,10.3,-10,48,1,El Paso County,Colorado
2020-03-29,6,6,-3,-1,-1,6,2,3,6,177,1018,10,0.0,0.0,11.6,-11,41,2,El Paso County,Colorado
