date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,18,18,12,15,15,6,15,15,15,261,1012,20,0.0,0.0,11.6,-2,32,4,El Paso County,Texas
2020-03-02,19,19,12,14,14,6,15,15,11,252,1009,15,0.0,0.0,11.6,-3,29,4,El Paso County,Texas
2020-03-03,13,13,3,8,8,4,11,11,10,161,1009,13,32.3,0.0,5.9,3,62,3,El Paso County,Texas
2020-03-04,14,14,7,8,8,5,11,11,12,64,1018,14,16.5,0.0,11.6,2,60,4,El Paso County,Texas
2020-03-05,18,18,9,13,13,6,13,13,5,119,1025,7,0.0,0.0,11.6,2,49,4,El Paso County,Texas
2020-03-06,18,18,10,12,12,6,14,13,18,117,1025,24,0.0,0.0,11.6,0,40,4,El Paso County,Texas
2020-03-07,21,21,11,14,14,6,16,15,7,137,1018,10,0.3,0.0,11.6,2,41,5,El Paso County,Texas
2020-03-08,15,15,4,13,13,5,14,14,8,251,1015,11,14.8,0.0,5.9,8,65,3,El Paso County,Texas
2020-03-09,18,18,11,13,13,6,15,14,9,264,1019,11,0.9,0.0,11.6,4,54,4,El Paso County,Texas
2020-03-10,21,21,13,16,16,6,17,17,4,247,1021,5,0.0,0.0,11.6,5,46,5,El Paso County,Texas
2020-03-11,23,23,17,19,19,6,20,19,5,304,1017,6,0.0,0.0,11.6,7,45,5,El Paso County,Texas
2020-03-12,19,19,8,16,16,5,17,17,8,240,1012,11,1.6,0.0,11.6,10,61,4,El Paso County,Texas
2020-03-13,22,22,14,17,17,6,17,18,13,192,1011,16,0.4,0.0,8.8,6,53,4,El Paso County,Texas
2020-03-14,19,19,11,14,14,6,16,15,6,278,1018,8,0.0,0.0,11.6,1,39,4,El Paso County,Texas
2020-03-15,23,23,14,19,19,6,19,18,6,146,1017,8,0.0,0.0,10.2,5,44,4,El Paso County,Texas
2020-03-16,24,24,15,19,19,6,19,19,5,172,1015,7,0.0,0.0,11.6,3,38,5,El Paso County,Texas
2020-03-17,21,21,13,17,17,6,18,18,10,212,1014,13,0.1,0.0,8.8,1,35,4,El Paso County,Texas
2020-03-18,15,15,8,13,13,5,13,14,7,231,1012,10,12.2,0.0,7.4,7,65,3,El Paso County,Texas
2020-03-19,16,16,8,10,10,6,12,11,19,267,1015,25,0.0,0.0,8.8,-3,38,3,El Paso County,Texas
2020-03-20,20,20,11,15,15,6,15,15,9,132,1020,11,0.0,0.0,11.6,-3,30,5,El Paso County,Texas
2020-03-21,22,22,9,13,13,6,15,14,12,157,1018,15,0.0,0.0,11.6,0,42,4,El Paso County,Texas
2020-03-22,21,21,13,16,16,6,17,17,9,257,1016,12,0.0,0.0,10.2,-4,24,4,El Paso County,Texas
2020-03-23,24,24,14,19,19,6,19,19,12,243,1014,16,0.0,0.0,11.6,-5,21,5,El Paso County,Texas
2020-03-24,21,21,13,15,15,6,16,16,11,281,1016,15,0.0,0.0,11.6,-3,26,5,El Paso County,Texas
2020-03-25,26,26,15,19,19,6,20,20,8,258,1012,11,0.0,0.0,11.6,-3,22,5,El Paso County,Texas
2020-03-26,27,27,17,22,22,6,22,22,15,238,1009,20,0.0,0.0,11.6,0,23,6,El Paso County,Texas
2020-03-27,22,22,15,18,18,6,18,19,24,226,1008,29,0.0,0.0,11.6,-1,32,5,El Paso County,Texas
2020-03-28,14,14,6,7,7,6,11,10,14,282,1018,17,0.0,0.0,11.6,-9,25,3,El Paso County,Texas
2020-03-29,22,22,11,16,16,6,16,16,7,160,1014,9,0.0,0.0,9.0,-10,16,4,El Paso County,Texas
2020-03-30,20,20,13,16,16,6,17,16,14,289,1015,19,0.0,0.0,11.6,-7,20,5,El Paso County,Texas
2020-03-31,22,22,13,17,17,6,18,17,4,74,1017,7,0.0,0.0,7.7,-7,19,4,El Paso County,Texas
2020-04-01,25,25,17,20,20,6,21,22,12,261,1009,15,0.0,0.0,11.6,-3,18,6,El Paso County,Texas
2020-04-02,25,25,16,21,21,6,21,20,16,253,1009,21,0.0,0.0,11.6,-5,18,6,El Paso County,Texas
2020-04-03,24,24,15,19,19,6,20,19,9,223,1010,12,0.0,0.0,10.3,-3,23,4,El Paso County,Texas
2020-04-04,24,24,14,18,18,6,19,19,10,183,1010,13,0.0,0.0,11.6,-4,23,5,El Paso County,Texas
2020-04-05,23,23,15,18,18,6,19,19,12,233,1011,15,0.0,0.0,11.6,-1,25,5,El Paso County,Texas
2020-04-06,23,23,17,20,20,6,20,20,11,243,1012,14,0.0,0.0,11.6,-1,23,6,El Paso County,Texas
2020-04-07,23,23,15,18,18,6,19,19,11,267,1015,14,0.0,0.0,11.6,0,27,5,El Paso County,Texas
2020-04-08,25,25,17,21,21,6,21,21,10,249,1014,13,0.0,0.0,11.6,2,30,6,El Paso County,Texas
2020-04-09,22,22,17,19,19,6,20,20,12,253,1013,15,0.0,0.0,11.6,1,28,5,El Paso County,Texas
2020-04-10,24,24,15,19,19,6,19,19,8,255,1011,11,0.0,0.0,11.6,-7,16,5,El Paso County,Texas
2020-04-11,20,20,12,17,17,6,17,17,14,256,1008,18,0.0,0.0,11.6,-9,15,5,El Paso County,Texas
2020-04-12,20,20,10,13,13,6,16,15,25,283,1008,30,0.0,0.0,11.6,1,37,4,El Paso County,Texas
2020-04-13,23,23,13,18,18,6,18,18,16,249,1012,20,0.0,0.0,11.6,-1,31,5,El Paso County,Texas
2020-04-14,19,19,12,14,14,6,15,15,8,114,1015,10,0.0,0.0,11.6,-3,30,4,El Paso County,Texas
2020-04-15,20,20,11,14,14,6,16,15,7,148,1015,9,0.0,0.0,11.6,-4,27,5,El Paso County,Texas
2020-04-16,26,26,15,20,20,6,21,20,9,252,1011,12,0.0,0.0,11.6,-10,13,6,El Paso County,Texas
2020-04-17,25,25,16,20,20,6,21,21,13,242,1012,17,0.0,0.0,11.6,-9,12,6,El Paso County,Texas
2020-04-18,25,25,16,20,20,6,21,20,16,253,1011,21,0.0,0.0,11.6,-4,20,5,El Paso County,Texas
