date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,0,7,7,6,7,10,4,162,1025,7,0.0,0.0,11.3,0,59,3,Elbert County,Georgia
2020-03-02,16,16,5,9,9,5,10,11,5,202,1019,7,3.9,0.0,7.3,6,79,3,Elbert County,Georgia
2020-03-03,19,19,12,15,15,4,15,16,8,219,1011,13,19.1,0.0,5.9,14,95,4,Elbert County,Georgia
2020-03-04,14,14,7,12,12,5,13,13,4,207,1016,7,7.3,0.0,5.9,12,92,3,Elbert County,Georgia
2020-03-05,9,9,4,7,7,3,9,9,8,63,1018,13,39.3,0.0,5.9,8,95,2,Elbert County,Georgia
2020-03-06,11,11,3,4,4,5,7,9,12,298,1020,17,0.0,0.0,11.6,2,70,3,Elbert County,Georgia
2020-03-07,13,13,-1,5,5,6,6,8,4,30,1030,7,0.0,0.0,11.6,-2,59,3,Elbert County,Georgia
2020-03-08,15,15,2,8,8,6,9,10,4,144,1035,6,0.0,0.0,7.3,0,60,2,Elbert County,Georgia
2020-03-09,18,18,5,12,12,6,12,13,4,182,1033,6,0.1,0.0,7.3,6,71,3,Elbert County,Georgia
2020-03-10,16,16,12,13,13,3,14,14,6,228,1026,11,0.6,0.0,7.4,12,92,3,Elbert County,Georgia
2020-03-11,21,21,12,16,16,3,16,18,6,244,1019,10,0.1,0.0,8.8,13,85,4,Elbert County,Georgia
2020-03-12,21,21,13,17,17,5,18,19,5,242,1016,9,0.7,0.0,6.0,15,85,4,Elbert County,Georgia
2020-03-13,24,24,16,19,19,6,20,21,7,275,1018,11,0.2,0.0,10.2,15,78,5,Elbert County,Georgia
2020-03-14,17,17,9,14,14,6,15,15,6,79,1026,8,0.2,0.0,7.4,9,71,4,Elbert County,Georgia
2020-03-15,19,19,13,15,15,4,15,17,5,233,1024,8,1.7,0.0,7.4,14,91,4,Elbert County,Georgia
2020-03-16,13,13,9,10,10,5,11,11,6,80,1027,9,0.8,0.0,6.0,8,81,3,Elbert County,Georgia
2020-03-17,22,22,11,15,15,5,15,16,3,241,1024,5,0.1,0.0,7.4,12,86,4,Elbert County,Georgia
2020-03-18,21,21,13,17,17,4,17,18,5,90,1025,7,1.8,0.0,6.0,15,89,4,Elbert County,Georgia
2020-03-19,27,27,16,20,21,4,21,22,5,209,1024,8,2.3,0.0,10.2,17,82,5,Elbert County,Georgia
2020-03-20,27,27,16,21,22,5,22,23,8,231,1023,13,0.3,0.0,11.6,16,77,6,Elbert County,Georgia
2020-03-21,25,25,16,19,19,6,21,22,7,279,1023,11,0.0,0.0,11.6,13,70,6,Elbert County,Georgia
2020-03-22,14,14,10,12,12,4,13,14,8,68,1026,12,2.0,0.0,6.1,10,82,3,Elbert County,Georgia
2020-03-23,16,16,10,12,12,4,13,13,3,197,1022,5,11.3,0.0,6.1,12,97,3,Elbert County,Georgia
2020-03-24,15,15,9,13,13,2,13,14,5,34,1016,7,10.2,0.0,6.1,13,97,3,Elbert County,Georgia
2020-03-25,23,23,15,18,18,5,19,20,6,288,1011,9,6.2,0.0,11.6,14,79,5,Elbert County,Georgia
2020-03-26,21,21,13,16,16,5,16,17,5,158,1017,7,0.0,0.0,11.6,12,79,5,Elbert County,Georgia
2020-03-27,28,28,15,21,22,4,22,23,6,234,1014,10,0.0,0.0,11.6,16,79,6,Elbert County,Georgia
2020-03-28,27,27,18,22,23,4,23,23,7,248,1014,12,0.0,0.0,8.9,18,82,5,Elbert County,Georgia
2020-03-29,25,25,18,21,21,6,21,23,9,254,1017,15,0.4,0.0,6.1,15,72,5,Elbert County,Georgia
2020-03-30,22,22,14,18,18,6,18,19,6,305,1019,10,0.0,0.0,11.6,8,52,5,Elbert County,Georgia
2020-03-31,15,15,10,12,12,6,13,13,7,161,1009,11,3.9,0.0,7.5,8,75,3,Elbert County,Georgia
2020-04-01,16,16,5,10,10,6,11,13,4,330,1012,7,0.2,0.0,11.6,5,68,4,Elbert County,Georgia
2020-04-02,19,19,6,12,12,6,13,15,4,193,1018,6,0.0,0.0,11.6,4,62,4,Elbert County,Georgia
2020-04-03,23,23,8,15,15,6,16,18,3,186,1016,5,0.0,0.0,11.6,7,63,5,Elbert County,Georgia
2020-04-04,24,24,12,17,17,6,18,19,4,114,1015,7,0.0,0.0,11.6,8,60,5,Elbert County,Georgia
2020-04-05,23,23,15,18,18,6,18,19,3,170,1018,4,1.6,0.0,10.3,11,65,5,Elbert County,Georgia
2020-04-06,26,26,14,20,20,4,21,22,5,244,1018,8,4.1,0.0,10.3,14,74,5,Elbert County,Georgia
2020-04-07,24,24,16,18,18,6,19,20,7,242,1016,12,4.5,0.0,7.6,16,84,5,Elbert County,Georgia
2020-04-08,28,28,15,22,23,4,23,24,7,265,1009,12,0.1,0.0,10.3,17,79,6,Elbert County,Georgia
2020-04-09,26,26,16,20,21,5,21,23,11,291,1006,17,0.8,0.0,11.6,11,62,6,Elbert County,Georgia
2020-04-10,17,17,9,12,12,6,14,14,8,337,1013,13,0.0,0.0,11.6,-1,43,4,Elbert County,Georgia
2020-04-11,21,21,5,12,12,6,14,15,4,147,1019,6,0.0,0.0,11.6,2,52,4,Elbert County,Georgia
2020-04-12,17,17,9,12,12,5,13,14,6,63,1015,10,8.5,0.0,6.5,12,85,3,Elbert County,Georgia
2020-04-13,22,22,14,19,19,5,20,20,13,269,1010,19,51.2,0.0,11.6,14,75,6,Elbert County,Georgia
2020-04-14,23,23,10,16,16,6,18,19,6,186,1015,9,0.0,0.0,11.6,9,69,5,Elbert County,Georgia
2020-04-15,19,19,8,12,12,6,14,14,5,95,1017,8,0.0,0.0,11.6,5,63,4,Elbert County,Georgia
2020-04-16,20,20,6,13,13,6,14,16,4,350,1024,7,0.0,0.0,11.6,2,50,5,Elbert County,Georgia
2020-04-17,21,21,8,14,14,6,14,17,5,191,1022,7,0.0,0.0,11.6,6,61,5,Elbert County,Georgia
2020-04-18,22,22,13,17,17,6,18,20,8,282,1014,14,0.0,0.0,11.6,7,59,5,Elbert County,Georgia
2020-04-19,14,14,5,9,9,4,10,11,3,146,1012,5,2.6,0.0,8.0,8,84,3,Elbert County,Georgia
2020-04-20,24,24,13,18,18,5,19,19,4,127,1005,6,16.1,0.0,8.0,12,78,4,Elbert County,Georgia
2020-04-21,24,24,11,16,16,6,17,20,9,280,1012,14,0.0,0.0,11.6,9,65,5,Elbert County,Georgia
2020-04-22,22,22,9,16,16,6,17,18,5,158,1018,8,0.0,0.0,11.6,7,60,5,Elbert County,Georgia
2020-04-23,18,18,11,14,14,3,15,15,8,150,1012,12,26.1,0.0,6.8,14,94,3,Elbert County,Georgia
2020-04-24,23,23,16,18,18,5,19,20,8,273,1008,12,0.8,0.0,9.2,14,79,5,Elbert County,Georgia
2020-04-25,25,25,13,19,19,6,20,22,5,161,1011,9,0.9,0.0,11.6,14,74,6,Elbert County,Georgia
2020-04-26,18,18,10,12,12,6,14,15,13,273,1014,19,0.0,0.0,11.6,8,71,5,Elbert County,Georgia
2020-04-27,22,22,9,15,15,6,16,17,6,285,1021,10,0.0,0.0,11.6,6,57,5,Elbert County,Georgia
2020-04-28,25,25,9,17,17,6,18,20,5,209,1021,8,0.0,0.0,11.6,9,61,6,Elbert County,Georgia
2020-04-29,23,23,13,17,17,5,18,20,11,186,1012,17,14.5,0.0,8.0,14,83,4,Elbert County,Georgia
2020-04-30,19,19,12,14,14,5,15,16,8,271,1009,12,24.0,0.0,6.9,10,77,4,Elbert County,Georgia
2020-05-01,22,22,9,15,15,6,17,18,9,288,1016,15,0.0,0.0,11.6,7,62,5,Elbert County,Georgia
2020-05-02,26,26,10,18,18,6,19,21,4,216,1021,6,0.0,0.0,11.6,10,63,6,Elbert County,Georgia
2020-05-03,28,28,13,21,22,6,22,24,8,247,1016,14,0.0,0.0,11.6,13,63,6,Elbert County,Georgia
2020-05-04,27,27,17,22,23,5,23,25,5,268,1013,9,15.1,0.0,9.3,18,77,5,Elbert County,Georgia
2020-05-05,29,29,19,24,25,5,25,25,7,253,1010,11,7.1,0.0,10.4,18,80,6,Elbert County,Georgia
2020-05-06,22,22,13,16,16,6,17,18,11,284,1012,17,1.4,0.0,11.6,8,61,5,Elbert County,Georgia
2020-05-07,20,20,6,13,13,6,14,16,6,296,1019,9,0.0,0.0,11.6,3,56,5,Elbert County,Georgia
2020-05-08,18,18,8,12,12,5,13,15,7,230,1014,11,0.2,0.0,9.3,7,71,4,Elbert County,Georgia
2020-05-09,21,21,6,14,14,6,15,16,3,272,1021,5,0.2,0.0,11.6,5,63,5,Elbert County,Georgia
2020-05-10,22,22,6,14,14,6,16,17,5,209,1022,8,0.0,0.0,11.6,4,55,5,Elbert County,Georgia
2020-05-11,19,19,10,13,13,6,14,17,8,301,1021,13,0.0,0.0,11.6,3,52,5,Elbert County,Georgia
2020-05-12,21,21,6,13,13,6,13,16,4,204,1024,6,0.0,0.0,11.6,4,56,5,Elbert County,Georgia
2020-05-13,23,23,11,17,17,6,17,19,3,79,1025,5,0.0,0.0,11.6,11,71,5,Elbert County,Georgia
2020-05-14,27,27,13,20,20,5,20,23,5,174,1024,8,0.0,0.0,11.6,14,73,6,Elbert County,Georgia
2020-05-15,25,25,14,19,19,5,20,21,3,178,1021,5,0.1,0.0,9.3,15,78,5,Elbert County,Georgia
2020-05-16,29,29,15,22,23,4,23,25,3,205,1018,6,0.0,0.0,11.6,16,72,6,Elbert County,Georgia
2020-05-17,30,30,16,24,25,5,25,26,4,237,1017,6,1.2,0.0,11.6,16,71,7,Elbert County,Georgia
2020-05-18,26,26,19,22,23,5,23,23,5,141,1011,7,12.9,0.0,8.2,19,88,5,Elbert County,Georgia
2020-05-19,26,26,18,22,23,5,23,23,6,231,1008,10,4.1,0.0,8.2,17,82,5,Elbert County,Georgia
2020-05-20,18,18,11,15,15,4,16,17,8,47,1012,12,44.8,0.0,7.0,15,94,4,Elbert County,Georgia
2020-05-21,25,25,12,19,19,4,20,21,4,253,1015,6,3.4,0.0,9.3,15,81,5,Elbert County,Georgia
2020-05-22,26,26,14,21,21,4,21,23,3,266,1018,5,8.1,0.0,8.2,18,85,5,Elbert County,Georgia
2020-05-23,31,31,17,25,27,4,27,27,5,250,1018,8,1.8,0.0,11.6,19,78,7,Elbert County,Georgia
2020-05-24,32,32,20,25,27,5,27,28,3,88,1018,5,3.5,0.0,11.6,20,76,7,Elbert County,Georgia
2020-05-25,28,28,20,23,24,5,24,25,6,93,1018,9,19.3,0.0,8.2,20,88,5,Elbert County,Georgia
2020-05-26,21,21,13,19,19,4,19,20,6,100,1018,10,2.1,0.0,8.2,18,93,4,Elbert County,Georgia
2020-05-27,25,25,18,21,22,5,22,23,7,55,1016,11,0.2,0.0,7.1,18,84,5,Elbert County,Georgia
2020-05-28,29,29,18,23,24,4,24,25,4,154,1016,6,4.7,0.0,7.1,20,89,5,Elbert County,Georgia
2020-05-29,30,30,19,24,25,4,25,26,3,252,1016,4,9.4,0.0,8.2,19,80,6,Elbert County,Georgia
2020-05-30,30,30,19,24,25,5,25,27,4,293,1015,7,4.1,0.0,11.6,18,74,7,Elbert County,Georgia
2020-05-31,27,27,18,22,23,6,23,24,6,59,1018,10,0.4,0.0,11.6,16,69,6,Elbert County,Georgia
2020-06-01,27,27,16,21,22,5,22,23,6,71,1023,9,0.6,0.0,11.6,15,73,6,Elbert County,Georgia
2020-06-02,28,28,16,22,23,5,23,25,5,224,1022,8,0.0,0.0,11.6,17,73,6,Elbert County,Georgia
2020-06-03,31,31,19,25,26,6,26,27,7,242,1016,12,0.0,0.0,11.6,18,69,7,Elbert County,Georgia
2020-06-04,30,30,20,25,26,5,26,27,6,206,1014,9,1.4,0.0,11.6,20,77,6,Elbert County,Georgia
2020-06-05,30,30,19,24,26,3,26,26,6,223,1014,9,11.2,0.0,9.4,21,84,6,Elbert County,Georgia
2020-06-06,33,33,20,26,28,4,28,29,4,239,1014,7,0.2,0.0,11.6,20,74,7,Elbert County,Georgia
2020-06-07,34,34,21,26,28,4,28,29,4,176,1014,6,0.2,0.0,11.6,21,75,7,Elbert County,Georgia
2020-06-08,30,30,21,26,28,4,28,27,3,132,1014,5,1.0,0.0,8.2,22,83,6,Elbert County,Georgia
2020-06-09,32,32,22,27,29,5,29,29,5,234,1014,7,3.5,0.0,11.6,22,79,6,Elbert County,Georgia
2020-06-10,29,29,21,24,27,4,27,26,7,196,1015,11,9.6,0.0,9.4,22,88,6,Elbert County,Georgia
2020-06-11,31,31,22,26,28,4,28,28,4,255,1017,6,2.4,0.0,11.6,19,72,7,Elbert County,Georgia
2020-06-12,29,29,20,24,25,6,25,26,8,50,1019,12,0.0,0.0,11.6,16,63,7,Elbert County,Georgia
2020-06-13,29,29,17,23,23,6,23,26,6,47,1019,10,0.0,0.0,11.6,14,61,7,Elbert County,Georgia
2020-06-14,28,28,17,22,23,6,23,25,6,51,1021,9,0.1,0.0,11.6,15,66,6,Elbert County,Georgia
2020-06-15,25,25,16,20,20,5,21,21,8,62,1022,12,5.7,0.0,10.5,16,81,5,Elbert County,Georgia
2020-06-16,21,21,13,16,16,6,17,19,9,40,1022,12,0.1,0.0,7.1,13,78,4,Elbert County,Georgia
2020-06-17,26,26,13,20,21,6,21,22,4,280,1019,7,1.9,0.0,8.2,14,75,5,Elbert County,Georgia
2020-06-18,27,27,16,21,22,5,22,23,4,218,1017,6,3.4,0.0,7.1,16,76,5,Elbert County,Georgia
2020-06-19,31,31,18,24,25,6,25,27,2,187,1018,4,1.1,0.0,11.6,18,72,6,Elbert County,Georgia
2020-06-20,33,33,18,26,27,5,27,29,2,214,1017,4,1.4,0.0,11.6,17,65,7,Elbert County,Georgia
2020-06-21,34,34,20,27,30,6,30,30,3,253,1016,5,4.7,0.0,11.6,18,68,7,Elbert County,Georgia
2020-06-22,33,33,20,26,28,5,28,29,6,250,1016,9,2.7,0.0,11.6,20,73,6,Elbert County,Georgia
