date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,0,0,-3,-8,-8,4,-2,-1,12,22,1018,15,3.6,3.1,7.1,-7,67,1,Elko County,Nevada
2020-03-02,4,4,-4,-2,-2,6,0,1,4,317,1023,5,0.0,0.0,11.2,-10,55,2,Elko County,Nevada
2020-03-03,6,6,-2,0,0,6,2,4,3,312,1022,5,0.0,0.0,11.2,-3,71,2,Elko County,Nevada
2020-03-04,11,11,1,4,4,6,6,7,4,250,1021,7,0.0,0.0,11.3,-3,59,3,Elko County,Nevada
2020-03-05,14,14,2,7,7,6,9,10,6,176,1020,10,0.0,0.0,11.3,-5,40,3,Elko County,Nevada
2020-03-06,14,14,4,7,7,6,9,11,10,193,1014,17,0.0,0.0,11.3,-5,36,4,Elko County,Nevada
2020-03-07,12,12,2,4,4,4,7,9,12,245,1007,16,3.7,2.8,8.6,-1,62,2,Elko County,Nevada
2020-03-08,6,6,1,2,2,6,3,4,3,239,1012,5,0.0,0.0,11.4,-3,64,2,Elko County,Nevada
2020-03-09,4,4,0,0,0,4,3,2,5,257,1018,7,1.5,0.7,5.7,-1,77,1,Elko County,Nevada
2020-03-10,9,9,1,4,4,6,5,6,3,115,1020,6,0.0,0.0,11.4,-3,59,3,Elko County,Nevada
2020-03-11,11,11,2,5,5,6,6,8,6,255,1016,10,0.0,0.0,11.6,-3,52,3,Elko County,Nevada
2020-03-12,10,10,2,4,4,6,6,7,5,15,1015,9,0.0,0.0,11.6,-8,40,3,Elko County,Nevada
2020-03-13,11,11,0,3,3,6,6,6,7,226,1006,10,0.0,0.0,11.6,-8,40,3,Elko County,Nevada
2020-03-14,11,11,2,4,4,5,7,9,12,230,1008,17,5.7,0.0,6.0,0,66,2,Elko County,Nevada
2020-03-15,9,9,3,3,3,5,6,7,13,190,1010,18,8.6,0.0,7.4,-2,60,2,Elko County,Nevada
2020-03-16,9,9,3,3,3,6,6,7,10,150,1010,15,0.7,0.0,10.2,-3,52,2,Elko County,Nevada
2020-03-17,6,6,0,0,0,5,3,4,11,208,1007,14,2.9,0.2,7.4,-4,64,1,Elko County,Nevada
2020-03-18,2,2,-5,-3,-3,5,0,0,5,220,1009,7,3.9,1.8,7.4,-5,71,1,Elko County,Nevada
2020-03-19,4,4,-4,-1,-1,5,1,2,5,117,1014,7,1.3,0.0,6.0,-5,65,1,Elko County,Nevada
2020-03-20,5,5,-1,1,1,6,2,3,2,169,1020,4,2.0,0.0,8.8,-3,67,1,Elko County,Nevada
2020-03-21,10,10,1,5,5,6,5,7,3,276,1018,5,0.0,0.0,11.6,-4,54,3,Elko County,Nevada
2020-03-22,10,10,1,5,5,6,6,8,4,228,1016,5,0.0,0.0,11.6,-3,56,3,Elko County,Nevada
2020-03-23,9,9,2,3,3,5,5,7,9,256,1011,13,1.7,0.0,6.1,-2,59,2,Elko County,Nevada
2020-03-24,8,8,-2,1,1,5,4,5,9,258,1012,12,1.3,0.0,6.1,-3,64,2,Elko County,Nevada
2020-03-25,2,2,-1,-4,-4,4,0,1,10,269,1013,12,1.3,1.0,6.1,-8,56,1,Elko County,Nevada
2020-03-26,3,3,-2,-4,-4,6,0,1,8,318,1014,10,0.0,0.0,11.6,-12,41,2,Elko County,Nevada
2020-03-27,4,4,-2,-2,-2,6,1,2,9,297,1014,12,0.0,0.0,7.7,-10,44,1,Elko County,Nevada
2020-03-28,8,8,0,2,2,6,4,5,4,253,1018,6,0.2,0.0,10.3,-4,58,2,Elko County,Nevada
2020-03-29,7,7,2,2,2,5,4,5,7,245,1015,10,5.3,0.3,6.4,-2,66,2,Elko County,Nevada
2020-03-30,10,10,2,3,3,6,6,7,11,247,1019,14,0.0,0.0,6.4,-2,57,2,Elko County,Nevada
2020-03-31,10,10,4,3,3,6,7,8,17,260,1014,22,0.2,0.0,9.0,0,62,2,Elko County,Nevada
2020-04-01,5,5,-1,0,0,4,3,3,8,287,1012,10,3.4,1.7,6.4,-2,73,1,Elko County,Nevada
2020-04-02,2,2,-3,-3,-3,6,-1,1,4,297,1019,6,0.0,0.0,11.6,-13,39,1,Elko County,Nevada
2020-04-03,6,6,-2,-1,-1,6,2,4,6,246,1015,9,0.0,0.0,11.6,-12,36,2,Elko County,Nevada
2020-04-04,10,10,1,3,3,5,5,8,8,223,1006,11,0.7,0.0,9.0,-7,42,2,Elko County,Nevada
2020-04-05,11,11,1,3,3,5,5,8,8,170,1001,12,5.2,0.0,9.0,-1,68,2,Elko County,Nevada
2020-04-06,9,9,1,3,3,5,6,8,9,246,1005,14,7.2,0.0,6.5,-1,63,2,Elko County,Nevada
2020-04-07,12,12,3,7,7,6,8,10,4,240,1014,6,0.1,0.0,11.6,-1,58,3,Elko County,Nevada
2020-04-08,16,16,5,9,9,6,11,13,11,67,1014,16,0.0,0.0,11.6,1,52,4,Elko County,Nevada
2020-04-09,11,11,0,4,4,5,7,9,10,163,1013,13,0.5,0.0,10.3,-1,59,2,Elko County,Nevada
2020-04-10,13,13,1,7,7,6,8,10,5,256,1013,7,0.0,0.0,11.6,-4,47,3,Elko County,Nevada
2020-04-11,14,14,5,7,7,6,9,11,12,295,1010,16,2.1,0.0,10.3,-2,47,3,Elko County,Nevada
2020-04-12,7,7,0,0,0,6,3,5,8,304,1017,10,0.0,0.0,11.6,-11,36,2,Elko County,Nevada
2020-04-13,5,5,-1,-2,-2,6,2,3,8,229,1023,11,0.0,0.0,11.6,-13,33,2,Elko County,Nevada
2020-04-14,9,9,-1,1,1,6,4,6,8,288,1023,12,0.0,0.0,11.6,-11,33,3,Elko County,Nevada
2020-04-15,9,9,4,3,3,6,6,8,11,305,1015,15,0.6,0.0,9.1,-4,50,2,Elko County,Nevada
2020-04-16,6,6,0,1,1,6,3,4,6,135,1019,8,0.3,0.0,13.3,-6,53,1,Elko County,Nevada
2020-04-17,10,10,0,3,3,6,5,7,4,127,1016,6,0.0,0.0,13.7,-8,39,2,Elko County,Nevada
2020-04-18,15,15,3,9,9,6,9,12,6,282,1010,9,0.0,0.0,13.7,-8,30,4,Elko County,Nevada
2020-04-19,10,10,6,6,6,5,8,9,7,274,1012,10,6.1,0.0,8.6,-1,57,2,Elko County,Nevada
2020-04-20,13,13,4,9,9,6,9,11,3,83,1014,5,0.0,0.0,13.8,-2,50,4,Elko County,Nevada
2020-04-21,15,15,6,9,9,6,11,13,8,337,1016,12,0.0,0.0,13.8,-2,45,4,Elko County,Nevada
2020-04-22,15,15,6,10,10,6,11,13,10,279,1019,13,1.5,0.0,13.8,2,56,4,Elko County,Nevada
2020-04-23,13,13,7,7,7,5,9,11,13,291,1019,17,1.6,0.0,12.2,1,57,4,Elko County,Nevada
2020-04-24,14,14,3,8,8,6,9,11,6,276,1021,9,0.0,0.0,13.8,-1,54,4,Elko County,Nevada
2020-04-25,19,19,5,12,12,6,12,15,5,240,1018,7,0.0,0.0,13.9,3,55,5,Elko County,Nevada
2020-04-26,19,19,10,14,14,6,14,17,6,268,1014,8,0.0,0.0,13.9,0,40,5,Elko County,Nevada
2020-04-27,17,17,9,13,13,6,13,16,8,282,1016,11,0.0,0.0,13.9,1,44,5,Elko County,Nevada
2020-04-28,19,19,8,14,14,6,14,17,2,126,1021,4,0.0,0.0,13.9,2,46,5,Elko County,Nevada
2020-04-29,27,27,11,20,21,6,21,23,7,199,1014,11,0.0,0.0,14.0,3,37,6,Elko County,Nevada
2020-04-30,20,20,12,15,15,5,16,18,13,251,1012,17,0.7,0.0,13.3,2,44,5,Elko County,Nevada
2020-05-01,16,16,10,12,12,6,13,14,7,260,1014,10,0.0,0.0,11.1,0,45,3,Elko County,Nevada
2020-05-02,19,19,8,13,13,6,14,16,10,247,1013,14,0.0,0.0,12.2,-2,38,4,Elko County,Nevada
2020-05-03,14,14,8,9,9,6,11,13,12,273,1016,15,0.5,0.0,14.1,-2,40,4,Elko County,Nevada
