date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,4,9,9,6,10,11,4,185,1025,8,0.0,0.0,11.6,0,51,4,Emanuel County,Georgia
2020-03-02,20,20,8,12,12,6,13,15,10,208,1020,16,2.5,0.0,5.9,7,67,4,Emanuel County,Georgia
2020-03-03,22,22,15,17,17,5,18,18,12,220,1013,19,8.1,0.0,5.9,16,91,4,Emanuel County,Georgia
2020-03-04,17,17,14,15,15,3,15,15,7,35,1015,11,39.8,0.0,5.9,15,96,4,Emanuel County,Georgia
2020-03-05,13,13,5,9,9,4,11,11,11,55,1015,17,16.0,0.0,5.9,10,93,3,Emanuel County,Georgia
2020-03-06,15,15,8,8,8,6,11,12,15,304,1019,22,0.1,0.0,11.6,3,64,4,Emanuel County,Georgia
2020-03-07,13,13,2,5,5,6,8,9,8,19,1030,12,0.0,0.0,11.6,-1,54,3,Emanuel County,Georgia
2020-03-08,16,16,5,9,9,6,10,12,6,112,1034,10,0.0,0.0,5.9,2,58,3,Emanuel County,Georgia
2020-03-09,20,20,9,14,14,6,14,16,7,149,1033,12,0.0,0.0,10.2,9,72,4,Emanuel County,Georgia
2020-03-10,22,22,14,17,17,6,17,18,7,218,1027,11,1.2,0.0,5.9,14,81,4,Emanuel County,Georgia
2020-03-11,23,23,16,19,19,6,19,20,7,229,1020,11,9.5,0.0,6.0,16,83,4,Emanuel County,Georgia
2020-03-12,24,24,16,20,20,4,20,21,7,229,1016,11,2.4,0.0,10.2,16,81,5,Emanuel County,Georgia
2020-03-13,25,25,15,20,20,6,21,22,8,253,1019,13,0.1,0.0,8.8,16,78,5,Emanuel County,Georgia
2020-03-14,23,23,17,20,20,5,20,21,7,92,1025,10,0.1,0.0,7.4,16,80,5,Emanuel County,Georgia
2020-03-15,20,20,17,19,19,5,19,19,6,228,1024,10,0.2,0.0,10.2,16,86,4,Emanuel County,Georgia
2020-03-16,17,17,12,13,13,6,14,14,8,82,1027,12,1.1,0.0,6.0,11,82,3,Emanuel County,Georgia
2020-03-17,23,23,14,18,18,5,19,20,4,241,1024,5,7.5,0.0,6.0,15,85,4,Emanuel County,Georgia
2020-03-18,26,26,16,20,21,5,21,22,7,138,1025,12,11.4,0.0,8.8,17,82,5,Emanuel County,Georgia
2020-03-19,28,28,18,22,23,4,23,24,8,190,1025,12,0.4,0.0,10.2,18,78,5,Emanuel County,Georgia
2020-03-20,27,27,18,23,24,5,24,24,9,228,1024,13,0.1,0.0,10.2,18,77,6,Emanuel County,Georgia
2020-03-21,27,27,19,23,23,6,23,24,7,287,1022,10,0.6,0.0,8.8,17,71,5,Emanuel County,Georgia
2020-03-22,20,20,8,15,15,5,16,17,9,51,1024,13,4.2,0.0,7.4,13,81,4,Emanuel County,Georgia
2020-03-23,22,22,14,18,18,3,19,19,5,235,1022,8,1.1,0.0,6.1,16,86,4,Emanuel County,Georgia
2020-03-24,27,27,18,22,23,6,23,23,9,229,1016,14,3.6,0.0,6.1,17,77,5,Emanuel County,Georgia
2020-03-25,26,26,20,22,23,6,23,24,12,285,1011,18,0.5,0.0,11.6,16,69,6,Emanuel County,Georgia
2020-03-26,25,25,15,19,19,6,19,20,7,132,1017,11,0.0,0.0,11.6,14,74,6,Emanuel County,Georgia
2020-03-27,29,29,17,22,23,4,23,25,8,232,1015,13,0.0,0.0,10.2,17,76,6,Emanuel County,Georgia
2020-03-28,29,29,19,24,25,5,25,26,9,235,1015,15,0.0,0.0,11.6,18,73,7,Emanuel County,Georgia
2020-03-29,29,29,19,23,25,6,25,25,10,244,1018,15,0.1,0.0,7.5,19,76,5,Emanuel County,Georgia
2020-03-30,26,26,17,22,22,6,22,23,6,313,1018,9,0.0,0.0,11.6,8,44,6,Emanuel County,Georgia
2020-03-31,20,20,13,16,16,5,17,18,9,187,1007,14,11.5,0.0,7.5,11,69,4,Emanuel County,Georgia
2020-04-01,18,18,8,12,12,6,13,14,9,349,1011,13,0.0,0.0,11.6,6,63,4,Emanuel County,Georgia
2020-04-02,19,19,9,14,14,6,14,15,5,250,1017,7,0.0,0.0,11.6,6,58,5,Emanuel County,Georgia
2020-04-03,23,23,11,17,17,6,17,18,4,197,1016,6,0.0,0.0,11.6,7,55,5,Emanuel County,Georgia
