date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,5,5,-6,-5,-5,6,0,0,15,190,1019,27,0.0,0.0,11.2,-4,75,2,Erie County,Ohio
2020-03-02,7,7,-2,1,1,4,5,6,14,252,1008,28,13.3,0.0,5.6,4,91,2,Erie County,Ohio
2020-03-03,7,7,4,2,2,4,5,5,11,256,1003,20,7.0,0.0,7.1,3,87,2,Erie County,Ohio
2020-03-04,4,4,1,-3,-3,5,2,3,14,275,1012,24,1.6,0.9,7.3,-1,80,1,Erie County,Ohio
2020-03-05,7,7,-1,-1,-1,6,3,4,9,184,1017,17,0.0,0.0,11.6,-2,71,2,Erie County,Ohio
2020-03-06,1,1,-1,-6,-6,3,1,1,18,331,1017,27,2.1,0.2,5.9,-1,89,1,Erie County,Ohio
2020-03-07,3,3,-3,-4,-4,6,0,0,9,278,1032,14,0.0,0.0,11.6,-6,65,2,Erie County,Ohio
2020-03-08,10,10,1,2,2,6,6,6,16,213,1028,31,0.0,0.0,11.6,-1,63,3,Erie County,Ohio
2020-03-09,13,13,7,6,6,6,10,10,19,221,1023,40,0.0,0.0,8.8,4,70,3,Erie County,Ohio
2020-03-10,10,10,3,4,4,4,7,7,15,305,1017,29,9.3,0.0,5.9,5,85,2,Erie County,Ohio
2020-03-11,7,7,1,1,1,6,3,4,5,123,1019,9,0.2,0.0,5.9,0,80,1,Erie County,Ohio
2020-03-12,10,10,2,4,4,5,6,7,7,180,1012,14,0.4,0.0,8.8,4,85,2,Erie County,Ohio
2020-03-13,5,5,3,0,0,5,5,4,19,272,1016,32,4.0,0.0,11.6,0,70,2,Erie County,Ohio
2020-03-14,2,2,0,-2,-2,5,1,1,7,36,1032,11,0.6,0.3,10.2,-3,74,2,Erie County,Ohio
2020-03-15,1,1,-3,-5,-5,6,0,0,14,48,1035,19,0.1,0.3,8.8,-3,79,1,Erie County,Ohio
2020-03-16,6,6,0,1,1,6,3,4,5,279,1028,8,0.1,0.0,10.2,-2,72,1,Erie County,Ohio
2020-03-17,6,6,3,1,1,6,4,5,8,291,1023,14,0.1,0.0,10.2,1,82,2,Erie County,Ohio
2020-03-18,7,7,0,1,1,5,4,5,9,112,1024,16,14.8,0.0,7.4,2,85,1,Erie County,Ohio
2020-03-19,11,11,4,4,4,5,7,8,13,127,1018,25,9.3,0.0,6.0,7,94,2,Erie County,Ohio
2020-03-20,15,15,1,6,6,6,10,11,21,290,1015,39,2.1,0.0,6.1,7,83,3,Erie County,Ohio
2020-03-21,-1,-1,-3,-7,-7,4,-2,-2,12,29,1033,16,0.4,0.2,8.8,-7,68,1,Erie County,Ohio
2020-03-22,2,2,-2,-5,-5,5,0,1,12,71,1032,17,5.1,0.0,10.2,-5,70,1,Erie County,Ohio
2020-03-23,4,4,2,0,0,4,3,3,8,313,1021,13,6.8,0.0,7.5,2,93,1,Erie County,Ohio
2020-03-24,5,5,-2,0,0,6,3,4,8,71,1021,12,0.0,0.0,11.6,0,83,2,Erie County,Ohio
2020-03-25,8,8,3,3,3,6,5,6,5,215,1014,10,0.0,0.0,11.6,3,83,3,Erie County,Ohio
2020-03-26,12,12,6,6,6,6,9,10,12,265,1011,23,3.0,0.0,8.9,6,83,3,Erie County,Ohio
2020-03-27,7,7,4,2,2,5,5,6,9,53,1014,15,4.9,0.0,10.2,3,86,2,Erie County,Ohio
2020-03-28,11,11,7,6,6,3,9,9,10,158,1008,20,54.7,0.0,6.2,8,98,2,Erie County,Ohio
2020-03-29,15,15,5,8,8,5,11,12,22,235,1005,42,17.8,0.0,6.2,8,79,3,Erie County,Ohio
2020-03-30,7,7,4,1,1,5,6,6,18,268,1015,29,1.2,0.0,6.2,2,80,2,Erie County,Ohio
2020-03-31,5,5,3,1,1,6,4,4,8,18,1015,12,0.1,0.0,6.2,2,91,1,Erie County,Ohio
2020-04-01,5,5,1,1,1,6,4,4,9,139,1016,13,0.1,0.0,7.6,2,85,1,Erie County,Ohio
2020-04-02,6,6,3,3,3,6,5,6,6,234,1020,9,0.0,0.0,11.6,2,81,3,Erie County,Ohio
2020-04-03,8,8,3,3,3,6,5,6,6,346,1019,10,0.0,0.0,11.6,1,75,3,Erie County,Ohio
2020-04-04,12,12,4,7,7,6,8,9,4,87,1017,7,0.8,0.0,10.3,3,73,2,Erie County,Ohio
2020-04-05,7,7,4,4,4,6,6,6,7,13,1020,10,1.2,0.0,9.0,3,83,2,Erie County,Ohio
2020-04-06,10,10,3,4,4,6,6,7,6,78,1020,10,0.0,0.0,11.6,0,63,3,Erie County,Ohio
2020-04-07,15,15,8,11,11,4,12,12,7,228,1009,15,19.6,0.0,6.5,10,87,3,Erie County,Ohio
2020-04-08,14,14,10,11,11,5,12,12,9,226,1003,17,10.4,0.0,10.3,9,82,4,Erie County,Ohio
2020-04-09,8,8,3,2,2,5,6,7,21,291,1001,28,4.1,0.3,6.7,1,71,2,Erie County,Ohio
2020-04-10,6,6,2,-2,-2,3,4,4,22,304,1011,29,0.7,0.1,9.2,-2,66,1,Erie County,Ohio
2020-04-11,10,10,2,3,3,5,6,7,10,237,1015,16,0.1,0.1,10.4,0,65,2,Erie County,Ohio
2020-04-12,14,14,7,7,7,4,10,11,14,188,1009,24,2.8,0.0,9.2,7,78,3,Erie County,Ohio
2020-04-13,12,12,5,5,5,5,9,9,19,270,1003,29,14.0,0.0,6.8,6,81,2,Erie County,Ohio
2020-04-14,6,6,2,-1,-1,5,4,4,15,262,1020,20,0.1,0.0,8.0,-5,55,1,Erie County,Ohio
2020-04-15,5,5,-7,-3,-3,4,1,3,12,284,1017,16,7.8,6.6,8.0,-3,68,1,Erie County,Ohio
2020-04-16,6,6,-1,-3,-3,6,2,3,14,276,1024,19,0.2,0.0,11.6,-6,54,1,Erie County,Ohio
2020-04-17,2,2,-5,-3,-3,3,0,1,10,95,1019,14,20.6,7.5,6.8,-2,81,1,Erie County,Ohio
2020-04-18,9,9,0,0,0,6,4,5,13,250,1014,20,0.0,0.0,11.6,1,77,1,Erie County,Ohio
2020-04-19,11,11,5,3,3,6,7,8,15,253,1009,25,2.6,0.0,6.9,4,80,2,Erie County,Ohio
2020-04-20,9,9,3,4,4,6,6,6,9,112,1007,16,0.0,0.0,11.6,-1,62,3,Erie County,Ohio
2020-04-21,5,5,2,-1,-1,6,4,4,22,296,1007,33,0.7,0.0,10.4,-3,61,2,Erie County,Ohio
2020-04-22,5,5,0,0,0,6,3,4,8,136,1017,11,1.3,0.0,10.4,-4,62,2,Erie County,Ohio
2020-04-23,11,11,4,4,4,5,7,9,12,104,1010,21,8.2,0.0,6.9,6,91,2,Erie County,Ohio
2020-04-24,8,8,5,4,4,6,6,6,8,7,1009,13,0.0,0.0,9.3,5,90,2,Erie County,Ohio
2020-04-25,10,10,6,5,5,6,8,9,14,64,1013,23,0.0,0.0,11.6,5,80,3,Erie County,Ohio
2020-04-26,8,8,7,2,2,3,7,7,21,28,1011,32,15.7,0.0,7.0,5,91,2,Erie County,Ohio
2020-04-27,12,12,5,7,7,6,9,9,6,201,1020,11,0.0,0.0,11.6,4,74,3,Erie County,Ohio
2020-04-28,14,14,8,9,9,4,11,11,11,185,1014,20,8.7,0.0,7.0,9,90,3,Erie County,Ohio
2020-04-29,16,16,12,11,11,5,13,15,20,175,1004,37,9.8,0.0,8.1,11,85,3,Erie County,Ohio
2020-04-30,10,10,7,7,7,5,10,10,10,219,1002,15,7.0,0.0,7.0,8,88,3,Erie County,Ohio
2020-05-01,11,11,7,7,7,6,9,9,8,321,1013,12,0.2,0.0,9.3,6,82,2,Erie County,Ohio
