date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,0,0,-6,-9,-9,6,-4,-3,11,306,1017,15,0.0,0.0,11.2,-13,50,2,Essex County,Massachusetts
2020-03-02,9,9,-4,0,0,6,3,5,9,191,1016,15,0.0,0.0,8.6,-4,64,1,Essex County,Massachusetts
2020-03-03,12,12,5,6,6,6,8,9,9,193,1005,16,1.0,0.0,10.1,6,84,2,Essex County,Massachusetts
2020-03-04,9,9,4,2,2,6,6,7,16,270,1000,24,1.4,0.0,11.2,0,64,3,Essex County,Massachusetts
2020-03-05,8,8,1,1,1,6,4,5,10,306,1015,14,0.0,0.0,11.3,-3,61,3,Essex County,Massachusetts
2020-03-06,7,7,2,0,0,4,4,6,12,111,1016,17,0.4,0.0,8.6,-1,72,2,Essex County,Massachusetts
2020-03-07,5,5,-3,-6,-6,4,0,1,17,230,1019,23,0.4,0.0,10.1,-10,46,2,Essex County,Massachusetts
2020-03-08,9,9,-1,1,1,6,4,6,9,277,1025,14,0.0,0.0,11.4,-6,48,3,Essex County,Massachusetts
2020-03-09,15,15,4,8,8,6,10,12,9,248,1023,16,0.0,0.0,11.4,2,57,4,Essex County,Massachusetts
2020-03-10,15,15,9,11,11,6,12,13,10,222,1015,18,0.1,0.0,8.7,7,70,3,Essex County,Massachusetts
2020-03-11,8,8,3,4,4,6,6,6,8,323,1018,11,0.4,0.0,10.1,-2,57,2,Essex County,Massachusetts
2020-03-12,7,7,0,1,1,6,4,5,8,110,1023,11,0.0,0.0,7.2,0,75,2,Essex County,Massachusetts
2020-03-13,12,12,5,4,4,4,7,9,15,206,1013,25,9.8,0.0,6.0,4,80,2,Essex County,Massachusetts
2020-03-14,9,9,3,1,1,6,5,7,14,286,1021,21,0.0,0.0,11.6,-3,56,3,Essex County,Massachusetts
2020-03-15,7,7,0,-1,-1,6,2,4,7,230,1031,11,0.0,0.0,11.6,-7,51,2,Essex County,Massachusetts
2020-03-16,1,1,-3,-5,-5,6,-1,-1,10,102,1036,13,0.0,0.0,11.6,-9,56,2,Essex County,Massachusetts
2020-03-17,7,7,-1,0,0,4,4,5,11,189,1023,17,1.1,0.0,6.0,1,85,1,Essex County,Massachusetts
2020-03-18,8,8,0,1,1,6,4,6,8,182,1030,12,0.0,0.0,11.6,-2,65,3,Essex County,Massachusetts
2020-03-19,6,6,-2,2,2,4,4,5,8,126,1029,12,16.7,0.0,6.0,4,91,2,Essex County,Massachusetts
2020-03-20,16,16,4,8,8,4,10,11,12,213,1012,21,3.3,0.0,6.1,8,88,3,Essex County,Massachusetts
2020-03-21,6,6,-1,-1,-1,6,3,4,12,329,1024,17,0.0,0.0,10.2,-6,50,2,Essex County,Massachusetts
2020-03-22,1,1,-6,-6,-6,6,-1,0,9,90,1038,12,0.0,0.0,11.6,-11,47,2,Essex County,Massachusetts
2020-03-23,4,4,-2,-3,-3,5,2,3,11,143,1033,15,11.8,0.0,6.3,-4,67,1,Essex County,Massachusetts
2020-03-24,6,6,2,0,0,5,4,5,10,316,1018,15,26.3,0.0,6.3,2,90,1,Essex County,Massachusetts
2020-03-25,5,5,2,0,0,6,3,4,9,89,1022,13,0.2,0.1,7.6,0,80,1,Essex County,Massachusetts
2020-03-26,7,7,1,1,1,6,4,5,8,68,1015,12,0.0,0.0,11.6,-1,73,2,Essex County,Massachusetts
2020-03-27,12,12,5,5,5,5,8,10,11,314,1010,18,1.2,0.0,10.3,1,64,3,Essex County,Massachusetts
2020-03-28,10,10,2,5,5,5,7,8,5,148,1021,9,0.2,0.0,11.6,-1,59,3,Essex County,Massachusetts
2020-03-29,7,7,4,2,2,4,6,6,12,113,1020,17,19.2,0.0,6.4,5,93,2,Essex County,Massachusetts
2020-03-30,6,6,2,0,0,3,4,5,15,61,1014,21,9.4,1.2,6.4,4,93,2,Essex County,Massachusetts
2020-03-31,4,4,1,-2,-2,4,2,3,11,55,1017,15,1.8,1.4,10.3,-1,79,2,Essex County,Massachusetts
2020-04-01,5,5,1,0,0,6,4,4,11,37,1010,15,0.2,0.1,6.4,0,78,1,Essex County,Massachusetts
2020-04-02,7,7,2,1,1,4,5,5,16,335,1001,24,26.0,0.0,6.4,3,88,2,Essex County,Massachusetts
2020-04-03,8,8,6,2,2,4,7,8,22,33,1004,35,39.4,0.0,6.5,5,89,2,Essex County,Massachusetts
2020-04-04,6,6,0,1,1,6,5,5,11,56,1016,15,1.4,0.0,6.5,2,83,2,Essex County,Massachusetts
2020-04-05,11,11,4,6,6,6,7,9,5,157,1017,8,0.0,0.0,9.0,4,78,2,Essex County,Massachusetts
2020-04-06,12,12,6,6,6,6,8,10,9,311,1014,14,0.0,0.0,11.6,0,59,4,Essex County,Massachusetts
2020-04-07,12,12,5,7,7,6,8,10,5,299,1010,8,0.0,0.0,11.6,1,58,4,Essex County,Massachusetts
2020-04-08,9,9,5,4,4,5,7,8,7,74,1002,11,0.3,0.0,10.3,2,71,3,Essex County,Massachusetts
2020-04-09,10,10,4,3,3,5,7,8,14,175,992,21,32.2,0.0,6.5,4,84,2,Essex County,Massachusetts
2020-04-10,8,8,2,0,0,5,5,7,17,287,988,23,2.2,0.7,7.8,-1,64,2,Essex County,Massachusetts
2020-04-11,9,9,2,1,1,6,5,6,13,297,1008,18,0.0,0.0,11.6,-3,59,3,Essex County,Massachusetts
2020-04-12,13,13,1,5,5,6,8,10,9,204,1021,15,0.0,0.0,10.3,0,60,2,Essex County,Massachusetts
2020-04-13,15,15,10,10,10,5,13,13,18,178,1009,34,20.4,0.0,6.6,11,88,3,Essex County,Massachusetts
2020-04-14,12,12,5,6,6,6,8,9,10,260,1015,16,3.0,0.0,10.4,0,57,2,Essex County,Massachusetts
2020-04-15,9,9,3,4,4,6,6,8,7,281,1012,11,0.0,0.0,10.4,-3,52,3,Essex County,Massachusetts
2020-04-16,7,7,2,1,1,5,4,5,8,283,1015,12,3.4,0.6,8.3,-4,57,2,Essex County,Massachusetts
2020-04-17,9,9,0,1,1,6,5,6,11,267,1019,16,0.0,0.0,13.3,-6,47,3,Essex County,Massachusetts
2020-04-18,5,5,1,0,0,3,3,3,8,51,1009,11,10.4,8.0,8.6,1,89,1,Essex County,Massachusetts
2020-04-19,14,14,1,5,5,6,8,10,11,235,1007,18,0.0,0.0,13.8,1,63,4,Essex County,Massachusetts
2020-04-20,8,8,4,4,4,6,6,6,8,168,1005,11,0.0,0.0,12.1,-1,61,2,Essex County,Massachusetts
2020-04-21,11,11,3,3,3,5,6,9,13,182,1001,19,11.4,0.0,12.2,0,67,2,Essex County,Massachusetts
2020-04-22,7,7,-1,-2,-2,6,3,5,16,277,1005,22,0.0,0.0,12.2,-7,50,1,Essex County,Massachusetts
2020-04-23,12,12,-1,2,2,6,5,8,9,268,1015,14,0.0,0.0,13.9,-7,42,3,Essex County,Massachusetts
2020-04-24,6,6,4,3,3,4,5,5,7,43,1010,11,2.2,0.0,8.7,2,82,2,Essex County,Massachusetts
2020-04-25,10,10,3,5,5,6,7,9,6,89,1017,10,0.0,0.0,13.9,3,75,2,Essex County,Massachusetts
2020-04-26,10,10,0,4,4,5,7,8,11,88,1018,17,9.4,0.0,8.7,2,72,2,Essex County,Massachusetts
2020-04-27,5,5,-2,-1,-1,4,4,4,22,27,1012,32,25.4,0.0,8.7,4,94,1,Essex County,Massachusetts
2020-04-28,8,8,2,2,2,5,5,6,9,41,1019,13,3.2,1.8,8.8,1,77,2,Essex County,Massachusetts
2020-04-29,8,8,0,3,3,6,5,7,8,94,1026,12,0.0,0.0,14.0,2,76,3,Essex County,Massachusetts
2020-04-30,8,8,4,4,4,6,7,7,11,131,1025,17,0.0,0.0,8.8,4,82,2,Essex County,Massachusetts
2020-05-01,14,14,7,9,9,4,11,12,11,193,1007,19,29.1,0.0,8.8,10,94,3,Essex County,Massachusetts
2020-05-02,16,16,7,10,10,6,12,14,9,307,1010,16,1.5,0.0,12.2,5,64,3,Essex County,Massachusetts
2020-05-03,20,20,9,13,13,6,14,16,7,251,1006,13,0.3,0.0,11.1,8,71,4,Essex County,Massachusetts
2020-05-04,15,15,8,10,10,6,12,14,12,310,1002,19,0.4,0.0,12.2,5,63,3,Essex County,Massachusetts
2020-05-05,13,13,5,6,6,6,8,10,11,317,1009,15,0.0,0.0,14.2,1,61,4,Essex County,Massachusetts
2020-05-06,10,10,3,5,5,5,7,9,6,110,1011,9,0.3,0.0,14.2,1,65,3,Essex County,Massachusetts
2020-05-07,14,14,5,8,8,5,9,11,5,141,1005,8,0.5,0.0,13.4,3,67,4,Essex County,Massachusetts
2020-05-08,13,13,6,7,7,6,9,11,11,258,1006,16,2.7,0.0,12.3,1,58,3,Essex County,Massachusetts
