date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,20,20,13,15,15,6,16,17,21,201,1011,32,0.5,0.0,5.9,13,81,4,Fannin County,Texas
2020-03-02,21,21,15,17,17,6,18,18,13,240,1008,21,0.0,0.0,11.6,12,73,5,Fannin County,Texas
2020-03-03,19,19,13,15,15,6,15,16,6,50,1010,10,0.0,0.0,10.2,9,68,5,Fannin County,Texas
2020-03-04,13,13,11,11,11,4,13,12,10,63,1016,15,30.7,0.0,5.9,10,86,3,Fannin County,Texas
2020-03-05,20,20,7,12,12,6,13,14,8,323,1023,14,2.1,0.0,11.6,4,59,4,Fannin County,Texas
2020-03-06,16,16,5,9,9,6,10,11,8,28,1033,13,0.0,0.0,11.6,-1,47,4,Fannin County,Texas
2020-03-07,16,16,7,9,9,6,11,12,11,156,1029,17,0.0,0.0,11.6,3,61,4,Fannin County,Texas
2020-03-08,16,16,7,10,10,6,12,12,14,178,1024,23,0.1,0.0,7.3,8,78,3,Fannin County,Texas
2020-03-09,20,20,14,16,16,4,17,17,19,196,1019,31,3.6,0.0,5.9,14,86,4,Fannin County,Texas
2020-03-10,22,22,7,14,14,6,15,15,7,89,1023,12,0.6,0.0,11.6,9,72,4,Fannin County,Texas
2020-03-11,26,26,18,21,22,6,22,22,14,237,1015,21,2.1,0.0,8.8,18,82,5,Fannin County,Texas
2020-03-12,28,28,19,22,23,5,23,23,15,219,1009,22,14.6,0.0,10.2,19,82,5,Fannin County,Texas
2020-03-13,15,15,11,13,13,5,14,14,16,77,1017,23,24.9,0.0,6.0,13,90,3,Fannin County,Texas
2020-03-14,23,23,12,18,18,4,20,21,13,200,1019,20,10.6,0.0,6.0,16,91,5,Fannin County,Texas
2020-03-15,14,14,10,10,10,5,12,12,11,44,1026,16,5.4,0.0,6.0,10,90,3,Fannin County,Texas
2020-03-16,17,17,10,12,12,5,13,13,8,143,1022,11,45.0,0.0,6.0,12,93,3,Fannin County,Texas
2020-03-17,20,20,12,14,14,4,15,15,10,89,1020,15,2.6,0.0,6.0,14,92,3,Fannin County,Texas
2020-03-18,23,23,18,20,20,4,21,21,15,197,1014,25,50.7,0.0,6.0,18,90,5,Fannin County,Texas
2020-03-19,25,25,19,21,22,5,22,22,18,210,1013,29,22.9,0.0,7.4,19,85,5,Fannin County,Texas
2020-03-20,15,15,9,13,13,6,14,13,12,238,1024,19,0.0,0.0,11.6,9,73,4,Fannin County,Texas
2020-03-21,16,16,4,7,7,6,9,10,9,67,1028,14,0.0,0.0,11.6,5,76,3,Fannin County,Texas
2020-03-22,17,17,11,12,12,3,13,14,8,144,1020,12,12.0,0.0,6.1,13,95,3,Fannin County,Texas
