date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,2,2,0,-3,-3,5,1,1,10,299,1008,19,0.0,0.0,10.1,0,91,1,Faribault County,Minnesota
2020-03-02,2,2,-6,-6,-6,6,-2,-2,7,256,1011,13,0.0,0.0,11.6,-5,81,2,Faribault County,Minnesota
2020-03-03,3,3,-4,-4,-4,5,1,2,11,285,1005,19,0.2,0.0,10.2,-2,82,2,Faribault County,Minnesota
2020-03-04,6,6,-4,-2,-2,5,1,1,8,229,1014,15,0.3,0.3,11.6,-2,83,2,Faribault County,Minnesota
2020-03-05,3,3,-4,-4,-4,3,2,2,19,299,1016,28,2.9,0.0,7.3,-2,78,1,Faribault County,Minnesota
2020-03-06,4,4,-5,-5,-5,6,-1,-1,9,116,1032,15,0.1,0.0,11.6,-6,71,2,Faribault County,Minnesota
2020-03-07,13,13,1,3,3,6,7,8,18,194,1020,30,0.0,0.0,10.2,-1,58,2,Faribault County,Minnesota
2020-03-08,16,16,8,9,9,6,12,12,18,198,1010,28,0.1,0.0,11.6,5,63,4,Faribault County,Minnesota
2020-03-09,3,3,0,-3,-3,6,2,1,14,347,1017,17,0.0,0.0,5.9,-1,82,1,Faribault County,Minnesota
2020-03-10,7,7,-3,-2,-2,5,1,2,7,139,1023,9,5.5,0.0,8.8,-2,78,1,Faribault County,Minnesota
2020-03-11,10,10,1,2,2,4,5,5,7,192,1015,12,8.1,0.0,10.2,1,81,1,Faribault County,Minnesota
2020-03-12,9,9,2,2,2,6,6,8,16,315,1007,23,1.8,0.0,8.8,2,76,2,Faribault County,Minnesota
2020-03-13,4,4,-1,-4,-4,6,1,2,11,314,1026,15,0.0,0.0,10.2,-7,55,1,Faribault County,Minnesota
2020-03-14,3,3,-3,-5,-5,5,-1,0,7,52,1036,10,0.1,0.0,8.8,-7,64,1,Faribault County,Minnesota
2020-03-15,5,5,-3,-3,-3,6,1,1,8,150,1037,10,0.0,0.0,8.8,-5,67,1,Faribault County,Minnesota
2020-03-16,4,4,-1,-2,-2,6,1,2,8,258,1025,11,0.0,0.0,6.0,-1,83,1,Faribault County,Minnesota
2020-03-17,8,8,-2,0,0,6,3,4,7,260,1025,9,0.0,0.0,11.6,-5,60,2,Faribault County,Minnesota
2020-03-18,8,8,4,3,3,5,5,6,8,146,1017,11,0.3,0.0,6.0,4,89,2,Faribault County,Minnesota
2020-03-19,7,7,2,2,2,2,5,6,12,45,1012,18,26.1,0.0,6.0,5,96,2,Faribault County,Minnesota
