date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,1,4,4,6,8,9,14,198,1014,23,0.9,0.0,7.1,5,81,2,Fayette County,Illinois
2020-03-02,12,12,8,9,9,5,10,10,9,334,1008,13,7.4,0.0,11.2,6,76,4,Fayette County,Illinois
2020-03-03,13,13,4,6,6,5,9,10,11,273,1008,15,3.0,0.0,11.3,2,66,3,Fayette County,Illinois
2020-03-04,11,11,6,5,5,6,8,9,10,329,1015,17,0.0,0.0,8.6,1,63,2,Fayette County,Illinois
2020-03-05,13,13,3,4,4,6,7,9,12,245,1019,19,0.0,0.0,11.3,0,62,3,Fayette County,Illinois
2020-03-06,7,7,0,-2,-2,6,3,4,16,333,1028,22,0.0,0.0,11.3,-4,60,2,Fayette County,Illinois
2020-03-07,11,11,-1,1,1,6,4,6,8,168,1033,14,0.0,0.0,11.4,-2,64,3,Fayette County,Illinois
2020-03-08,15,15,3,6,6,6,9,10,14,192,1026,23,0.0,0.0,11.4,2,61,4,Fayette County,Illinois
2020-03-09,15,15,6,10,10,3,12,13,19,193,1019,29,23.6,0.0,5.7,10,82,3,Fayette County,Illinois
2020-03-10,11,11,4,7,7,5,9,9,10,316,1022,14,9.9,0.0,7.2,6,81,2,Fayette County,Illinois
2020-03-11,15,15,3,7,7,6,8,10,5,235,1018,7,0.0,0.0,7.4,5,81,2,Fayette County,Illinois
2020-03-12,16,16,7,10,10,3,12,13,10,180,1009,16,4.9,0.0,6.0,10,92,3,Fayette County,Illinois
2020-03-13,10,10,3,4,4,6,6,7,10,338,1025,15,0.0,0.0,10.2,-1,60,2,Fayette County,Illinois
2020-03-14,4,4,-2,-1,-1,4,3,3,11,62,1031,16,11.4,0.0,6.0,0,83,1,Fayette County,Illinois
2020-03-15,7,7,1,0,0,6,4,4,9,51,1034,13,0.0,0.0,6.0,0,78,1,Fayette County,Illinois
2020-03-16,5,5,2,3,3,5,4,4,3,197,1027,5,1.6,0.0,6.0,2,88,1,Fayette County,Illinois
2020-03-17,11,11,3,5,5,6,7,7,4,117,1025,6,0.0,0.0,8.8,3,77,2,Fayette County,Illinois
2020-03-18,9,9,3,5,5,5,7,8,6,117,1019,11,29.5,0.0,6.0,7,93,2,Fayette County,Illinois
2020-03-19,21,21,9,14,14,4,15,16,14,183,1013,24,32.6,0.0,6.0,14,93,4,Fayette County,Illinois
2020-03-20,14,14,4,8,8,6,10,10,15,335,1021,23,3.0,0.0,6.3,7,79,2,Fayette County,Illinois
2020-03-21,7,7,-2,-1,-1,6,3,3,8,34,1033,11,0.0,0.0,11.6,-4,63,2,Fayette County,Illinois
2020-03-22,3,3,-6,-3,-3,4,0,1,8,109,1028,12,4.4,0.0,6.3,-1,84,1,Fayette County,Illinois
2020-03-23,10,10,2,4,4,6,6,7,4,127,1022,7,0.0,0.0,7.6,3,81,2,Fayette County,Illinois
2020-03-24,11,11,3,4,4,4,7,8,7,75,1017,11,1.0,0.0,6.3,4,86,2,Fayette County,Illinois
2020-03-25,17,17,3,9,9,4,10,11,7,167,1014,11,0.0,0.0,11.6,7,83,4,Fayette County,Illinois
2020-03-26,20,20,9,13,13,6,15,15,11,191,1008,17,0.2,0.0,7.6,12,87,4,Fayette County,Illinois
2020-03-27,23,23,11,17,17,5,17,18,9,157,1007,15,3.2,0.0,6.3,16,91,4,Fayette County,Illinois
2020-03-28,24,24,19,21,21,5,21,22,17,206,1003,28,20.2,0.0,6.4,18,87,5,Fayette County,Illinois
2020-03-29,16,16,9,10,10,6,13,13,18,258,1011,27,2.0,0.0,10.3,6,64,4,Fayette County,Illinois
2020-03-30,16,16,5,9,9,6,11,12,8,306,1021,13,0.0,0.0,11.6,3,62,4,Fayette County,Illinois
2020-03-31,11,11,5,6,6,6,8,9,9,34,1016,13,0.0,0.0,7.7,4,74,2,Fayette County,Illinois
2020-04-01,14,14,1,6,6,6,7,9,4,38,1018,7,0.0,0.0,11.6,2,72,3,Fayette County,Illinois
2020-04-02,17,17,6,10,10,6,11,12,9,150,1019,14,0.0,0.0,11.6,6,72,4,Fayette County,Illinois
2020-04-03,15,15,10,11,11,6,12,13,7,168,1017,12,0.1,0.0,6.4,9,82,3,Fayette County,Illinois
2020-04-04,11,11,5,6,6,5,8,8,7,337,1019,10,5.2,0.0,6.4,5,84,2,Fayette County,Illinois
2020-04-05,17,17,5,9,9,5,10,11,3,31,1020,6,0.0,0.0,10.3,6,75,3,Fayette County,Illinois
2020-04-06,21,21,8,14,14,6,15,16,7,188,1017,11,0.1,0.0,6.5,11,83,4,Fayette County,Illinois
2020-04-07,25,25,14,19,19,6,20,21,11,223,1009,17,1.8,0.0,10.3,17,85,6,Fayette County,Illinois
2020-04-08,26,26,16,21,22,4,22,22,9,274,1005,14,2.9,0.0,11.6,15,76,6,Fayette County,Illinois
2020-04-09,13,13,4,6,6,5,9,10,16,295,1012,22,2.6,0.0,10.3,1,58,4,Fayette County,Illinois
2020-04-10,11,11,0,2,2,6,5,7,9,305,1019,14,0.0,0.0,11.6,-3,55,3,Fayette County,Illinois
2020-04-11,14,14,4,7,7,6,9,10,11,189,1013,17,0.8,0.0,10.3,4,69,4,Fayette County,Illinois
2020-04-12,16,16,11,13,13,5,14,15,13,167,1003,20,6.7,0.0,6.5,12,90,3,Fayette County,Illinois
2020-04-13,8,8,2,1,1,6,6,5,18,310,1014,23,1.9,0.0,11.6,-1,66,3,Fayette County,Illinois
2020-04-14,8,8,1,1,1,6,4,5,7,300,1024,10,0.0,0.0,10.3,-6,51,1,Fayette County,Illinois
2020-04-15,8,8,0,0,0,6,4,5,11,295,1020,17,0.1,0.0,9.1,-3,63,2,Fayette County,Illinois
2020-04-16,11,11,-1,3,3,6,5,7,7,108,1025,10,0.0,0.0,6.6,-2,59,2,Fayette County,Illinois
2020-04-17,10,10,4,3,3,5,7,9,14,292,1017,20,8.4,0.0,6.6,4,80,2,Fayette County,Illinois
2020-04-18,13,13,0,4,4,6,6,8,9,217,1017,14,0.0,0.0,11.6,1,71,3,Fayette County,Illinois
2020-04-19,15,15,5,8,8,5,9,10,7,277,1010,11,7.2,0.0,6.6,7,84,2,Fayette County,Illinois
2020-04-20,17,17,5,10,10,6,11,13,7,297,1009,11,0.2,0.0,11.6,6,72,4,Fayette County,Illinois
2020-04-21,14,14,6,8,8,6,10,11,10,321,1015,15,0.1,0.0,11.6,4,67,4,Fayette County,Illinois
2020-04-22,19,19,6,11,11,5,12,14,10,198,1014,16,1.3,0.0,10.4,7,73,4,Fayette County,Illinois
2020-04-23,12,12,4,9,9,3,11,12,10,54,1004,15,88.8,0.0,6.7,11,96,3,Fayette County,Illinois
2020-04-24,20,20,9,14,14,5,14,16,5,190,1009,7,8.8,0.0,9.1,11,83,4,Fayette County,Illinois
