date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,3,3,-1,-3,-3,6,1,2,12,247,1008,22,0.0,0.0,7.1,1,94,1,Fayette County,Iowa
2020-03-02,-1,-1,-9,-8,-8,5,-4,-4,7,281,1011,12,0.0,0.0,11.2,-5,91,2,Fayette County,Iowa
2020-03-03,2,2,-3,-5,-5,5,0,1,11,284,1004,19,0.1,0.0,10.2,-2,88,1,Fayette County,Iowa
2020-03-04,0,0,-7,-6,-6,4,-2,-3,8,276,1015,14,4.7,3.0,11.6,-3,90,2,Fayette County,Iowa
2020-03-05,3,3,-1,-4,-4,3,2,2,18,281,1014,29,0.7,0.0,8.7,0,86,1,Fayette County,Iowa
2020-03-06,0,0,-7,-8,-8,5,-3,-4,10,333,1031,15,0.4,0.0,11.6,-6,80,2,Fayette County,Iowa
2020-03-07,9,9,-3,-2,-2,6,3,4,14,192,1025,28,0.0,0.0,11.6,-2,72,2,Fayette County,Iowa
2020-03-08,14,14,6,6,6,6,9,10,17,203,1015,30,0.0,0.0,11.6,5,74,3,Fayette County,Iowa
2020-03-09,11,11,3,4,4,4,7,7,12,121,1013,19,27.2,0.0,5.9,6,91,2,Fayette County,Iowa
2020-03-10,8,8,-2,-1,-1,5,3,3,8,98,1022,11,2.5,0.2,10.2,-2,71,2,Fayette County,Iowa
2020-03-11,10,10,2,3,3,4,5,6,6,273,1015,10,7.2,0.0,10.2,1,79,2,Fayette County,Iowa
2020-03-12,11,11,3,2,2,5,6,8,18,247,1006,27,6.7,0.0,5.9,3,81,2,Fayette County,Iowa
2020-03-13,5,5,-1,-4,-4,6,1,2,14,298,1024,20,0.0,0.0,10.2,-8,51,1,Fayette County,Iowa
2020-03-14,4,4,-2,-4,-4,6,0,1,7,48,1035,10,0.2,0.0,8.8,-6,66,1,Fayette County,Iowa
2020-03-15,5,5,-4,-4,-4,6,-1,1,7,116,1037,10,0.0,0.0,11.6,-4,77,1,Fayette County,Iowa
2020-03-16,5,5,-2,-2,-2,4,1,2,8,246,1026,11,0.7,0.4,6.0,-1,87,1,Fayette County,Iowa
2020-03-17,8,8,-4,-1,-1,6,2,3,8,276,1025,11,0.0,0.0,11.6,-5,63,2,Fayette County,Iowa
2020-03-18,5,5,1,0,0,3,3,3,8,136,1019,12,11.7,0.0,6.0,2,91,1,Fayette County,Iowa
2020-03-19,8,8,4,2,2,5,6,6,10,105,1011,16,47.9,0.0,6.0,5,97,2,Fayette County,Iowa
2020-03-20,1,1,-4,-7,-7,4,-1,-1,16,347,1027,21,4.6,0.0,10.2,-5,73,1,Fayette County,Iowa
2020-03-21,3,3,-5,-6,-6,6,-2,-1,8,148,1035,11,0.3,0.2,6.1,-6,72,1,Fayette County,Iowa
2020-03-22,5,5,-2,-5,-5,5,1,2,12,154,1027,16,0.2,0.1,8.8,-4,72,1,Fayette County,Iowa
2020-03-23,7,7,-1,0,0,4,3,4,7,231,1022,10,0.2,0.3,6.1,1,89,1,Fayette County,Iowa
2020-03-24,10,10,0,1,1,4,4,5,8,155,1017,11,0.0,0.0,7.5,1,83,2,Fayette County,Iowa
2020-03-25,12,12,4,4,4,5,7,8,9,199,1010,13,0.6,0.0,6.1,5,85,2,Fayette County,Iowa
2020-03-26,11,11,4,4,4,4,7,8,9,48,1010,12,4.6,0.0,6.3,5,88,2,Fayette County,Iowa
2020-03-27,12,12,2,4,4,5,7,8,10,97,1011,15,1.5,0.0,9.0,4,85,2,Fayette County,Iowa
2020-03-28,14,14,6,7,7,4,9,10,13,97,1000,21,14.2,0.0,6.4,8,91,2,Fayette County,Iowa
2020-03-29,7,7,4,1,1,3,6,6,19,296,1002,26,4.3,0.0,6.4,4,85,2,Fayette County,Iowa
2020-03-30,12,12,1,3,3,6,6,7,10,241,1022,15,0.0,0.0,11.6,1,73,3,Fayette County,Iowa
2020-03-31,9,9,0,1,1,5,4,5,8,59,1020,12,0.0,0.0,11.6,0,76,2,Fayette County,Iowa
2020-04-01,11,11,-1,2,2,6,5,5,9,139,1018,13,0.2,0.0,9.0,1,78,2,Fayette County,Iowa
2020-04-02,15,15,4,7,7,6,9,10,13,154,1016,19,0.0,0.0,9.0,5,76,3,Fayette County,Iowa
2020-04-03,10,10,-4,0,0,3,4,4,12,326,1018,18,23.2,0.0,6.5,3,91,1,Fayette County,Iowa
2020-04-04,4,4,-7,-6,-6,6,-2,-1,8,239,1024,13,0.9,0.8,11.6,-5,81,2,Fayette County,Iowa
2020-04-05,12,12,-2,2,2,6,4,6,6,166,1021,10,0.0,0.0,11.6,-1,71,3,Fayette County,Iowa
2020-04-06,10,10,3,3,3,4,6,7,8,157,1014,14,2.0,0.0,6.5,5,85,2,Fayette County,Iowa
2020-04-07,22,22,10,14,14,3,15,16,8,253,1005,13,2.1,0.0,6.5,12,88,4,Fayette County,Iowa
2020-04-08,17,17,5,9,9,5,10,12,9,310,1008,14,10.4,0.0,9.1,6,76,3,Fayette County,Iowa
