date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,-3,2,2,6,6,7,11,192,1021,18,0.0,0.0,11.2,-1,66,3,Fayette County,Kentucky
2020-03-02,13,13,8,7,7,4,10,10,15,216,1011,25,22.2,0.0,5.6,8,89,3,Fayette County,Kentucky
2020-03-03,14,14,7,9,9,5,11,13,15,262,1006,24,11.5,0.0,5.6,8,82,3,Fayette County,Kentucky
2020-03-04,14,14,4,5,5,6,8,10,11,243,1015,17,0.2,0.0,10.1,2,68,3,Fayette County,Kentucky
2020-03-05,13,13,2,4,4,6,7,8,9,176,1018,15,0.0,0.0,11.3,2,72,3,Fayette County,Kentucky
2020-03-06,3,3,-1,-3,-3,2,2,2,16,306,1022,22,0.7,0.0,5.7,-2,75,1,Fayette County,Kentucky
2020-03-07,8,8,-3,-1,-1,5,1,3,5,59,1034,8,0.0,0.0,11.4,-5,66,2,Fayette County,Kentucky
2020-03-08,14,14,0,4,4,6,6,8,10,209,1031,16,0.0,0.0,10.2,0,65,2,Fayette County,Kentucky
2020-03-09,16,16,6,8,8,6,11,12,15,212,1027,25,0.0,0.0,8.8,5,68,3,Fayette County,Kentucky
2020-03-10,14,14,10,10,10,5,12,13,14,277,1020,22,8.7,0.0,5.9,10,87,3,Fayette County,Kentucky
2020-03-11,14,14,7,9,9,5,10,11,5,244,1018,7,0.0,0.0,8.8,7,84,3,Fayette County,Kentucky
2020-03-12,19,19,9,13,13,5,13,14,10,182,1011,16,11.4,0.0,6.0,11,87,3,Fayette County,Kentucky
2020-03-13,10,10,6,8,8,5,10,9,11,308,1021,16,8.4,0.0,8.8,5,73,2,Fayette County,Kentucky
2020-03-14,5,5,-2,0,0,5,3,4,11,74,1030,17,10.9,0.0,6.0,-1,74,1,Fayette County,Kentucky
2020-03-15,7,7,2,-1,-1,5,4,4,11,43,1031,16,0.7,0.0,6.0,1,86,1,Fayette County,Kentucky
2020-03-16,11,11,1,4,4,6,6,7,5,195,1026,9,0.9,0.0,7.4,3,86,2,Fayette County,Kentucky
2020-03-17,12,12,5,6,6,3,7,8,6,318,1024,9,2.0,0.0,6.0,5,87,2,Fayette County,Kentucky
2020-03-18,16,16,3,8,8,5,10,11,10,173,1022,17,34.8,0.0,6.0,9,93,3,Fayette County,Kentucky
2020-03-19,20,20,14,17,17,4,17,17,12,189,1019,20,4.5,0.0,6.0,16,93,4,Fayette County,Kentucky
2020-03-20,21,21,13,18,18,5,19,20,18,255,1018,27,22.0,0.0,6.1,14,84,4,Fayette County,Kentucky
2020-03-21,6,6,0,1,1,6,4,4,8,133,1030,11,0.1,0.0,6.1,0,74,1,Fayette County,Kentucky
2020-03-22,10,10,-1,1,1,5,4,5,9,86,1027,14,0.6,0.0,10.2,1,78,2,Fayette County,Kentucky
