date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,10,10,-5,-2,-2,6,2,3,10,186,1020,18,0.0,0.0,10.1,-3,72,2,Fayette County,Ohio
2020-03-02,10,10,7,6,6,5,9,9,13,215,1010,23,5.4,0.0,5.6,7,90,2,Fayette County,Ohio
2020-03-03,12,12,6,7,7,5,10,11,14,256,1004,21,5.9,0.0,7.1,7,82,3,Fayette County,Ohio
2020-03-04,11,11,2,2,2,6,6,8,13,259,1014,20,0.1,0.0,8.6,0,69,2,Fayette County,Ohio
2020-03-05,11,11,0,2,2,6,5,6,8,190,1018,13,0.0,0.0,5.7,-2,65,2,Fayette County,Ohio
2020-03-06,3,3,-1,-3,-3,4,2,2,15,310,1019,22,0.8,0.0,5.9,-1,83,1,Fayette County,Ohio
2020-03-07,7,7,-3,-2,-2,6,1,2,6,301,1034,10,0.0,0.0,11.6,-6,62,2,Fayette County,Ohio
2020-03-08,13,13,0,3,3,6,6,8,10,206,1030,17,0.0,0.0,11.6,0,65,3,Fayette County,Ohio
2020-03-09,15,15,7,8,8,6,11,12,16,216,1026,26,0.0,0.0,10.2,6,70,4,Fayette County,Ohio
2020-03-10,13,13,7,9,9,4,11,12,15,309,1019,21,26.3,0.0,5.9,9,84,3,Fayette County,Ohio
2020-03-11,12,12,6,7,7,6,8,10,5,235,1019,8,0.1,0.0,7.4,6,82,2,Fayette County,Ohio
2020-03-12,15,15,6,10,10,5,11,12,7,171,1011,12,6.8,0.0,6.0,8,81,3,Fayette County,Ohio
2020-03-13,9,9,4,6,6,5,8,8,13,290,1019,18,5.5,0.0,10.2,3,68,2,Fayette County,Ohio
2020-03-14,4,4,0,0,0,3,2,2,5,70,1032,8,7.9,6.3,6.0,-1,79,1,Fayette County,Ohio
2020-03-15,5,5,-2,-3,-3,6,1,1,9,48,1033,13,0.2,0.0,6.0,0,92,1,Fayette County,Ohio
2020-03-16,10,10,-1,3,3,6,5,6,6,169,1027,9,0.8,0.0,10.2,1,79,2,Fayette County,Ohio
2020-03-17,11,11,4,5,5,4,7,8,7,319,1024,9,1.4,0.0,8.8,3,80,2,Fayette County,Ohio
2020-03-18,9,9,1,3,3,4,5,6,6,113,1023,10,14.7,0.0,7.4,6,92,2,Fayette County,Ohio
2020-03-19,17,17,10,13,13,5,14,14,11,162,1018,17,6.2,0.0,6.0,13,93,3,Fayette County,Ohio
2020-03-20,20,20,9,16,16,5,17,18,20,277,1017,28,30.5,0.0,6.1,11,79,4,Fayette County,Ohio
2020-03-21,6,6,-1,-2,-2,6,2,3,10,134,1032,14,0.0,0.0,11.6,-3,68,2,Fayette County,Ohio
2020-03-22,7,7,-2,-1,-1,6,2,4,8,91,1030,12,0.1,0.0,8.8,-3,71,1,Fayette County,Ohio
2020-03-23,10,10,4,4,4,4,6,8,6,321,1020,9,2.9,0.0,6.1,4,85,2,Fayette County,Ohio
2020-03-24,12,12,2,4,4,5,6,8,8,84,1019,12,0.7,0.0,8.9,3,79,2,Fayette County,Ohio
2020-03-25,15,15,5,8,8,5,9,11,7,322,1014,10,5.4,0.0,11.6,5,74,4,Fayette County,Ohio
2020-03-26,17,17,7,11,11,6,12,13,8,215,1011,12,1.0,0.0,10.2,9,82,3,Fayette County,Ohio
2020-03-27,13,13,8,10,10,5,12,12,10,83,1012,13,8.0,0.0,6.1,11,94,3,Fayette County,Ohio
2020-03-28,22,22,13,18,18,4,19,20,12,229,1008,18,14.3,0.0,6.2,17,91,5,Fayette County,Ohio
2020-03-29,17,17,12,15,15,6,16,16,20,242,1009,29,2.4,0.0,11.6,11,74,5,Fayette County,Ohio
2020-03-30,11,11,6,5,5,6,8,9,15,292,1018,22,0.0,0.0,8.9,2,67,2,Fayette County,Ohio
2020-03-31,7,7,2,3,3,6,5,5,6,44,1015,8,0.2,0.0,7.5,1,79,2,Fayette County,Ohio
2020-04-01,9,9,4,3,3,6,6,7,9,239,1015,12,0.5,0.0,6.2,3,81,2,Fayette County,Ohio
2020-04-02,14,14,3,6,6,6,8,9,7,324,1020,11,0.0,0.0,11.6,3,74,3,Fayette County,Ohio
2020-04-03,17,17,6,10,10,6,11,13,5,336,1018,9,0.0,0.0,11.6,4,65,4,Fayette County,Ohio
2020-04-04,18,18,6,11,11,6,12,13,4,222,1017,7,0.0,0.0,10.3,6,70,4,Fayette County,Ohio
2020-04-05,13,13,9,10,10,4,11,11,6,15,1019,8,2.5,0.0,6.5,9,88,3,Fayette County,Ohio
2020-04-06,16,16,6,10,10,6,11,12,5,187,1019,7,0.1,0.0,9.0,7,76,3,Fayette County,Ohio
2020-04-07,23,23,12,17,17,6,18,19,12,244,1010,19,2.7,0.0,7.8,14,82,4,Fayette County,Ohio
2020-04-08,22,22,15,18,18,5,19,19,10,324,1004,17,14.1,0.0,10.3,14,79,4,Fayette County,Ohio
2020-04-09,10,10,2,4,4,5,8,9,18,290,1005,24,6.2,0.3,9.1,3,69,2,Fayette County,Ohio
2020-04-10,7,7,0,-1,-1,5,3,5,14,298,1014,19,1.1,0.8,9.1,-2,68,1,Fayette County,Ohio
2020-04-11,14,14,1,5,5,6,7,9,8,236,1017,13,0.0,0.0,11.6,1,68,3,Fayette County,Ohio
2020-04-12,15,15,6,8,8,4,11,12,11,190,1009,18,3.4,0.0,7.8,7,79,3,Fayette County,Ohio
2020-04-13,13,13,4,8,8,5,10,10,17,281,1006,24,4.4,0.0,8.0,7,79,3,Fayette County,Ohio
2020-04-14,7,7,1,0,0,6,3,5,7,277,1022,11,0.0,0.0,6.8,-5,57,1,Fayette County,Ohio
2020-04-15,9,9,-1,1,1,5,4,6,12,234,1019,16,1.2,0.4,10.4,-3,64,2,Fayette County,Ohio
2020-04-16,8,8,-3,-1,-1,6,3,5,9,273,1026,13,0.0,0.0,11.6,-4,63,2,Fayette County,Ohio
2020-04-17,10,10,1,2,2,5,6,7,12,209,1017,18,7.6,0.0,8.0,2,77,2,Fayette County,Ohio
2020-04-18,11,11,1,2,2,5,5,7,10,275,1016,15,3.1,4.5,11.6,1,74,3,Fayette County,Ohio
2020-04-19,9,9,-1,2,2,5,5,7,10,222,1012,16,3.0,0.0,9.2,4,84,2,Fayette County,Ohio
2020-04-20,14,14,4,7,7,6,9,10,8,210,1007,13,0.1,0.0,11.6,4,73,4,Fayette County,Ohio
2020-04-21,8,8,2,3,3,5,7,7,15,303,1010,22,0.7,0.0,11.6,0,63,3,Fayette County,Ohio
2020-04-22,15,15,0,6,6,6,7,9,6,222,1017,9,0.2,0.0,10.4,1,64,2,Fayette County,Ohio
