date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,3,3,-4,-3,-3,5,-1,0,4,244,1020,6,1.1,0.8,5.5,-5,79,1,Flathead County,Montana
2020-03-02,2,2,-3,-5,-5,2,-1,0,7,202,1015,9,3.1,2.6,7.1,-4,80,1,Flathead County,Montana
2020-03-03,7,7,-2,-1,-1,5,3,5,9,245,1011,13,3.0,1.6,10.1,0,81,1,Flathead County,Montana
2020-03-04,2,2,-2,-4,-4,4,1,1,12,270,1014,16,1.3,1.1,10.1,-5,70,1,Flathead County,Montana
2020-03-05,4,4,-7,-3,-3,6,-2,-1,2,149,1023,2,0.0,0.0,11.2,-6,75,2,Flathead County,Montana
2020-03-06,6,6,-3,0,0,5,1,2,2,239,1012,3,0.1,0.0,10.1,-1,90,1,Flathead County,Montana
2020-03-07,6,6,0,1,1,3,2,3,2,114,1008,4,2.5,0.6,5.6,1,93,1,Flathead County,Montana
2020-03-08,2,2,-8,-4,-4,5,-2,-2,3,227,1016,5,2.4,2.0,11.3,-5,85,1,Flathead County,Montana
2020-03-09,1,1,-7,-5,-5,5,-3,-2,3,278,1021,4,0.1,0.1,11.3,-8,76,1,Flathead County,Montana
2020-03-10,3,3,-8,-5,-5,5,-2,-1,5,217,1021,7,0.7,0.2,5.9,-6,79,1,Flathead County,Montana
2020-03-11,6,6,-2,-2,-2,6,2,3,8,256,1012,12,1.2,0.0,8.8,-3,76,1,Flathead County,Montana
2020-03-12,3,3,-7,-4,-4,5,-2,-1,3,279,1023,5,0.2,0.1,8.8,-8,68,1,Flathead County,Montana
2020-03-13,-5,-5,-12,-13,-13,5,-8,-7,9,38,1026,11,1.0,0.9,5.9,-12,69,1,Flathead County,Montana
2020-03-14,-13,-13,-18,-23,-23,3,-16,-16,10,17,1037,11,4.5,3.8,7.4,-19,79,1,Flathead County,Montana
2020-03-15,-5,-5,-21,-18,-18,6,-14,-13,4,187,1037,5,0.0,0.0,11.6,-17,77,2,Flathead County,Montana
2020-03-16,2,2,-13,-7,-7,6,-5,-4,2,149,1029,3,0.0,0.0,11.6,-11,70,2,Flathead County,Montana
2020-03-17,5,5,-9,-4,-4,6,-2,-1,4,8,1018,5,0.0,0.0,11.6,-7,74,2,Flathead County,Montana
2020-03-18,3,3,-8,-5,-5,6,-2,-2,3,203,1018,5,0.0,0.0,11.6,-7,76,2,Flathead County,Montana
2020-03-19,2,2,-9,-6,-6,6,-3,-2,5,31,1026,8,0.0,0.0,10.2,-8,72,1,Flathead County,Montana
2020-03-20,4,4,-8,-4,-4,6,-2,-1,2,280,1027,4,0.0,0.0,11.6,-7,75,2,Flathead County,Montana
2020-03-21,6,6,-3,1,1,4,2,3,2,244,1021,2,1.7,1.1,7.5,-1,89,1,Flathead County,Montana
2020-03-22,4,4,-8,-3,-3,4,-1,-1,3,158,1018,5,0.8,0.5,8.9,-4,85,1,Flathead County,Montana
2020-03-23,6,6,-4,0,0,6,1,2,4,158,1007,6,0.5,0.0,6.1,-2,84,1,Flathead County,Montana
2020-03-24,4,4,-6,-3,-3,4,-1,0,3,224,1013,5,5.1,4.3,6.1,-4,83,1,Flathead County,Montana
2020-03-25,4,4,-6,-2,-2,5,-1,0,2,272,1012,3,1.2,0.3,10.2,-5,79,1,Flathead County,Montana
2020-03-26,3,3,-8,-4,-4,5,-3,-2,4,230,1011,6,0.3,0.3,8.9,-6,79,1,Flathead County,Montana
2020-03-27,5,5,-5,-1,-1,4,1,2,4,205,1012,5,0.9,0.5,9.0,-4,79,1,Flathead County,Montana
2020-03-28,5,5,-3,-1,-1,4,1,2,4,197,1014,6,2.4,1.0,6.4,-1,86,1,Flathead County,Montana
2020-03-29,7,7,-2,0,0,4,2,3,4,204,1012,5,3.0,1.3,7.7,0,85,1,Flathead County,Montana
2020-03-30,7,7,-2,0,0,4,2,4,5,172,1010,6,6.0,2.1,6.4,0,89,1,Flathead County,Montana
2020-03-31,4,4,-5,-1,-1,3,1,1,4,136,1014,6,13.8,9.4,6.5,-3,89,1,Flathead County,Montana
2020-04-01,-3,-3,-11,-11,-11,4,-7,-7,6,38,1024,7,4.7,4.0,9.0,-10,77,1,Flathead County,Montana
2020-04-02,0,0,-11,-9,-9,5,-6,-5,3,82,1026,4,0.8,0.7,7.8,-13,62,1,Flathead County,Montana
2020-04-03,4,4,-7,-5,-5,4,-2,0,6,219,1017,9,3.8,2.3,7.8,-7,75,1,Flathead County,Montana
2020-04-04,4,4,-6,-1,-1,6,0,0,3,166,1013,4,0.5,0.0,7.8,-6,72,1,Flathead County,Montana
2020-04-05,5,5,-6,-2,-2,5,0,1,3,125,1005,5,3.9,3.1,6.5,-3,81,1,Flathead County,Montana
2020-04-06,9,9,-1,2,2,5,4,5,6,244,1005,8,2.2,1.2,7.8,0,81,2,Flathead County,Montana
2020-04-07,9,9,-2,2,2,6,4,6,8,224,1012,11,0.4,0.0,6.6,0,77,2,Flathead County,Montana
2020-04-08,9,9,-6,1,1,6,3,4,3,76,1025,5,0.0,0.0,11.6,-4,69,2,Flathead County,Montana
2020-04-09,13,13,-3,5,5,6,5,7,2,227,1019,4,0.0,0.0,11.6,-1,70,3,Flathead County,Montana
2020-04-10,11,11,1,6,6,6,6,8,2,156,1012,4,1.1,0.0,8.0,2,80,2,Flathead County,Montana
2020-04-11,1,1,-5,-4,-4,5,0,0,9,42,1020,11,1.7,1.4,8.0,-5,70,1,Flathead County,Montana
2020-04-12,4,4,-10,-4,-4,6,-2,-1,2,198,1030,4,0.0,0.0,11.6,-13,50,2,Flathead County,Montana
