date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,11,11,-1,3,3,6,5,6,5,229,1025,8,0.0,0.0,11.6,-4,52,2,Forsyth County,North Carolina
2020-03-02,15,15,4,7,7,6,9,11,11,217,1018,17,0.0,0.0,8.7,3,68,3,Forsyth County,North Carolina
2020-03-03,16,16,6,10,10,4,12,13,10,226,1010,16,16.3,0.0,5.9,11,92,3,Forsyth County,North Carolina
2020-03-04,15,15,7,10,10,6,11,12,6,255,1015,10,0.0,0.0,11.6,3,62,4,Forsyth County,North Carolina
2020-03-05,12,12,8,8,8,4,9,10,5,105,1019,7,1.2,0.0,7.3,5,75,3,Forsyth County,North Carolina
2020-03-06,10,10,3,4,4,5,7,9,12,300,1015,16,0.4,0.0,8.7,0,65,2,Forsyth County,North Carolina
2020-03-07,11,11,0,2,2,6,5,7,9,344,1029,13,0.0,0.0,11.6,-4,52,3,Forsyth County,North Carolina
2020-03-08,14,14,3,8,8,6,9,10,5,216,1034,7,0.0,0.0,11.6,-1,53,3,Forsyth County,North Carolina
2020-03-09,17,17,4,8,8,6,10,12,9,224,1032,14,0.0,0.0,11.6,4,67,4,Forsyth County,North Carolina
2020-03-10,18,18,12,13,13,6,14,15,12,225,1024,18,1.4,0.0,5.9,11,81,4,Forsyth County,North Carolina
2020-03-11,21,21,10,15,15,4,16,17,4,221,1018,6,1.4,0.0,7.4,11,79,4,Forsyth County,North Carolina
2020-03-12,20,20,10,15,15,5,15,15,5,134,1015,8,1.2,0.0,8.8,11,81,4,Forsyth County,North Carolina
2020-03-13,21,21,14,18,18,6,18,20,10,295,1017,16,4.0,0.0,10.2,11,68,5,Forsyth County,North Carolina
2020-03-14,15,15,7,10,10,6,11,12,5,94,1028,7,0.0,0.0,8.8,2,54,3,Forsyth County,North Carolina
2020-03-15,13,13,7,8,8,5,10,11,8,52,1027,11,0.2,0.0,6.0,6,77,3,Forsyth County,North Carolina
2020-03-16,12,12,6,7,7,5,9,10,5,117,1029,7,0.4,0.0,6.0,4,73,2,Forsyth County,North Carolina
2020-03-17,13,13,8,9,9,4,10,11,5,234,1024,7,4.7,0.0,6.0,9,89,3,Forsyth County,North Carolina
2020-03-18,16,16,9,11,11,6,12,12,6,93,1027,10,0.1,0.0,6.0,9,84,3,Forsyth County,North Carolina
2020-03-19,23,23,15,18,18,4,19,19,8,223,1023,12,1.7,0.0,7.4,16,87,4,Forsyth County,North Carolina
2020-03-20,26,26,17,21,22,5,22,23,12,233,1021,18,7.1,0.0,10.2,15,76,5,Forsyth County,North Carolina
2020-03-21,17,17,12,15,15,5,15,16,6,60,1023,8,7.3,0.0,6.1,12,82,4,Forsyth County,North Carolina
2020-03-22,11,11,7,7,7,6,10,10,8,78,1029,11,0.2,0.0,8.8,5,70,2,Forsyth County,North Carolina
2020-03-23,11,11,6,7,7,4,8,8,5,171,1023,7,20.2,0.0,6.1,7,93,2,Forsyth County,North Carolina
2020-03-24,16,16,8,11,11,4,11,13,5,97,1018,8,6.7,0.0,6.1,9,86,3,Forsyth County,North Carolina
2020-03-25,17,17,9,12,12,5,12,14,6,126,1011,9,19.4,0.0,7.5,10,85,3,Forsyth County,North Carolina
2020-03-26,17,17,6,10,10,5,11,12,6,210,1018,9,0.0,0.0,8.9,7,80,3,Forsyth County,North Carolina
2020-03-27,25,25,12,18,18,5,19,20,7,230,1013,11,0.3,0.0,11.6,15,81,6,Forsyth County,North Carolina
2020-03-28,26,26,17,20,20,4,21,22,5,199,1013,7,0.0,0.0,8.9,18,85,5,Forsyth County,North Carolina
2020-03-29,27,27,19,23,24,6,24,24,11,236,1014,17,0.4,0.0,10.2,15,67,5,Forsyth County,North Carolina
2020-03-30,21,21,14,17,17,6,18,18,8,274,1017,13,0.0,0.0,11.6,6,49,5,Forsyth County,North Carolina
2020-03-31,12,12,7,8,8,5,10,10,8,71,1011,11,21.9,0.0,6.2,6,77,2,Forsyth County,North Carolina
2020-04-01,13,13,7,6,6,4,8,10,7,349,1011,11,4.2,0.0,6.2,4,76,2,Forsyth County,North Carolina
2020-04-02,15,15,5,8,8,6,10,12,9,333,1017,14,0.0,0.0,11.6,2,61,4,Forsyth County,North Carolina
2020-04-03,19,19,7,11,11,6,13,15,9,323,1015,14,0.0,0.0,11.6,2,52,4,Forsyth County,North Carolina
2020-04-04,21,21,10,15,15,6,16,17,6,129,1016,10,0.0,0.0,11.6,4,53,5,Forsyth County,North Carolina
2020-04-05,20,20,8,14,14,6,14,16,4,224,1019,6,4.1,0.0,10.3,10,77,4,Forsyth County,North Carolina
2020-04-06,24,24,13,18,18,5,19,21,4,270,1017,6,2.2,0.0,10.3,12,72,5,Forsyth County,North Carolina
2020-04-07,25,25,14,19,19,6,19,21,6,228,1013,10,1.0,0.0,11.6,14,72,6,Forsyth County,North Carolina
2020-04-08,26,26,16,21,21,6,21,23,7,258,1006,11,0.0,0.0,11.6,14,69,6,Forsyth County,North Carolina
2020-04-09,23,23,13,17,17,6,18,20,11,285,1002,15,2.2,0.0,10.3,8,58,5,Forsyth County,North Carolina
2020-04-10,12,12,6,6,6,6,9,10,11,311,1012,15,0.1,0.0,10.3,-2,48,3,Forsyth County,North Carolina
2020-04-11,17,17,4,10,10,6,10,13,6,239,1019,8,0.0,0.0,11.6,1,53,4,Forsyth County,North Carolina
2020-04-12,17,17,9,13,13,5,14,15,11,189,1017,17,6.6,0.0,7.8,11,81,3,Forsyth County,North Carolina
2020-04-13,22,22,17,20,20,5,22,21,16,259,1008,24,23.9,0.0,9.1,14,72,5,Forsyth County,North Carolina
2020-04-14,16,16,9,11,11,6,12,13,7,73,1017,9,0.2,0.0,9.1,6,65,3,Forsyth County,North Carolina
2020-04-15,15,15,5,7,7,6,9,10,8,117,1018,10,0.2,0.0,11.6,-1,51,3,Forsyth County,North Carolina
2020-04-16,17,17,6,10,10,6,10,12,5,313,1024,7,0.0,0.0,11.6,-1,47,4,Forsyth County,North Carolina
2020-04-17,19,19,6,12,12,6,13,15,9,203,1022,13,0.0,0.0,11.6,4,56,4,Forsyth County,North Carolina
2020-04-18,16,16,10,12,12,5,13,14,11,322,1013,16,0.7,0.0,11.6,4,55,4,Forsyth County,North Carolina
2020-04-19,19,19,6,12,12,6,13,15,5,202,1013,7,0.1,0.0,11.6,5,61,5,Forsyth County,North Carolina
2020-04-20,20,20,10,13,13,5,14,14,5,109,1005,8,25.4,0.0,9.1,9,76,3,Forsyth County,North Carolina
2020-04-21,20,20,9,14,14,6,15,17,11,270,1009,17,0.3,0.0,10.4,7,63,4,Forsyth County,North Carolina
2020-04-22,19,19,6,11,11,6,12,15,7,262,1018,10,0.0,0.0,11.6,2,51,4,Forsyth County,North Carolina
2020-04-23,14,14,10,11,11,4,13,13,8,178,1013,13,7.1,0.0,6.8,11,86,3,Forsyth County,North Carolina
2020-04-24,24,24,16,19,19,6,20,20,11,283,1006,15,4.3,0.0,8.0,13,74,5,Forsyth County,North Carolina
2020-04-25,16,16,12,13,13,5,13,14,6,70,1013,9,4.4,0.0,6.9,11,85,3,Forsyth County,North Carolina
2020-04-26,19,19,12,15,15,4,16,17,10,263,1009,13,6.2,0.0,9.2,9,72,4,Forsyth County,North Carolina
2020-04-27,19,19,9,12,12,6,13,15,10,332,1018,14,0.0,0.0,11.6,3,54,4,Forsyth County,North Carolina
2020-04-28,23,23,8,15,15,6,16,18,5,210,1020,8,0.0,0.0,11.6,7,60,5,Forsyth County,North Carolina
2020-04-29,22,22,13,17,17,5,18,20,13,188,1013,20,7.7,0.0,9.2,13,75,4,Forsyth County,North Carolina
2020-04-30,19,19,11,13,13,3,14,15,6,242,1007,9,98.1,0.0,8.1,10,81,4,Forsyth County,North Carolina
2020-05-01,16,16,9,11,11,4,12,13,9,311,1013,12,1.1,0.0,8.1,6,69,3,Forsyth County,North Carolina
2020-05-02,22,22,9,15,15,6,16,18,7,236,1020,11,0.0,0.0,11.6,9,66,5,Forsyth County,North Carolina
2020-05-03,27,27,13,20,21,6,21,23,8,234,1013,14,0.0,0.0,11.6,14,69,6,Forsyth County,North Carolina
2020-05-04,24,24,16,20,20,6,22,21,9,321,1012,14,0.2,0.0,11.6,10,56,6,Forsyth County,North Carolina
2020-05-05,13,13,12,12,12,5,13,13,7,58,1012,10,2.9,0.0,6.9,9,77,3,Forsyth County,North Carolina
2020-05-06,16,16,7,11,11,6,12,14,9,312,1011,13,1.6,0.0,8.1,6,68,3,Forsyth County,North Carolina
2020-05-07,18,18,5,11,11,6,12,14,7,300,1016,11,0.0,0.0,11.6,2,52,4,Forsyth County,North Carolina
2020-05-08,19,19,8,11,11,6,12,15,11,224,1013,15,3.9,0.0,10.4,6,70,3,Forsyth County,North Carolina
2020-05-09,14,14,3,6,6,6,8,11,8,298,1021,11,1.0,0.0,11.6,-2,53,4,Forsyth County,North Carolina
2020-05-10,18,18,4,11,11,6,11,14,6,204,1022,9,0.0,0.0,11.6,2,55,4,Forsyth County,North Carolina
2020-05-11,15,15,7,10,10,6,11,13,10,308,1019,15,0.0,0.0,11.6,1,53,4,Forsyth County,North Carolina
2020-05-12,17,17,4,9,9,6,10,13,6,261,1024,9,0.0,0.0,11.6,2,58,4,Forsyth County,North Carolina
2020-05-13,17,17,8,11,11,5,11,12,3,75,1027,4,1.2,0.0,7.0,5,66,3,Forsyth County,North Carolina
2020-05-14,24,24,11,17,17,4,17,19,7,222,1024,10,0.6,0.0,10.5,13,80,4,Forsyth County,North Carolina
2020-05-15,24,24,14,19,19,6,20,21,10,221,1021,15,0.0,0.0,11.6,15,76,5,Forsyth County,North Carolina
2020-05-16,27,27,15,21,21,5,21,23,7,216,1018,11,0.0,0.0,11.6,15,74,6,Forsyth County,North Carolina
2020-05-17,29,29,16,22,23,6,23,25,7,220,1016,11,0.3,0.0,11.6,16,71,5,Forsyth County,North Carolina
2020-05-18,24,24,16,19,19,5,20,21,8,64,1013,12,3.5,0.0,7.1,17,84,5,Forsyth County,North Carolina
2020-05-19,17,17,12,13,13,3,15,15,14,63,1012,20,73.9,0.0,7.1,14,96,3,Forsyth County,North Carolina
2020-05-20,11,11,5,7,7,4,10,10,16,56,1018,24,40.9,0.0,7.1,10,95,3,Forsyth County,North Carolina
2020-05-21,17,17,13,14,14,4,16,16,12,61,1017,19,44.0,0.0,7.1,15,97,4,Forsyth County,North Carolina
2020-05-22,25,25,16,20,21,4,21,22,5,239,1018,7,3.2,0.0,10.5,17,83,5,Forsyth County,North Carolina
2020-05-23,28,28,16,22,23,5,23,25,4,253,1017,6,5.5,0.0,9.3,18,80,5,Forsyth County,North Carolina
2020-05-24,28,28,19,23,24,5,24,25,4,119,1019,6,19.9,0.0,7.1,20,82,6,Forsyth County,North Carolina
2020-05-25,23,23,19,20,20,3,20,20,6,80,1020,9,6.5,0.0,7.1,18,91,5,Forsyth County,North Carolina
2020-05-26,24,24,19,21,22,6,22,22,6,88,1021,9,0.5,0.0,8.2,18,83,5,Forsyth County,North Carolina
2020-05-27,20,20,14,18,18,4,18,19,10,47,1018,15,52.0,0.0,7.1,18,94,4,Forsyth County,North Carolina
2020-05-28,27,27,18,22,24,4,24,24,6,199,1016,9,11.9,0.0,7.1,20,86,5,Forsyth County,North Carolina
2020-05-29,28,28,20,23,24,4,24,25,6,193,1016,10,7.2,0.0,7.1,20,84,6,Forsyth County,North Carolina
2020-05-30,28,28,18,23,25,5,25,26,5,335,1015,9,0.5,0.0,9.4,16,69,6,Forsyth County,North Carolina
2020-05-31,24,24,17,20,20,6,21,22,6,63,1019,9,0.2,0.0,11.6,13,65,6,Forsyth County,North Carolina
2020-06-01,25,25,12,17,17,6,18,20,6,104,1024,9,0.1,0.0,11.6,9,56,6,Forsyth County,North Carolina
2020-06-02,28,28,14,21,22,6,22,23,9,229,1020,13,0.0,0.0,11.6,15,69,6,Forsyth County,North Carolina
2020-06-03,31,31,19,25,26,6,26,27,8,232,1014,13,0.1,0.0,11.6,19,73,7,Forsyth County,North Carolina
2020-06-04,30,30,21,25,27,5,27,27,7,192,1014,11,8.9,0.0,9.4,20,76,6,Forsyth County,North Carolina
2020-06-05,28,28,20,23,25,5,25,25,6,225,1013,9,5.7,0.0,7.2,20,81,5,Forsyth County,North Carolina
2020-06-06,32,32,19,25,27,6,27,28,6,339,1013,10,1.4,0.0,11.6,18,68,7,Forsyth County,North Carolina
2020-06-07,32,32,20,26,28,6,28,29,4,45,1014,7,0.0,0.0,11.6,18,66,7,Forsyth County,North Carolina
2020-06-08,30,30,18,24,25,6,25,26,6,109,1015,9,2.4,0.0,8.3,19,77,6,Forsyth County,North Carolina
2020-06-09,30,30,21,25,27,4,27,27,5,168,1015,8,4.0,0.0,8.3,21,82,6,Forsyth County,North Carolina
2020-06-10,31,31,22,25,28,5,28,28,9,199,1014,14,8.8,0.0,10.5,21,80,6,Forsyth County,North Carolina
2020-06-11,31,31,22,26,29,5,29,27,5,127,1018,9,16.4,0.0,7.2,20,77,6,Forsyth County,North Carolina
2020-06-12,28,28,20,23,23,6,23,25,6,41,1021,9,0.0,0.0,11.6,13,54,7,Forsyth County,North Carolina
2020-06-13,27,27,17,21,22,6,22,23,7,68,1021,12,0.0,0.0,11.6,12,55,6,Forsyth County,North Carolina
2020-06-14,26,26,14,20,22,5,22,22,7,90,1023,11,2.4,0.0,9.4,14,73,5,Forsyth County,North Carolina
2020-06-15,17,17,9,14,14,2,15,16,10,45,1025,14,3.8,0.0,7.2,13,85,4,Forsyth County,North Carolina
2020-06-16,14,14,9,11,11,4,14,14,14,31,1024,20,8.3,0.0,7.2,12,91,3,Forsyth County,North Carolina
2020-06-17,19,19,14,16,16,4,16,16,7,236,1018,11,48.4,0.0,7.2,15,96,4,Forsyth County,North Carolina
2020-06-18,23,23,15,19,19,5,19,20,5,189,1018,8,4.5,0.0,7.2,17,87,5,Forsyth County,North Carolina
2020-06-19,27,27,16,22,23,4,23,24,4,205,1018,6,10.6,0.0,8.3,18,80,5,Forsyth County,North Carolina
2020-06-20,30,30,18,24,24,5,24,26,3,322,1016,5,3.4,0.0,11.6,17,69,7,Forsyth County,North Carolina
2020-06-21,32,32,18,25,26,6,26,28,3,170,1015,5,1.0,0.0,11.6,18,68,7,Forsyth County,North Carolina
2020-06-22,31,31,20,25,27,5,27,27,6,229,1014,9,5.9,0.0,10.5,19,72,7,Forsyth County,North Carolina
