date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,21,21,15,17,17,6,18,19,12,179,1016,21,0.5,0.0,5.9,15,85,4,Fort Bend County,Texas
2020-03-02,24,24,17,20,20,6,21,21,9,194,1012,15,0.2,0.0,5.9,18,88,5,Fort Bend County,Texas
2020-03-03,25,25,18,21,22,4,22,22,7,81,1009,11,0.8,0.0,7.3,19,87,5,Fort Bend County,Texas
2020-03-04,26,26,20,23,24,4,24,24,8,226,1008,12,4.3,0.0,7.3,19,86,5,Fort Bend County,Texas
2020-03-05,20,20,13,14,14,6,15,15,13,352,1021,18,0.0,0.0,8.8,10,72,4,Fort Bend County,Texas
2020-03-06,21,21,12,15,15,6,16,16,8,48,1030,13,0.0,0.0,10.2,4,50,4,Fort Bend County,Texas
2020-03-07,17,17,10,12,12,6,13,14,8,103,1029,14,0.0,0.0,11.6,7,65,4,Fort Bend County,Texas
2020-03-08,20,20,11,15,15,6,15,17,11,135,1025,17,0.3,0.0,7.4,12,81,4,Fort Bend County,Texas
2020-03-09,21,21,15,19,19,6,19,19,11,178,1023,18,0.2,0.0,7.4,16,85,4,Fort Bend County,Texas
2020-03-10,25,25,17,20,20,4,21,22,4,198,1023,7,10.0,0.0,7.4,18,86,5,Fort Bend County,Texas
2020-03-11,26,26,17,20,21,5,21,22,8,194,1019,12,0.0,0.0,11.6,18,85,5,Fort Bend County,Texas
2020-03-12,26,26,18,21,22,4,22,23,10,190,1014,15,0.0,0.0,11.6,18,87,6,Fort Bend County,Texas
2020-03-13,24,24,19,21,21,4,22,22,9,156,1016,13,0.4,0.0,6.0,19,90,5,Fort Bend County,Texas
2020-03-14,25,25,21,22,24,6,24,23,10,165,1020,15,0.2,0.0,7.4,20,87,5,Fort Bend County,Texas
2020-03-15,26,26,20,22,23,4,23,24,7,109,1022,11,3.1,0.0,7.4,20,86,5,Fort Bend County,Texas
2020-03-16,24,24,18,20,20,3,21,22,8,131,1021,11,1.1,0.0,6.0,18,88,5,Fort Bend County,Texas
2020-03-17,27,27,19,22,23,4,23,24,9,135,1019,13,1.1,0.0,10.2,19,84,5,Fort Bend County,Texas
2020-03-18,26,26,19,22,23,4,23,23,11,178,1017,16,0.1,0.0,7.4,20,88,5,Fort Bend County,Texas
2020-03-19,27,27,21,23,26,5,26,24,12,169,1016,17,0.4,0.0,6.0,21,86,5,Fort Bend County,Texas
2020-03-20,27,27,19,23,25,4,25,24,7,179,1021,10,8.6,0.0,6.0,20,88,5,Fort Bend County,Texas
