date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,7,11,11,5,12,13,5,148,1012,9,7.3,0.0,5.8,10,87,3,Franklin County,Arkansas
2020-03-02,21,21,13,16,16,4,16,17,4,177,1008,7,7.3,0.0,7.3,13,85,4,Franklin County,Arkansas
2020-03-03,19,19,8,12,12,5,13,14,4,252,1012,6,0.0,0.0,5.9,7,71,3,Franklin County,Arkansas
2020-03-04,16,16,8,12,12,6,12,14,2,137,1016,4,0.1,0.0,10.2,6,65,3,Franklin County,Arkansas
2020-03-05,19,19,6,12,12,6,13,14,5,292,1022,9,0.0,0.0,11.6,2,54,4,Franklin County,Arkansas
2020-03-06,16,16,3,9,9,6,10,10,4,359,1032,8,0.0,0.0,11.6,-3,45,4,Franklin County,Arkansas
2020-03-07,16,16,4,8,8,6,9,10,6,129,1031,10,0.0,0.0,10.2,1,61,3,Franklin County,Arkansas
2020-03-08,18,18,4,9,9,6,11,12,7,155,1026,12,0.0,0.0,11.6,4,68,4,Franklin County,Arkansas
2020-03-09,16,16,10,12,12,5,13,14,8,173,1019,13,23.9,0.0,5.9,12,91,3,Franklin County,Arkansas
2020-03-10,18,18,5,11,11,6,12,12,4,247,1024,7,0.8,0.0,11.6,7,78,4,Franklin County,Arkansas
2020-03-11,18,18,10,13,13,4,13,14,4,88,1015,7,9.7,0.0,5.9,12,92,3,Franklin County,Arkansas
2020-03-12,26,26,15,20,20,5,21,21,7,209,1009,11,5.2,0.0,6.0,16,85,5,Franklin County,Arkansas
2020-03-13,11,11,2,8,8,4,10,11,9,85,1022,13,10.8,0.0,7.4,6,76,3,Franklin County,Arkansas
2020-03-14,9,9,6,5,5,3,7,8,8,79,1024,12,54.5,0.0,6.0,7,95,2,Franklin County,Arkansas
