date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,20,20,9,13,13,6,14,16,10,183,1020,16,0.0,0.0,11.6,8,69,5,Franklin County,Mississippi
2020-03-02,23,23,15,18,18,6,19,19,11,216,1013,17,3.2,0.0,5.9,16,89,4,Franklin County,Mississippi
2020-03-03,23,23,19,20,20,4,21,21,7,271,1011,12,8.5,0.0,5.9,19,91,5,Franklin County,Mississippi
2020-03-04,17,17,12,14,14,4,15,15,12,45,1013,20,46.4,0.0,5.9,14,92,4,Franklin County,Mississippi
2020-03-05,17,17,11,12,12,4,13,14,9,120,1018,13,11.2,0.0,8.8,11,86,3,Franklin County,Mississippi
2020-03-06,14,14,7,9,9,6,11,11,8,244,1029,13,0.0,0.0,11.6,5,68,4,Franklin County,Mississippi
2020-03-07,16,16,4,8,8,6,9,10,5,80,1031,9,0.0,0.0,11.6,3,67,4,Franklin County,Mississippi
2020-03-08,20,20,6,11,11,6,12,14,7,162,1029,11,0.0,0.0,11.6,7,71,4,Franklin County,Mississippi
2020-03-09,22,22,12,16,16,5,17,18,10,165,1026,16,3.5,0.0,5.9,14,86,4,Franklin County,Mississippi
2020-03-10,24,24,16,19,19,5,19,20,5,209,1024,8,8.3,0.0,6.0,17,90,5,Franklin County,Mississippi
2020-03-11,24,24,16,19,19,4,20,21,8,225,1019,12,0.3,0.0,11.6,17,86,6,Franklin County,Mississippi
2020-03-12,26,26,16,20,20,4,20,21,9,209,1014,13,0.0,0.0,10.2,17,84,5,Franklin County,Mississippi
2020-03-13,25,25,17,20,20,4,21,21,5,245,1019,9,1.2,0.0,6.0,18,88,5,Franklin County,Mississippi
2020-03-14,26,26,17,21,21,4,21,22,5,184,1022,8,0.3,0.0,10.2,18,86,5,Franklin County,Mississippi
2020-03-15,22,22,14,19,19,4,20,20,6,114,1025,8,0.2,0.0,8.8,17,89,5,Franklin County,Mississippi
2020-03-16,26,26,14,18,18,6,19,19,5,130,1023,7,2.7,0.0,6.0,15,85,4,Franklin County,Mississippi
2020-03-17,26,26,16,20,20,3,21,22,3,35,1021,5,9.4,0.0,6.0,18,87,5,Franklin County,Mississippi
2020-03-18,25,25,17,21,22,4,22,22,7,181,1020,12,2.5,0.0,8.8,19,88,5,Franklin County,Mississippi
2020-03-19,27,27,19,23,24,5,24,24,9,188,1019,13,0.5,0.0,8.8,20,84,5,Franklin County,Mississippi
2020-03-20,22,22,15,19,19,3,20,21,7,153,1022,11,19.2,0.0,6.0,19,94,5,Franklin County,Mississippi
2020-03-21,18,18,13,15,15,5,15,15,6,25,1026,9,2.7,0.0,7.4,13,89,4,Franklin County,Mississippi
2020-03-22,22,22,12,16,16,4,17,18,5,168,1022,8,48.5,0.0,6.1,15,92,4,Franklin County,Mississippi
2020-03-23,27,27,19,21,22,3,22,23,6,228,1019,10,1.9,0.0,6.1,19,87,5,Franklin County,Mississippi
2020-03-24,25,25,18,21,21,4,22,22,9,207,1014,15,0.7,0.0,6.1,19,88,5,Franklin County,Mississippi
2020-03-25,25,25,18,20,20,4,21,22,5,230,1013,7,0.4,0.0,10.2,18,86,5,Franklin County,Mississippi
2020-03-26,29,29,16,22,23,4,23,24,7,198,1013,11,0.0,0.0,11.6,18,80,6,Franklin County,Mississippi
2020-03-27,28,28,19,23,24,6,24,24,8,194,1012,13,0.0,0.0,10.3,20,83,5,Franklin County,Mississippi
2020-03-28,29,29,20,24,25,6,25,25,10,196,1012,15,0.5,0.0,10.3,20,82,6,Franklin County,Mississippi
2020-03-29,24,24,14,19,19,5,20,20,5,28,1019,8,8.3,0.0,10.3,13,73,5,Franklin County,Mississippi
2020-03-30,22,22,15,18,18,6,18,19,7,77,1019,11,0.0,0.0,6.3,11,63,4,Franklin County,Mississippi
2020-03-31,20,20,10,16,16,5,17,18,10,328,1012,15,4.8,0.0,6.4,14,86,4,Franklin County,Mississippi
2020-04-01,22,22,8,15,15,6,16,17,3,229,1017,5,0.0,0.0,11.6,9,73,5,Franklin County,Mississippi
2020-04-02,23,23,11,16,16,6,17,18,4,138,1017,7,0.0,0.0,11.6,11,72,4,Franklin County,Mississippi
2020-04-03,23,23,14,18,18,6,19,20,4,110,1016,7,0.0,0.0,11.6,13,74,5,Franklin County,Mississippi
2020-04-04,22,22,15,18,18,6,18,19,4,29,1016,7,0.0,0.0,10.3,14,79,5,Franklin County,Mississippi
