date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,-7,-7,-14,-14,-14,4,-11,-10,4,307,1019,7,1.1,1.4,5.6,-12,86,1,Franklin County,Vermont
2020-03-02,2,2,-10,-7,-7,4,-2,-1,12,171,1011,20,4.5,0.1,5.6,-3,88,1,Franklin County,Vermont
2020-03-03,4,4,-1,1,1,0,2,2,3,110,1003,7,0.7,0.0,5.6,2,97,1,Franklin County,Vermont
2020-03-04,3,3,-2,-3,-3,4,1,2,12,277,999,19,2.6,1.4,7.1,-2,81,1,Franklin County,Vermont
2020-03-05,1,1,-4,-4,-4,5,-1,0,5,319,1016,8,0.1,0.0,10.1,-3,88,1,Franklin County,Vermont
2020-03-06,3,3,-3,-4,-4,5,-1,1,8,13,1018,12,0.6,0.3,5.6,-2,89,1,Franklin County,Vermont
2020-03-07,-4,-4,-10,-12,-12,5,-6,-6,9,345,1026,13,0.2,0.2,11.3,-10,79,2,Franklin County,Vermont
2020-03-08,3,3,-5,-4,-4,6,-1,0,7,210,1025,11,0.0,0.0,11.3,-4,80,1,Franklin County,Vermont
2020-03-09,8,8,1,1,1,5,4,6,8,195,1021,15,0.7,0.0,11.4,2,83,2,Franklin County,Vermont
2020-03-10,9,9,4,4,4,4,7,8,11,181,1013,21,12.1,1.9,5.7,5,92,2,Franklin County,Vermont
2020-03-11,-1,-1,-5,-6,-6,5,-3,-3,6,239,1022,8,0.8,0.7,7.2,-7,75,1,Franklin County,Vermont
2020-03-12,6,6,-3,-1,-1,6,1,3,5,162,1021,8,0.0,0.0,7.2,-2,80,1,Franklin County,Vermont
2020-03-13,7,7,1,0,0,5,4,6,14,213,1008,25,9.9,0.0,7.2,1,79,2,Franklin County,Vermont
2020-03-14,2,2,-2,-5,-5,6,0,1,12,293,1021,18,0.0,0.0,10.1,-5,71,1,Franklin County,Vermont
2020-03-15,-3,-3,-8,-10,-10,6,-5,-5,8,121,1036,10,0.0,0.0,11.6,-11,65,2,Franklin County,Vermont
2020-03-16,2,2,-8,-6,-6,6,-3,-2,5,197,1034,9,0.0,0.0,8.8,-11,57,1,Franklin County,Vermont
2020-03-17,4,4,-1,-3,-3,4,2,3,14,220,1019,22,2.4,1.4,7.4,-2,76,1,Franklin County,Vermont
2020-03-18,4,4,-3,-2,-2,5,1,1,4,285,1030,7,0.2,0.2,11.6,-5,68,2,Franklin County,Vermont
2020-03-19,8,8,0,1,1,6,4,5,5,162,1026,9,0.0,0.0,6.2,0,78,1,Franklin County,Vermont
2020-03-20,15,15,3,7,7,3,10,12,16,205,1007,27,10.5,0.0,6.3,5,83,3,Franklin County,Vermont
2020-03-21,-2,-2,-7,-10,-10,6,-4,-4,11,329,1029,15,0.0,0.0,11.6,-13,52,2,Franklin County,Vermont
2020-03-22,-1,-1,-8,-9,-9,6,-5,-4,7,237,1040,9,0.0,0.0,11.6,-15,45,2,Franklin County,Vermont
2020-03-23,4,4,-4,-4,-4,4,0,1,9,165,1030,13,2.8,1.1,6.3,-8,62,1,Franklin County,Vermont
2020-03-24,2,2,-3,-2,-2,4,-1,1,4,338,1022,6,3.0,3.6,6.3,-2,91,1,Franklin County,Vermont
2020-03-25,5,5,-3,-2,-2,6,1,3,5,173,1021,9,0.0,0.0,10.3,-2,83,1,Franklin County,Vermont
2020-03-26,9,9,-2,1,1,5,4,6,9,177,1013,15,5.7,0.0,7.7,1,84,2,Franklin County,Vermont
2020-03-27,6,6,0,-1,-1,5,3,4,8,321,1013,12,3.5,2.9,11.6,-2,73,2,Franklin County,Vermont
2020-03-28,10,10,-1,4,4,6,5,7,3,190,1020,5,0.0,0.0,11.6,-2,65,3,Franklin County,Vermont
2020-03-29,7,7,3,2,2,4,5,6,7,155,1015,13,23.6,0.0,6.4,3,88,2,Franklin County,Vermont
2020-03-30,9,9,2,3,3,4,5,6,6,167,1013,11,14.5,0.0,7.7,3,90,2,Franklin County,Vermont
2020-03-31,7,7,1,1,1,4,3,5,6,241,1018,9,0.7,0.1,11.6,-1,76,3,Franklin County,Vermont
2020-04-01,5,5,-1,-1,-1,6,2,3,7,347,1013,10,0.0,0.0,7.7,-1,80,1,Franklin County,Vermont
2020-04-02,3,3,-3,-3,-3,3,1,2,10,334,1009,15,9.8,1.2,6.5,1,96,1,Franklin County,Vermont
2020-04-03,9,9,4,3,3,5,6,8,10,30,1011,16,4.1,0.0,6.5,4,85,2,Franklin County,Vermont
2020-04-04,8,8,3,4,4,6,5,6,3,309,1018,5,0.3,0.0,6.5,3,86,2,Franklin County,Vermont
2020-04-05,7,7,4,5,5,3,5,6,2,192,1017,4,2.0,0.0,6.5,4,90,2,Franklin County,Vermont
2020-04-06,8,8,-1,1,1,5,3,5,6,301,1016,9,0.3,0.0,11.6,-1,73,2,Franklin County,Vermont
2020-04-07,8,8,-1,3,3,5,4,6,3,319,1011,6,1.0,0.1,7.8,0,76,2,Franklin County,Vermont
2020-04-08,8,8,1,2,2,6,4,6,6,352,1003,9,0.0,0.0,10.3,-1,67,3,Franklin County,Vermont
2020-04-09,7,7,1,0,0,4,3,5,8,147,990,13,21.0,7.8,6.6,1,83,1,Franklin County,Vermont
2020-04-10,3,3,0,-4,-4,2,1,1,13,336,989,20,10.8,7.0,6.6,0,91,1,Franklin County,Vermont
2020-04-11,4,4,-2,-4,-4,3,1,2,12,291,1008,17,2.6,2.9,6.6,-3,76,1,Franklin County,Vermont
2020-04-12,11,11,-2,2,2,6,5,7,10,188,1017,17,0.0,0.0,9.1,0,70,2,Franklin County,Vermont
2020-04-13,13,13,5,7,7,5,10,11,14,160,1002,28,12.4,0.0,6.6,7,84,3,Franklin County,Vermont
2020-04-14,7,7,1,0,0,6,4,5,11,256,1014,16,0.2,0.0,9.1,-5,53,2,Franklin County,Vermont
2020-04-15,4,4,-2,-2,-2,5,2,3,8,281,1012,11,1.0,0.3,9.1,-7,57,1,Franklin County,Vermont
2020-04-16,4,4,-2,-2,-2,5,1,3,8,289,1015,11,1.4,1.1,7.9,-6,59,1,Franklin County,Vermont
2020-04-17,6,6,-2,-2,-2,5,2,3,9,285,1017,13,0.4,0.2,7.9,-7,54,1,Franklin County,Vermont
2020-04-18,7,7,-1,2,2,6,3,6,4,319,1010,6,0.0,0.0,11.6,-5,54,3,Franklin County,Vermont
2020-04-19,11,11,0,1,1,4,5,7,13,232,1004,20,2.0,0.0,10.8,0,73,2,Franklin County,Vermont
2020-04-20,6,6,-3,-2,-2,5,1,2,7,347,1007,10,0.9,0.6,13.3,-7,59,2,Franklin County,Vermont
2020-04-21,10,10,-1,0,0,5,4,7,14,224,997,20,2.5,1.2,11.0,-3,62,2,Franklin County,Vermont
2020-04-22,3,3,-5,-8,-8,3,-1,-1,17,287,1004,22,1.5,0.4,8.7,-9,58,1,Franklin County,Vermont
2020-04-23,6,6,-4,-3,-3,6,1,2,8,301,1015,12,0.0,0.0,14.0,-10,48,2,Franklin County,Vermont
