date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,11,11,-5,1,1,6,3,5,6,188,1022,11,0.0,0.0,11.2,-5,60,2,Gallia County,Ohio
2020-03-02,11,11,2,5,5,5,8,9,9,208,1012,16,8.3,0.0,5.6,6,87,2,Gallia County,Ohio
2020-03-03,14,14,6,9,9,4,11,13,10,244,1005,16,4.1,0.0,5.8,8,87,3,Gallia County,Ohio
2020-03-04,14,14,2,5,5,6,8,9,8,237,1014,13,0.1,0.0,11.6,2,74,2,Gallia County,Ohio
2020-03-05,13,13,0,6,6,6,7,8,4,173,1018,6,0.0,0.0,10.2,0,70,2,Gallia County,Ohio
2020-03-06,4,4,0,-1,-1,4,3,3,11,299,1018,15,4.9,3.1,5.9,1,85,1,Gallia County,Ohio
2020-03-07,8,8,-2,1,1,6,3,3,5,217,1033,7,0.0,0.0,8.7,-4,72,1,Gallia County,Ohio
2020-03-08,14,14,-1,5,5,6,7,8,6,203,1031,10,0.0,0.0,10.2,0,68,2,Gallia County,Ohio
2020-03-09,17,17,5,9,9,6,11,12,8,213,1028,13,0.0,0.0,11.6,5,69,3,Gallia County,Ohio
2020-03-10,14,14,10,11,11,5,12,13,10,258,1020,16,2.2,0.0,5.9,10,85,3,Gallia County,Ohio
2020-03-11,13,13,7,9,9,6,10,11,4,235,1019,6,0.2,0.0,5.9,8,87,3,Gallia County,Ohio
2020-03-12,19,19,7,12,12,5,13,14,5,177,1012,8,21.6,0.0,10.2,10,82,3,Gallia County,Ohio
2020-03-13,12,12,5,10,10,5,11,11,9,291,1019,13,23.1,0.0,10.2,6,74,3,Gallia County,Ohio
2020-03-14,6,6,-3,1,1,4,3,4,5,52,1031,8,3.5,0.0,7.4,0,79,1,Gallia County,Ohio
2020-03-15,8,8,2,1,1,4,4,5,7,26,1032,10,0.3,0.0,6.0,2,87,1,Gallia County,Ohio
2020-03-16,12,12,1,6,6,5,7,8,4,189,1026,6,0.1,0.0,7.4,5,83,2,Gallia County,Ohio
2020-03-17,11,11,4,7,7,3,8,9,4,302,1024,5,2.2,0.0,6.0,6,89,2,Gallia County,Ohio
2020-03-18,16,16,2,9,9,4,10,11,6,149,1023,10,8.2,0.0,7.4,9,91,3,Gallia County,Ohio
2020-03-19,20,20,13,16,16,5,17,17,7,189,1019,11,17.8,0.0,6.0,16,92,4,Gallia County,Ohio
2020-03-20,22,22,13,18,18,5,19,20,12,249,1017,19,14.5,0.0,6.1,14,82,4,Gallia County,Ohio
2020-03-21,8,8,1,3,3,5,5,5,6,125,1030,7,0.3,0.0,7.4,0,71,1,Gallia County,Ohio
2020-03-22,11,11,-1,2,2,6,5,7,6,62,1029,10,0.5,0.0,8.8,1,76,2,Gallia County,Ohio
2020-03-23,12,12,6,8,8,5,9,10,6,281,1020,10,9.6,0.0,6.1,7,89,3,Gallia County,Ohio
2020-03-24,14,14,2,6,6,4,8,10,6,74,1018,9,0.8,0.0,8.9,5,83,3,Gallia County,Ohio
2020-03-25,15,15,7,9,9,4,10,11,6,337,1013,8,1.8,0.0,7.5,8,88,3,Gallia County,Ohio
2020-03-26,20,20,6,12,12,4,14,15,6,212,1012,10,0.0,0.0,11.6,9,79,3,Gallia County,Ohio
2020-03-27,17,17,10,14,14,4,14,15,6,63,1011,8,5.1,0.0,6.1,14,94,3,Gallia County,Ohio
2020-03-28,25,25,14,19,20,5,20,22,8,227,1009,12,4.3,0.0,6.2,17,88,5,Gallia County,Ohio
