date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,6,6,-8,-6,-6,6,-2,0,9,243,1022,14,0.0,0.0,11.6,-9,60,2,Garrett County,Maryland
2020-03-02,11,11,-1,2,2,5,5,7,12,225,1013,19,8.5,0.0,7.3,3,81,2,Garrett County,Maryland
2020-03-03,11,11,4,4,4,3,7,8,11,210,1004,18,11.1,0.0,5.8,5,91,2,Garrett County,Maryland
2020-03-04,8,8,-1,-1,-1,5,4,5,14,258,1012,19,1.5,0.3,10.2,0,77,1,Garrett County,Maryland
2020-03-05,9,9,-2,2,2,5,4,5,5,140,1019,7,0.3,0.2,11.6,-3,70,3,Garrett County,Maryland
2020-03-06,3,3,-2,-4,-4,3,1,2,12,295,1013,16,4.1,1.6,5.9,-1,86,1,Garrett County,Maryland
2020-03-07,2,2,-6,-7,-7,5,-2,-1,10,297,1030,14,1.0,0.3,10.2,-5,82,1,Garrett County,Maryland
2020-03-08,11,11,-3,2,2,6,5,7,6,241,1031,10,0.0,0.0,11.6,-5,55,3,Garrett County,Maryland
2020-03-09,13,13,5,7,7,6,9,10,10,245,1028,16,0.0,0.0,11.6,1,62,3,Garrett County,Maryland
2020-03-10,11,11,5,7,7,5,9,10,13,251,1019,19,12.3,0.0,5.9,7,84,3,Garrett County,Maryland
2020-03-11,10,10,2,5,5,3,6,7,3,246,1019,4,0.2,0.0,5.9,5,93,2,Garrett County,Maryland
2020-03-12,15,15,4,9,9,3,10,11,5,175,1014,8,1.0,0.0,7.4,7,85,3,Garrett County,Maryland
2020-03-13,12,12,3,5,5,5,8,10,16,282,1015,22,15.3,0.0,10.2,4,74,2,Garrett County,Maryland
2020-03-14,6,6,-1,0,0,4,2,4,6,294,1030,8,4.9,1.8,10.2,-4,67,1,Garrett County,Maryland
2020-03-15,3,3,-2,-2,-2,2,0,2,5,75,1031,7,10.1,9.8,6.0,0,95,1,Garrett County,Maryland
2020-03-16,5,5,-2,-2,-2,6,1,2,8,137,1028,13,0.0,0.0,6.0,0,89,1,Garrett County,Maryland
2020-03-17,8,8,3,3,3,4,5,6,6,286,1023,10,6.3,0.0,6.0,4,95,2,Garrett County,Maryland
2020-03-18,9,9,0,2,2,4,4,6,8,129,1027,11,4.9,0.0,10.2,3,89,2,Garrett County,Maryland
2020-03-19,17,17,10,12,12,5,13,14,9,247,1020,14,21.6,0.0,6.0,12,93,3,Garrett County,Maryland
2020-03-20,18,18,10,15,15,5,15,17,16,254,1015,24,17.1,0.0,6.1,12,87,4,Garrett County,Maryland
2020-03-21,6,6,-2,-1,-1,5,2,3,6,311,1028,7,0.2,0.2,6.1,-3,74,1,Garrett County,Maryland
2020-03-22,6,6,-3,-2,-2,5,2,3,10,125,1032,13,0.4,0.1,10.2,-3,72,2,Garrett County,Maryland
2020-03-23,7,7,2,1,1,4,4,4,10,166,1022,14,15.3,0.0,6.1,3,95,1,Garrett County,Maryland
2020-03-24,12,12,0,4,4,4,5,7,6,121,1020,8,0.1,0.1,10.2,2,82,3,Garrett County,Maryland
2020-03-25,8,8,3,2,2,4,5,5,7,186,1014,11,24.0,0.0,6.1,4,93,2,Garrett County,Maryland
2020-03-26,16,16,2,8,8,4,9,12,5,213,1014,7,0.9,0.0,11.6,4,76,4,Garrett County,Maryland
2020-03-27,15,15,8,11,11,4,12,13,3,309,1012,4,11.6,0.0,8.9,10,90,3,Garrett County,Maryland
2020-03-28,22,22,11,15,15,5,16,18,7,228,1011,11,9.7,0.0,7.5,14,91,4,Garrett County,Maryland
2020-03-29,18,18,12,15,15,5,16,17,12,239,1010,19,5.3,0.0,8.9,12,83,4,Garrett County,Maryland
2020-03-30,7,7,3,1,1,6,6,6,17,273,1015,23,0.6,0.1,7.5,2,78,2,Garrett County,Maryland
2020-03-31,6,6,1,2,2,5,3,5,4,104,1013,6,1.1,0.3,6.2,1,86,1,Garrett County,Maryland
2020-04-01,8,8,1,2,2,4,4,6,6,336,1011,9,4.1,2.6,8.9,2,86,2,Garrett County,Maryland
2020-04-02,4,4,-1,-3,-3,6,2,3,12,311,1017,16,0.0,0.0,7.7,-1,80,1,Garrett County,Maryland
2020-04-03,10,10,0,1,1,6,4,6,11,315,1015,17,0.0,0.0,11.6,0,74,3,Garrett County,Maryland
2020-04-04,14,14,1,6,6,4,7,9,3,323,1017,4,0.2,0.0,7.7,3,81,2,Garrett County,Maryland
2020-04-05,10,10,6,7,7,3,8,9,4,255,1018,6,0.9,0.0,6.5,7,91,2,Garrett County,Maryland
2020-04-06,15,15,6,10,10,4,11,12,3,290,1018,5,0.1,0.0,11.6,5,75,4,Garrett County,Maryland
2020-04-07,18,18,9,12,12,5,12,13,7,242,1010,11,8.4,0.0,7.8,11,89,3,Garrett County,Maryland
2020-04-08,17,17,13,14,14,5,15,15,10,293,1003,16,15.3,0.0,9.0,11,86,4,Garrett County,Maryland
2020-04-09,10,10,0,2,2,4,6,6,15,287,999,22,9.3,2.1,6.5,3,83,2,Garrett County,Maryland
2020-04-10,4,4,-3,-7,-7,3,0,1,18,295,1008,24,1.7,0.3,6.5,-4,74,1,Garrett County,Maryland
2020-04-11,8,8,-3,-1,-1,6,3,5,10,276,1017,14,0.0,0.0,11.6,-2,75,2,Garrett County,Maryland
2020-04-12,18,18,2,10,10,5,11,14,8,200,1014,12,5.2,0.0,11.6,4,67,4,Garrett County,Maryland
2020-04-13,16,16,2,8,8,5,11,13,17,260,1004,26,17.8,0.3,7.8,9,87,3,Garrett County,Maryland
2020-04-14,5,5,-1,-3,-3,4,1,3,8,285,1020,11,6.8,5.1,6.6,-2,82,1,Garrett County,Maryland
2020-04-15,6,6,-5,-4,-4,4,0,2,9,265,1018,12,2.3,1.2,11.6,-4,75,2,Garrett County,Maryland
2020-04-16,4,4,-4,-6,-6,5,0,1,12,282,1024,16,2.6,2.7,9.1,-6,70,1,Garrett County,Maryland
