date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,8,9,9,6,11,12,11,233,1008,19,0.0,0.0,11.6,5,70,3,Gentry County,Missouri
2020-03-02,8,8,1,1,1,6,4,4,8,326,1012,11,0.0,0.0,10.2,-2,66,1,Gentry County,Missouri
2020-03-03,12,12,4,4,4,6,7,8,12,292,1008,19,0.0,0.0,11.6,-1,59,3,Gentry County,Missouri
2020-03-04,10,10,4,5,5,6,8,8,9,160,1016,15,0.0,0.0,11.6,2,67,3,Gentry County,Missouri
2020-03-05,12,12,5,4,4,6,8,9,18,308,1020,27,0.0,0.0,11.6,-2,51,3,Gentry County,Missouri
2020-03-06,9,9,-1,1,1,6,4,4,8,167,1032,13,0.0,0.0,11.6,-4,58,2,Gentry County,Missouri
2020-03-07,15,15,3,6,6,6,9,10,14,187,1025,23,0.0,0.0,8.7,0,54,2,Gentry County,Missouri
2020-03-08,18,18,8,11,11,6,12,13,17,197,1017,26,0.8,0.0,11.6,6,65,4,Gentry County,Missouri
2020-03-09,13,13,2,7,7,4,10,11,14,244,1014,19,45.9,0.0,5.9,8,90,3,Gentry County,Missouri
2020-03-10,11,11,0,3,3,6,5,5,6,229,1024,8,0.9,0.0,11.6,1,74,3,Gentry County,Missouri
2020-03-11,17,17,5,9,9,6,10,11,6,263,1016,10,0.0,0.0,11.6,6,75,4,Gentry County,Missouri
2020-03-12,17,17,7,10,10,6,11,13,11,270,1009,18,1.8,0.0,7.4,7,76,3,Gentry County,Missouri
2020-03-13,9,9,2,3,3,5,5,6,7,139,1027,10,1.2,0.0,7.4,-3,58,2,Gentry County,Missouri
2020-03-14,2,2,1,-3,-3,1,2,2,14,77,1032,19,13.6,9.0,6.0,1,93,1,Gentry County,Missouri
2020-03-15,4,4,-2,-2,-2,6,1,1,7,102,1035,10,0.4,0.3,6.0,-1,85,1,Gentry County,Missouri
2020-03-16,6,6,1,1,1,6,3,3,4,136,1026,5,3.0,0.0,6.0,2,92,1,Gentry County,Missouri
2020-03-17,9,9,2,3,3,6,6,6,6,105,1025,9,0.0,0.0,8.8,2,81,2,Gentry County,Missouri
2020-03-18,16,16,6,9,9,4,11,12,9,137,1015,13,9.7,0.0,6.0,9,91,3,Gentry County,Missouri
2020-03-19,23,23,12,16,16,5,18,19,14,199,1006,24,16.7,0.0,7.4,13,85,4,Gentry County,Missouri
2020-03-20,4,4,-1,-2,-2,5,3,1,16,235,1028,21,4.6,0.0,11.6,-3,67,2,Gentry County,Missouri
2020-03-21,8,8,-2,-1,-1,6,2,3,6,168,1033,9,0.0,0.0,11.6,-5,62,2,Gentry County,Missouri
2020-03-22,4,4,1,-2,-2,4,2,3,10,132,1023,15,8.6,0.0,6.1,1,91,1,Gentry County,Missouri
2020-03-23,11,11,2,4,4,3,6,6,5,141,1021,7,0.1,0.0,6.1,4,89,2,Gentry County,Missouri
2020-03-24,12,12,4,5,5,6,7,8,9,117,1015,13,0.0,0.0,6.1,6,88,2,Gentry County,Missouri
2020-03-25,19,19,5,10,10,6,11,12,10,184,1009,16,0.2,0.0,11.6,8,84,4,Gentry County,Missouri
2020-03-26,12,12,9,9,9,4,11,11,10,43,1006,15,1.2,0.0,6.1,9,91,3,Gentry County,Missouri
2020-03-27,15,15,9,9,9,5,11,12,9,87,1005,13,1.0,0.0,6.1,10,93,3,Gentry County,Missouri
2020-03-28,21,21,10,14,14,5,15,17,18,185,998,26,10.5,0.0,8.9,9,76,4,Gentry County,Missouri
2020-03-29,16,16,5,7,7,6,10,11,18,288,1012,24,0.1,0.0,11.6,2,58,4,Gentry County,Missouri
2020-03-30,17,17,5,10,10,6,11,12,5,80,1021,8,0.0,0.0,11.6,2,55,4,Gentry County,Missouri
2020-03-31,17,17,6,10,10,6,11,12,5,32,1017,9,0.0,0.0,11.6,3,59,4,Gentry County,Missouri
2020-04-01,20,20,6,10,10,6,12,13,12,159,1014,17,0.0,0.0,11.6,8,78,4,Gentry County,Missouri
2020-04-02,15,15,12,12,12,6,14,14,11,157,1012,18,2.3,0.0,6.4,11,83,3,Gentry County,Missouri
2020-04-03,1,1,-3,-4,-4,4,1,1,13,334,1020,17,1.8,0.4,6.4,-1,83,1,Gentry County,Missouri
2020-04-04,10,10,-3,0,0,6,3,5,7,62,1023,11,0.0,0.0,11.6,-3,65,2,Gentry County,Missouri
2020-04-05,15,15,0,6,6,6,8,9,8,139,1019,13,0.0,0.0,10.3,3,75,3,Gentry County,Missouri
2020-04-06,18,18,8,12,12,5,13,14,10,187,1012,16,0.9,0.0,6.5,12,91,3,Gentry County,Missouri
