date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,13,13,2,7,7,6,8,10,5,132,1026,8,0.0,0.0,11.6,-1,53,3,Georgetown County,South Carolina
2020-03-02,21,21,8,14,14,6,14,17,7,206,1021,11,0.0,0.0,8.7,6,60,4,Georgetown County,South Carolina
2020-03-03,18,18,12,16,16,5,17,17,8,222,1013,14,17.2,0.0,5.9,15,89,4,Georgetown County,South Carolina
2020-03-04,16,16,8,14,14,3,15,15,5,69,1015,7,13.0,0.0,7.3,13,87,4,Georgetown County,South Carolina
2020-03-05,11,11,5,9,9,3,11,11,9,54,1016,13,71.0,0.0,5.9,10,92,3,Georgetown County,South Carolina
2020-03-06,16,16,8,9,9,6,11,13,12,293,1015,17,1.4,0.0,11.6,4,66,3,Georgetown County,South Carolina
2020-03-07,13,13,4,5,5,6,8,9,9,237,1028,13,0.0,0.0,11.6,-2,51,3,Georgetown County,South Carolina
2020-03-08,15,15,4,9,9,6,9,12,5,95,1034,8,0.0,0.0,10.2,0,55,3,Georgetown County,South Carolina
2020-03-09,20,20,9,13,13,6,14,16,4,140,1034,6,0.0,0.0,11.6,9,74,5,Georgetown County,South Carolina
2020-03-10,22,22,14,18,18,6,18,20,7,211,1028,12,1.4,0.0,5.9,13,75,4,Georgetown County,South Carolina
2020-03-11,23,23,15,18,18,5,20,20,6,226,1020,10,6.4,0.0,6.0,15,80,5,Georgetown County,South Carolina
2020-03-12,26,26,14,20,20,6,21,22,6,229,1016,10,0.4,0.0,11.6,14,74,6,Georgetown County,South Carolina
2020-03-13,27,27,17,21,22,6,22,23,6,243,1019,10,0.9,0.0,10.2,15,72,6,Georgetown County,South Carolina
2020-03-14,19,19,10,15,15,5,16,16,8,72,1026,11,0.0,0.0,11.6,11,71,5,Georgetown County,South Carolina
2020-03-15,20,20,12,16,16,4,16,18,6,141,1025,9,2.5,0.0,6.0,14,88,4,Georgetown County,South Carolina
2020-03-16,18,18,9,13,13,6,13,15,5,58,1027,7,0.0,0.0,7.4,8,68,3,Georgetown County,South Carolina
2020-03-17,22,22,13,17,17,5,17,19,4,197,1024,5,1.8,0.0,6.0,13,79,4,Georgetown County,South Carolina
2020-03-18,21,21,14,17,17,3,18,19,6,92,1026,8,0.0,0.0,11.6,15,85,5,Georgetown County,South Carolina
2020-03-19,28,28,18,22,23,4,23,24,7,202,1025,11,0.0,0.0,11.6,17,79,6,Georgetown County,South Carolina
2020-03-20,28,28,20,23,24,4,24,25,10,211,1024,14,0.0,0.0,11.6,18,78,6,Georgetown County,South Carolina
2020-03-21,28,28,20,23,24,6,24,25,6,264,1022,9,5.3,0.0,7.4,18,74,6,Georgetown County,South Carolina
2020-03-22,15,15,12,14,14,5,15,14,10,43,1025,14,9.2,0.0,6.1,12,86,3,Georgetown County,South Carolina
2020-03-23,23,23,10,16,16,4,17,18,4,239,1022,6,8.6,0.0,6.1,13,85,4,Georgetown County,South Carolina
2020-03-24,18,18,16,17,17,4,17,17,4,95,1017,6,6.8,0.0,6.1,16,96,4,Georgetown County,South Carolina
2020-03-25,26,26,17,21,22,6,22,23,10,299,1010,16,2.2,0.0,8.8,15,73,5,Georgetown County,South Carolina
2020-03-26,20,20,11,14,14,6,15,16,6,101,1018,9,0.0,0.0,11.6,10,74,5,Georgetown County,South Carolina
2020-03-27,29,29,15,22,23,5,23,25,7,232,1015,11,0.0,0.0,11.6,17,77,6,Georgetown County,South Carolina
2020-03-28,30,30,19,24,25,5,25,26,8,225,1015,12,0.0,0.0,11.6,18,75,7,Georgetown County,South Carolina
2020-03-29,30,30,20,25,26,6,26,27,9,236,1017,14,0.0,0.0,10.2,18,70,6,Georgetown County,South Carolina
2020-03-30,28,28,18,22,23,6,23,24,4,76,1017,7,0.0,0.0,11.6,12,55,6,Georgetown County,South Carolina
2020-03-31,18,18,12,16,16,5,17,18,9,88,1007,13,13.2,0.0,8.9,11,72,4,Georgetown County,South Carolina
2020-04-01,16,16,10,11,11,5,12,13,8,339,1009,12,0.6,0.0,7.5,7,73,3,Georgetown County,South Carolina
2020-04-02,18,18,8,12,12,6,12,15,7,324,1016,10,0.0,0.0,11.6,4,60,4,Georgetown County,South Carolina
2020-04-03,21,21,9,15,15,6,16,17,6,321,1015,10,0.0,0.0,11.6,4,54,5,Georgetown County,South Carolina
2020-04-04,22,22,12,16,16,6,17,18,5,32,1015,8,0.0,0.0,11.6,7,56,5,Georgetown County,South Carolina
2020-04-05,21,21,10,15,15,6,16,18,6,100,1019,9,0.0,0.0,11.6,10,70,5,Georgetown County,South Carolina
2020-04-06,27,27,14,20,20,6,20,23,6,239,1018,10,0.0,0.0,11.6,13,67,6,Georgetown County,South Carolina
2020-04-07,28,28,17,21,22,5,22,24,8,256,1015,12,7.4,0.0,9.0,15,72,5,Georgetown County,South Carolina
2020-04-08,28,28,18,23,24,6,24,25,8,264,1008,12,1.4,0.0,9.0,17,73,5,Georgetown County,South Carolina
2020-04-09,30,30,20,25,26,5,26,27,11,280,1003,17,0.6,0.0,11.6,15,61,7,Georgetown County,South Carolina
