date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,0,4,4,6,7,9,13,197,1017,21,0.7,0.0,8.6,3,73,2,Gibson County,Indiana
2020-03-02,16,16,7,11,11,5,12,14,11,267,1008,17,3.5,0.0,5.6,10,86,3,Gibson County,Indiana
2020-03-03,14,14,8,9,9,5,11,12,11,280,1007,15,1.8,0.0,11.3,5,71,4,Gibson County,Indiana
2020-03-04,13,13,6,6,6,6,9,10,10,304,1015,16,0.0,0.0,10.1,2,63,3,Gibson County,Indiana
2020-03-05,14,14,3,6,6,6,8,9,9,223,1019,15,0.0,0.0,8.6,1,64,2,Gibson County,Indiana
2020-03-06,7,7,0,-1,-1,5,4,4,16,331,1026,22,0.1,0.0,8.6,-3,64,1,Gibson County,Indiana
2020-03-07,10,10,-1,1,1,6,4,5,6,150,1034,9,0.0,0.0,11.4,-4,61,2,Gibson County,Indiana
2020-03-08,15,15,2,6,6,6,8,9,12,191,1028,20,0.0,0.0,10.1,2,65,3,Gibson County,Indiana
2020-03-09,15,15,10,11,11,5,13,13,19,193,1023,30,3.6,0.0,5.7,9,77,3,Gibson County,Indiana
2020-03-10,12,12,6,9,9,5,11,10,11,317,1021,16,6.8,0.0,5.7,8,83,3,Gibson County,Indiana
2020-03-11,12,12,4,7,7,6,8,9,4,205,1018,6,0.2,0.0,10.1,6,83,2,Gibson County,Indiana
2020-03-12,18,18,8,13,13,3,13,14,10,170,1009,16,6.1,0.0,7.2,12,90,3,Gibson County,Indiana
2020-03-13,10,10,5,5,5,5,8,7,10,341,1023,15,3.0,0.0,8.7,1,65,2,Gibson County,Indiana
2020-03-14,6,6,0,1,1,5,4,4,10,59,1030,16,8.4,0.0,5.8,1,78,1,Gibson County,Indiana
2020-03-15,8,8,2,1,1,6,5,5,10,50,1033,14,0.0,0.0,5.8,1,77,2,Gibson County,Indiana
2020-03-16,8,8,3,5,5,6,6,6,3,246,1027,5,0.1,0.0,11.6,2,80,3,Gibson County,Indiana
2020-03-17,12,12,5,6,6,5,8,9,6,13,1025,9,0.4,0.0,10.3,4,75,3,Gibson County,Indiana
2020-03-18,14,14,6,8,8,5,10,11,7,173,1020,13,6.4,0.0,6.2,9,92,3,Gibson County,Indiana
2020-03-19,19,19,12,15,15,4,16,17,12,190,1016,21,18.9,0.0,6.2,15,93,4,Gibson County,Indiana
2020-03-20,19,19,6,12,12,5,14,15,17,308,1019,27,15.8,0.0,7.6,11,80,3,Gibson County,Indiana
2020-03-21,8,8,-1,0,0,6,3,4,9,16,1032,13,0.0,0.0,11.6,-3,64,2,Gibson County,Indiana
2020-03-22,7,7,0,1,1,5,3,4,7,89,1028,11,0.5,0.0,7.6,0,77,1,Gibson County,Indiana
2020-03-23,12,12,3,6,6,6,7,9,6,232,1021,9,0.0,0.0,8.9,4,80,2,Gibson County,Indiana
2020-03-24,15,15,4,6,6,5,8,10,7,106,1016,11,2.6,0.0,9.0,6,86,3,Gibson County,Indiana
2020-03-25,17,17,4,9,9,4,10,12,6,134,1015,11,0.5,0.0,11.6,6,79,4,Gibson County,Indiana
2020-03-26,23,23,9,14,14,6,16,16,11,188,1010,17,1.8,0.0,10.3,12,83,4,Gibson County,Indiana
2020-03-27,24,24,15,19,19,5,20,21,9,185,1008,14,3.5,0.0,7.7,18,89,5,Gibson County,Indiana
2020-03-28,24,24,19,21,22,5,22,22,17,215,1006,26,20.2,0.0,6.4,18,85,5,Gibson County,Indiana
2020-03-29,17,17,11,13,13,5,14,14,17,250,1012,27,20.8,0.0,11.6,8,68,4,Gibson County,Indiana
2020-03-30,16,16,6,10,10,6,12,12,8,295,1021,13,0.0,0.0,10.3,5,64,3,Gibson County,Indiana
2020-03-31,10,10,6,6,6,5,8,9,10,128,1016,14,0.4,0.0,6.4,4,72,2,Gibson County,Indiana
2020-04-01,12,12,2,5,5,6,7,8,5,119,1018,8,0.0,0.0,11.6,3,74,3,Gibson County,Indiana
2020-04-02,16,16,6,10,10,6,11,12,5,138,1020,7,0.0,0.0,11.6,5,68,4,Gibson County,Indiana
2020-04-03,20,20,9,13,13,6,14,16,6,176,1018,10,0.0,0.0,11.6,8,68,5,Gibson County,Indiana
2020-04-04,15,15,8,10,10,5,11,12,7,315,1018,11,0.1,0.0,6.4,8,85,3,Gibson County,Indiana
2020-04-05,17,17,6,11,11,6,11,12,5,344,1020,8,0.1,0.0,11.6,7,77,4,Gibson County,Indiana
2020-04-06,21,21,10,15,15,6,16,16,4,217,1018,6,2.0,0.0,10.3,12,80,4,Gibson County,Indiana
2020-04-07,25,25,14,19,19,5,20,21,11,226,1010,17,4.0,0.0,9.0,16,85,5,Gibson County,Indiana
2020-04-08,27,27,17,21,22,5,22,23,10,268,1005,17,16.3,0.0,9.0,16,79,5,Gibson County,Indiana
2020-04-09,13,13,6,7,7,5,10,11,16,294,1011,23,18.2,0.0,11.6,3,64,4,Gibson County,Indiana
2020-04-10,11,11,1,2,2,6,6,7,10,310,1019,15,0.0,0.0,11.6,-3,56,3,Gibson County,Indiana
2020-04-11,14,14,4,6,6,6,8,10,10,191,1015,15,1.8,0.0,9.1,3,69,2,Gibson County,Indiana
2020-04-12,15,15,10,11,11,4,12,13,12,171,1005,19,3.0,0.0,6.5,11,91,3,Gibson County,Indiana
2020-04-13,9,9,4,4,4,4,8,7,14,305,1012,19,0.6,0.0,9.1,2,71,2,Gibson County,Indiana
2020-04-14,8,8,2,3,3,6,5,6,6,320,1024,9,0.0,0.0,10.3,-5,52,2,Gibson County,Indiana
2020-04-15,11,11,1,1,1,6,5,7,12,264,1020,19,1.8,0.0,7.8,-2,61,2,Gibson County,Indiana
2020-04-16,12,12,-1,4,4,6,6,7,6,140,1026,10,0.0,0.0,11.6,-2,57,3,Gibson County,Indiana
2020-04-17,11,11,4,4,4,5,8,10,14,240,1016,22,10.0,0.0,6.6,5,81,2,Gibson County,Indiana
2020-04-18,13,13,1,4,4,6,7,8,7,228,1018,11,0.0,0.0,11.6,1,71,3,Gibson County,Indiana
2020-04-19,12,12,5,8,8,6,9,10,5,167,1011,9,0.1,0.0,6.6,5,79,3,Gibson County,Indiana
2020-04-20,18,18,7,11,11,6,12,13,6,192,1009,10,0.2,0.0,11.6,6,72,4,Gibson County,Indiana
2020-04-21,14,14,9,9,9,6,11,11,11,322,1014,16,0.3,0.0,11.6,5,69,4,Gibson County,Indiana
2020-04-22,20,20,7,12,12,6,13,15,9,192,1016,13,0.1,0.0,11.6,7,67,4,Gibson County,Indiana
2020-04-23,15,15,11,11,11,4,13,13,10,118,1004,15,21.8,0.0,6.7,12,95,3,Gibson County,Indiana
2020-04-24,20,20,9,14,14,4,15,16,6,77,1009,9,0.3,0.0,9.1,11,80,4,Gibson County,Indiana
2020-04-25,17,17,12,13,13,4,14,14,11,132,1006,16,3.9,0.0,8.4,12,89,3,Gibson County,Indiana
2020-04-26,15,15,8,8,8,4,11,11,15,335,1016,22,32.3,0.0,8.6,7,80,3,Gibson County,Indiana
2020-04-27,17,17,6,11,11,6,12,14,7,208,1021,11,0.0,0.0,13.3,6,68,3,Gibson County,Indiana
2020-04-28,21,21,14,16,16,5,17,17,14,198,1013,22,1.0,0.0,11.0,13,80,4,Gibson County,Indiana
2020-04-29,17,17,11,15,15,5,16,15,15,274,1003,22,10.2,0.0,8.7,12,83,4,Gibson County,Indiana
2020-04-30,12,12,8,8,8,6,10,11,13,305,1010,18,0.2,0.0,8.7,7,79,3,Gibson County,Indiana
2020-05-01,21,21,8,15,15,6,15,16,4,264,1016,7,0.0,0.0,13.9,9,72,5,Gibson County,Indiana
2020-05-02,25,25,13,19,19,6,20,21,12,228,1015,19,0.6,0.0,13.3,16,79,5,Gibson County,Indiana
2020-05-03,18,18,13,17,17,5,17,17,7,138,1013,12,4.1,0.0,8.7,15,89,4,Gibson County,Indiana
2020-05-04,21,21,11,15,15,6,16,18,6,78,1015,9,0.4,0.0,14.0,10,73,5,Gibson County,Indiana
2020-05-05,16,16,9,12,12,4,13,14,11,242,1010,15,8.6,0.0,8.7,11,88,3,Gibson County,Indiana
2020-05-06,15,15,6,8,8,6,10,11,11,338,1018,15,2.2,0.0,12.2,5,72,4,Gibson County,Indiana
2020-05-07,18,18,7,12,12,6,13,15,8,268,1018,13,0.3,0.0,13.4,7,71,3,Gibson County,Indiana
2020-05-08,13,13,5,8,8,5,10,11,11,349,1014,16,8.8,0.0,8.8,7,80,3,Gibson County,Indiana
2020-05-09,14,14,1,6,6,6,8,10,6,310,1024,8,0.0,0.0,14.1,0,60,3,Gibson County,Indiana
2020-05-10,13,13,7,7,7,6,9,11,15,271,1021,22,1.2,0.0,11.1,5,73,3,Gibson County,Indiana
2020-05-11,13,13,3,6,6,6,8,10,8,305,1024,12,1.1,0.0,12.2,4,76,2,Gibson County,Indiana
2020-05-12,15,15,6,10,10,6,10,12,4,211,1025,6,0.6,0.0,12.2,6,73,3,Gibson County,Indiana
2020-05-13,15,15,8,9,9,4,11,11,9,117,1022,13,6.7,0.0,8.8,10,92,3,Gibson County,Indiana
2020-05-14,25,25,14,19,19,4,20,22,14,198,1016,22,0.2,0.0,13.4,16,82,5,Gibson County,Indiana
2020-05-15,24,24,18,20,20,5,21,21,12,216,1014,20,5.8,0.0,11.1,18,87,5,Gibson County,Indiana
2020-05-16,27,27,18,22,23,5,23,23,10,200,1012,15,16.2,0.0,10.0,20,89,5,Gibson County,Indiana
2020-05-17,22,22,19,20,20,5,21,21,11,344,1013,17,15.6,0.0,10.0,18,86,5,Gibson County,Indiana
2020-05-18,19,19,15,17,17,5,17,18,7,270,1007,10,7.0,0.0,10.0,14,84,4,Gibson County,Indiana
2020-05-19,19,19,13,15,15,4,15,16,7,300,1009,10,2.0,0.0,8.9,13,90,4,Gibson County,Indiana
2020-05-20,18,18,12,14,14,6,15,16,10,64,1015,16,0.1,0.0,9.2,13,88,4,Gibson County,Indiana
2020-05-21,19,19,11,15,15,6,15,17,7,77,1016,11,0.1,0.0,11.3,13,85,4,Gibson County,Indiana
2020-05-22,24,24,13,19,19,4,19,20,4,180,1016,7,0.3,0.0,13.4,15,81,5,Gibson County,Indiana
2020-05-23,29,29,18,23,25,5,25,25,8,198,1014,13,3.4,0.0,12.4,20,83,6,Gibson County,Indiana
2020-05-24,28,28,20,23,24,5,24,26,8,180,1014,13,7.2,0.0,12.4,20,83,6,Gibson County,Indiana
2020-05-25,30,30,19,24,26,5,26,26,7,179,1015,11,2.3,0.0,13.4,20,79,7,Gibson County,Indiana
2020-05-26,26,26,20,23,24,6,24,24,10,173,1015,15,1.6,0.0,14.5,19,82,6,Gibson County,Indiana
2020-05-27,20,20,12,18,18,4,19,19,9,146,1014,15,3.0,0.0,9.2,18,94,4,Gibson County,Indiana
2020-05-28,25,25,18,21,22,5,22,23,9,181,1012,13,7.0,0.0,12.4,18,85,5,Gibson County,Indiana
2020-05-29,24,24,17,20,20,6,20,21,10,306,1015,15,2.2,0.0,9.2,16,81,5,Gibson County,Indiana
2020-05-30,22,22,13,17,17,6,18,19,8,356,1021,13,0.0,0.0,14.5,13,76,5,Gibson County,Indiana
2020-05-31,22,22,13,17,17,6,17,19,7,50,1024,11,0.0,0.0,14.5,11,71,5,Gibson County,Indiana
2020-06-01,23,23,11,17,17,6,19,19,7,155,1024,11,0.0,0.0,14.5,12,70,5,Gibson County,Indiana
2020-06-02,28,28,17,22,23,6,23,24,10,233,1018,16,0.0,0.0,14.5,16,71,6,Gibson County,Indiana
2020-06-03,30,30,18,24,25,5,25,26,10,237,1012,16,5.0,0.0,14.5,20,79,7,Gibson County,Indiana
2020-06-04,31,31,21,25,28,5,28,27,7,227,1009,12,5.3,0.0,14.5,21,81,6,Gibson County,Indiana
2020-06-05,30,30,19,25,26,6,26,26,4,163,1012,6,0.0,0.0,14.5,19,73,7,Gibson County,Indiana
2020-06-06,32,32,22,26,29,6,29,28,4,30,1015,7,0.0,0.0,14.5,21,73,7,Gibson County,Indiana
2020-06-07,28,28,19,23,25,6,25,25,9,88,1016,15,0.0,0.0,14.5,17,68,6,Gibson County,Indiana
2020-06-08,29,29,18,23,24,6,24,24,12,107,1012,18,0.0,0.0,14.5,18,73,6,Gibson County,Indiana
2020-06-09,25,25,19,23,25,6,25,24,18,177,1006,30,3.7,0.0,9.3,22,84,5,Gibson County,Indiana
2020-06-10,25,25,17,22,24,6,24,23,16,221,1007,25,2.0,0.0,11.4,18,77,5,Gibson County,Indiana
2020-06-11,25,25,15,20,21,5,21,22,7,306,1021,12,0.0,0.0,14.5,14,71,6,Gibson County,Indiana
2020-06-12,28,28,17,23,23,6,23,25,5,336,1024,8,0.0,0.0,14.5,15,63,6,Gibson County,Indiana
2020-06-13,27,27,18,22,23,6,23,25,6,107,1021,9,1.6,0.0,12.4,17,72,5,Gibson County,Indiana
