date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,1,1,-8,-8,-8,5,-4,-3,6,197,1011,11,6.7,5.7,7.1,-8,76,1,Gilpin County,Colorado
2020-03-02,-2,-2,-10,-12,-12,4,-6,-4,11,274,1014,19,5.0,4.3,11.2,-9,78,1,Gilpin County,Colorado
2020-03-03,0,0,-8,-11,-11,6,-5,-3,12,275,1017,21,0.0,0.0,11.3,-9,73,2,Gilpin County,Colorado
2020-03-04,4,4,-8,-8,-8,6,-2,-1,13,269,1020,22,0.0,0.0,11.3,-8,65,2,Gilpin County,Colorado
2020-03-05,4,4,-5,-4,-4,6,0,0,10,271,1028,17,0.0,0.0,11.3,-6,70,2,Gilpin County,Colorado
2020-03-06,5,5,-4,-5,-5,6,0,1,8,266,1025,16,0.0,0.0,10.2,-7,60,1,Gilpin County,Colorado
2020-03-07,8,8,-1,0,0,6,3,4,7,260,1015,13,0.0,0.0,11.6,-4,64,2,Gilpin County,Colorado
2020-03-08,7,7,-1,-1,-1,5,2,4,8,243,1010,14,2.0,1.3,8.7,-3,69,1,Gilpin County,Colorado
2020-03-09,3,3,-3,-4,-4,5,0,1,7,272,1017,10,3.3,2.8,11.6,-5,73,1,Gilpin County,Colorado
2020-03-10,4,4,-1,-4,-4,5,1,2,15,269,1020,20,1.9,1.4,8.8,-5,62,1,Gilpin County,Colorado
2020-03-11,8,8,-1,-2,-2,5,2,4,12,259,1016,17,0.5,0.4,11.6,-4,63,2,Gilpin County,Colorado
2020-03-12,3,3,-4,-4,-4,5,1,2,14,268,1012,18,0.5,0.4,10.2,-5,65,1,Gilpin County,Colorado
2020-03-13,-1,-1,-5,-4,-4,4,-2,-1,4,60,1013,4,4.7,4.0,6.0,-4,89,1,Gilpin County,Colorado
2020-03-14,5,5,-4,-2,-2,5,0,2,4,185,1017,6,1.8,1.5,10.2,-5,72,1,Gilpin County,Colorado
2020-03-15,8,8,-2,1,1,6,2,4,3,197,1020,6,0.1,0.0,10.2,-5,64,1,Gilpin County,Colorado
2020-03-16,7,7,-1,1,1,5,3,4,5,151,1017,9,0.3,0.2,10.2,-6,57,1,Gilpin County,Colorado
2020-03-17,8,8,-2,1,1,5,2,4,4,265,1013,5,0.2,0.2,10.2,-5,64,1,Gilpin County,Colorado
2020-03-18,7,7,0,2,2,5,4,5,5,142,1007,9,0.5,0.2,8.8,-7,48,1,Gilpin County,Colorado
2020-03-19,0,0,-9,-7,-7,2,-3,-3,7,48,1008,9,51.2,43.5,6.0,-3,96,1,Gilpin County,Colorado
2020-03-20,-2,-2,-9,-9,-9,3,-6,-5,4,131,1028,5,7.0,5.9,7.4,-9,85,1,Gilpin County,Colorado
2020-03-21,3,3,-6,-6,-6,5,-3,-1,6,208,1022,10,0.4,0.3,8.8,-7,73,1,Gilpin County,Colorado
2020-03-22,3,3,-6,-6,-6,5,-2,-1,9,282,1017,15,0.4,0.2,8.8,-6,76,1,Gilpin County,Colorado
2020-03-23,4,4,-7,-5,-5,5,-1,1,6,271,1015,10,1.7,1.4,8.9,-6,72,1,Gilpin County,Colorado
2020-03-24,5,5,-4,-3,-3,6,1,2,9,260,1013,14,0.0,0.0,11.6,-5,71,1,Gilpin County,Colorado
2020-03-25,7,7,-2,-3,-3,5,1,2,11,249,1008,17,0.3,0.1,9.0,-6,61,1,Gilpin County,Colorado
2020-03-26,6,6,-2,-3,-3,6,2,3,12,242,1003,17,0.0,0.0,11.6,-8,52,2,Gilpin County,Colorado
2020-03-27,-1,-1,-7,-4,-4,4,-3,-2,3,153,1004,4,15.9,13.5,6.3,-5,83,1,Gilpin County,Colorado
2020-03-28,-3,-3,-9,-14,-14,4,-6,-6,14,278,1014,19,3.8,3.1,7.7,-11,69,1,Gilpin County,Colorado
2020-03-29,1,1,-8,-8,-8,4,-4,-2,7,243,1018,10,1.1,0.9,9.0,-9,69,1,Gilpin County,Colorado
2020-03-30,5,5,-4,-2,-2,5,1,2,6,317,1016,9,2.6,0.8,10.3,-5,68,1,Gilpin County,Colorado
2020-03-31,7,7,-3,-2,-2,6,2,4,12,263,1015,16,0.0,0.0,11.6,-5,65,2,Gilpin County,Colorado
2020-04-01,8,8,1,1,1,6,4,6,9,244,1005,15,0.4,0.0,10.3,-4,55,2,Gilpin County,Colorado
2020-04-02,1,1,-10,-6,-6,3,-3,-3,5,106,1011,6,4.8,4.1,7.7,-5,84,1,Gilpin County,Colorado
2020-04-03,-1,-1,-10,-8,-8,4,-6,-5,3,121,1021,3,2.7,2.2,7.7,-10,76,1,Gilpin County,Colorado
2020-04-04,6,6,-6,-3,-3,5,0,2,6,255,1012,7,1.1,0.7,10.3,-6,66,1,Gilpin County,Colorado
2020-04-05,8,8,-1,1,1,5,4,5,8,242,1007,13,0.7,0.5,10.3,-5,57,2,Gilpin County,Colorado
2020-04-06,9,9,2,2,2,6,5,7,11,245,1008,18,0.0,0.0,11.6,-7,43,3,Gilpin County,Colorado
2020-04-07,9,9,2,2,2,6,6,7,16,260,1013,24,0.0,0.0,11.6,-8,38,3,Gilpin County,Colorado
2020-04-08,8,8,0,2,2,6,5,6,9,282,1016,14,0.0,0.0,11.6,-6,47,3,Gilpin County,Colorado
2020-04-09,9,9,-4,0,0,5,2,3,4,158,1016,6,0.1,0.1,10.3,-3,71,1,Gilpin County,Colorado
2020-04-10,10,10,1,2,2,5,5,7,11,282,1011,15,0.3,0.3,11.6,-5,54,3,Gilpin County,Colorado
2020-04-11,9,9,1,1,1,5,6,6,15,272,1003,20,0.3,0.3,11.6,-8,41,3,Gilpin County,Colorado
2020-04-12,-7,-7,-13,-10,-10,2,-7,-8,5,78,1013,6,27.9,23.7,7.8,-9,90,1,Gilpin County,Colorado
2020-04-13,-8,-8,-16,-15,-15,1,-12,-12,3,79,1023,4,20.8,17.7,6.6,-13,95,1,Gilpin County,Colorado
2020-04-14,-4,-4,-17,-19,-19,5,-10,-8,15,282,1025,21,1.6,1.4,11.6,-14,78,1,Gilpin County,Colorado
2020-04-15,0,0,-9,-10,-10,4,-5,-3,10,292,1016,15,6.8,5.6,9.1,-8,81,1,Gilpin County,Colorado
2020-04-16,-7,-7,-13,-13,-13,1,-8,-9,6,69,1018,7,61.1,51.9,6.6,-9,97,1,Gilpin County,Colorado
2020-04-17,-1,-1,-12,-12,-12,5,-6,-5,8,269,1022,13,2.0,1.7,11.6,-9,81,2,Gilpin County,Colorado
2020-04-18,3,3,-5,-5,-5,5,-2,0,6,206,1012,12,6.4,5.4,9.1,-4,84,1,Gilpin County,Colorado
2020-04-19,5,5,-4,-3,-3,5,1,2,8,279,1012,13,0.6,0.4,10.4,-3,78,1,Gilpin County,Colorado
2020-04-20,8,8,-3,-1,-1,6,2,4,7,296,1014,11,0.2,0.0,10.4,-3,72,1,Gilpin County,Colorado
2020-04-21,8,8,-1,2,2,5,4,5,4,56,1013,8,5.6,0.0,10.4,-2,72,1,Gilpin County,Colorado
2020-04-22,8,8,0,2,2,5,5,6,9,314,1013,15,2.5,0.2,7.9,-3,64,2,Gilpin County,Colorado
2020-04-23,7,7,0,-1,-1,5,3,4,12,283,1011,17,5.6,4.6,9.1,-2,71,1,Gilpin County,Colorado
2020-04-24,4,4,-2,-3,-3,5,1,2,8,300,1017,12,7.1,5.4,7.9,-5,69,1,Gilpin County,Colorado
2020-04-25,8,8,-2,0,0,5,3,4,8,291,1020,12,2.0,1.5,9.2,-4,66,1,Gilpin County,Colorado
2020-04-26,11,11,2,2,2,5,6,7,10,275,1017,15,5.6,0.5,10.4,-2,62,2,Gilpin County,Colorado
2020-04-27,13,13,2,5,5,5,8,9,11,268,1015,17,1.0,0.9,11.6,-1,59,3,Gilpin County,Colorado
2020-04-28,10,10,3,3,3,6,7,7,14,290,1018,19,2.8,0.0,11.6,-2,59,3,Gilpin County,Colorado
2020-04-29,15,15,1,8,8,6,9,11,4,244,1023,7,0.0,0.0,11.6,-4,47,4,Gilpin County,Colorado
2020-04-30,18,18,7,11,11,6,13,14,11,263,1013,18,0.1,0.0,8.0,-2,41,3,Gilpin County,Colorado
2020-05-01,18,18,6,11,11,6,12,14,6,242,1011,11,0.5,0.0,10.4,0,50,3,Gilpin County,Colorado
2020-05-02,14,14,5,8,8,4,9,10,4,220,1015,6,10.0,0.0,8.5,4,73,3,Gilpin County,Colorado
2020-05-03,19,19,4,10,10,5,12,14,7,253,1013,10,5.0,0.0,14.0,0,57,4,Gilpin County,Colorado
2020-05-04,10,10,3,4,4,5,7,7,12,280,1016,16,1.0,0.0,11.2,-1,65,2,Gilpin County,Colorado
2020-05-05,11,11,-1,2,2,6,5,7,9,292,1022,14,0.0,0.0,14.4,-10,38,3,Gilpin County,Colorado
2020-05-06,15,15,0,7,7,6,8,10,5,261,1021,7,0.0,0.0,14.5,-5,47,4,Gilpin County,Colorado
2020-05-07,12,12,3,3,3,6,7,8,17,276,1016,23,0.0,0.0,14.5,-8,39,3,Gilpin County,Colorado
2020-05-08,10,10,-3,2,2,5,4,5,5,93,1023,7,0.1,0.1,13.4,-6,57,2,Gilpin County,Colorado
2020-05-09,7,7,-1,1,1,5,3,5,6,137,1021,10,0.9,0.3,11.2,-4,62,1,Gilpin County,Colorado
2020-05-10,10,10,-2,3,3,5,5,6,4,141,1022,5,0.4,0.3,14.5,-5,60,3,Gilpin County,Colorado
2020-05-11,8,8,0,3,3,5,4,5,3,139,1015,5,11.0,1.0,11.3,0,73,1,Gilpin County,Colorado
2020-05-12,17,17,2,8,8,5,10,12,10,251,1008,15,0.3,0.3,14.5,0,58,4,Gilpin County,Colorado
2020-05-13,14,14,4,7,7,6,10,11,13,259,1006,20,0.0,0.0,14.5,-6,37,4,Gilpin County,Colorado
2020-05-14,13,13,3,6,6,5,8,9,7,210,1011,10,2.3,0.3,11.3,-1,60,2,Gilpin County,Colorado
2020-05-15,11,11,2,6,6,5,7,8,7,264,1012,10,4.7,0.5,10.2,2,74,2,Gilpin County,Colorado
2020-05-16,13,13,3,8,8,5,9,10,4,279,1013,6,3.2,1.4,10.2,2,68,3,Gilpin County,Colorado
2020-05-17,21,21,5,12,12,6,14,16,5,235,1012,8,0.0,0.0,14.5,1,50,5,Gilpin County,Colorado
2020-05-18,21,21,8,14,14,6,15,17,5,103,1012,10,0.0,0.0,14.5,-1,39,5,Gilpin County,Colorado
2020-05-19,22,22,10,15,15,6,17,18,8,179,1009,13,0.4,0.0,14.5,-4,31,5,Gilpin County,Colorado
2020-05-20,20,20,8,13,13,6,15,16,11,221,1006,16,0.0,0.0,14.5,-2,43,5,Gilpin County,Colorado
2020-05-21,15,15,2,7,7,6,10,11,8,244,1012,12,0.0,0.0,14.5,-8,34,4,Gilpin County,Colorado
2020-05-22,16,16,4,9,9,6,11,12,7,183,1010,11,0.0,0.0,14.5,-5,38,4,Gilpin County,Colorado
2020-05-23,15,15,6,10,10,6,11,13,8,249,1006,13,0.0,0.0,13.4,-8,29,4,Gilpin County,Colorado
2020-05-24,7,7,0,2,2,4,3,4,4,204,1013,6,39.0,32.6,10.3,1,82,1,Gilpin County,Colorado
2020-05-25,6,6,-3,0,0,5,2,3,3,101,1018,6,12.9,6.9,12.4,0,85,1,Gilpin County,Colorado
2020-05-26,14,14,2,6,6,6,8,10,9,287,1016,15,0.1,0.0,14.5,0,60,4,Gilpin County,Colorado
2020-05-27,16,16,6,10,10,5,12,13,6,114,1016,11,5.4,0.0,12.4,5,68,3,Gilpin County,Colorado
2020-05-28,13,13,7,9,9,5,10,11,5,85,1021,8,8.2,0.0,13.5,6,79,3,Gilpin County,Colorado
2020-05-29,21,21,8,15,15,5,16,17,5,292,1019,9,3.8,0.0,13.5,4,57,4,Gilpin County,Colorado
2020-05-30,22,22,11,16,16,5,18,19,7,133,1017,12,12.2,0.0,12.4,5,58,4,Gilpin County,Colorado
2020-05-31,23,23,10,16,16,6,17,19,7,274,1016,10,2.8,0.0,14.5,5,56,5,Gilpin County,Colorado
2020-06-01,21,21,10,14,14,6,16,18,8,226,1016,14,3.1,0.0,14.5,4,51,5,Gilpin County,Colorado
2020-06-02,21,21,12,16,16,6,17,18,7,158,1017,11,0.2,0.0,13.5,3,47,4,Gilpin County,Colorado
2020-06-03,20,20,10,16,16,6,16,18,8,292,1017,13,0.0,0.0,14.5,2,42,5,Gilpin County,Colorado
2020-06-04,20,20,10,14,14,6,15,17,10,272,1013,16,0.4,0.0,14.5,1,44,5,Gilpin County,Colorado
2020-06-05,24,24,10,16,16,6,17,20,7,189,1013,12,0.7,0.0,13.5,1,39,4,Gilpin County,Colorado
2020-06-06,17,17,8,13,13,6,14,15,10,199,1008,15,3.7,0.0,12.4,2,43,3,Gilpin County,Colorado
2020-06-07,21,21,8,14,14,6,15,17,9,214,1002,15,0.0,0.0,14.5,-5,28,5,Gilpin County,Colorado
2020-06-08,17,17,5,10,10,5,12,13,9,186,1007,14,1.1,0.9,14.5,-7,36,4,Gilpin County,Colorado
2020-06-09,6,6,0,-1,-1,4,3,4,13,293,1016,17,7.1,5.9,10.4,-2,72,1,Gilpin County,Colorado
2020-06-10,14,14,2,6,6,6,8,10,11,280,1021,15,0.0,0.0,14.5,-2,55,3,Gilpin County,Colorado
2020-06-11,20,20,5,12,12,6,14,16,5,228,1024,10,0.0,0.0,14.5,-1,42,5,Gilpin County,Colorado
2020-06-12,23,23,9,15,15,6,16,19,5,204,1023,9,0.0,0.0,14.5,-1,37,5,Gilpin County,Colorado
2020-06-13,21,21,6,12,12,5,13,14,6,219,1015,12,4.8,0.0,12.4,3,51,3,Gilpin County,Colorado
2020-06-14,21,21,8,14,14,6,15,17,11,242,1011,18,2.0,0.0,14.5,-1,43,5,Gilpin County,Colorado
2020-06-15,25,25,9,16,16,6,17,19,6,192,1015,12,0.0,0.0,14.5,-4,27,5,Gilpin County,Colorado
2020-06-16,23,23,13,17,17,6,18,20,13,235,1010,20,0.0,0.0,14.5,-3,25,5,Gilpin County,Colorado
2020-06-17,22,22,12,16,16,6,17,19,11,244,1008,17,0.0,0.0,14.5,-5,24,5,Gilpin County,Colorado
2020-06-18,14,14,5,8,8,5,9,10,6,137,1017,8,6.8,0.0,12.5,3,67,2,Gilpin County,Colorado
2020-06-19,11,11,5,7,7,3,8,9,4,191,1017,6,26.0,0.0,9.4,5,85,2,Gilpin County,Colorado
2020-06-20,18,18,5,11,11,6,12,14,10,278,1015,15,0.4,0.0,14.5,-2,44,4,Gilpin County,Colorado
2020-06-21,20,20,9,13,13,6,14,16,10,270,1014,15,0.2,0.0,14.5,3,52,5,Gilpin County,Colorado
2020-06-22,19,19,8,13,13,6,14,15,5,179,1017,9,2.3,0.0,12.5,4,60,4,Gilpin County,Colorado
