date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,3,3,-4,-7,-7,6,-1,-1,13,258,1018,18,0.1,0.1,11.1,-7,64,2,Glacier County,Montana
2020-03-02,5,5,-1,-5,-5,6,1,2,25,270,1009,36,0.0,0.0,11.1,-8,48,2,Glacier County,Montana
2020-03-03,8,8,2,-1,-1,6,4,5,20,274,1007,32,0.0,0.0,11.1,-5,54,3,Glacier County,Montana
2020-03-04,2,2,-1,-5,-5,5,2,2,25,278,1011,36,0.7,0.2,8.6,-7,54,1,Glacier County,Montana
2020-03-05,9,9,-3,-2,-2,6,2,3,10,180,1021,16,0.0,0.0,11.2,-8,49,2,Glacier County,Montana
2020-03-06,13,13,4,4,4,6,7,8,9,245,1011,16,0.0,0.0,11.2,-1,58,3,Glacier County,Montana
2020-03-07,-1,-1,-12,-6,-6,5,-2,-3,10,90,1009,12,0.3,0.3,7.1,-5,75,1,Glacier County,Montana
2020-03-08,3,3,-9,-8,-8,5,-4,-3,7,160,1017,9,0.2,0.2,11.6,-11,59,1,Glacier County,Montana
2020-03-09,3,3,-3,-4,-4,6,-1,0,8,266,1019,11,0.0,0.0,11.6,-12,46,2,Glacier County,Montana
2020-03-10,5,5,-3,-5,-5,6,1,1,16,258,1016,24,0.0,0.0,11.6,-8,51,2,Glacier County,Montana
2020-03-11,3,3,-4,-4,-4,3,2,1,18,157,1010,26,2.9,2.5,7.3,-4,66,1,Glacier County,Montana
2020-03-12,0,0,-3,-6,-6,3,-2,-1,7,190,1022,9,3.0,2.6,7.3,-6,72,1,Glacier County,Montana
2020-03-13,-6,-6,-15,-18,-18,1,-9,-10,16,22,1030,21,15.7,2.8,5.9,-10,90,1,Glacier County,Montana
2020-03-14,-18,-18,-21,-31,-31,1,-19,-20,18,340,1041,23,9.5,1.4,6.0,-20,94,1,Glacier County,Montana
2020-03-15,-14,-14,-22,-26,-26,5,-18,-18,8,168,1042,11,0.1,0.1,6.0,-20,90,1,Glacier County,Montana
2020-03-16,-2,-2,-17,-13,-13,6,-9,-7,5,237,1031,9,0.0,0.0,11.6,-14,71,2,Glacier County,Montana
2020-03-17,-2,-2,-9,-10,-10,4,-5,-4,11,331,1019,16,0.5,0.3,10.2,-9,82,1,Glacier County,Montana
2020-03-18,-6,-6,-11,-12,-12,3,-8,-8,5,100,1022,7,1.2,0.9,6.0,-10,91,1,Glacier County,Montana
2020-03-19,-7,-7,-13,-15,-15,4,-10,-10,7,130,1032,11,0.9,0.8,6.0,-11,91,1,Glacier County,Montana
2020-03-20,-4,-4,-13,-14,-14,4,-9,-9,6,162,1030,9,0.5,0.4,10.2,-10,93,1,Glacier County,Montana
2020-03-21,2,2,-5,-6,-6,5,-2,-1,7,330,1021,11,0.1,0.1,11.6,-4,87,2,Glacier County,Montana
2020-03-22,4,4,-6,-5,-5,5,-1,-1,8,212,1018,13,0.3,0.3,11.6,-4,81,2,Glacier County,Montana
2020-03-23,8,8,1,1,1,6,4,5,10,215,1006,17,0.0,0.0,11.6,-3,63,2,Glacier County,Montana
2020-03-24,-1,-1,-3,-6,-6,6,-2,-2,8,193,1013,12,0.0,0.0,8.9,-6,74,1,Glacier County,Montana
2020-03-25,0,0,-4,-6,-6,6,-2,-2,7,184,1012,9,0.0,0.0,8.9,-5,80,1,Glacier County,Montana
2020-03-26,4,4,-4,-6,-6,6,0,1,13,259,1008,19,0.0,0.0,11.6,-7,64,2,Glacier County,Montana
2020-03-27,6,6,-2,-3,-3,6,1,2,10,237,1009,16,0.0,0.0,11.6,-5,63,2,Glacier County,Montana
2020-03-28,8,8,0,-1,-1,6,3,5,13,265,1011,20,0.0,0.0,11.6,-4,60,2,Glacier County,Montana
2020-03-29,10,10,1,1,1,6,5,6,12,225,1009,19,0.0,0.0,10.3,-2,63,2,Glacier County,Montana
2020-03-30,10,10,1,2,2,6,5,6,11,205,1009,17,2.4,0.0,10.3,-2,61,2,Glacier County,Montana
2020-03-31,-1,-1,-8,-9,-9,5,-3,-4,12,12,1016,15,1.1,0.9,6.5,-8,71,1,Glacier County,Montana
2020-04-01,-10,-10,-12,-19,-19,3,-11,-11,11,10,1028,13,2.6,2.2,6.5,-16,69,1,Glacier County,Montana
2020-04-02,-6,-6,-13,-16,-16,6,-10,-10,8,110,1030,10,0.0,0.0,11.6,-20,43,2,Glacier County,Montana
2020-04-03,3,3,-11,-11,-11,5,-5,-3,10,197,1018,14,1.0,0.9,7.8,-11,65,1,Glacier County,Montana
2020-04-04,-1,-1,-8,-9,-9,6,-4,-5,8,212,1014,11,0.1,0.0,10.3,-9,70,1,Glacier County,Montana
2020-04-05,2,2,-4,-5,-5,5,-1,-2,7,109,1007,10,2.0,1.7,9.1,-5,77,1,Glacier County,Montana
2020-04-06,9,9,1,1,1,6,5,6,10,270,1003,15,0.0,0.0,11.6,-2,64,3,Glacier County,Montana
2020-04-07,10,10,3,2,2,5,6,7,16,268,1009,23,0.0,0.0,11.6,-3,60,3,Glacier County,Montana
2020-04-08,3,3,-3,-3,-3,4,0,0,6,248,1026,8,1.9,1.6,10.4,-6,64,1,Glacier County,Montana
2020-04-09,11,11,-1,1,1,6,5,5,9,154,1019,12,0.0,0.0,11.6,-5,52,3,Glacier County,Montana
2020-04-10,6,6,2,0,0,4,4,4,11,100,1012,16,3.4,2.6,6.8,1,82,1,Glacier County,Montana
2020-04-11,-4,-4,-6,-11,-11,1,-4,-5,16,18,1024,21,15.4,10.3,6.9,-6,84,1,Glacier County,Montana
2020-04-12,-2,-2,-7,-11,-11,5,-5,-4,11,254,1030,13,0.4,0.3,8.0,-14,47,1,Glacier County,Montana
2020-04-13,0,0,-8,-9,-9,5,-4,-4,10,326,1029,12,0.6,0.5,9.2,-11,60,1,Glacier County,Montana
2020-04-14,7,7,-3,-2,-2,6,2,4,10,304,1019,15,0.0,0.0,10.4,-5,58,1,Glacier County,Montana
2020-04-15,0,0,-4,-6,-6,2,0,-1,15,94,1025,21,7.3,2.2,6.9,-3,82,1,Glacier County,Montana
2020-04-16,4,4,-6,-5,-5,6,-1,0,7,257,1027,11,0.1,0.1,11.6,-7,66,2,Glacier County,Montana
2020-04-17,10,10,-1,1,1,6,5,7,13,286,1012,20,0.0,0.0,11.6,-3,58,3,Glacier County,Montana
2020-04-18,4,4,1,-1,-1,4,3,3,9,25,1015,12,6.0,4.0,8.1,0,81,1,Glacier County,Montana
2020-04-19,12,12,-1,3,3,6,5,7,8,272,1013,11,0.0,0.0,11.6,-1,67,3,Glacier County,Montana
2020-04-20,15,15,3,6,6,6,9,10,10,263,1013,16,0.0,0.0,11.6,1,61,4,Glacier County,Montana
2020-04-21,16,16,5,9,9,6,10,12,12,270,1010,17,0.0,0.0,11.6,2,58,4,Glacier County,Montana
2020-04-22,13,13,5,7,7,6,9,10,14,253,1011,19,0.0,0.0,10.5,1,59,3,Glacier County,Montana
2020-04-23,11,11,3,5,5,6,8,8,8,271,1011,12,4.6,0.0,7.1,1,63,2,Glacier County,Montana
2020-04-24,12,12,3,5,5,6,8,8,9,274,1018,14,1.8,0.0,11.6,-2,54,3,Glacier County,Montana
2020-04-25,14,14,3,7,7,6,9,10,12,228,1015,17,0.0,0.0,10.5,1,57,3,Glacier County,Montana
2020-04-26,14,14,5,7,7,6,10,10,12,263,1012,17,0.0,0.0,11.6,-2,47,4,Glacier County,Montana
2020-04-27,14,14,8,7,7,6,10,11,20,254,1009,26,0.2,0.0,10.5,-2,44,3,Glacier County,Montana
2020-04-28,15,15,4,7,7,6,10,11,14,250,1018,21,0.0,0.0,11.6,-4,38,4,Glacier County,Montana
2020-04-29,21,21,9,13,13,6,14,16,9,232,1014,14,1.1,0.0,11.6,2,44,5,Glacier County,Montana
2020-04-30,18,18,12,14,14,6,15,16,16,250,1006,23,2.1,0.0,11.6,5,53,5,Glacier County,Montana
2020-05-01,13,13,6,7,7,5,9,9,9,264,1014,12,1.9,0.0,9.4,1,55,2,Glacier County,Montana
2020-05-02,18,18,4,10,10,6,11,12,6,195,1014,10,0.3,0.0,11.6,-1,45,4,Glacier County,Montana
2020-05-03,11,11,6,7,7,6,10,10,18,261,1011,24,0.0,0.0,9.4,-2,44,3,Glacier County,Montana
2020-05-04,12,12,3,3,3,6,7,9,23,271,1018,31,0.0,0.0,11.6,-6,39,3,Glacier County,Montana
2020-05-05,14,14,2,5,5,6,8,9,8,223,1023,11,0.0,0.0,11.6,-1,56,3,Glacier County,Montana
2020-05-06,15,15,6,8,8,5,10,11,11,150,1016,16,15.1,0.0,9.4,0,55,3,Glacier County,Montana
2020-05-07,14,14,3,5,5,5,8,10,10,241,1023,13,21.1,3.6,9.4,2,70,2,Glacier County,Montana
2020-05-08,9,9,5,4,4,4,7,8,14,336,1026,18,1.4,0.0,11.3,3,75,2,Glacier County,Montana
2020-05-09,12,12,2,5,5,6,7,8,6,226,1029,9,0.2,0.0,13.5,0,61,2,Glacier County,Montana
2020-05-10,9,9,3,3,3,6,6,7,11,106,1029,14,0.1,0.0,15.4,-1,60,2,Glacier County,Montana
2020-05-11,9,9,0,1,1,6,5,6,12,105,1022,15,0.0,0.0,15.5,-4,55,3,Glacier County,Montana
2020-05-12,3,3,-3,-1,-1,5,2,2,8,118,1011,11,2.2,1.9,12.6,-1,78,1,Glacier County,Montana
2020-05-13,9,9,0,2,2,5,4,4,7,251,1006,9,0.2,0.1,13.6,1,79,1,Glacier County,Montana
2020-05-14,16,16,4,7,7,6,10,11,8,265,1010,13,0.0,0.0,15.5,2,58,4,Glacier County,Montana
2020-05-15,15,15,5,8,8,6,11,11,9,282,1013,13,2.9,0.0,14.5,4,64,3,Glacier County,Montana
2020-05-16,17,17,6,10,10,6,12,13,6,240,1010,10,0.0,0.0,15.6,3,60,4,Glacier County,Montana
2020-05-17,18,18,9,14,14,6,14,15,7,219,1002,10,0.0,0.0,15.6,4,53,4,Glacier County,Montana
2020-05-18,20,20,10,15,15,6,15,17,5,239,1004,7,0.1,0.0,15.5,5,54,4,Glacier County,Montana
2020-05-19,14,14,10,10,10,6,12,12,13,259,1009,16,2.8,0.0,15.5,7,72,3,Glacier County,Montana
2020-05-20,12,12,9,8,8,3,10,11,13,97,1006,18,26.1,0.0,11.8,9,90,3,Glacier County,Montana
2020-05-21,9,9,8,5,5,4,8,8,18,244,1000,25,15.4,0.0,12.7,4,73,2,Glacier County,Montana
2020-05-22,12,12,3,4,4,6,8,9,16,253,1007,23,0.0,0.0,15.7,-1,53,3,Glacier County,Montana
2020-05-23,11,11,3,5,5,6,7,7,6,118,1015,9,0.5,0.0,14.6,1,65,2,Glacier County,Montana
2020-05-24,17,17,4,10,10,6,11,12,6,246,1016,10,0.5,0.0,15.8,3,60,4,Glacier County,Montana
2020-05-25,19,19,7,12,12,6,13,15,11,248,1012,16,0.0,0.0,15.8,4,57,4,Glacier County,Montana
2020-05-26,20,20,9,13,13,6,14,16,14,266,1010,19,0.0,0.0,15.8,5,57,5,Glacier County,Montana
2020-05-27,15,15,8,11,11,6,12,13,6,92,1018,8,0.7,0.0,15.8,4,61,3,Glacier County,Montana
2020-05-28,19,19,7,13,13,6,14,15,11,130,1022,15,0.0,0.0,15.9,3,50,4,Glacier County,Montana
2020-05-29,22,22,8,15,15,6,16,16,6,70,1016,10,0.1,0.0,15.9,7,56,5,Glacier County,Montana
2020-05-30,24,24,11,17,17,6,19,19,12,121,1011,17,0.2,0.0,15.9,11,64,5,Glacier County,Montana
2020-05-31,21,21,13,17,17,6,18,18,18,224,1002,25,0.0,0.0,15.9,8,59,5,Glacier County,Montana
