date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,4,4,-6,-6,-6,6,-2,-1,9,187,1013,15,0.0,0.0,5.6,-3,86,1,Gladwin County,Michigan
2020-03-02,4,4,-1,-2,-2,4,1,2,8,282,1006,12,0.0,0.0,7.1,-1,84,1,Gladwin County,Michigan
2020-03-03,5,5,-2,-3,-3,4,1,2,7,222,1001,11,0.1,0.0,5.6,-2,84,1,Gladwin County,Michigan
2020-03-04,1,1,-3,-5,-5,5,0,1,10,294,1010,14,0.4,0.1,11.2,-4,77,1,Gladwin County,Michigan
2020-03-05,6,6,-3,-3,-3,4,1,2,7,184,1015,11,2.1,1.4,7.1,-3,79,1,Gladwin County,Michigan
2020-03-06,1,1,-4,-5,-5,5,-1,0,10,123,1022,14,0.5,0.3,7.1,-4,79,1,Gladwin County,Michigan
2020-03-07,6,6,-4,-3,-3,6,0,1,7,217,1030,10,0.0,0.0,11.3,-6,66,2,Gladwin County,Michigan
2020-03-08,10,10,0,1,1,6,5,6,10,221,1022,17,0.0,0.0,11.4,-1,67,3,Gladwin County,Michigan
2020-03-09,10,10,5,5,5,5,8,8,13,229,1016,23,8.3,0.0,5.9,5,83,2,Gladwin County,Michigan
2020-03-10,7,7,0,1,1,5,4,5,11,338,1017,15,14.9,0.0,10.2,-1,69,2,Gladwin County,Michigan
2020-03-11,5,5,-1,-1,-1,4,2,2,5,177,1019,7,3.1,0.6,5.9,-1,85,1,Gladwin County,Michigan
2020-03-12,10,10,0,3,3,3,5,6,9,169,1009,13,0.5,0.0,5.9,3,83,2,Gladwin County,Michigan
2020-03-13,4,4,0,-3,-3,5,2,2,17,278,1014,23,5.2,0.0,11.6,-4,64,2,Gladwin County,Michigan
2020-03-14,3,3,-2,-4,-4,6,0,1,8,344,1034,11,0.0,0.0,6.0,-6,66,1,Gladwin County,Michigan
2020-03-15,2,2,-4,-5,-5,6,-1,0,7,81,1038,10,0.0,0.0,11.6,-8,61,2,Gladwin County,Michigan
