date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,4,4,-4,-2,-2,6,1,1,7,197,1019,10,0.1,0.0,8.6,-7,55,1,Gooding County,Idaho
2020-03-02,6,6,-4,-3,-3,6,0,1,8,275,1024,12,0.0,0.0,11.2,-9,50,2,Gooding County,Idaho
2020-03-03,11,11,0,1,1,6,4,6,9,280,1023,14,0.0,0.0,11.2,-1,71,3,Gooding County,Idaho
2020-03-04,13,13,2,5,5,6,7,8,7,224,1022,10,0.0,0.0,11.2,-2,58,3,Gooding County,Idaho
2020-03-05,12,12,2,3,3,6,6,7,13,65,1024,21,0.0,0.0,11.3,-4,50,3,Gooding County,Idaho
2020-03-06,14,14,5,5,5,6,9,10,14,62,1016,24,0.0,0.0,11.3,-1,50,3,Gooding County,Idaho
2020-03-07,10,10,6,4,4,5,8,8,13,169,1008,21,3.1,0.0,8.6,0,59,2,Gooding County,Idaho
2020-03-08,9,9,1,3,3,6,5,5,5,295,1014,7,1.7,0.0,11.4,-2,62,3,Gooding County,Idaho
2020-03-09,9,9,3,3,3,6,5,6,7,276,1019,10,0.0,0.0,5.7,-3,55,2,Gooding County,Idaho
2020-03-10,10,10,0,3,3,6,5,5,5,223,1025,8,0.0,0.0,11.6,-4,55,2,Gooding County,Idaho
2020-03-11,13,13,1,4,4,6,6,7,7,174,1018,11,0.0,0.0,11.6,-4,48,3,Gooding County,Idaho
2020-03-12,8,8,0,2,2,6,4,4,7,320,1020,12,0.0,0.0,11.6,-6,49,2,Gooding County,Idaho
2020-03-13,9,9,-1,-1,-1,6,3,4,10,72,1011,15,0.0,0.0,11.6,-7,50,2,Gooding County,Idaho
2020-03-14,10,10,4,3,3,5,6,7,11,169,1008,16,4.5,0.0,7.4,-1,61,2,Gooding County,Idaho
2020-03-15,13,13,4,4,4,5,7,8,13,84,1013,18,6.4,0.0,7.4,1,68,2,Gooding County,Idaho
2020-03-16,14,14,4,5,5,6,8,9,17,79,1015,24,0.7,0.0,11.6,0,56,3,Gooding County,Idaho
2020-03-17,15,15,6,7,7,6,9,10,11,157,1008,17,2.1,0.0,8.8,0,57,3,Gooding County,Idaho
2020-03-18,10,10,4,4,4,6,6,6,6,281,1009,8,0.0,0.0,11.6,-5,47,3,Gooding County,Idaho
2020-03-19,10,10,1,4,4,6,5,5,4,296,1015,6,0.0,0.0,10.2,-5,48,2,Gooding County,Idaho
2020-03-20,11,11,3,5,5,6,7,7,6,201,1021,9,0.0,0.0,11.6,-3,51,3,Gooding County,Idaho
2020-03-21,13,13,3,6,6,6,8,8,6,215,1021,10,0.0,0.0,11.6,-2,52,3,Gooding County,Idaho
2020-03-22,13,13,3,6,6,6,8,9,6,298,1019,9,0.0,0.0,11.6,-5,45,3,Gooding County,Idaho
2020-03-23,14,14,3,6,6,6,8,9,8,169,1012,13,0.1,0.0,11.6,-5,40,2,Gooding County,Idaho
2020-03-24,10,10,3,4,4,6,6,7,10,262,1013,13,0.6,0.0,11.6,-2,57,3,Gooding County,Idaho
2020-03-25,8,8,0,0,0,5,4,4,12,287,1013,16,0.7,0.3,8.9,-5,57,1,Gooding County,Idaho
2020-03-26,7,7,-3,-1,-1,6,2,3,10,280,1015,14,0.0,0.0,11.6,-10,42,2,Gooding County,Idaho
2020-03-27,8,8,-3,0,0,6,2,4,7,218,1014,10,0.0,0.0,9.0,-8,48,1,Gooding County,Idaho
2020-03-28,11,11,-1,3,3,6,5,6,8,274,1018,11,0.0,0.0,11.6,-4,54,3,Gooding County,Idaho
2020-03-29,11,11,2,5,5,6,6,7,6,177,1016,9,0.3,0.0,7.7,-3,52,2,Gooding County,Idaho
2020-03-30,11,11,3,6,6,5,7,8,7,230,1017,9,4.0,0.0,7.7,1,64,2,Gooding County,Idaho
2020-03-31,9,9,5,3,3,4,7,7,16,260,1013,22,20.0,0.0,9.0,3,78,2,Gooding County,Idaho
2020-04-01,7,7,1,-1,-1,6,3,4,10,266,1016,14,0.5,0.0,11.6,-7,49,2,Gooding County,Idaho
2020-04-02,7,7,-3,-2,-2,6,3,3,11,277,1020,15,0.0,0.0,11.6,-11,40,2,Gooding County,Idaho
2020-04-03,9,9,-1,1,1,6,3,4,5,164,1018,7,0.0,0.0,11.6,-10,37,2,Gooding County,Idaho
2020-04-04,12,12,1,5,5,5,6,7,5,87,1009,7,0.2,0.0,9.0,-7,40,2,Gooding County,Idaho
2020-04-05,14,14,3,7,7,5,8,9,7,95,1004,9,1.1,0.0,10.3,1,61,3,Gooding County,Idaho
2020-04-06,14,14,6,9,9,5,10,11,5,189,1005,7,4.2,0.0,7.8,3,67,3,Gooding County,Idaho
2020-04-07,17,17,5,11,11,6,11,12,5,251,1014,7,0.3,0.0,11.6,2,58,4,Gooding County,Idaho
2020-04-08,18,18,5,10,10,6,11,12,4,86,1019,7,0.0,0.0,11.6,-1,46,4,Gooding County,Idaho
2020-04-09,18,18,6,11,11,6,12,13,5,281,1014,8,0.0,0.0,11.6,-3,34,4,Gooding County,Idaho
2020-04-10,20,20,7,13,13,6,14,15,7,250,1012,10,0.0,0.0,11.6,3,50,4,Gooding County,Idaho
2020-04-11,15,15,8,10,10,6,12,13,17,283,1008,23,0.0,0.0,11.6,1,49,4,Gooding County,Idaho
2020-04-12,10,10,0,3,3,6,5,6,8,185,1018,11,0.1,0.0,10.3,-7,41,2,Gooding County,Idaho
2020-04-13,7,7,-1,-1,-1,6,3,3,10,223,1024,13,0.0,0.0,11.6,-11,35,2,Gooding County,Idaho
2020-04-14,12,12,-1,3,3,6,6,7,10,276,1024,14,0.0,0.0,10.4,-8,38,2,Gooding County,Idaho
2020-04-15,14,14,5,7,7,6,9,10,15,286,1015,20,0.2,0.0,11.6,-2,46,4,Gooding County,Idaho
2020-04-16,7,7,1,2,2,3,4,4,6,286,1021,7,11.8,9.4,8.0,-1,72,1,Gooding County,Idaho
2020-04-17,13,13,1,5,5,6,7,8,4,90,1019,7,0.0,0.0,11.6,-7,39,3,Gooding County,Idaho
2020-04-18,17,17,3,10,10,6,11,12,6,206,1011,10,0.0,0.0,11.6,-6,33,4,Gooding County,Idaho
2020-04-19,17,17,6,11,11,6,12,13,9,271,1012,13,0.4,0.0,9.2,0,46,3,Gooding County,Idaho
2020-04-20,18,18,5,11,11,6,12,13,5,225,1015,7,0.0,0.0,11.6,-2,42,4,Gooding County,Idaho
2020-04-21,20,20,6,13,13,6,14,15,9,286,1015,13,0.0,0.0,11.6,0,43,4,Gooding County,Idaho
2020-04-22,17,17,7,11,11,6,12,14,15,277,1018,21,0.0,0.0,10.4,2,51,3,Gooding County,Idaho
2020-04-23,15,15,7,8,8,5,11,12,18,285,1017,24,1.0,0.0,9.3,3,61,3,Gooding County,Idaho
2020-04-24,16,16,4,8,8,6,10,11,9,266,1021,13,0.0,0.0,10.4,1,56,4,Gooding County,Idaho
2020-04-25,19,19,5,12,12,6,12,13,3,219,1019,4,0.0,0.0,11.6,3,56,4,Gooding County,Idaho
2020-04-26,21,21,12,15,15,6,16,17,10,267,1015,13,0.5,0.0,11.6,4,49,5,Gooding County,Idaho
2020-04-27,18,18,10,13,13,6,14,15,11,268,1016,15,0.0,0.0,10.4,1,43,4,Gooding County,Idaho
2020-04-28,21,21,7,14,14,6,15,16,9,264,1022,12,0.0,0.0,11.6,3,51,5,Gooding County,Idaho
2020-04-29,27,27,11,18,18,6,19,20,8,87,1017,12,1.2,0.0,10.5,2,35,5,Gooding County,Idaho
2020-04-30,24,24,13,18,18,5,19,19,9,242,1010,14,12.9,0.0,7.0,9,63,4,Gooding County,Idaho
2020-05-01,19,19,8,13,13,6,14,15,8,272,1015,11,0.0,0.0,11.6,1,48,4,Gooding County,Idaho
2020-05-02,22,22,8,15,15,6,15,17,5,110,1013,7,0.2,0.0,10.5,1,39,4,Gooding County,Idaho
2020-05-03,15,15,10,10,10,6,13,13,14,272,1016,20,0.0,0.0,11.6,-1,41,4,Gooding County,Idaho
2020-05-04,17,17,3,8,8,6,10,11,7,271,1022,11,0.0,0.0,11.6,-6,34,4,Gooding County,Idaho
2020-05-05,23,23,7,14,14,6,15,16,8,87,1021,13,0.0,0.0,10.5,-5,27,4,Gooding County,Idaho
2020-05-06,17,17,12,15,15,6,15,16,17,273,1018,24,0.0,0.0,11.6,-2,32,5,Gooding County,Idaho
2020-05-07,16,16,1,7,7,6,9,10,7,256,1026,10,0.0,0.0,11.6,-6,35,4,Gooding County,Idaho
2020-05-08,21,21,5,13,13,6,14,16,6,200,1020,9,0.0,0.0,11.6,-3,37,5,Gooding County,Idaho
2020-05-09,23,23,8,14,14,6,16,17,11,95,1020,18,0.0,0.0,11.6,-2,32,5,Gooding County,Idaho
2020-05-10,27,27,11,17,17,6,18,20,10,83,1013,15,0.1,0.0,11.6,-1,27,5,Gooding County,Idaho
2020-05-11,26,26,14,20,20,6,20,21,9,203,1005,14,0.2,0.0,10.5,3,34,5,Gooding County,Idaho
2020-05-12,19,19,11,14,14,6,15,16,14,262,1006,19,1.5,0.0,10.5,2,46,4,Gooding County,Idaho
2020-05-13,15,15,6,8,8,5,10,11,11,262,1010,15,1.7,0.0,7.2,3,64,3,Gooding County,Idaho
2020-05-14,17,17,6,10,10,5,11,12,7,257,1013,9,0.6,0.0,9.4,2,57,3,Gooding County,Idaho
2020-05-15,18,18,5,11,11,6,12,14,13,266,1014,18,0.1,0.0,11.6,2,55,4,Gooding County,Idaho
2020-05-16,21,21,4,12,12,6,13,15,6,106,1011,9,0.0,0.0,11.6,1,47,4,Gooding County,Idaho
2020-05-17,22,22,12,17,17,6,18,18,6,245,1005,9,0.2,0.0,11.6,5,45,5,Gooding County,Idaho
2020-05-18,21,21,11,15,15,6,16,16,11,242,1006,16,1.6,0.0,10.5,7,64,4,Gooding County,Idaho
2020-05-19,15,15,5,8,8,5,9,10,6,207,1009,9,9.8,0.0,11.4,5,76,3,Gooding County,Idaho
2020-05-20,8,8,-1,3,3,5,6,6,10,255,1011,14,6.8,0.0,9.3,4,86,2,Gooding County,Idaho
