date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,1,1,-12,-7,-7,5,-5,-4,3,204,1012,4,0.8,0.7,8.6,-9,79,1,Grand County,Colorado
2020-03-02,-1,-1,-12,-9,-9,3,-6,-5,5,279,1015,7,4.6,3.9,5.6,-10,86,1,Grand County,Colorado
2020-03-03,1,1,-15,-9,-9,6,-7,-6,2,235,1019,3,0.0,0.0,11.3,-11,82,2,Grand County,Colorado
2020-03-04,2,2,-14,-8,-8,6,-7,-5,4,246,1022,5,0.0,0.0,11.6,-12,73,2,Grand County,Colorado
2020-03-05,3,3,-12,-6,-6,6,-5,-3,3,249,1028,4,0.0,0.0,11.6,-10,71,2,Grand County,Colorado
2020-03-06,5,5,-10,-3,-3,6,-2,-1,2,200,1026,4,0.0,0.0,10.2,-10,63,1,Grand County,Colorado
2020-03-07,6,6,-7,-2,-2,6,0,1,3,233,1016,5,0.0,0.0,11.6,-7,71,2,Grand County,Colorado
2020-03-08,5,5,-7,-2,-2,5,-1,1,4,235,1010,5,0.8,0.5,8.7,-5,78,1,Grand County,Colorado
2020-03-09,3,3,-7,-4,-4,4,-1,0,4,250,1017,6,0.6,0.3,8.8,-5,83,1,Grand County,Colorado
2020-03-10,2,2,-8,-5,-5,4,-3,-2,5,264,1021,7,5.9,5.0,8.8,-6,85,1,Grand County,Colorado
2020-03-11,4,4,-7,-4,-4,4,-2,0,4,251,1017,5,2.7,2.2,8.8,-3,91,1,Grand County,Colorado
2020-03-12,3,3,-3,-4,-4,3,0,1,7,275,1013,9,2.4,2.0,7.4,-3,86,1,Grand County,Colorado
2020-03-13,4,4,-7,-3,-3,5,-1,0,3,189,1012,5,1.6,1.3,8.8,-5,84,1,Grand County,Colorado
2020-03-14,4,4,-6,-2,-2,5,-1,0,2,218,1017,4,0.2,0.1,10.2,-5,80,1,Grand County,Colorado
2020-03-15,5,5,-8,-3,-3,6,-1,1,3,217,1019,4,0.0,0.0,11.6,-6,76,2,Grand County,Colorado
2020-03-16,6,6,-8,-3,-3,6,-1,0,3,215,1017,4,0.0,0.0,11.6,-7,73,2,Grand County,Colorado
2020-03-17,6,6,-6,-3,-3,6,-1,1,3,230,1012,5,0.0,0.0,11.6,-6,72,1,Grand County,Colorado
2020-03-18,7,7,-7,-1,-1,5,0,2,3,174,1007,4,0.9,0.4,8.8,-6,67,1,Grand County,Colorado
2020-03-19,2,2,-4,-3,-3,3,-1,0,3,272,1008,4,9.7,8.2,7.4,-3,85,1,Grand County,Colorado
2020-03-20,1,1,-11,-6,-6,5,-4,-3,5,256,1026,6,2.7,2.3,8.8,-8,78,1,Grand County,Colorado
2020-03-21,2,2,-11,-6,-6,5,-4,-3,3,251,1022,4,0.5,0.4,8.8,-8,79,1,Grand County,Colorado
2020-03-22,1,1,-10,-7,-7,4,-4,-3,5,262,1018,7,7.7,6.5,6.1,-8,83,1,Grand County,Colorado
2020-03-23,3,3,-11,-6,-6,5,-4,-2,3,238,1016,5,2.6,2.2,8.8,-8,79,1,Grand County,Colorado
2020-03-24,4,4,-8,-5,-5,4,-1,0,6,248,1014,9,3.4,2.7,8.9,-5,83,1,Grand County,Colorado
2020-03-25,4,4,-5,-4,-4,6,-1,1,10,245,1008,13,0.4,0.0,9.0,-6,71,1,Grand County,Colorado
2020-03-26,4,4,-5,-5,-5,5,-1,1,12,240,1004,17,0.1,0.0,10.3,-7,62,1,Grand County,Colorado
2020-03-27,1,1,-6,-5,-5,4,-2,-2,4,292,1005,5,6.4,5.4,6.3,-6,76,1,Grand County,Colorado
2020-03-28,-2,-2,-10,-11,-11,4,-5,-5,8,275,1015,10,2.6,1.7,6.4,-11,73,1,Grand County,Colorado
2020-03-29,2,2,-12,-6,-6,5,-4,-3,3,225,1019,4,0.3,0.3,9.0,-9,73,1,Grand County,Colorado
