date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,19,19,10,14,14,6,15,16,11,177,1018,18,0.0,0.0,7.3,11,76,4,Grant Parish,Louisiana
2020-03-02,24,24,15,19,19,5,20,20,9,217,1012,15,2.6,0.0,7.3,17,87,5,Grant Parish,Louisiana
2020-03-03,25,25,18,21,21,4,21,22,6,182,1011,9,3.2,0.0,5.9,18,87,5,Grant Parish,Louisiana
2020-03-04,17,17,12,14,14,4,15,15,12,45,1012,19,25.7,0.0,5.9,14,91,4,Grant Parish,Louisiana
2020-03-05,20,20,11,12,12,5,13,14,9,239,1019,14,10.3,0.0,8.8,10,79,3,Grant Parish,Louisiana
2020-03-06,17,17,7,11,11,6,12,13,7,14,1030,12,0.0,0.0,11.6,4,61,4,Grant Parish,Louisiana
2020-03-07,15,15,5,9,9,6,10,11,6,95,1031,9,0.0,0.0,11.6,3,64,4,Grant Parish,Louisiana
2020-03-08,19,19,6,12,12,6,12,13,6,153,1028,10,0.0,0.0,11.6,7,72,4,Grant Parish,Louisiana
2020-03-09,19,19,13,16,16,5,16,17,9,170,1024,15,2.9,0.0,5.9,14,90,4,Grant Parish,Louisiana
2020-03-10,24,24,16,19,19,3,20,20,5,255,1023,8,16.8,0.0,5.9,17,89,5,Grant Parish,Louisiana
2020-03-11,26,26,16,20,21,3,21,22,8,222,1018,12,0.0,0.0,11.6,17,82,6,Grant Parish,Louisiana
2020-03-12,28,28,16,21,21,4,21,22,9,205,1014,13,0.1,0.0,8.8,17,82,5,Grant Parish,Louisiana
2020-03-13,25,25,18,21,21,5,21,22,6,161,1018,9,1.9,0.0,6.0,18,87,5,Grant Parish,Louisiana
2020-03-14,27,27,18,21,22,4,22,22,7,179,1021,10,1.3,0.0,6.0,19,88,5,Grant Parish,Louisiana
2020-03-15,24,24,18,20,20,4,21,21,6,41,1024,8,0.7,0.0,7.4,17,88,5,Grant Parish,Louisiana
2020-03-16,24,24,13,17,17,6,18,19,4,92,1023,6,0.5,0.0,11.6,14,82,4,Grant Parish,Louisiana
2020-03-17,26,26,16,20,21,4,21,22,4,94,1020,7,12.9,0.0,6.0,18,86,5,Grant Parish,Louisiana
2020-03-18,26,26,17,21,21,4,21,22,8,177,1018,12,6.2,0.0,6.0,19,89,5,Grant Parish,Louisiana
2020-03-19,27,27,19,22,24,4,24,23,9,175,1018,14,0.8,0.0,6.0,19,85,5,Grant Parish,Louisiana
2020-03-20,23,23,15,20,20,3,21,21,7,116,1022,11,22.8,0.0,6.0,19,94,5,Grant Parish,Louisiana
2020-03-21,17,17,11,13,13,6,14,14,7,37,1026,10,4.7,0.0,7.4,12,88,3,Grant Parish,Louisiana
2020-03-22,21,21,12,17,17,4,17,18,5,116,1021,8,59.7,0.0,6.1,16,94,4,Grant Parish,Louisiana
2020-03-23,28,28,18,21,22,5,22,22,6,215,1018,10,4.0,0.0,6.1,19,88,5,Grant Parish,Louisiana
2020-03-24,27,27,18,22,23,4,23,23,9,215,1013,14,1.9,0.0,6.1,19,87,5,Grant Parish,Louisiana
2020-03-25,28,28,16,20,20,4,21,21,4,57,1013,6,1.3,0.0,11.6,17,83,6,Grant Parish,Louisiana
2020-03-26,31,31,18,24,25,5,25,26,8,190,1012,12,0.0,0.0,11.6,18,76,7,Grant Parish,Louisiana
2020-03-27,31,31,20,25,27,5,27,26,9,189,1010,14,0.0,0.0,11.6,20,77,7,Grant Parish,Louisiana
2020-03-28,30,30,21,25,27,6,27,27,10,203,1011,15,3.1,0.0,10.2,20,79,7,Grant Parish,Louisiana
2020-03-29,25,25,12,19,19,5,20,20,5,57,1019,8,11.9,0.0,10.2,11,69,5,Grant Parish,Louisiana
2020-03-30,21,21,15,17,17,5,18,19,7,73,1018,11,1.0,0.0,6.1,12,71,4,Grant Parish,Louisiana
2020-03-31,21,21,11,17,17,5,18,18,8,331,1013,13,10.0,0.0,7.7,14,82,4,Grant Parish,Louisiana
2020-04-01,22,22,9,15,15,6,16,18,3,144,1017,6,0.0,0.0,11.6,10,72,5,Grant Parish,Louisiana
2020-04-02,23,23,12,17,17,6,17,19,5,144,1016,8,0.0,0.0,11.6,11,72,5,Grant Parish,Louisiana
2020-04-03,21,21,15,17,17,5,18,18,5,109,1015,9,1.9,0.0,11.6,14,83,5,Grant Parish,Louisiana
2020-04-04,19,19,15,17,17,5,17,17,4,126,1016,6,2.5,0.0,6.4,14,80,4,Grant Parish,Louisiana
2020-04-05,27,27,14,19,19,4,20,21,3,83,1017,5,0.0,0.0,7.7,15,80,5,Grant Parish,Louisiana
2020-04-06,26,26,15,21,21,4,21,22,5,146,1017,8,0.0,0.0,11.6,17,81,6,Grant Parish,Louisiana
