date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,10,10,-6,1,1,6,3,4,4,222,1023,7,0.0,0.0,11.6,-9,48,2,Greene County,Virginia
2020-03-02,13,13,1,4,4,6,6,8,6,205,1015,11,2.0,0.0,8.7,1,71,2,Greene County,Virginia
2020-03-03,14,14,5,7,7,4,9,11,8,207,1006,13,1.4,0.0,5.8,6,86,3,Greene County,Virginia
2020-03-04,14,14,1,7,7,6,9,9,7,248,1012,11,0.0,0.0,11.6,-2,55,3,Greene County,Virginia
2020-03-05,11,11,0,4,4,6,6,7,4,145,1019,7,0.0,0.0,10.2,-2,63,2,Greene County,Virginia
2020-03-06,10,10,1,1,1,5,4,7,10,312,1012,14,0.3,0.0,8.7,-2,64,2,Greene County,Virginia
2020-03-07,8,8,-1,0,0,6,4,4,11,349,1028,15,0.0,0.0,11.6,-6,58,2,Greene County,Virginia
2020-03-08,15,15,-2,6,6,6,8,9,5,207,1032,8,0.0,0.0,11.6,-4,54,3,Greene County,Virginia
2020-03-09,19,19,4,10,10,6,12,14,6,215,1029,10,0.0,0.0,11.6,1,58,4,Greene County,Virginia
2020-03-10,17,17,9,11,11,6,12,14,9,221,1021,14,0.4,0.0,5.9,9,82,3,Greene County,Virginia
2020-03-11,14,14,6,9,9,4,10,10,3,147,1019,4,0.2,0.0,5.9,7,89,3,Greene County,Virginia
2020-03-12,18,18,5,11,11,3,11,13,4,141,1016,5,0.1,0.0,10.2,8,84,4,Greene County,Virginia
2020-03-13,17,17,7,12,12,4,13,16,9,291,1015,13,6.3,0.0,6.0,6,70,4,Greene County,Virginia
2020-03-14,14,14,2,6,6,5,7,9,3,214,1029,5,3.2,0.0,8.8,-1,60,2,Greene County,Virginia
2020-03-15,4,4,3,3,3,2,4,4,4,26,1030,5,3.2,0.0,6.0,3,94,1,Greene County,Virginia
2020-03-16,8,8,0,3,3,6,4,6,4,155,1030,5,0.0,0.0,6.0,0,76,2,Greene County,Virginia
2020-03-17,18,18,2,10,10,6,12,13,5,261,1023,8,0.1,0.0,7.4,6,79,3,Greene County,Virginia
2020-03-18,10,10,2,5,5,4,6,8,4,148,1028,6,2.4,0.0,6.0,4,84,2,Greene County,Virginia
2020-03-19,23,23,8,15,15,4,17,18,6,226,1021,9,3.8,0.0,10.2,12,86,4,Greene County,Virginia
2020-03-20,23,23,15,18,18,6,20,20,10,240,1017,16,0.4,0.0,10.2,14,79,5,Greene County,Virginia
2020-03-21,9,9,7,8,8,5,8,7,4,42,1026,5,1.2,0.0,6.1,5,78,2,Greene County,Virginia
2020-03-22,9,9,2,4,4,6,6,7,6,116,1032,7,0.0,0.0,8.8,-1,65,2,Greene County,Virginia
2020-03-23,11,11,4,5,5,2,6,7,3,221,1023,5,2.4,0.0,6.1,5,94,2,Greene County,Virginia
2020-03-24,14,14,3,7,7,5,8,10,3,121,1020,5,0.1,0.0,10.2,4,81,2,Greene County,Virginia
2020-03-25,8,8,4,6,6,2,6,7,3,57,1014,4,5.5,0.0,6.1,6,96,2,Greene County,Virginia
2020-03-26,15,15,1,8,8,3,9,10,5,194,1016,8,0.0,0.0,11.6,5,84,4,Greene County,Virginia
2020-03-27,21,21,8,13,13,4,13,16,3,160,1012,6,3.4,0.0,7.5,11,88,4,Greene County,Virginia
2020-03-28,21,21,12,15,15,2,15,16,4,155,1013,5,2.2,0.0,6.2,14,93,4,Greene County,Virginia
2020-03-29,26,26,12,19,19,4,19,21,8,233,1011,12,0.1,0.0,10.2,12,74,5,Greene County,Virginia
2020-03-30,18,18,8,12,12,6,13,15,9,282,1015,13,0.0,0.0,11.6,4,58,4,Greene County,Virginia
2020-03-31,11,11,6,7,7,4,7,8,3,104,1013,4,4.0,0.0,7.5,3,76,2,Greene County,Virginia
2020-04-01,12,12,4,5,5,4,7,8,6,236,1010,9,0.9,0.0,6.4,3,82,2,Greene County,Virginia
2020-04-02,12,12,0,4,4,6,6,9,10,327,1015,15,0.0,0.0,11.6,-1,66,3,Greene County,Virginia
2020-04-03,15,15,2,6,6,6,9,11,11,336,1013,17,0.0,0.0,11.6,-1,55,4,Greene County,Virginia
2020-04-04,15,15,3,8,8,5,9,11,4,148,1017,6,0.0,0.0,9.0,4,76,3,Greene County,Virginia
2020-04-05,15,15,5,10,10,4,10,12,2,257,1018,4,1.0,0.0,6.5,8,86,3,Greene County,Virginia
2020-04-06,17,17,8,12,12,5,13,15,2,44,1017,4,1.4,0.0,6.5,10,85,3,Greene County,Virginia
2020-04-07,21,21,9,15,15,6,16,18,4,238,1011,7,4.7,0.0,9.0,11,80,4,Greene County,Virginia
2020-04-08,24,24,12,18,18,5,20,21,7,289,1003,11,0.8,0.0,9.0,12,73,5,Greene County,Virginia
2020-04-09,18,18,7,11,11,6,13,14,12,287,999,17,1.5,0.0,11.6,5,68,3,Greene County,Virginia
2020-04-10,9,9,1,1,1,6,5,6,14,304,1008,18,0.0,0.0,11.6,-5,54,3,Greene County,Virginia
2020-04-11,15,15,-2,5,5,6,7,10,5,282,1017,7,0.0,0.0,11.6,-1,62,3,Greene County,Virginia
2020-04-12,19,19,5,12,12,5,13,15,6,192,1016,8,8.0,0.0,10.3,6,71,4,Greene County,Virginia
2020-04-13,21,21,12,16,16,4,17,18,11,249,1006,16,31.6,0.0,7.8,12,83,4,Greene County,Virginia
2020-04-14,13,13,3,6,6,5,7,9,3,176,1020,5,7.7,0.0,10.3,2,75,3,Greene County,Virginia
2020-04-15,10,10,1,3,3,4,5,7,5,312,1018,7,3.8,7.1,11.6,-3,64,3,Greene County,Virginia
2020-04-16,10,10,-1,3,3,6,5,7,7,305,1023,10,0.0,0.0,11.6,-5,54,3,Greene County,Virginia
2020-04-17,15,15,0,7,7,6,8,11,6,187,1020,9,0.0,0.0,11.6,1,62,4,Greene County,Virginia
2020-04-18,11,11,6,7,7,5,9,10,8,318,1012,10,3.2,0.0,10.4,3,73,2,Greene County,Virginia
2020-04-19,16,16,-1,7,7,6,8,12,5,206,1013,7,0.0,0.0,9.1,2,67,3,Greene County,Virginia
2020-04-20,16,16,7,10,10,5,11,12,4,236,1005,7,0.9,0.0,7.9,5,73,3,Greene County,Virginia
2020-04-21,15,15,5,8,8,5,10,12,12,273,1006,17,0.4,0.0,10.4,2,69,3,Greene County,Virginia
2020-04-22,15,15,-1,6,6,6,8,10,5,295,1017,8,0.0,0.0,11.6,-4,47,4,Greene County,Virginia
2020-04-23,14,14,5,8,8,5,9,11,4,168,1013,6,3.3,0.0,7.9,6,85,3,Greene County,Virginia
2020-04-24,18,18,9,14,14,4,15,16,5,313,1005,7,3.9,0.0,10.4,11,89,4,Greene County,Virginia
2020-04-25,15,15,6,11,11,4,11,14,3,136,1015,4,3.0,0.0,6.9,9,88,3,Greene County,Virginia
2020-04-26,17,17,9,12,12,3,12,14,5,241,1006,7,5.5,0.0,8.1,10,90,3,Greene County,Virginia
2020-04-27,13,13,5,7,7,5,9,10,10,332,1017,13,1.2,0.0,9.3,4,76,2,Greene County,Virginia
2020-04-28,16,16,5,9,9,5,10,11,3,178,1020,4,0.3,0.0,8.1,6,78,3,Greene County,Virginia
2020-04-29,22,22,6,15,15,4,16,18,8,172,1013,12,1.9,0.0,10.4,11,80,4,Greene County,Virginia
2020-04-30,16,16,8,12,12,4,13,13,6,185,1006,9,23.9,0.0,6.9,11,93,3,Greene County,Virginia
2020-05-01,14,14,5,8,8,6,9,12,7,314,1010,9,0.2,0.0,10.4,6,78,3,Greene County,Virginia
2020-05-02,20,20,4,13,13,6,14,17,4,234,1018,7,0.0,0.0,11.6,6,68,5,Greene County,Virginia
2020-05-03,23,23,12,18,18,5,20,21,6,250,1010,9,6.5,0.0,8.1,15,83,5,Greene County,Virginia
2020-05-04,19,19,12,15,15,4,16,17,8,317,1011,12,0.1,0.0,11.6,8,69,5,Greene County,Virginia
2020-05-05,8,8,2,5,5,4,6,7,2,135,1014,4,5.4,0.0,8.1,5,90,2,Greene County,Virginia
2020-05-06,13,13,5,6,6,4,8,10,9,299,1009,11,0.4,0.0,8.1,4,77,3,Greene County,Virginia
2020-05-07,17,17,-1,9,9,6,11,13,7,312,1014,10,0.0,0.0,11.6,-1,55,4,Greene County,Virginia
2020-05-08,16,16,4,8,8,5,9,13,10,231,1010,14,2.2,0.3,7.0,5,78,3,Greene County,Virginia
2020-05-09,9,9,-5,0,0,6,3,6,9,303,1019,13,0.1,0.0,11.6,-7,52,3,Greene County,Virginia
2020-05-10,17,17,-2,8,8,6,10,12,7,208,1020,10,0.3,0.0,11.6,-1,56,4,Greene County,Virginia
2020-05-11,12,12,3,5,5,5,7,10,10,300,1017,15,0.2,0.0,11.6,1,70,3,Greene County,Virginia
2020-05-12,15,15,-2,6,6,6,8,10,5,299,1023,8,0.0,0.0,11.6,-2,61,4,Greene County,Virginia
2020-05-13,19,19,1,11,11,6,12,15,3,226,1026,5,0.0,0.0,11.6,1,56,5,Greene County,Virginia
2020-05-14,21,21,6,13,13,5,13,15,4,211,1023,7,1.2,0.0,9.3,10,85,3,Greene County,Virginia
2020-05-15,26,26,13,19,21,4,21,23,9,234,1017,13,1.6,0.0,11.6,14,78,5,Greene County,Virginia
2020-05-16,27,27,13,20,22,4,22,23,2,184,1017,4,4.5,0.0,10.5,17,86,5,Greene County,Virginia
