date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,20,20,14,17,17,6,17,18,15,187,1015,25,0.5,0.0,5.9,15,84,4,Grimes County,Texas
2020-03-02,23,23,16,19,19,6,20,20,11,202,1011,19,0.0,0.0,5.9,17,89,4,Grimes County,Texas
2020-03-03,25,25,17,21,21,4,21,21,6,110,1009,11,0.3,0.0,8.7,18,85,5,Grimes County,Texas
2020-03-04,20,20,13,16,16,5,17,17,11,51,1009,19,21.7,0.0,5.9,16,94,4,Grimes County,Texas
2020-03-05,20,20,11,13,13,5,14,15,12,120,1022,17,4.3,0.0,10.2,9,74,4,Grimes County,Texas
2020-03-06,18,18,10,11,11,6,13,14,10,37,1031,16,0.0,0.0,10.2,4,56,3,Grimes County,Texas
2020-03-07,17,17,8,11,11,6,12,13,8,129,1030,14,0.0,0.0,11.6,4,60,4,Grimes County,Texas
2020-03-08,20,20,8,13,13,6,14,15,11,150,1026,17,0.0,0.0,7.3,10,80,4,Grimes County,Texas
2020-03-09,19,19,15,17,17,4,17,18,12,187,1022,20,4.0,0.0,5.9,15,88,4,Grimes County,Texas
2020-03-10,25,25,16,20,20,5,20,21,5,216,1023,9,6.8,0.0,6.0,17,85,5,Grimes County,Texas
2020-03-11,27,27,16,21,21,5,21,22,10,212,1018,15,2.2,0.0,11.6,18,83,5,Grimes County,Texas
2020-03-12,27,27,18,21,22,6,22,23,12,201,1013,18,0.0,0.0,10.2,18,83,5,Grimes County,Texas
2020-03-13,24,24,18,21,21,6,22,22,9,164,1016,14,0.6,0.0,6.0,18,85,5,Grimes County,Texas
2020-03-14,27,27,19,22,23,6,23,24,11,180,1020,16,0.9,0.0,6.0,19,84,5,Grimes County,Texas
2020-03-15,27,27,18,22,23,3,23,23,5,74,1023,8,7.8,0.0,6.0,19,86,5,Grimes County,Texas
2020-03-16,25,25,17,20,20,4,21,21,4,165,1021,7,3.4,0.0,6.0,17,84,5,Grimes County,Texas
2020-03-17,27,27,17,21,22,3,22,23,7,143,1019,11,7.1,0.0,8.8,18,83,5,Grimes County,Texas
2020-03-18,25,25,19,21,22,6,22,22,11,177,1016,18,4.1,0.0,6.0,19,88,5,Grimes County,Texas
2020-03-19,25,25,20,22,24,6,24,23,11,177,1016,18,1.9,0.0,7.4,20,88,5,Grimes County,Texas
2020-03-20,22,22,14,19,19,4,20,20,10,36,1022,15,9.2,0.0,6.0,17,92,4,Grimes County,Texas
2020-03-21,17,17,9,11,11,5,13,13,9,37,1026,13,10.3,0.0,6.1,10,87,3,Grimes County,Texas
2020-03-22,24,24,14,19,19,3,20,20,6,146,1019,9,13.4,0.0,7.4,18,93,4,Grimes County,Texas
2020-03-23,27,27,19,22,23,4,23,23,10,193,1017,15,3.0,0.0,6.1,20,89,5,Grimes County,Texas
2020-03-24,28,28,20,23,25,6,25,24,11,227,1012,17,0.4,0.0,6.1,19,80,5,Grimes County,Texas
2020-03-25,29,29,16,22,23,6,23,24,5,200,1013,9,0.0,0.0,11.6,17,73,6,Grimes County,Texas
2020-03-26,29,29,18,23,24,5,24,24,11,182,1011,17,0.0,0.0,11.6,20,84,6,Grimes County,Texas
2020-03-27,29,29,20,24,25,6,25,25,13,186,1009,20,0.0,0.0,10.2,20,81,7,Grimes County,Texas
2020-03-28,24,24,10,18,18,5,20,20,9,301,1011,15,4.1,0.0,7.5,16,82,4,Grimes County,Texas
2020-03-29,24,24,12,18,18,6,18,19,5,80,1019,9,0.2,0.0,11.6,9,58,5,Grimes County,Texas
2020-03-30,23,23,17,20,20,5,21,20,8,129,1016,13,7.4,0.0,6.1,15,78,4,Grimes County,Texas
2020-03-31,21,21,14,17,17,6,18,17,11,351,1015,16,1.6,0.0,10.2,15,85,4,Grimes County,Texas
2020-04-01,22,22,10,15,15,6,16,17,7,148,1016,12,0.0,0.0,10.2,10,74,5,Grimes County,Texas
2020-04-02,24,24,13,18,18,6,20,21,10,168,1014,16,0.3,0.0,7.5,16,83,5,Grimes County,Texas
2020-04-03,23,23,11,19,19,5,19,21,8,125,1014,14,11.9,0.0,6.2,18,92,5,Grimes County,Texas
2020-04-04,13,13,8,8,8,4,11,11,9,126,1017,13,4.8,0.0,6.2,10,94,3,Grimes County,Texas
2020-04-05,24,24,13,18,18,4,19,19,4,70,1018,7,0.1,0.0,6.2,15,85,4,Grimes County,Texas
2020-04-06,26,26,16,20,20,4,21,22,6,164,1016,9,2.2,0.0,7.6,18,87,5,Grimes County,Texas
2020-04-07,30,30,20,24,26,5,26,26,8,227,1014,13,0.3,0.0,11.6,22,87,7,Grimes County,Texas
2020-04-08,30,30,22,25,28,4,28,26,9,229,1011,15,7.7,0.0,6.2,22,87,6,Grimes County,Texas
2020-04-09,30,30,21,25,28,5,28,26,8,275,1011,13,10.4,0.0,6.2,22,87,6,Grimes County,Texas
2020-04-10,22,22,16,19,19,4,19,19,9,73,1016,13,0.1,0.0,10.3,15,82,4,Grimes County,Texas
2020-04-11,21,21,13,18,18,5,18,18,9,129,1011,17,16.2,0.0,6.2,15,86,4,Grimes County,Texas
2020-04-12,27,27,18,23,24,5,24,25,14,234,1002,22,3.6,0.0,9.0,18,77,5,Grimes County,Texas
2020-04-13,15,15,6,9,9,6,11,11,13,3,1018,18,0.0,0.0,11.6,5,68,4,Grimes County,Texas
2020-04-14,17,17,6,9,9,6,11,13,11,20,1020,17,0.0,0.0,11.6,7,77,4,Grimes County,Texas
2020-04-15,17,17,4,10,10,6,11,12,7,141,1022,11,0.0,0.0,11.6,6,70,4,Grimes County,Texas
2020-04-16,22,22,7,14,14,6,15,16,8,148,1020,14,0.0,0.0,11.6,8,68,5,Grimes County,Texas
2020-04-17,22,22,14,18,18,4,19,20,7,239,1017,12,4.9,0.0,6.5,17,92,5,Grimes County,Texas
2020-04-18,25,25,10,15,15,6,17,17,8,85,1016,12,0.5,0.0,6.5,14,87,4,Grimes County,Texas
2020-04-19,29,29,19,23,25,3,25,24,9,208,1007,14,3.3,0.0,6.5,19,83,5,Grimes County,Texas
2020-04-20,28,28,16,22,23,4,23,23,4,128,1010,7,0.0,0.0,11.6,16,75,6,Grimes County,Texas
2020-04-21,29,29,17,22,23,4,23,24,6,136,1014,10,0.0,0.0,10.3,18,80,5,Grimes County,Texas
2020-04-22,27,27,18,22,24,5,24,23,12,178,1008,21,13.9,0.0,6.5,21,92,5,Grimes County,Texas
2020-04-23,26,26,17,22,24,6,24,22,9,342,1008,14,0.9,0.0,11.6,17,78,6,Grimes County,Texas
2020-04-24,30,30,16,23,25,5,25,24,10,206,1008,17,4.2,0.0,11.6,17,72,6,Grimes County,Texas
2020-04-25,23,23,13,18,18,5,19,19,9,5,1016,14,3.4,0.0,11.6,13,75,5,Grimes County,Texas
2020-04-26,26,26,12,19,19,6,20,21,6,36,1022,10,0.0,0.0,11.6,12,65,6,Grimes County,Texas
2020-04-27,27,27,14,20,21,6,21,22,12,172,1019,19,0.0,0.0,11.6,15,71,6,Grimes County,Texas
2020-04-28,29,29,20,24,27,4,27,26,13,185,1013,20,8.3,0.0,6.8,21,85,6,Grimes County,Texas
2020-04-29,24,24,17,22,22,5,22,22,12,242,1014,19,16.5,0.0,10.4,16,74,5,Grimes County,Texas
2020-04-30,25,25,13,19,19,6,20,20,5,292,1019,8,0.0,0.0,11.6,12,67,5,Grimes County,Texas
2020-05-01,27,27,14,20,20,6,21,22,9,189,1017,15,0.0,0.0,11.6,14,69,6,Grimes County,Texas
2020-05-02,29,29,16,22,24,5,24,24,12,180,1016,19,0.0,0.0,11.6,19,82,6,Grimes County,Texas
2020-05-03,30,30,20,24,26,6,26,25,12,191,1014,18,0.0,0.0,10.4,20,80,6,Grimes County,Texas
2020-05-04,31,31,20,25,27,6,27,26,13,185,1012,18,0.0,0.0,11.6,21,80,7,Grimes County,Texas
2020-05-05,29,29,20,23,25,5,25,25,10,138,1013,16,8.6,0.0,6.8,20,85,5,Grimes County,Texas
2020-05-06,27,27,13,20,20,6,21,21,9,53,1021,14,0.0,0.0,11.6,13,67,6,Grimes County,Texas
2020-05-07,27,27,14,21,22,6,22,23,11,167,1018,17,0.0,0.0,11.6,14,66,6,Grimes County,Texas
2020-05-08,26,26,17,22,24,6,24,24,18,197,1014,25,0.3,0.0,9.2,18,74,5,Grimes County,Texas
2020-05-09,24,24,13,17,17,6,19,19,9,64,1021,14,0.0,0.0,11.6,10,63,5,Grimes County,Texas
2020-05-10,25,25,11,18,18,6,19,19,7,38,1023,11,0.0,0.0,11.6,11,66,5,Grimes County,Texas
2020-05-11,26,26,13,19,19,6,20,22,8,108,1022,14,0.1,0.0,11.6,11,61,6,Grimes County,Texas
