date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,8,8,-6,-3,-3,6,1,2,7,190,1021,12,0.0,0.0,11.6,-7,60,2,Guernsey County,Ohio
2020-03-02,9,9,1,3,3,4,6,7,9,207,1010,16,4.8,0.0,5.8,5,90,2,Guernsey County,Ohio
2020-03-03,13,13,5,6,6,3,9,11,10,228,1004,17,7.4,0.0,5.8,7,87,3,Guernsey County,Ohio
2020-03-04,12,12,1,2,2,5,5,7,9,255,1013,14,0.7,0.0,8.7,1,78,2,Guernsey County,Ohio
2020-03-05,10,10,-2,3,3,6,4,6,4,173,1018,6,0.0,0.0,7.3,-2,71,2,Guernsey County,Ohio
2020-03-06,3,3,-1,-3,-3,4,2,2,11,308,1016,15,1.0,0.8,5.9,0,87,1,Guernsey County,Ohio
2020-03-07,7,7,-2,-1,-1,6,3,3,7,310,1033,9,0.0,0.1,10.2,-5,65,2,Guernsey County,Ohio
2020-03-08,13,13,-2,3,3,6,6,7,7,204,1031,12,0.0,0.0,11.6,0,70,3,Guernsey County,Ohio
2020-03-09,15,15,4,8,8,6,10,11,9,209,1026,16,0.0,0.0,11.6,5,71,4,Guernsey County,Ohio
2020-03-10,13,13,3,9,9,3,11,12,11,278,1019,16,18.8,0.0,5.9,9,86,3,Guernsey County,Ohio
2020-03-11,12,12,1,6,6,5,6,8,3,154,1019,4,0.1,0.0,5.9,4,86,2,Guernsey County,Ohio
2020-03-12,17,17,5,10,10,5,11,12,6,179,1012,9,0.9,0.0,5.9,8,82,3,Guernsey County,Ohio
2020-03-13,10,10,4,8,8,6,10,9,11,281,1017,16,2.5,0.0,11.6,3,68,3,Guernsey County,Ohio
2020-03-14,8,8,0,3,3,5,4,6,3,229,1032,5,1.3,0.5,7.4,-3,65,2,Guernsey County,Ohio
2020-03-15,8,8,-1,0,0,5,3,5,7,35,1033,10,0.2,0.1,6.0,0,81,1,Guernsey County,Ohio
2020-03-16,10,10,-1,3,3,5,4,6,4,185,1027,7,0.7,0.0,7.4,2,82,2,Guernsey County,Ohio
2020-03-17,10,10,2,5,5,4,6,8,4,293,1024,5,0.5,0.0,8.8,4,87,2,Guernsey County,Ohio
2020-03-18,13,13,1,5,5,4,6,8,5,112,1024,8,11.2,0.0,8.8,5,89,2,Guernsey County,Ohio
2020-03-19,17,17,10,13,13,4,14,13,7,191,1018,11,2.9,0.0,6.0,13,93,3,Guernsey County,Ohio
2020-03-20,22,22,8,16,16,5,17,18,14,264,1015,19,33.9,0.0,6.1,12,81,4,Guernsey County,Ohio
2020-03-21,7,7,-2,-1,-1,6,3,4,7,130,1031,10,0.0,0.0,11.6,-4,66,2,Guernsey County,Ohio
2020-03-22,10,10,-3,1,1,5,4,5,5,103,1030,7,1.2,0.0,10.2,-3,66,2,Guernsey County,Ohio
2020-03-23,9,9,4,5,5,5,7,8,7,287,1020,10,4.6,0.0,6.1,5,90,2,Guernsey County,Ohio
2020-03-24,13,13,0,5,5,5,6,8,4,84,1020,7,0.1,0.0,11.6,2,78,3,Guernsey County,Ohio
2020-03-25,13,13,6,8,8,6,9,10,5,123,1013,8,2.7,0.0,7.5,6,85,3,Guernsey County,Ohio
2020-03-26,18,18,5,10,10,4,11,13,6,215,1012,10,3.4,0.0,8.9,8,82,3,Guernsey County,Ohio
2020-03-27,16,16,8,11,11,3,12,13,5,77,1012,7,1.7,0.0,6.1,10,89,3,Guernsey County,Ohio
2020-03-28,22,22,12,17,17,4,18,19,8,224,1008,12,16.8,0.0,6.2,16,93,4,Guernsey County,Ohio
2020-03-29,19,19,11,16,16,5,17,18,13,242,1008,19,8.5,0.0,10.2,13,80,4,Guernsey County,Ohio
2020-03-30,9,9,5,4,4,6,7,8,10,274,1016,14,0.3,0.0,6.2,3,74,2,Guernsey County,Ohio
2020-03-31,10,10,1,4,4,4,5,6,4,74,1014,5,0.2,0.0,6.2,2,83,2,Guernsey County,Ohio
2020-04-01,10,10,2,4,4,3,6,7,7,226,1014,10,2.4,0.0,6.2,4,85,2,Guernsey County,Ohio
2020-04-02,12,12,1,4,4,4,6,8,7,329,1019,10,0.1,0.0,11.6,2,79,2,Guernsey County,Ohio
2020-04-03,14,14,1,6,6,6,7,10,6,330,1018,10,0.0,0.0,11.6,1,70,3,Guernsey County,Ohio
2020-04-04,19,19,2,10,10,6,11,13,2,246,1017,3,0.0,0.0,11.6,3,67,4,Guernsey County,Ohio
2020-04-05,14,14,5,10,10,6,10,12,4,351,1019,6,0.2,0.0,7.6,8,86,3,Guernsey County,Ohio
2020-04-06,18,18,2,9,9,6,10,12,3,149,1019,5,0.0,0.0,11.6,3,68,4,Guernsey County,Ohio
2020-04-07,20,20,10,14,14,5,14,15,5,211,1010,8,7.7,0.0,7.8,12,86,4,Guernsey County,Ohio
2020-04-08,20,20,14,16,16,5,17,17,7,331,1003,11,13.9,0.0,9.1,13,83,4,Guernsey County,Ohio
2020-04-09,10,10,3,6,6,6,9,10,13,288,1002,18,1.3,0.0,9.1,3,69,2,Guernsey County,Ohio
