date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,15,15,-2,7,7,6,8,10,3,180,1025,5,0.0,0.0,11.3,-2,57,3,Habersham County,Georgia
2020-03-02,10,10,4,7,7,5,7,8,2,147,1018,3,11.3,0.0,5.7,6,89,2,Habersham County,Georgia
2020-03-03,19,19,9,13,13,4,14,14,5,228,1011,9,18.1,0.0,5.7,12,94,3,Habersham County,Georgia
2020-03-04,11,11,7,10,10,5,11,11,4,114,1016,7,4.5,0.0,5.9,9,90,3,Habersham County,Georgia
2020-03-05,8,8,6,6,6,3,8,8,6,56,1018,8,48.7,0.0,5.9,7,96,2,Habersham County,Georgia
2020-03-06,9,9,3,4,4,5,7,7,10,307,1021,15,0.0,0.0,11.6,0,73,3,Habersham County,Georgia
2020-03-07,15,15,-2,5,5,6,7,8,4,205,1031,7,0.0,0.0,11.6,-3,62,3,Habersham County,Georgia
2020-03-08,14,14,2,7,7,6,8,10,3,135,1034,5,0.0,0.0,7.3,0,63,2,Habersham County,Georgia
2020-03-09,17,17,4,9,9,6,10,12,4,169,1033,6,0.1,0.0,10.2,5,73,3,Habersham County,Georgia
2020-03-10,16,16,10,12,12,2,12,13,3,236,1026,6,1.0,0.0,5.9,11,95,3,Habersham County,Georgia
2020-03-11,20,20,12,15,15,4,15,17,6,251,1019,9,0.1,0.0,8.8,12,83,4,Habersham County,Georgia
2020-03-12,20,20,11,15,15,6,15,17,3,206,1015,6,2.6,0.0,6.0,13,86,4,Habersham County,Georgia
2020-03-13,21,21,15,17,17,4,17,18,6,265,1019,10,0.9,0.0,8.8,14,87,4,Habersham County,Georgia
2020-03-14,13,13,8,11,11,4,12,12,5,53,1026,8,1.6,0.0,6.0,9,79,3,Habersham County,Georgia
2020-03-15,19,19,12,15,15,5,16,17,4,214,1025,7,7.3,0.0,6.0,13,91,4,Habersham County,Georgia
2020-03-16,13,13,9,9,9,5,10,11,6,76,1027,8,0.8,0.0,6.0,7,80,3,Habersham County,Georgia
2020-03-17,21,21,9,14,14,5,16,16,4,256,1024,5,3.5,0.0,7.4,11,87,4,Habersham County,Georgia
2020-03-18,18,18,11,14,14,4,14,15,6,84,1025,9,0.0,0.0,6.0,13,92,4,Habersham County,Georgia
2020-03-19,25,25,13,18,18,3,19,21,4,203,1024,7,0.2,0.0,6.0,15,84,5,Habersham County,Georgia
2020-03-20,26,26,16,20,20,3,21,22,7,246,1023,10,2.2,0.0,8.8,15,81,5,Habersham County,Georgia
2020-03-21,23,23,14,18,18,6,19,20,6,294,1024,9,0.6,0.0,11.6,12,73,6,Habersham County,Georgia
2020-03-22,14,14,9,10,10,4,11,13,7,81,1026,10,0.9,0.0,6.1,8,82,3,Habersham County,Georgia
2020-03-23,13,13,9,10,10,3,11,11,3,141,1022,6,36.5,0.0,6.1,10,97,3,Habersham County,Georgia
2020-03-24,12,12,7,10,10,2,11,12,5,70,1015,7,51.6,0.0,6.1,11,98,3,Habersham County,Georgia
2020-03-25,23,23,12,17,17,4,19,19,6,287,1011,9,21.8,0.0,10.2,11,78,5,Habersham County,Georgia
2020-03-26,17,17,10,12,12,6,13,14,5,121,1017,7,0.0,0.0,6.1,10,85,3,Habersham County,Georgia
2020-03-27,27,27,11,20,21,5,21,22,5,246,1014,7,0.0,0.0,11.6,14,77,6,Habersham County,Georgia
2020-03-28,26,26,16,20,21,5,21,22,7,247,1014,9,0.1,0.0,8.9,17,83,5,Habersham County,Georgia
2020-03-29,24,24,16,20,21,5,21,22,8,257,1017,12,0.5,0.0,8.9,13,72,5,Habersham County,Georgia
2020-03-30,22,22,11,16,16,6,17,18,6,310,1019,10,0.0,0.0,10.2,6,55,5,Habersham County,Georgia
2020-03-31,11,11,7,8,8,5,10,10,7,64,1010,11,8.7,0.0,6.2,7,84,2,Habersham County,Georgia
2020-04-01,15,15,4,8,8,6,10,11,7,315,1013,11,0.0,0.0,11.6,3,70,4,Habersham County,Georgia
2020-04-02,20,20,3,12,12,6,13,15,4,253,1018,7,0.0,0.0,11.6,3,63,4,Habersham County,Georgia
2020-04-03,23,23,6,14,14,6,15,17,4,199,1016,6,0.0,0.0,11.6,5,60,5,Habersham County,Georgia
2020-04-04,23,23,11,17,17,6,18,19,4,149,1015,5,0.0,0.0,11.6,7,58,5,Habersham County,Georgia
2020-04-05,22,22,12,16,16,6,16,18,4,174,1018,6,4.2,0.0,10.3,10,70,4,Habersham County,Georgia
2020-04-06,26,26,11,19,19,6,20,21,4,245,1018,6,1.3,0.0,11.6,11,69,6,Habersham County,Georgia
2020-04-07,24,24,13,18,18,6,19,21,7,260,1016,10,1.9,0.0,10.3,14,80,5,Habersham County,Georgia
2020-04-08,28,28,15,22,23,5,23,24,8,274,1009,12,0.8,0.0,10.3,15,75,5,Habersham County,Georgia
2020-04-09,23,23,15,19,19,5,20,21,10,301,1007,16,3.7,0.0,11.6,9,63,6,Habersham County,Georgia
2020-04-10,16,16,7,10,10,6,12,12,9,330,1014,13,0.0,0.0,11.6,-3,43,4,Habersham County,Georgia
2020-04-11,18,18,3,10,10,6,12,13,4,137,1019,6,0.0,0.0,11.6,0,52,4,Habersham County,Georgia
2020-04-12,13,13,5,8,8,4,10,11,6,66,1014,11,28.3,0.0,6.5,9,85,3,Habersham County,Georgia
2020-04-13,21,21,14,17,17,5,18,18,11,273,1011,18,68.9,0.0,11.6,12,77,5,Habersham County,Georgia
2020-04-14,21,21,7,14,14,5,16,17,6,167,1016,9,0.0,0.0,11.6,7,73,5,Habersham County,Georgia
2020-04-15,18,18,4,10,10,6,12,14,6,211,1018,10,0.0,0.0,11.6,0,55,4,Habersham County,Georgia
2020-04-16,21,21,4,13,13,6,14,16,3,297,1024,6,0.0,0.0,11.6,0,47,5,Habersham County,Georgia
2020-04-17,20,20,5,12,12,6,13,16,5,191,1022,8,0.0,0.0,11.6,5,64,5,Habersham County,Georgia
2020-04-18,21,21,11,15,15,6,16,18,8,293,1014,13,1.9,0.0,11.6,5,57,5,Habersham County,Georgia
2020-04-19,11,11,6,9,9,4,9,10,3,109,1012,5,4.8,0.0,8.0,6,84,3,Habersham County,Georgia
2020-04-20,23,23,10,16,16,5,18,19,6,321,1006,9,15.0,0.0,10.4,9,71,5,Habersham County,Georgia
2020-04-21,23,23,9,15,15,6,17,19,9,296,1012,13,0.0,0.0,11.6,7,62,5,Habersham County,Georgia
2020-04-22,21,21,6,14,14,6,15,17,4,161,1018,6,0.0,0.0,11.6,5,59,5,Habersham County,Georgia
2020-04-23,15,15,9,11,11,4,13,13,6,133,1011,10,56.4,0.0,6.8,12,98,3,Habersham County,Georgia
2020-04-24,22,22,13,17,17,6,19,19,7,292,1008,11,2.4,0.0,10.4,12,79,4,Habersham County,Georgia
2020-04-25,21,21,11,16,16,6,16,18,5,139,1010,9,3.4,0.0,10.4,13,82,4,Habersham County,Georgia
2020-04-26,17,17,7,10,10,6,12,14,12,283,1015,17,0.9,0.0,10.4,7,74,3,Habersham County,Georgia
2020-04-27,24,24,6,15,15,6,16,18,5,303,1021,9,0.0,0.0,11.6,4,58,5,Habersham County,Georgia
2020-04-28,24,24,9,17,17,6,18,19,5,188,1020,7,0.0,0.0,11.6,7,60,5,Habersham County,Georgia
2020-04-29,22,22,12,16,16,5,16,18,8,188,1011,12,46.3,0.0,8.0,13,83,4,Habersham County,Georgia
