date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,19,19,7,11,11,6,12,14,7,175,1022,11,0.0,0.0,8.6,7,71,3,Hale County,Alabama
2020-03-02,20,20,13,15,15,5,16,16,9,205,1014,15,15.9,0.0,5.7,14,89,4,Hale County,Alabama
2020-03-03,22,22,17,19,19,4,19,20,7,263,1011,13,25.8,0.0,5.7,17,91,5,Hale County,Alabama
2020-03-04,14,14,7,12,12,4,13,14,8,38,1015,13,65.2,0.0,5.7,12,92,3,Hale County,Alabama
2020-03-05,15,15,10,11,11,4,12,12,8,245,1016,13,23.3,0.0,5.7,10,91,3,Hale County,Alabama
2020-03-06,14,14,6,8,8,5,10,11,9,333,1026,15,0.0,0.0,11.4,3,66,4,Hale County,Alabama
2020-03-07,15,15,2,7,7,6,9,9,5,30,1032,9,0.0,0.0,10.1,0,61,2,Hale County,Alabama
2020-03-08,17,17,6,10,10,6,11,12,7,142,1031,11,0.0,0.0,11.5,4,66,4,Hale County,Alabama
2020-03-09,20,20,9,14,14,5,14,16,9,167,1029,14,0.9,0.0,7.2,11,81,4,Hale County,Alabama
2020-03-10,23,23,14,17,17,5,18,19,7,213,1024,11,13.3,0.0,5.7,15,88,4,Hale County,Alabama
2020-03-11,23,23,15,18,18,4,18,19,5,211,1019,8,4.7,0.0,5.8,16,91,4,Hale County,Alabama
2020-03-12,26,26,15,20,20,4,21,21,8,210,1015,12,0.0,0.0,11.5,16,80,6,Hale County,Alabama
2020-03-13,22,22,16,19,19,5,19,19,6,284,1019,9,1.1,0.0,5.8,16,88,4,Hale County,Alabama
2020-03-14,26,26,15,20,20,4,20,22,4,192,1023,6,0.0,0.0,11.6,16,82,6,Hale County,Alabama
2020-03-15,22,22,14,18,18,5,19,20,5,330,1024,7,0.3,0.0,7.2,16,88,4,Hale County,Alabama
2020-03-16,23,23,11,16,16,6,17,18,3,37,1023,6,0.2,0.0,6.2,13,83,4,Hale County,Alabama
2020-03-17,25,25,17,21,22,4,22,22,2,228,1022,4,4.8,0.0,7.6,17,86,5,Hale County,Alabama
2020-03-18,25,25,16,20,21,4,21,22,6,189,1021,10,4.1,0.0,7.6,17,84,5,Hale County,Alabama
2020-03-19,26,26,17,21,22,3,22,23,8,191,1022,12,2.0,0.0,6.2,18,84,5,Hale County,Alabama
2020-03-20,26,26,17,21,22,4,22,23,8,230,1023,12,9.9,0.0,6.3,18,89,5,Hale County,Alabama
2020-03-21,20,20,12,16,16,4,16,17,5,348,1026,8,3.1,0.0,8.9,13,84,4,Hale County,Alabama
2020-03-22,15,15,10,11,11,5,12,12,5,97,1024,8,3.5,0.0,6.3,10,87,3,Hale County,Alabama
2020-03-23,20,20,16,18,18,3,18,19,5,257,1019,9,2.4,0.0,7.6,17,97,4,Hale County,Alabama
2020-03-24,27,27,17,21,22,3,22,23,8,219,1013,12,3.9,0.0,8.9,18,84,5,Hale County,Alabama
2020-03-25,23,23,16,19,19,4,19,20,5,322,1013,8,1.2,0.0,8.9,16,85,4,Hale County,Alabama
2020-03-26,28,28,14,21,22,6,22,22,5,169,1014,9,0.0,0.0,11.6,15,74,6,Hale County,Alabama
2020-03-27,29,29,18,23,24,4,24,24,6,204,1013,10,0.0,0.0,10.3,19,80,6,Hale County,Alabama
