date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,-1,8,8,6,8,9,4,184,1023,7,0.0,0.0,8.6,1,68,2,Hamilton County,Tennessee
2020-03-02,11,11,6,7,7,4,9,9,6,171,1015,10,15.1,0.0,5.7,8,95,2,Hamilton County,Tennessee
2020-03-03,19,19,11,14,14,4,15,15,7,244,1010,10,7.4,0.0,8.6,12,89,4,Hamilton County,Tennessee
2020-03-04,16,16,9,11,11,5,11,13,3,186,1016,4,3.1,0.0,10.1,8,79,3,Hamilton County,Tennessee
2020-03-05,11,11,7,8,8,3,9,9,3,227,1018,6,8.0,0.0,5.7,8,93,2,Hamilton County,Tennessee
2020-03-06,9,9,2,3,3,6,6,6,10,318,1024,14,0.0,0.0,11.4,0,69,3,Hamilton County,Tennessee
2020-03-07,11,11,-1,2,2,6,4,6,6,39,1032,8,0.0,0.0,11.4,-2,66,3,Hamilton County,Tennessee
2020-03-08,15,15,0,7,7,6,8,9,5,171,1033,7,0.0,0.0,8.7,0,65,2,Hamilton County,Tennessee
2020-03-09,16,16,4,9,9,6,10,11,6,175,1031,9,0.1,0.0,8.8,6,76,3,Hamilton County,Tennessee
2020-03-10,15,15,11,12,12,4,13,14,7,198,1024,10,3.0,0.0,5.9,12,93,3,Hamilton County,Tennessee
2020-03-11,19,19,11,15,15,3,15,16,5,236,1019,7,0.3,0.0,6.0,12,86,4,Hamilton County,Tennessee
2020-03-12,21,21,12,16,16,4,16,17,6,187,1014,9,1.3,0.0,6.0,15,90,4,Hamilton County,Tennessee
2020-03-13,19,19,13,16,16,5,16,17,5,234,1020,8,4.9,0.0,7.4,12,81,4,Hamilton County,Tennessee
2020-03-14,17,17,10,12,12,5,12,13,4,124,1025,6,1.9,0.0,6.0,9,78,3,Hamilton County,Tennessee
2020-03-15,14,14,9,13,13,4,13,14,3,37,1026,4,9.8,0.0,6.0,12,93,3,Hamilton County,Tennessee
2020-03-16,16,16,7,11,11,5,11,13,4,170,1025,5,5.0,0.0,6.0,9,86,3,Hamilton County,Tennessee
2020-03-17,21,21,11,14,14,5,15,16,4,227,1023,5,4.0,0.0,6.0,13,91,4,Hamilton County,Tennessee
2020-03-18,21,21,10,15,15,3,16,17,5,173,1023,8,3.2,0.0,6.0,14,90,4,Hamilton County,Tennessee
2020-03-19,24,24,15,19,19,4,20,20,6,193,1022,10,1.8,0.0,7.4,16,88,5,Hamilton County,Tennessee
2020-03-20,19,19,12,17,17,5,17,18,6,221,1022,9,34.0,0.0,6.0,16,94,4,Hamilton County,Tennessee
2020-03-21,16,16,12,14,14,5,15,14,5,332,1027,6,1.7,0.0,7.4,10,82,3,Hamilton County,Tennessee
2020-03-22,16,16,5,10,10,6,10,12,6,139,1025,8,0.1,0.0,8.8,7,80,3,Hamilton County,Tennessee
2020-03-23,20,20,11,14,14,3,14,15,4,216,1020,6,7.1,0.0,6.1,13,94,4,Hamilton County,Tennessee
2020-03-24,15,15,10,12,12,1,13,13,3,88,1014,4,52.0,0.0,6.1,13,98,3,Hamilton County,Tennessee
2020-03-25,23,23,12,17,17,5,18,17,4,137,1013,5,1.5,0.0,10.2,11,81,5,Hamilton County,Tennessee
2020-03-26,22,22,9,15,15,4,16,17,6,176,1015,8,0.0,0.0,11.6,12,84,5,Hamilton County,Tennessee
2020-03-27,27,27,14,20,22,4,22,22,6,218,1013,10,0.0,0.0,10.2,16,82,6,Hamilton County,Tennessee
2020-03-28,26,26,17,21,22,4,22,22,7,203,1013,11,0.2,0.0,10.2,18,85,5,Hamilton County,Tennessee
2020-03-29,22,22,18,19,19,6,21,20,8,262,1017,12,0.8,0.0,7.7,12,70,5,Hamilton County,Tennessee
2020-03-30,20,20,11,15,15,6,15,17,4,333,1021,6,0.0,0.0,11.6,7,59,5,Hamilton County,Tennessee
2020-03-31,9,9,6,7,7,5,9,8,7,139,1011,10,13.6,0.0,6.4,6,86,2,Hamilton County,Tennessee
2020-04-01,12,12,2,6,6,6,8,9,6,351,1016,9,0.0,0.0,11.6,2,74,3,Hamilton County,Tennessee
2020-04-02,18,18,3,10,10,6,12,12,4,43,1019,7,0.0,0.0,11.6,4,70,4,Hamilton County,Tennessee
2020-04-03,22,22,6,13,13,6,14,16,3,48,1017,6,0.0,0.0,11.6,6,68,5,Hamilton County,Tennessee
2020-04-04,24,24,11,17,17,6,18,19,3,123,1016,5,0.0,0.0,11.6,10,66,5,Hamilton County,Tennessee
2020-04-05,25,25,11,18,18,6,19,20,3,212,1018,5,0.2,0.0,10.3,12,73,5,Hamilton County,Tennessee
2020-04-06,26,26,13,19,19,6,20,21,3,221,1018,4,1.9,0.0,11.6,13,76,5,Hamilton County,Tennessee
2020-04-07,22,22,14,18,18,4,18,20,5,230,1015,7,4.6,0.0,7.7,16,88,4,Hamilton County,Tennessee
2020-04-08,28,28,14,22,23,4,23,24,6,260,1009,9,2.4,0.0,10.3,17,81,5,Hamilton County,Tennessee
