date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,24,24,13,16,16,6,17,18,18,210,1011,27,0.0,0.0,10.2,12,71,5,Hamilton County,Texas
2020-03-02,24,24,16,19,19,6,20,20,10,235,1009,18,0.2,0.0,11.6,13,69,6,Hamilton County,Texas
2020-03-03,20,20,16,18,18,6,18,19,7,129,1009,12,0.1,0.0,11.6,11,65,5,Hamilton County,Texas
2020-03-04,13,13,6,9,9,4,12,12,21,46,1013,31,87.5,0.0,5.9,10,89,3,Hamilton County,Texas
2020-03-05,20,20,8,12,12,6,13,14,8,327,1023,14,3.7,0.0,11.6,7,67,4,Hamilton County,Texas
2020-03-06,16,16,8,10,10,6,12,12,9,77,1032,15,0.0,0.0,11.6,3,55,4,Hamilton County,Texas
2020-03-07,15,15,7,9,9,6,11,11,11,158,1028,17,0.0,0.0,10.2,4,63,4,Hamilton County,Texas
2020-03-08,17,17,9,11,11,6,13,14,17,174,1022,25,0.2,0.0,5.9,11,84,3,Hamilton County,Texas
2020-03-09,23,23,15,18,18,6,19,19,16,216,1019,24,3.4,0.0,5.9,15,81,4,Hamilton County,Texas
2020-03-10,25,25,14,19,19,5,20,20,8,129,1022,14,0.0,0.0,11.6,16,82,5,Hamilton County,Texas
2020-03-11,27,27,18,22,22,6,22,23,11,237,1016,17,1.4,0.0,6.0,17,77,5,Hamilton County,Texas
2020-03-12,26,26,18,22,23,5,23,23,12,221,1010,19,7.0,0.0,8.8,18,79,5,Hamilton County,Texas
2020-03-13,21,21,16,19,19,4,19,19,8,147,1014,13,19.7,0.0,6.0,18,91,4,Hamilton County,Texas
2020-03-14,26,26,19,21,22,6,22,22,13,205,1018,18,2.9,0.0,6.0,18,84,5,Hamilton County,Texas
2020-03-15,16,16,12,13,13,5,14,14,10,41,1024,14,8.8,0.0,6.0,13,93,3,Hamilton County,Texas
2020-03-16,17,17,9,13,13,3,14,15,7,91,1021,11,24.5,0.0,7.4,14,95,4,Hamilton County,Texas
2020-03-17,23,23,16,19,19,5,20,20,10,149,1017,15,3.9,0.0,6.0,17,91,4,Hamilton County,Texas
2020-03-18,24,24,18,21,21,4,22,21,15,193,1014,24,53.1,0.0,6.0,19,87,5,Hamilton County,Texas
2020-03-19,26,26,19,21,21,5,22,22,14,213,1014,22,13.3,0.0,6.0,18,81,5,Hamilton County,Texas
2020-03-20,14,14,8,12,12,5,13,13,10,133,1024,15,13.8,0.0,6.0,10,80,3,Hamilton County,Texas
2020-03-21,15,15,6,7,7,5,9,10,10,55,1027,13,4.8,0.0,6.1,6,80,3,Hamilton County,Texas
2020-03-22,21,21,11,16,16,4,16,17,8,192,1019,11,5.6,0.0,6.1,15,91,4,Hamilton County,Texas
2020-03-23,24,24,15,19,19,4,20,20,10,194,1016,15,0.1,0.0,6.1,17,87,4,Hamilton County,Texas
2020-03-24,26,26,19,22,23,6,23,23,12,280,1011,17,0.0,0.0,11.6,14,67,6,Hamilton County,Texas
2020-03-25,29,29,16,22,23,6,23,23,8,207,1011,14,0.0,0.0,11.6,11,51,6,Hamilton County,Texas
2020-03-26,29,29,18,23,25,6,25,24,13,194,1008,20,0.0,0.0,11.6,19,77,6,Hamilton County,Texas
2020-03-27,28,28,18,23,24,6,24,23,13,200,1006,20,0.3,0.0,8.9,18,78,5,Hamilton County,Texas
2020-03-28,21,21,15,19,19,6,20,19,14,291,1010,22,1.8,0.0,11.6,9,54,5,Hamilton County,Texas
2020-03-29,22,22,10,15,15,6,16,16,7,117,1019,12,0.1,0.0,10.2,5,50,4,Hamilton County,Texas
2020-03-30,17,17,13,15,15,5,15,16,9,127,1015,14,4.9,0.0,6.1,12,82,4,Hamilton County,Texas
2020-03-31,20,20,10,14,14,5,15,15,11,127,1016,16,0.0,0.0,11.6,11,80,5,Hamilton County,Texas
2020-04-01,21,21,10,14,14,6,15,15,11,161,1015,17,0.0,0.0,11.6,11,78,5,Hamilton County,Texas
2020-04-02,22,22,15,18,18,6,18,18,17,180,1011,25,2.1,0.0,6.2,15,86,4,Hamilton County,Texas
2020-04-03,20,20,7,15,15,5,16,17,13,303,1014,20,10.0,0.0,6.2,13,86,4,Hamilton County,Texas
2020-04-04,13,13,5,6,6,6,8,8,9,124,1019,11,2.8,0.0,6.2,4,76,2,Hamilton County,Texas
2020-04-05,15,15,8,11,11,5,12,13,6,166,1017,10,2.2,0.0,6.2,12,92,3,Hamilton County,Texas
2020-04-06,21,21,14,18,18,4,18,19,9,186,1015,13,0.0,0.0,6.2,16,90,4,Hamilton County,Texas
2020-04-07,29,29,19,23,24,6,24,25,13,242,1013,21,0.1,0.0,11.6,18,76,6,Hamilton County,Texas
2020-04-08,31,31,21,25,26,6,26,26,11,263,1010,19,0.1,0.0,11.6,18,67,7,Hamilton County,Texas
2020-04-09,24,24,17,21,21,6,21,21,7,34,1012,12,1.2,0.0,10.3,17,78,5,Hamilton County,Texas
2020-04-10,20,20,12,15,15,6,16,16,12,93,1017,17,0.0,0.0,11.6,12,79,5,Hamilton County,Texas
2020-04-11,19,19,13,15,15,5,16,17,13,159,1009,22,16.7,0.0,6.5,15,93,4,Hamilton County,Texas
2020-04-12,24,24,17,21,21,6,22,22,18,258,1001,27,1.8,0.0,11.6,12,65,6,Hamilton County,Texas
2020-04-13,12,12,3,4,4,6,8,8,14,22,1021,19,0.0,0.0,11.6,0,61,3,Hamilton County,Texas
2020-04-14,11,11,3,4,4,6,7,7,12,23,1023,16,0.0,0.0,7.8,2,71,2,Hamilton County,Texas
2020-04-15,16,16,1,9,9,6,10,10,5,186,1022,9,0.0,0.0,11.6,3,70,3,Hamilton County,Texas
2020-04-16,21,21,8,13,13,6,14,15,14,174,1018,22,0.0,0.0,11.6,10,76,5,Hamilton County,Texas
2020-04-17,16,16,9,12,12,6,14,14,11,319,1017,16,0.1,0.0,6.5,10,80,3,Hamilton County,Texas
2020-04-18,20,20,7,12,12,6,13,14,8,116,1016,11,1.6,0.0,6.5,9,79,3,Hamilton County,Texas
2020-04-19,28,28,13,21,22,6,22,23,12,257,1006,20,0.4,0.0,9.2,14,71,5,Hamilton County,Texas
2020-04-20,30,30,14,20,20,4,21,21,7,165,1010,11,0.0,0.0,10.4,14,77,5,Hamilton County,Texas
2020-04-21,26,26,16,20,20,4,21,21,10,144,1012,16,0.4,0.0,8.0,18,86,5,Hamilton County,Texas
2020-04-22,29,29,18,24,24,6,24,25,15,224,1006,24,0.9,0.0,8.0,16,67,6,Hamilton County,Texas
2020-04-23,27,27,14,21,21,6,22,22,8,327,1008,13,0.0,0.0,11.6,10,54,6,Hamilton County,Texas
