date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,10,10,-5,-1,-1,6,2,4,5,249,1022,9,0.0,0.0,10.2,-10,48,1,Hampshire County,West Virginia
2020-03-02,16,16,2,6,6,5,8,11,8,209,1014,14,4.2,0.0,10.2,3,73,3,Hampshire County,West Virginia
2020-03-03,14,14,5,7,7,4,8,10,6,194,1005,10,13.3,0.0,5.8,7,88,3,Hampshire County,West Virginia
2020-03-04,13,13,2,5,5,6,7,9,9,265,1012,14,0.0,0.0,11.6,-1,60,3,Hampshire County,West Virginia
2020-03-05,12,12,-1,5,5,6,6,7,5,156,1019,7,0.0,0.0,10.2,-2,64,3,Hampshire County,West Virginia
2020-03-06,9,9,0,1,1,5,4,7,10,304,1012,14,2.3,0.9,5.9,-1,69,2,Hampshire County,West Virginia
2020-03-07,7,7,-2,-1,-1,6,3,4,9,320,1028,13,0.0,0.0,11.6,-6,62,2,Hampshire County,West Virginia
2020-03-08,17,17,-3,7,7,6,8,10,4,223,1032,7,0.0,0.0,11.6,-5,52,4,Hampshire County,West Virginia
2020-03-09,19,19,5,10,10,6,12,14,6,246,1028,10,0.0,0.0,10.2,1,52,3,Hampshire County,West Virginia
2020-03-10,16,16,9,12,12,5,13,14,8,231,1019,12,3.0,0.0,5.9,8,75,3,Hampshire County,West Virginia
2020-03-11,12,12,4,7,7,5,7,9,2,49,1019,3,0.0,0.0,5.9,5,83,2,Hampshire County,West Virginia
2020-03-12,18,18,3,11,11,4,11,13,3,137,1015,4,0.1,0.0,10.2,7,81,3,Hampshire County,West Virginia
2020-03-13,15,15,6,11,11,5,12,14,9,279,1014,12,16.9,0.0,8.8,5,69,3,Hampshire County,West Virginia
2020-03-14,12,12,1,4,4,5,6,8,5,293,1029,7,5.6,0.0,10.2,-3,58,2,Hampshire County,West Virginia
2020-03-15,6,6,1,1,1,3,3,4,4,53,1031,5,16.3,14.2,6.0,2,93,1,Hampshire County,West Virginia
2020-03-16,9,9,-2,2,2,6,3,5,5,144,1029,7,0.0,0.0,6.0,-1,77,1,Hampshire County,West Virginia
2020-03-17,14,14,4,8,8,4,10,11,5,288,1023,7,0.8,0.0,7.4,5,81,3,Hampshire County,West Virginia
2020-03-18,12,12,1,5,5,4,6,8,4,145,1028,6,1.4,0.0,7.4,3,82,2,Hampshire County,West Virginia
2020-03-19,22,22,7,15,15,5,16,18,5,244,1020,9,16.4,0.0,7.4,12,83,4,Hampshire County,West Virginia
2020-03-20,23,23,15,19,19,5,20,21,10,248,1015,14,0.7,0.0,8.8,14,77,5,Hampshire County,West Virginia
2020-03-21,10,10,3,5,5,6,7,7,5,97,1027,6,0.6,0.0,6.1,0,64,2,Hampshire County,West Virginia
2020-03-22,8,8,-1,2,2,6,4,5,6,115,1032,8,0.1,0.0,10.2,-2,66,3,Hampshire County,West Virginia
2020-03-23,7,7,3,4,4,5,5,6,4,88,1023,5,7.9,0.0,6.1,4,92,2,Hampshire County,West Virginia
2020-03-24,15,15,1,7,7,5,8,10,3,203,1020,5,0.0,0.0,10.2,3,75,2,Hampshire County,West Virginia
2020-03-25,7,7,3,3,3,4,5,6,5,47,1014,8,26.6,0.0,6.1,4,94,2,Hampshire County,West Virginia
2020-03-26,19,19,2,10,10,4,11,13,4,177,1015,6,0.0,0.0,11.6,5,77,4,Hampshire County,West Virginia
2020-03-27,18,18,9,14,14,5,14,16,3,39,1012,4,10.6,0.0,6.1,11,87,4,Hampshire County,West Virginia
2020-03-28,21,21,12,15,15,4,15,17,3,134,1012,4,5.1,0.0,6.2,14,92,4,Hampshire County,West Virginia
2020-03-29,24,24,11,17,17,4,18,20,6,225,1011,9,1.2,0.0,6.2,11,76,4,Hampshire County,West Virginia
2020-03-30,14,14,8,9,9,6,11,12,9,286,1015,12,0.1,0.0,11.6,4,64,4,Hampshire County,West Virginia
2020-03-31,10,10,4,6,6,6,6,7,4,78,1013,5,2.3,0.0,6.4,3,79,2,Hampshire County,West Virginia
2020-04-01,12,12,3,5,5,5,7,8,4,339,1011,6,7.9,0.0,6.4,4,83,2,Hampshire County,West Virginia
2020-04-02,10,10,-1,2,2,6,5,7,10,320,1015,14,0.0,0.0,11.6,-1,66,3,Hampshire County,West Virginia
