date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,-1,5,5,6,7,9,11,194,1018,18,0.8,0.0,8.6,1,67,2,Hancock County,Kentucky
2020-03-02,17,17,10,11,11,5,13,14,11,239,1009,17,8.7,0.0,5.6,11,89,3,Hancock County,Kentucky
2020-03-03,15,15,8,10,10,5,12,13,10,281,1007,16,9.9,0.0,10.1,7,76,4,Hancock County,Kentucky
2020-03-04,14,14,5,7,7,6,9,11,8,273,1015,13,0.0,0.0,11.3,3,66,4,Hancock County,Kentucky
2020-03-05,14,14,3,6,6,6,8,10,8,205,1018,13,0.0,0.0,7.1,2,66,2,Hancock County,Kentucky
2020-03-06,7,7,0,-1,-1,5,3,3,14,326,1025,20,0.1,0.0,8.6,-2,69,1,Hancock County,Kentucky
2020-03-07,10,10,-2,2,2,6,4,5,4,126,1034,7,0.0,0.0,11.4,-4,64,3,Hancock County,Kentucky
2020-03-08,15,15,1,5,5,6,8,9,9,195,1029,16,0.0,0.0,7.2,1,64,2,Hancock County,Kentucky
2020-03-09,16,16,9,11,11,6,13,13,15,195,1025,23,2.1,0.0,10.1,8,73,3,Hancock County,Kentucky
2020-03-10,15,15,8,11,11,6,12,13,11,313,1021,16,1.9,0.0,5.7,10,85,3,Hancock County,Kentucky
2020-03-11,16,16,5,9,9,6,10,11,3,238,1018,5,0.0,0.0,10.1,6,80,3,Hancock County,Kentucky
2020-03-12,19,19,8,14,14,4,14,15,9,183,1010,14,7.2,0.0,5.8,12,89,4,Hancock County,Kentucky
2020-03-13,10,10,6,6,6,5,9,8,9,335,1023,13,3.0,0.0,10.1,3,69,2,Hancock County,Kentucky
2020-03-14,6,6,-1,1,1,5,4,5,9,60,1029,14,6.9,0.0,6.0,0,75,2,Hancock County,Kentucky
2020-03-15,7,7,2,1,1,6,5,5,9,47,1032,12,0.1,0.0,6.0,2,81,2,Hancock County,Kentucky
2020-03-16,9,9,2,5,5,5,6,7,4,163,1027,6,0.2,0.0,7.4,3,82,2,Hancock County,Kentucky
2020-03-17,14,14,6,7,7,5,9,10,5,238,1025,8,1.5,0.0,7.4,5,80,3,Hancock County,Kentucky
2020-03-18,17,17,6,10,10,5,11,12,8,161,1020,14,6.6,0.0,6.0,10,93,3,Hancock County,Kentucky
2020-03-19,20,20,13,16,16,3,17,17,10,187,1017,18,10.6,0.0,6.0,16,94,4,Hancock County,Kentucky
2020-03-20,20,20,8,15,15,5,16,18,15,290,1019,23,15.6,0.0,6.3,13,82,4,Hancock County,Kentucky
2020-03-21,9,9,1,2,2,6,5,5,7,241,1031,10,0.0,0.0,10.3,-1,66,3,Hancock County,Kentucky
2020-03-22,10,10,0,2,2,6,5,6,6,68,1027,9,0.0,0.0,7.6,1,76,2,Hancock County,Kentucky
2020-03-23,14,14,6,8,8,4,9,11,6,334,1021,10,0.6,0.0,10.3,6,81,3,Hancock County,Kentucky
2020-03-24,16,16,6,8,8,5,9,11,7,101,1016,11,11.8,0.0,6.3,7,87,3,Hancock County,Kentucky
2020-03-25,17,17,4,9,9,4,10,12,5,118,1015,8,0.0,0.0,11.6,6,79,4,Hancock County,Kentucky
2020-03-26,23,23,8,14,14,4,16,17,10,189,1011,16,0.0,0.0,11.6,12,83,5,Hancock County,Kentucky
2020-03-27,23,23,17,19,19,4,20,20,6,188,1008,10,3.5,0.0,6.3,18,93,5,Hancock County,Kentucky
2020-03-28,24,24,18,21,22,5,22,22,13,219,1007,20,6.1,0.0,6.4,19,86,5,Hancock County,Kentucky
2020-03-29,17,17,12,14,14,6,15,14,15,250,1013,23,0.3,0.0,10.3,10,73,4,Hancock County,Kentucky
2020-03-30,16,16,7,11,11,6,11,13,7,293,1021,11,0.0,0.0,9.0,5,66,3,Hancock County,Kentucky
2020-03-31,11,11,6,6,6,4,8,9,8,242,1015,12,2.0,0.0,6.4,4,75,2,Hancock County,Kentucky
2020-04-01,11,11,2,5,5,4,7,8,5,344,1018,8,0.0,0.0,11.6,3,77,3,Hancock County,Kentucky
2020-04-02,17,17,5,10,10,6,11,12,3,121,1020,5,0.0,0.0,11.6,5,71,4,Hancock County,Kentucky
2020-04-03,20,20,8,13,13,6,14,15,4,172,1018,6,0.0,0.0,11.6,7,68,5,Hancock County,Kentucky
2020-04-04,19,19,12,15,15,6,16,16,5,280,1017,8,0.1,0.0,9.0,10,76,5,Hancock County,Kentucky
2020-04-05,18,18,9,12,12,4,12,14,5,314,1019,7,0.1,0.0,7.7,10,83,3,Hancock County,Kentucky
2020-04-06,21,21,11,16,16,4,16,18,3,261,1018,5,0.8,0.0,10.3,12,81,4,Hancock County,Kentucky
2020-04-07,24,24,14,19,19,4,19,21,9,227,1011,15,0.3,0.0,7.8,16,87,5,Hancock County,Kentucky
2020-04-08,27,27,18,22,23,5,23,22,8,264,1005,12,5.9,0.0,9.0,18,83,5,Hancock County,Kentucky
2020-04-09,13,13,7,8,8,6,11,11,14,296,1010,21,0.0,0.0,11.6,4,66,4,Hancock County,Kentucky
2020-04-10,11,11,1,2,2,6,5,7,9,311,1019,13,0.0,0.0,11.6,-2,59,3,Hancock County,Kentucky
2020-04-11,14,14,3,7,7,5,8,10,7,184,1016,12,1.6,0.0,10.3,3,68,3,Hancock County,Kentucky
2020-04-12,15,15,7,10,10,4,12,14,10,169,1006,15,20.8,0.0,6.5,11,88,3,Hancock County,Kentucky
2020-04-13,10,10,4,5,5,5,8,8,12,297,1011,16,7.5,0.0,9.1,4,77,2,Hancock County,Kentucky
2020-04-14,8,8,1,3,3,6,4,6,6,316,1024,8,0.2,0.1,6.6,-4,57,2,Hancock County,Kentucky
2020-04-15,12,12,-1,3,3,6,5,8,9,247,1021,14,2.3,0.0,9.1,-2,61,2,Hancock County,Kentucky
2020-04-16,13,13,-3,4,4,6,6,8,4,143,1026,7,0.0,0.0,11.6,-2,60,3,Hancock County,Kentucky
2020-04-17,13,13,5,6,6,4,8,11,11,240,1017,19,11.9,0.0,6.6,5,81,3,Hancock County,Kentucky
2020-04-18,13,13,-1,4,4,5,6,8,5,251,1019,9,4.2,0.0,11.6,2,75,3,Hancock County,Kentucky
2020-04-19,14,14,4,7,7,6,9,11,5,143,1011,8,0.0,0.0,7.9,5,79,3,Hancock County,Kentucky
2020-04-20,18,18,5,11,11,5,11,14,5,191,1009,9,0.0,0.0,11.6,7,76,4,Hancock County,Kentucky
2020-04-21,14,14,7,9,9,5,10,12,10,320,1014,15,0.6,0.0,11.6,6,75,4,Hancock County,Kentucky
2020-04-22,19,19,5,11,11,6,12,14,7,182,1016,10,0.0,0.0,11.6,7,71,4,Hancock County,Kentucky
2020-04-23,18,18,11,12,12,4,13,14,9,158,1004,14,12.6,0.0,8.3,12,94,3,Hancock County,Kentucky
2020-04-24,20,20,9,14,14,3,14,16,4,222,1009,6,0.1,0.0,10.9,11,84,4,Hancock County,Kentucky
2020-04-25,17,17,11,12,12,4,13,14,7,147,1006,12,6.6,0.0,8.6,12,91,3,Hancock County,Kentucky
2020-04-26,14,14,8,7,7,5,10,10,12,325,1015,19,19.0,0.0,8.6,8,87,2,Hancock County,Kentucky
2020-04-27,18,18,4,10,10,6,11,13,6,221,1022,9,0.0,0.0,13.8,6,72,4,Hancock County,Kentucky
2020-04-28,21,21,12,14,14,6,15,15,10,195,1015,18,0.3,0.0,12.2,11,78,4,Hancock County,Kentucky
2020-04-29,15,15,8,12,12,5,13,14,10,255,1004,17,6.1,0.0,9.8,12,89,3,Hancock County,Kentucky
2020-04-30,12,12,7,7,7,6,10,10,11,295,1010,16,0.8,0.0,8.7,7,84,3,Hancock County,Kentucky
2020-05-01,20,20,5,12,12,6,13,15,5,279,1017,8,0.0,0.0,13.9,9,76,5,Hancock County,Kentucky
2020-05-02,24,24,12,18,18,6,19,20,10,223,1016,16,1.1,0.0,13.3,15,82,5,Hancock County,Kentucky
2020-05-03,19,19,15,17,17,4,17,18,8,289,1013,13,7.1,0.0,8.7,16,95,4,Hancock County,Kentucky
2020-05-04,22,22,9,15,15,5,17,18,6,93,1015,10,0.8,0.0,13.9,11,76,5,Hancock County,Kentucky
2020-05-05,17,17,12,13,13,4,14,14,10,224,1010,14,22.9,0.0,8.7,12,93,3,Hancock County,Kentucky
2020-05-06,14,14,6,8,8,4,10,11,9,335,1017,13,2.2,0.0,9.9,6,78,3,Hancock County,Kentucky
2020-05-07,18,18,5,10,10,5,11,14,7,269,1018,11,0.7,0.0,12.2,7,76,3,Hancock County,Kentucky
2020-05-08,12,12,7,8,8,4,10,11,9,345,1014,15,25.5,0.0,8.8,7,85,3,Hancock County,Kentucky
2020-05-09,13,13,-1,5,5,6,6,9,4,294,1024,6,0.0,0.0,14.0,-1,61,3,Hancock County,Kentucky
2020-05-10,15,15,5,8,8,6,11,12,12,253,1021,19,2.1,0.0,11.1,5,76,3,Hancock County,Kentucky
2020-05-11,12,12,0,5,5,5,7,9,7,302,1024,10,0.4,0.0,13.4,3,78,2,Hancock County,Kentucky
2020-05-12,15,15,4,9,9,6,10,12,3,230,1025,5,0.3,0.0,13.4,6,77,3,Hancock County,Kentucky
2020-05-13,15,15,7,10,10,4,11,11,7,117,1023,11,1.2,0.0,8.8,10,93,3,Hancock County,Kentucky
2020-05-14,25,25,13,18,18,4,19,21,11,203,1018,18,1.0,0.0,14.1,16,85,6,Hancock County,Kentucky
2020-05-15,24,24,16,20,20,5,21,21,11,221,1015,18,7.9,0.0,11.1,17,83,5,Hancock County,Kentucky
2020-05-16,26,26,18,21,22,5,22,22,9,198,1013,15,11.5,0.0,10.0,20,91,5,Hancock County,Kentucky
2020-05-17,24,24,18,21,21,4,22,22,9,296,1013,15,14.9,0.0,10.0,19,90,5,Hancock County,Kentucky
2020-05-18,19,19,14,17,17,5,17,17,5,240,1007,8,13.6,0.0,8.9,16,93,4,Hancock County,Kentucky
2020-05-19,19,19,12,15,15,2,15,17,5,284,1008,8,8.2,0.0,8.9,14,93,4,Hancock County,Kentucky
2020-05-20,19,19,12,14,14,6,15,16,10,65,1015,15,0.5,0.0,8.9,13,89,4,Hancock County,Kentucky
2020-05-21,20,20,11,15,15,5,16,17,6,102,1016,9,0.9,0.0,11.1,13,86,4,Hancock County,Kentucky
2020-05-22,24,24,12,18,18,4,19,20,3,214,1016,6,0.0,0.0,12.3,16,86,5,Hancock County,Kentucky
2020-05-23,28,28,17,22,24,4,24,25,6,205,1014,10,0.8,0.0,12.3,20,88,5,Hancock County,Kentucky
2020-05-24,28,28,19,22,23,4,23,24,6,160,1015,10,4.2,0.0,10.0,20,89,5,Hancock County,Kentucky
2020-05-25,29,29,18,23,25,4,25,25,5,177,1015,10,14.6,0.0,12.3,21,86,6,Hancock County,Kentucky
2020-05-26,26,26,19,22,22,4,22,24,7,172,1016,12,1.7,0.0,13.4,19,87,5,Hancock County,Kentucky
2020-05-27,20,20,11,17,17,3,18,19,7,146,1015,12,3.9,0.0,9.2,18,96,4,Hancock County,Kentucky
2020-05-28,25,25,18,21,22,4,22,23,7,177,1013,11,5.3,0.0,12.4,19,89,5,Hancock County,Kentucky
2020-05-29,24,24,16,19,19,3,20,21,8,283,1015,13,5.4,0.0,11.3,17,87,5,Hancock County,Kentucky
2020-05-30,21,21,12,16,16,5,18,19,8,339,1020,12,0.3,0.0,12.4,14,84,4,Hancock County,Kentucky
2020-05-31,22,22,12,16,16,6,17,19,7,30,1024,11,0.0,0.0,14.5,11,74,5,Hancock County,Kentucky
