date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,11,11,3,4,4,6,7,8,12,342,1008,18,0.0,0.0,11.6,2,68,3,Harrison County,Iowa
2020-03-02,9,9,-1,0,0,6,3,3,8,266,1012,12,0.0,0.0,11.6,-3,63,2,Harrison County,Iowa
2020-03-03,13,13,2,4,4,6,7,8,12,292,1007,18,0.0,0.0,11.6,-1,56,2,Harrison County,Iowa
2020-03-04,13,13,2,5,5,4,7,7,9,272,1014,15,0.0,0.0,11.6,0,65,3,Harrison County,Iowa
2020-03-05,10,10,3,2,2,6,7,8,20,312,1020,28,0.0,0.0,11.6,-3,53,3,Harrison County,Iowa
2020-03-06,10,10,-3,1,1,6,4,4,9,220,1032,13,0.0,0.0,11.6,-4,60,2,Harrison County,Iowa
2020-03-07,18,18,5,8,8,6,11,12,18,191,1020,28,0.0,0.0,8.7,0,47,3,Harrison County,Iowa
2020-03-08,19,19,9,12,12,6,13,14,18,190,1011,27,0.0,0.0,11.6,5,59,4,Harrison County,Iowa
2020-03-09,6,6,-5,1,1,3,5,4,13,235,1016,17,23.1,4.2,5.9,3,84,1,Harrison County,Iowa
2020-03-10,7,7,-3,0,0,6,2,2,6,165,1023,10,0.2,0.0,7.3,-2,74,1,Harrison County,Iowa
2020-03-11,15,15,1,6,6,6,8,8,8,239,1014,13,0.0,0.0,11.6,2,70,3,Harrison County,Iowa
2020-03-12,13,13,5,7,7,5,10,11,17,330,1008,24,0.8,0.0,8.8,4,64,3,Harrison County,Iowa
2020-03-13,8,8,0,2,2,5,4,5,6,224,1027,9,0.4,0.0,6.0,-5,53,1,Harrison County,Iowa
2020-03-14,3,3,0,-3,-3,2,2,1,11,85,1033,14,10.8,8.9,6.0,0,86,1,Harrison County,Iowa
2020-03-15,3,3,-3,-3,-3,6,1,1,8,140,1035,10,0.1,0.0,7.4,-2,79,1,Harrison County,Iowa
2020-03-16,8,8,-1,1,1,6,3,4,6,234,1025,8,0.1,0.1,6.0,1,84,1,Harrison County,Iowa
2020-03-17,10,10,-1,2,2,6,4,5,6,109,1025,9,0.0,0.0,10.2,-1,70,2,Harrison County,Iowa
2020-03-18,13,13,6,7,7,4,9,9,7,145,1014,10,2.2,0.0,6.0,7,90,2,Harrison County,Iowa
2020-03-19,18,18,9,12,12,4,14,15,13,100,1008,20,28.2,0.0,6.0,10,89,3,Harrison County,Iowa
2020-03-20,0,0,-6,-9,-9,4,-3,-3,17,348,1033,20,4.9,0.0,11.6,-9,65,2,Harrison County,Iowa
2020-03-21,6,6,-5,-3,-3,6,0,1,7,174,1032,11,0.0,0.0,11.6,-7,63,2,Harrison County,Iowa
2020-03-22,7,7,-1,-1,-1,6,3,4,11,156,1022,15,0.0,0.0,7.5,0,82,1,Harrison County,Iowa
2020-03-23,12,12,3,4,4,4,7,7,8,182,1019,11,0.0,0.0,6.1,4,85,2,Harrison County,Iowa
2020-03-24,13,13,4,5,5,5,8,8,11,157,1014,15,0.0,0.0,6.1,6,87,2,Harrison County,Iowa
2020-03-25,18,18,9,11,11,6,13,13,13,197,1008,17,1.0,0.0,8.9,9,83,3,Harrison County,Iowa
2020-03-26,12,12,5,4,4,6,7,7,10,50,1010,14,0.2,0.0,8.9,4,82,2,Harrison County,Iowa
2020-03-27,10,10,6,6,6,6,8,8,7,87,1007,11,0.0,0.0,6.2,6,88,2,Harrison County,Iowa
2020-03-28,17,17,7,10,10,4,11,11,14,128,998,21,13.3,0.0,6.2,6,85,3,Harrison County,Iowa
2020-03-29,14,14,3,5,5,5,8,9,16,305,1012,22,0.5,0.0,11.6,-1,53,3,Harrison County,Iowa
2020-03-30,17,17,4,9,9,6,10,11,7,112,1021,11,0.0,0.0,11.6,2,57,4,Harrison County,Iowa
2020-03-31,17,17,6,11,11,6,12,12,8,161,1016,12,1.0,0.0,8.9,4,59,3,Harrison County,Iowa
2020-04-01,21,21,8,12,12,6,14,14,15,173,1010,22,1.6,0.0,11.6,7,67,4,Harrison County,Iowa
2020-04-02,15,15,7,11,11,5,13,14,14,160,1011,20,2.4,0.0,6.2,7,79,3,Harrison County,Iowa
2020-04-03,6,6,-3,-6,-6,4,0,1,15,336,1024,19,0.9,0.7,8.9,-6,66,1,Harrison County,Iowa
2020-04-04,11,11,-4,0,0,6,3,4,6,106,1024,9,0.0,0.0,11.6,-6,53,2,Harrison County,Iowa
2020-04-05,15,15,0,5,5,6,8,8,10,163,1018,16,0.0,0.0,11.6,2,68,3,Harrison County,Iowa
2020-04-06,18,18,9,11,11,6,13,13,11,175,1010,16,1.9,0.0,6.5,11,86,3,Harrison County,Iowa
2020-04-07,24,24,12,17,17,6,18,19,9,290,1005,14,0.8,0.0,11.6,11,67,5,Harrison County,Iowa
2020-04-08,17,17,9,14,14,6,14,16,11,340,1010,14,0.0,0.0,10.3,6,61,4,Harrison County,Iowa
2020-04-09,8,8,2,1,1,6,5,6,16,319,1019,21,0.0,0.0,11.6,-6,45,3,Harrison County,Iowa
2020-04-10,12,12,-2,2,2,6,5,6,9,210,1019,12,0.0,0.0,11.6,-6,47,2,Harrison County,Iowa
2020-04-11,13,13,5,7,7,4,9,10,9,100,1005,14,1.1,0.0,6.8,5,72,2,Harrison County,Iowa
2020-04-12,5,5,-2,-3,-3,3,3,2,20,358,1008,28,8.9,0.0,6.8,0,82,1,Harrison County,Iowa
2020-04-13,3,3,-6,-7,-7,5,-1,0,14,297,1023,19,0.2,0.0,9.2,-9,54,1,Harrison County,Iowa
2020-04-14,5,5,-4,-4,-4,6,0,2,10,288,1023,14,0.0,0.0,9.2,-9,51,1,Harrison County,Iowa
2020-04-15,9,9,-4,0,0,6,2,3,6,239,1021,8,0.0,0.0,11.6,-7,54,2,Harrison County,Iowa
2020-04-16,5,5,-1,-2,-2,2,1,2,8,69,1026,11,6.8,4.8,6.8,-2,80,1,Harrison County,Iowa
2020-04-17,9,9,-3,0,0,5,3,4,9,265,1021,12,1.9,1.5,9.2,-2,68,1,Harrison County,Iowa
2020-04-18,19,19,1,7,7,6,10,11,13,226,1010,18,0.8,0.0,11.6,3,63,4,Harrison County,Iowa
2020-04-19,15,15,6,9,9,6,11,11,8,140,1012,12,1.0,0.0,11.6,3,64,4,Harrison County,Iowa
2020-04-20,19,19,7,12,12,5,12,13,9,271,1009,12,8.6,0.0,9.2,5,64,3,Harrison County,Iowa
2020-04-21,19,19,6,12,12,6,13,14,6,231,1014,10,0.0,0.0,11.6,5,62,4,Harrison County,Iowa
2020-04-22,25,25,12,17,17,5,19,19,10,241,1007,16,2.8,0.0,8.1,10,61,4,Harrison County,Iowa
2020-04-23,24,24,11,17,17,5,18,19,7,316,1003,11,3.4,0.0,10.4,8,62,4,Harrison County,Iowa
2020-04-24,18,18,10,13,13,6,14,15,9,127,1009,13,5.3,0.0,8.1,10,76,4,Harrison County,Iowa
2020-04-25,17,17,8,11,11,5,12,14,7,215,1016,11,5.1,0.0,9.3,7,71,3,Harrison County,Iowa
2020-04-26,21,21,8,13,13,6,14,15,7,251,1018,10,0.2,0.0,11.6,6,62,5,Harrison County,Iowa
2020-04-27,25,25,11,17,17,6,18,19,9,272,1012,15,0.8,0.0,11.6,10,62,5,Harrison County,Iowa
2020-04-28,21,21,15,17,17,6,18,18,14,315,1007,20,4.4,0.0,11.6,11,72,5,Harrison County,Iowa
2020-04-29,18,18,10,12,12,5,13,14,17,352,1014,23,2.7,0.0,10.4,7,69,4,Harrison County,Iowa
2020-04-30,20,20,8,14,14,6,14,15,6,304,1015,10,0.0,0.0,11.6,6,60,5,Harrison County,Iowa
2020-05-01,26,26,13,18,18,6,20,20,11,205,1008,18,0.0,0.0,11.6,11,61,5,Harrison County,Iowa
2020-05-02,20,20,15,17,17,6,17,18,9,346,1014,14,0.0,0.0,11.6,10,64,5,Harrison County,Iowa
2020-05-03,23,23,11,16,16,6,17,18,4,207,1016,7,0.0,0.0,10.5,7,57,4,Harrison County,Iowa
2020-05-04,13,13,11,12,12,5,13,13,9,126,1014,13,21.9,0.0,7.1,9,80,3,Harrison County,Iowa
2020-05-05,13,13,7,8,8,5,10,11,15,331,1016,20,4.7,0.0,8.2,7,78,3,Harrison County,Iowa
2020-05-06,15,15,5,8,8,5,10,11,8,331,1024,11,0.6,0.0,7.1,5,75,3,Harrison County,Iowa
2020-05-07,13,13,7,8,8,5,9,11,5,155,1018,7,11.6,0.0,7.1,6,81,3,Harrison County,Iowa
2020-05-08,12,12,3,5,5,5,8,8,11,343,1024,16,7.4,0.0,11.6,1,64,3,Harrison County,Iowa
2020-05-09,15,15,5,7,7,6,9,11,11,238,1021,16,1.2,0.0,9.4,3,69,3,Harrison County,Iowa
2020-05-10,11,11,1,2,2,5,6,7,17,324,1026,23,0.1,0.0,10.5,0,65,3,Harrison County,Iowa
2020-05-11,11,11,1,4,4,6,6,7,6,331,1027,10,0.0,0.0,11.6,-1,61,3,Harrison County,Iowa
2020-05-12,15,15,5,9,9,6,10,11,6,128,1023,8,0.0,0.0,9.4,2,59,3,Harrison County,Iowa
2020-05-13,12,12,4,6,6,6,9,9,12,157,1014,17,0.0,0.0,7.2,7,87,2,Harrison County,Iowa
2020-05-14,24,24,13,18,18,4,19,20,7,251,1007,11,1.3,0.0,7.2,15,83,5,Harrison County,Iowa
2020-05-15,22,22,11,16,16,6,17,17,7,82,1013,12,0.0,0.0,11.6,8,62,5,Harrison County,Iowa
2020-05-16,20,20,14,16,16,5,16,17,7,35,1010,11,12.3,0.0,7.2,13,82,4,Harrison County,Iowa
2020-05-17,23,23,11,17,17,6,18,18,8,156,1016,11,0.1,0.0,10.5,12,77,4,Harrison County,Iowa
2020-05-18,16,16,11,12,12,6,13,14,12,120,1015,17,0.2,0.0,9.0,9,80,3,Harrison County,Iowa
2020-05-19,20,20,10,15,15,5,16,16,6,64,1016,9,0.0,0.0,11.4,11,80,4,Harrison County,Iowa
2020-05-20,21,21,14,16,16,6,16,17,10,119,1016,13,0.3,0.0,9.3,14,84,4,Harrison County,Iowa
2020-05-21,21,21,13,16,16,5,17,18,12,135,1014,16,1.1,0.0,9.3,14,84,4,Harrison County,Iowa
2020-05-22,23,23,14,17,17,4,18,18,11,132,1011,17,33.7,0.0,9.3,16,89,4,Harrison County,Iowa
2020-05-23,25,25,15,20,20,5,21,20,7,194,1008,11,5.0,0.0,12.4,16,81,5,Harrison County,Iowa
2020-05-24,29,29,18,22,24,4,24,24,13,171,1007,21,23.6,0.0,12.4,19,82,5,Harrison County,Iowa
2020-05-25,19,19,12,16,16,4,17,18,9,221,1011,13,10.5,0.0,10.4,16,91,4,Harrison County,Iowa
2020-05-26,21,21,15,17,17,4,18,18,10,141,1009,17,15.4,0.0,9.3,16,94,4,Harrison County,Iowa
2020-05-27,19,19,15,17,17,4,17,17,9,119,1012,13,0.6,0.0,10.4,15,90,4,Harrison County,Iowa
