date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,7,8,8,6,10,12,11,226,1008,19,0.0,0.0,8.7,6,72,3,Harrison County,Missouri
2020-03-02,8,8,1,1,1,6,4,4,8,322,1012,11,0.0,0.0,10.2,-2,66,1,Harrison County,Missouri
2020-03-03,12,12,3,4,4,6,7,8,12,292,1008,20,0.0,0.0,11.6,-1,60,3,Harrison County,Missouri
2020-03-04,10,10,3,5,5,6,7,7,9,162,1016,15,0.0,0.0,11.6,2,68,2,Harrison County,Missouri
2020-03-05,12,12,4,4,4,6,8,9,18,305,1020,27,0.0,0.0,11.6,-2,52,3,Harrison County,Missouri
2020-03-06,9,9,-1,1,1,6,4,4,8,287,1032,13,0.0,0.0,11.6,-4,58,2,Harrison County,Missouri
2020-03-07,15,15,3,5,5,6,8,9,14,187,1025,23,0.0,0.0,8.7,0,56,2,Harrison County,Missouri
2020-03-08,18,18,8,10,10,6,12,13,18,198,1017,26,0.6,0.0,11.6,6,64,4,Harrison County,Missouri
2020-03-09,13,13,2,6,6,4,9,11,15,235,1013,20,47.2,0.0,5.9,8,90,3,Harrison County,Missouri
2020-03-10,11,11,-1,3,3,6,5,5,6,125,1024,9,0.9,0.0,11.6,1,74,3,Harrison County,Missouri
2020-03-11,16,16,5,9,9,6,10,11,6,255,1016,10,0.0,0.0,11.6,5,74,4,Harrison County,Missouri
2020-03-12,17,17,7,9,9,6,11,13,12,290,1008,18,2.4,0.0,5.9,7,75,3,Harrison County,Missouri
2020-03-13,9,9,2,3,3,5,5,6,7,253,1027,11,0.9,0.0,6.0,-3,55,2,Harrison County,Missouri
2020-03-14,2,2,1,-4,-4,1,1,1,14,77,1032,19,14.7,11.1,6.0,0,93,1,Harrison County,Missouri
2020-03-15,4,4,-2,-2,-2,5,1,1,7,100,1036,10,0.4,0.1,6.0,-1,85,1,Harrison County,Missouri
