date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,1,1,-7,-7,-7,6,-3,-2,8,315,1019,11,0.0,0.0,11.2,-14,46,2,Hartford County,Connecticut
2020-03-02,10,10,-1,2,2,5,4,6,7,192,1015,11,0.2,0.1,10.1,-2,65,2,Hartford County,Connecticut
2020-03-03,14,14,5,7,7,4,9,10,6,170,1005,10,4.0,0.0,7.1,7,86,3,Hartford County,Connecticut
2020-03-04,9,9,4,3,3,5,6,7,11,271,1004,16,3.8,0.0,11.3,0,63,3,Hartford County,Connecticut
2020-03-05,9,9,1,3,3,6,5,6,6,311,1017,8,0.0,0.0,11.3,-4,57,3,Hartford County,Connecticut
2020-03-06,9,9,1,2,2,5,4,6,7,96,1013,10,0.4,0.2,7.1,-3,63,2,Hartford County,Connecticut
2020-03-07,6,6,-1,-3,-3,5,1,3,10,345,1021,15,0.2,0.1,11.3,-10,46,2,Hartford County,Connecticut
2020-03-08,13,13,-1,3,3,6,5,8,6,268,1027,9,0.0,0.0,8.6,-8,38,2,Hartford County,Connecticut
2020-03-09,18,18,6,10,10,6,12,14,8,236,1025,14,0.0,0.0,11.4,2,51,4,Hartford County,Connecticut
2020-03-10,16,16,9,11,11,6,13,13,10,225,1016,15,2.9,0.0,5.7,7,68,3,Hartford County,Connecticut
2020-03-11,11,11,2,5,5,6,7,8,6,328,1019,9,2.3,0.0,8.7,-3,52,2,Hartford County,Connecticut
2020-03-12,10,10,2,4,4,5,6,7,5,159,1021,7,0.3,0.0,7.2,0,69,2,Hartford County,Connecticut
2020-03-13,15,15,5,9,9,5,11,13,10,230,1012,14,8.9,0.0,7.2,6,78,3,Hartford County,Connecticut
2020-03-14,10,10,3,3,3,6,5,7,9,301,1024,12,0.0,0.0,10.1,-3,55,2,Hartford County,Connecticut
2020-03-15,10,10,1,2,2,6,4,6,7,335,1031,9,0.0,0.0,11.6,-6,50,3,Hartford County,Connecticut
2020-03-16,7,7,-3,-2,-2,6,1,3,7,149,1035,9,0.0,0.0,10.2,-9,47,2,Hartford County,Connecticut
2020-03-17,10,10,0,2,2,4,4,6,6,216,1023,10,2.2,0.0,6.2,3,89,2,Hartford County,Connecticut
2020-03-18,13,13,1,5,5,6,6,8,4,237,1030,6,0.0,0.0,10.3,-4,51,2,Hartford County,Connecticut
2020-03-19,9,9,2,4,4,4,5,6,5,39,1027,7,21.4,0.0,6.2,3,90,2,Hartford County,Connecticut
2020-03-20,18,18,4,10,10,3,11,13,8,219,1013,14,3.1,0.0,6.3,9,90,3,Hartford County,Connecticut
2020-03-21,9,9,1,2,2,6,6,6,9,121,1025,11,0.0,0.0,11.6,-7,45,3,Hartford County,Connecticut
2020-03-22,9,9,-3,0,0,6,3,4,7,54,1037,8,0.0,0.0,11.6,-12,38,2,Hartford County,Connecticut
2020-03-23,5,5,0,-2,-2,5,2,3,9,123,1030,12,17.4,0.0,6.3,-3,72,1,Hartford County,Connecticut
2020-03-24,8,8,-2,0,0,5,3,5,6,333,1019,9,6.8,0.0,11.6,1,88,1,Hartford County,Connecticut
2020-03-25,6,6,-1,-1,-1,6,2,4,6,61,1020,9,0.7,0.0,6.3,0,86,1,Hartford County,Connecticut
2020-03-26,13,13,-2,3,3,6,6,8,5,126,1016,9,0.0,0.0,11.6,1,74,3,Hartford County,Connecticut
2020-03-27,14,14,7,9,9,6,10,12,7,332,1012,10,0.0,0.0,11.6,3,64,4,Hartford County,Connecticut
2020-03-28,13,13,4,6,6,5,8,9,5,154,1020,7,6.0,0.0,9.0,3,75,2,Hartford County,Connecticut
2020-03-29,10,10,5,6,6,3,8,8,7,93,1015,10,13.3,0.0,6.4,7,94,2,Hartford County,Connecticut
2020-03-30,9,9,4,4,4,5,6,8,6,44,1013,9,12.6,0.0,6.4,5,89,2,Hartford County,Connecticut
2020-03-31,8,8,2,3,3,6,4,6,5,49,1016,6,0.0,0.0,7.7,0,75,2,Hartford County,Connecticut
2020-04-01,10,10,0,2,2,6,5,7,7,20,1010,10,0.0,0.0,11.6,-2,64,3,Hartford County,Connecticut
2020-04-02,8,8,-1,1,1,5,4,6,13,332,1004,19,6.1,0.0,6.4,1,74,2,Hartford County,Connecticut
2020-04-03,9,9,7,4,4,4,8,8,13,13,1005,20,10.5,0.0,6.5,5,84,2,Hartford County,Connecticut
2020-04-04,12,12,6,7,7,5,8,9,7,35,1016,9,0.2,0.0,6.5,4,76,2,Hartford County,Connecticut
2020-04-05,14,14,6,9,9,6,10,12,4,210,1017,6,0.1,0.0,6.5,6,76,3,Hartford County,Connecticut
2020-04-06,14,14,6,8,8,6,10,12,8,316,1016,12,0.0,0.0,11.6,-1,49,4,Hartford County,Connecticut
2020-04-07,16,16,6,10,10,6,11,13,6,283,1011,8,0.0,0.0,11.6,0,47,4,Hartford County,Connecticut
2020-04-08,14,14,7,9,9,5,10,11,4,246,1001,6,9.7,0.0,6.5,6,75,3,Hartford County,Connecticut
2020-04-09,12,12,4,5,5,5,8,10,11,225,993,16,22.4,0.0,6.5,4,77,2,Hartford County,Connecticut
2020-04-10,8,8,2,1,1,6,5,7,14,288,993,19,0.7,0.0,9.1,-3,58,2,Hartford County,Connecticut
2020-04-11,9,9,0,1,1,6,5,7,10,295,1011,14,0.0,0.0,11.6,-4,57,3,Hartford County,Connecticut
