date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,21,21,10,14,14,6,15,16,11,224,1005,19,0.0,0.0,11.3,-4,27,5,Hemphill County,Texas
2020-03-02,12,12,5,6,6,6,9,8,10,112,1010,15,0.0,0.0,11.3,-1,51,3,Hemphill County,Texas
2020-03-03,16,16,8,10,10,6,12,11,10,50,1012,16,0.0,0.0,8.6,-5,33,3,Hemphill County,Texas
2020-03-04,15,15,9,10,10,6,11,12,10,60,1018,15,0.0,0.0,7.1,-6,33,3,Hemphill County,Texas
2020-03-05,15,15,8,9,9,6,12,12,13,28,1025,19,0.0,0.0,11.4,-4,36,4,Hemphill County,Texas
2020-03-06,17,17,6,9,9,6,11,12,12,192,1031,18,0.0,0.0,11.4,-5,34,4,Hemphill County,Texas
2020-03-07,18,18,9,11,11,6,13,14,21,190,1022,30,0.0,0.0,11.4,0,41,4,Hemphill County,Texas
2020-03-08,15,15,10,11,11,4,13,13,21,184,1014,29,1.4,0.0,8.7,6,65,3,Hemphill County,Texas
2020-03-09,19,19,12,13,13,5,15,15,16,330,1014,22,11.1,0.0,11.4,7,62,4,Hemphill County,Texas
2020-03-10,22,22,9,13,13,6,15,15,13,188,1020,20,0.0,0.0,11.6,4,51,4,Hemphill County,Texas
2020-03-11,21,21,14,17,17,6,17,17,13,88,1014,20,0.0,0.0,11.6,7,53,5,Hemphill County,Texas
2020-03-12,23,23,16,19,19,6,20,20,14,138,1008,21,0.0,0.0,11.6,4,38,5,Hemphill County,Texas
2020-03-13,8,8,1,2,2,5,6,6,17,89,1021,21,3.9,0.0,6.0,0,68,2,Hemphill County,Texas
2020-03-14,18,18,3,8,8,5,9,11,8,101,1021,11,6.5,0.0,10.2,4,76,3,Hemphill County,Texas
2020-03-15,7,7,4,2,2,6,6,5,10,97,1030,12,0.6,0.0,6.0,2,77,2,Hemphill County,Texas
2020-03-16,23,23,7,13,13,6,15,17,13,218,1020,17,1.1,0.0,8.8,9,71,4,Hemphill County,Texas
2020-03-17,12,12,9,8,8,3,11,10,13,115,1018,19,41.1,0.0,6.0,9,90,3,Hemphill County,Texas
2020-03-18,24,24,11,16,16,5,17,19,15,221,1010,21,4.0,0.0,11.6,8,62,5,Hemphill County,Texas
2020-03-19,20,20,14,16,16,6,17,17,22,237,1007,30,4.3,0.0,11.6,3,46,5,Hemphill County,Texas
2020-03-20,8,8,1,1,1,6,5,4,17,25,1030,20,0.0,0.0,10.2,-4,52,1,Hemphill County,Texas
2020-03-21,11,11,1,2,2,6,6,6,13,167,1029,16,0.9,0.0,11.6,-3,54,3,Hemphill County,Texas
2020-03-22,22,22,5,12,12,6,13,14,11,242,1016,17,1.2,0.0,7.5,2,57,3,Hemphill County,Texas
2020-03-23,21,21,9,13,13,6,14,13,9,130,1014,14,0.0,0.0,8.8,5,59,3,Hemphill County,Texas
2020-03-24,21,21,12,15,15,6,16,16,10,345,1010,16,2.0,0.0,11.6,6,59,5,Hemphill County,Texas
2020-03-25,28,28,12,19,19,6,19,21,16,236,1008,24,0.0,0.0,11.6,1,36,6,Hemphill County,Texas
2020-03-26,32,32,17,25,25,6,25,26,14,248,1003,21,0.0,0.0,11.6,1,22,7,Hemphill County,Texas
2020-03-27,27,27,18,22,22,6,22,24,18,242,1002,27,0.0,0.0,11.6,5,31,6,Hemphill County,Texas
2020-03-28,16,16,10,12,12,6,14,14,23,296,1006,30,0.0,0.0,11.6,-4,29,4,Hemphill County,Texas
2020-03-29,19,19,7,12,12,6,13,14,10,206,1019,14,0.0,0.0,11.6,-2,39,4,Hemphill County,Texas
2020-03-30,14,14,9,9,9,5,12,12,16,163,1015,23,7.5,0.0,7.7,7,73,3,Hemphill County,Texas
2020-03-31,19,19,7,12,12,6,12,13,7,96,1017,9,0.2,0.0,11.6,5,63,4,Hemphill County,Texas
2020-04-01,25,25,12,16,16,6,18,19,21,194,1007,28,0.0,0.0,10.3,5,48,5,Hemphill County,Texas
2020-04-02,29,29,14,22,22,6,22,23,13,245,1004,19,0.0,0.0,11.6,2,38,6,Hemphill County,Texas
2020-04-03,10,10,1,0,0,5,5,5,18,135,1022,21,0.0,0.0,11.6,-8,41,2,Hemphill County,Texas
