date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,17,17,11,13,13,6,14,15,11,187,1015,19,1.5,0.0,5.8,11,83,3,Hempstead County,Arkansas
2020-03-02,22,22,16,18,18,6,18,19,10,218,1009,16,2.0,0.0,5.9,16,86,4,Hempstead County,Arkansas
2020-03-03,19,19,13,15,15,6,15,16,4,173,1011,7,0.9,0.0,10.2,12,81,5,Hempstead County,Arkansas
2020-03-04,13,13,11,11,11,4,12,12,7,135,1015,11,17.2,0.0,5.9,11,90,3,Hempstead County,Arkansas
2020-03-05,20,20,9,13,13,5,14,15,6,214,1021,10,5.4,0.0,11.6,8,73,4,Hempstead County,Arkansas
2020-03-06,16,16,5,9,9,6,10,11,6,9,1031,11,0.0,0.0,11.6,1,53,4,Hempstead County,Arkansas
2020-03-07,16,16,5,8,8,6,9,11,6,122,1031,10,0.0,0.0,11.6,2,63,4,Hempstead County,Arkansas
2020-03-08,18,18,5,10,10,6,11,12,6,169,1027,11,0.0,0.0,11.6,5,69,4,Hempstead County,Arkansas
2020-03-09,16,16,10,13,13,5,14,15,10,181,1022,17,3.7,0.0,5.9,13,91,3,Hempstead County,Arkansas
2020-03-10,24,24,15,19,19,5,20,19,4,216,1023,7,0.4,0.0,11.6,13,78,5,Hempstead County,Arkansas
2020-03-11,22,22,14,18,18,5,19,20,7,237,1016,12,3.3,0.0,6.0,16,88,4,Hempstead County,Arkansas
2020-03-12,26,26,18,21,21,5,21,22,9,221,1010,14,8.0,0.0,6.0,18,87,5,Hempstead County,Arkansas
2020-03-13,15,15,3,10,10,4,12,11,11,57,1019,17,63.3,0.0,6.0,11,94,3,Hempstead County,Arkansas
2020-03-14,19,19,9,13,13,2,15,15,7,111,1022,11,5.9,0.0,6.0,13,95,3,Hempstead County,Arkansas
2020-03-15,12,12,8,8,8,5,10,10,10,50,1027,16,17.8,0.0,6.0,8,89,2,Hempstead County,Arkansas
2020-03-16,10,10,4,6,6,4,8,8,6,73,1025,9,29.1,0.0,6.0,8,93,2,Hempstead County,Arkansas
2020-03-17,20,20,9,14,14,4,14,15,6,63,1022,9,0.4,0.0,7.4,12,90,4,Hempstead County,Arkansas
2020-03-18,23,23,14,18,18,4,19,20,7,193,1017,11,7.0,0.0,6.0,17,93,4,Hempstead County,Arkansas
2020-03-19,24,24,19,21,21,6,22,22,11,194,1015,19,1.2,0.0,8.8,19,88,5,Hempstead County,Arkansas
2020-03-20,19,19,12,17,17,5,18,18,6,282,1022,11,6.2,0.0,6.0,15,89,4,Hempstead County,Arkansas
2020-03-21,16,16,5,9,9,6,10,11,7,58,1029,10,0.0,0.0,11.6,6,76,3,Hempstead County,Arkansas
2020-03-22,13,13,7,8,8,3,10,11,6,87,1022,9,8.0,0.0,6.1,10,93,3,Hempstead County,Arkansas
2020-03-23,19,19,12,15,15,3,15,16,5,71,1018,7,0.8,0.0,6.1,14,92,4,Hempstead County,Arkansas
2020-03-24,26,26,15,19,19,6,20,21,9,227,1011,14,2.7,0.0,7.5,17,88,5,Hempstead County,Arkansas
2020-03-25,25,25,12,18,18,4,19,19,6,145,1013,9,0.0,0.0,11.6,14,79,5,Hempstead County,Arkansas
2020-03-26,29,29,16,22,23,5,23,24,8,210,1010,14,0.0,0.0,11.6,17,78,6,Hempstead County,Arkansas
2020-03-27,29,29,19,24,25,6,25,24,10,209,1008,16,0.0,0.0,11.6,19,78,6,Hempstead County,Arkansas
2020-03-28,22,22,13,19,19,5,20,20,9,229,1009,15,5.7,0.0,7.5,17,87,5,Hempstead County,Arkansas
2020-03-29,22,22,8,15,15,6,16,16,3,233,1019,5,0.0,0.0,10.2,8,65,5,Hempstead County,Arkansas
2020-03-30,16,16,11,13,13,5,13,14,7,87,1020,12,19.5,0.0,7.5,9,75,3,Hempstead County,Arkansas
2020-03-31,16,16,11,12,12,3,13,14,6,133,1014,8,7.2,0.0,7.5,10,86,3,Hempstead County,Arkansas
2020-04-01,22,22,9,15,15,6,15,17,3,136,1016,5,0.0,0.0,10.2,10,74,4,Hempstead County,Arkansas
2020-04-02,22,22,10,16,16,5,17,18,7,159,1015,12,0.0,0.0,11.6,12,75,5,Hempstead County,Arkansas
2020-04-03,21,21,14,17,17,6,17,17,4,143,1015,7,3.7,0.0,7.7,15,88,4,Hempstead County,Arkansas
2020-04-04,15,15,13,14,14,2,14,14,5,76,1017,7,8.1,0.0,6.4,13,97,3,Hempstead County,Arkansas
2020-04-05,21,21,14,17,17,3,17,17,3,196,1018,4,0.4,0.0,7.7,15,91,4,Hempstead County,Arkansas
2020-04-06,24,24,14,19,19,5,19,20,4,180,1017,6,0.0,0.0,9.0,16,83,5,Hempstead County,Arkansas
2020-04-07,28,28,18,22,23,5,23,23,6,220,1013,10,8.1,0.0,7.7,20,88,5,Hempstead County,Arkansas
2020-04-08,31,31,20,24,26,5,26,26,8,236,1008,13,3.7,0.0,10.3,21,84,6,Hempstead County,Arkansas
2020-04-09,22,22,14,19,19,5,19,18,9,60,1013,13,0.0,0.0,11.6,12,69,5,Hempstead County,Arkansas
2020-04-10,18,18,10,12,12,6,13,13,7,62,1019,11,0.0,0.0,11.6,3,52,4,Hempstead County,Arkansas
2020-04-11,22,22,7,13,13,5,15,15,7,168,1013,11,7.4,0.0,9.0,8,72,4,Hempstead County,Arkansas
2020-04-12,22,22,16,18,18,4,19,19,9,145,1001,16,38.2,0.0,6.5,17,94,4,Hempstead County,Arkansas
2020-04-13,15,15,3,7,7,6,9,9,7,12,1018,11,0.0,0.0,11.6,2,66,3,Hempstead County,Arkansas
2020-04-14,12,12,3,6,6,6,8,9,8,41,1023,12,0.0,0.0,10.3,1,65,2,Hempstead County,Arkansas
2020-04-15,18,18,2,10,10,6,10,13,2,204,1022,4,0.0,0.0,11.6,3,65,4,Hempstead County,Arkansas
2020-04-16,21,21,4,11,11,6,12,14,7,168,1021,11,0.0,0.0,11.6,5,62,4,Hempstead County,Arkansas
2020-04-17,18,18,10,14,14,5,14,15,7,209,1017,12,0.7,0.0,6.5,11,85,4,Hempstead County,Arkansas
2020-04-18,21,21,5,12,12,5,13,13,6,93,1018,10,0.7,0.0,11.6,7,74,4,Hempstead County,Arkansas
2020-04-19,21,21,13,17,17,4,17,19,5,68,1007,7,9.3,0.0,7.8,16,95,4,Hempstead County,Arkansas
2020-04-20,24,24,10,17,17,4,17,19,3,200,1011,5,2.5,0.0,11.6,13,82,5,Hempstead County,Arkansas
2020-04-21,27,27,13,20,20,4,20,22,4,118,1015,7,0.0,0.0,11.6,14,72,6,Hempstead County,Arkansas
2020-04-22,24,24,11,17,17,5,18,20,10,156,1010,17,18.2,0.0,7.8,16,85,4,Hempstead County,Arkansas
2020-04-23,25,25,14,19,19,6,20,19,9,289,1005,14,2.3,0.0,10.3,15,81,5,Hempstead County,Arkansas
2020-04-24,26,26,13,19,19,5,20,21,7,169,1007,11,2.5,0.0,11.6,14,77,5,Hempstead County,Arkansas
2020-04-25,23,23,11,16,16,6,17,18,10,319,1013,15,0.4,0.0,11.6,11,74,5,Hempstead County,Arkansas
2020-04-26,24,24,11,17,17,6,17,19,4,286,1021,7,0.0,0.0,11.6,10,66,5,Hempstead County,Arkansas
2020-04-27,25,25,13,18,18,6,19,20,8,181,1020,12,0.0,0.0,11.6,12,68,6,Hempstead County,Arkansas
2020-04-28,25,25,17,20,20,5,21,21,9,178,1013,15,10.9,0.0,6.6,18,89,5,Hempstead County,Arkansas
2020-04-29,22,22,15,18,18,5,19,19,11,313,1013,16,39.8,0.0,11.6,12,71,5,Hempstead County,Arkansas
2020-04-30,24,24,11,17,17,6,18,19,6,301,1017,10,0.0,0.0,11.6,11,70,5,Hempstead County,Arkansas
2020-05-01,26,26,13,19,19,6,19,21,6,195,1016,9,0.0,0.0,11.6,13,72,6,Hempstead County,Arkansas
2020-05-02,28,28,16,22,23,6,23,23,9,197,1015,14,0.1,0.0,11.6,17,76,6,Hempstead County,Arkansas
