date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,11,11,-4,3,3,6,4,7,4,140,1025,6,0.0,0.0,10.2,-6,54,2,Henderson County,North Carolina
2020-03-02,10,10,2,4,4,4,6,7,6,203,1018,9,1.7,0.0,7.3,3,84,2,Henderson County,North Carolina
2020-03-03,15,15,7,9,9,2,10,11,5,217,1010,8,14.1,0.0,5.9,9,94,3,Henderson County,North Carolina
2020-03-04,13,13,6,8,8,5,9,10,5,241,1016,8,1.1,0.0,8.7,5,77,3,Henderson County,North Carolina
2020-03-05,7,7,3,5,5,3,6,6,3,174,1018,4,33.1,0.0,5.9,5,91,2,Henderson County,North Carolina
2020-03-06,6,6,-1,-1,-1,5,3,4,13,320,1019,18,0.2,0.0,11.6,-2,74,2,Henderson County,North Carolina
2020-03-07,9,9,-3,-1,-1,6,4,4,10,346,1031,14,0.0,0.0,11.6,-5,60,2,Henderson County,North Carolina
2020-03-08,12,12,0,6,6,6,7,8,4,180,1034,6,0.0,0.0,10.2,-2,61,2,Henderson County,North Carolina
2020-03-09,14,14,2,7,7,6,8,10,5,199,1032,8,0.2,0.0,10.2,3,72,3,Henderson County,North Carolina
2020-03-10,14,14,9,10,10,4,11,12,7,216,1025,10,3.0,0.0,8.8,9,91,3,Henderson County,North Carolina
2020-03-11,20,20,8,14,14,4,15,16,4,235,1018,6,0.1,0.0,11.6,9,79,5,Henderson County,North Carolina
2020-03-12,19,19,8,13,13,5,14,16,5,174,1015,8,0.1,0.0,8.8,10,79,4,Henderson County,North Carolina
2020-03-13,18,18,12,15,15,5,16,17,7,339,1018,11,1.1,0.0,7.4,11,78,4,Henderson County,North Carolina
2020-03-14,11,11,6,9,9,5,10,10,4,138,1027,5,0.6,0.0,7.4,5,70,3,Henderson County,North Carolina
2020-03-15,18,18,9,12,12,4,13,15,4,77,1025,5,0.0,0.0,6.0,10,86,3,Henderson County,North Carolina
2020-03-16,12,12,5,7,7,6,8,9,4,136,1027,5,0.0,0.0,6.0,5,81,2,Henderson County,North Carolina
2020-03-17,17,17,7,11,11,3,11,13,2,149,1024,4,7.4,0.0,6.0,10,92,3,Henderson County,North Carolina
2020-03-18,12,12,7,10,10,1,11,11,3,106,1025,5,1.0,0.0,6.0,10,95,3,Henderson County,North Carolina
2020-03-19,21,21,13,17,17,3,17,18,5,199,1023,7,0.7,0.0,8.8,14,88,4,Henderson County,North Carolina
2020-03-20,24,24,13,17,17,4,18,20,7,239,1022,12,7.3,0.0,8.8,14,82,4,Henderson County,North Carolina
2020-03-21,20,20,13,16,16,5,17,17,5,330,1023,7,4.1,0.0,7.4,11,80,4,Henderson County,North Carolina
2020-03-22,11,11,7,7,7,6,8,9,4,98,1027,6,0.8,0.0,6.1,6,85,2,Henderson County,North Carolina
2020-03-23,12,12,7,9,9,3,9,9,3,170,1022,4,29.7,0.0,6.1,9,98,2,Henderson County,North Carolina
2020-03-24,13,13,8,10,10,3,10,11,3,132,1016,5,21.6,0.0,6.1,9,96,3,Henderson County,North Carolina
2020-03-25,17,17,9,12,12,5,13,14,6,342,1011,8,22.0,0.0,11.6,9,83,4,Henderson County,North Carolina
2020-03-26,16,16,7,10,10,4,11,12,5,175,1017,6,0.0,0.0,10.2,9,86,3,Henderson County,North Carolina
2020-03-27,26,26,11,18,18,6,19,21,4,227,1013,7,0.0,0.0,11.6,13,77,6,Henderson County,North Carolina
2020-03-28,27,27,15,21,22,6,22,23,5,205,1013,8,0.0,0.0,11.6,15,75,5,Henderson County,North Carolina
2020-03-29,25,25,15,19,19,4,20,21,7,245,1015,10,0.0,0.0,8.9,12,70,5,Henderson County,North Carolina
2020-03-30,19,19,11,13,13,6,15,16,7,321,1019,11,0.0,0.0,11.6,5,57,5,Henderson County,North Carolina
2020-03-31,8,8,1,6,6,4,8,7,4,65,1010,6,18.9,0.0,6.2,5,86,2,Henderson County,North Carolina
2020-04-01,9,9,3,2,2,6,5,7,12,336,1013,17,0.4,0.0,8.9,1,76,2,Henderson County,North Carolina
2020-04-02,14,14,2,7,7,6,9,10,8,341,1018,12,0.0,0.0,11.6,1,70,3,Henderson County,North Carolina
2020-04-03,19,19,3,10,10,6,11,14,6,336,1017,9,0.0,0.0,11.6,2,63,4,Henderson County,North Carolina
