date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,11,11,-1,3,3,6,5,6,5,239,1024,8,0.0,0.0,11.6,-7,45,3,Henrico County,Virginia
2020-03-02,17,17,4,9,9,6,10,12,10,210,1017,16,0.0,0.0,10.2,2,56,4,Henrico County,Virginia
2020-03-03,18,18,10,13,13,5,14,15,10,215,1008,17,0.5,0.0,7.3,10,77,4,Henrico County,Virginia
2020-03-04,17,17,8,11,11,6,12,13,7,253,1013,12,0.1,0.0,11.6,0,46,4,Henrico County,Virginia
2020-03-05,13,13,6,8,8,6,10,10,7,78,1020,10,0.0,0.0,8.7,-1,50,2,Henrico County,Virginia
2020-03-06,11,11,6,6,6,5,8,9,8,303,1011,12,4.2,0.0,8.7,2,66,2,Henrico County,Virginia
2020-03-07,10,10,2,2,2,6,6,7,11,345,1026,15,0.0,0.0,11.6,-4,51,3,Henrico County,Virginia
2020-03-08,15,15,2,8,8,6,9,10,5,217,1033,9,0.0,0.0,11.6,-3,49,4,Henrico County,Virginia
2020-03-09,19,19,6,11,11,6,13,14,9,223,1031,15,0.0,0.0,11.6,3,54,4,Henrico County,Virginia
2020-03-10,21,21,13,16,16,6,16,18,12,225,1023,18,1.6,0.0,5.9,11,72,4,Henrico County,Virginia
2020-03-11,18,18,9,12,12,6,13,13,5,102,1019,7,1.7,0.0,8.8,8,74,3,Henrico County,Virginia
2020-03-12,17,17,8,11,11,4,12,13,4,78,1016,6,0.7,0.0,6.0,10,88,3,Henrico County,Virginia
2020-03-13,24,24,13,18,18,5,19,21,11,273,1015,17,8.0,0.0,7.4,11,66,5,Henrico County,Virginia
2020-03-14,14,14,7,10,10,6,11,11,6,117,1029,9,0.0,0.0,8.8,-3,39,3,Henrico County,Virginia
2020-03-15,9,9,7,6,6,4,8,8,6,52,1030,9,0.6,0.0,6.0,4,77,2,Henrico County,Virginia
2020-03-16,13,13,4,7,7,6,9,10,5,106,1031,7,0.0,0.0,10.2,2,68,4,Henrico County,Virginia
