date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,17,17,3,9,9,6,10,12,4,198,1025,7,0.0,0.0,8.6,2,60,3,Henry County,Georgia
2020-03-02,14,14,6,9,9,5,11,12,6,195,1018,10,13.4,0.0,5.7,8,83,3,Henry County,Georgia
2020-03-03,20,20,14,16,16,5,16,17,9,225,1012,14,23.9,0.0,5.7,15,93,4,Henry County,Georgia
2020-03-04,14,14,7,13,13,4,13,14,6,198,1016,8,15.4,0.0,5.7,12,88,3,Henry County,Georgia
2020-03-05,10,10,4,7,7,4,9,10,8,61,1017,12,51.5,0.0,5.9,9,93,2,Henry County,Georgia
2020-03-06,12,12,5,6,6,5,8,10,11,311,1022,16,0.0,0.0,11.6,1,63,3,Henry County,Georgia
2020-03-07,17,17,1,7,7,6,10,10,5,144,1031,8,0.0,0.0,11.6,-2,51,4,Henry County,Georgia
2020-03-08,15,15,3,8,8,6,9,10,5,128,1034,8,0.0,0.0,7.3,1,59,3,Henry County,Georgia
2020-03-09,18,18,6,11,11,6,12,14,6,163,1032,10,0.2,0.0,8.8,8,76,3,Henry County,Georgia
2020-03-10,15,15,13,13,13,5,14,14,5,227,1026,9,0.1,0.0,5.9,12,90,3,Henry County,Georgia
2020-03-11,21,21,12,16,16,4,16,17,5,255,1020,8,1.0,0.0,7.4,14,89,4,Henry County,Georgia
2020-03-12,22,22,14,18,18,5,18,19,5,228,1016,9,3.8,0.0,6.0,15,87,4,Henry County,Georgia
2020-03-13,23,23,15,19,19,5,19,20,6,267,1019,9,3.9,0.0,6.0,15,81,5,Henry County,Georgia
2020-03-14,21,21,14,18,18,6,18,19,5,101,1025,8,0.2,0.0,7.4,14,79,4,Henry County,Georgia
2020-03-15,19,19,14,17,17,5,17,18,3,284,1024,6,6.9,0.0,6.0,15,89,4,Henry County,Georgia
2020-03-16,13,13,10,11,11,4,12,12,7,87,1026,10,4.6,0.0,6.0,11,92,3,Henry County,Georgia
2020-03-17,22,22,10,15,15,6,16,17,3,240,1023,5,2.8,0.0,7.4,13,87,4,Henry County,Georgia
2020-03-18,25,25,14,19,19,4,19,21,5,150,1024,8,5.0,0.0,7.4,16,82,5,Henry County,Georgia
2020-03-19,27,27,16,21,21,4,21,22,6,193,1024,9,0.9,0.0,10.2,17,79,5,Henry County,Georgia
2020-03-20,26,26,16,21,22,5,22,22,8,233,1024,12,2.0,0.0,11.6,16,78,6,Henry County,Georgia
2020-03-21,24,24,15,19,19,6,20,21,6,295,1024,9,1.3,0.0,10.2,13,71,5,Henry County,Georgia
2020-03-22,17,17,11,13,13,6,14,15,7,80,1025,9,3.2,0.0,6.1,10,82,3,Henry County,Georgia
2020-03-23,18,18,12,15,15,3,15,16,5,206,1022,7,15.3,0.0,6.1,15,97,4,Henry County,Georgia
2020-03-24,24,24,16,19,19,3,19,20,6,202,1015,10,8.9,0.0,6.1,17,91,4,Henry County,Georgia
2020-03-25,23,23,16,19,19,5,19,20,8,301,1011,13,16.6,0.0,11.6,13,72,6,Henry County,Georgia
2020-03-26,24,24,11,18,18,5,18,18,5,125,1016,7,0.1,0.0,8.9,13,77,4,Henry County,Georgia
2020-03-27,28,28,16,21,22,6,22,24,6,229,1014,10,0.0,0.0,11.6,16,72,6,Henry County,Georgia
2020-03-28,29,29,17,22,24,4,24,24,8,232,1015,12,0.0,0.0,10.2,18,77,5,Henry County,Georgia
2020-03-29,24,24,19,21,21,6,21,22,9,269,1018,13,0.1,0.0,7.5,15,71,5,Henry County,Georgia
2020-03-30,24,24,15,19,19,6,19,20,6,317,1020,10,0.0,0.0,11.6,6,44,4,Henry County,Georgia
2020-03-31,15,15,9,13,13,5,14,14,7,59,1009,11,8.2,0.0,7.5,7,68,3,Henry County,Georgia
2020-04-01,17,17,6,9,9,6,11,12,10,329,1013,14,0.0,0.0,11.6,2,56,4,Henry County,Georgia
2020-04-02,23,23,6,14,14,6,16,16,4,228,1018,6,0.0,0.0,11.6,4,57,5,Henry County,Georgia
2020-04-03,26,26,9,17,17,6,18,20,3,213,1016,6,0.0,0.0,11.6,6,51,5,Henry County,Georgia
2020-04-04,25,25,14,18,18,6,19,20,4,53,1015,7,0.0,0.0,11.6,9,55,6,Henry County,Georgia
2020-04-05,26,26,14,19,19,6,19,21,3,147,1018,5,0.1,0.0,11.6,11,61,6,Henry County,Georgia
2020-04-06,27,27,15,20,21,5,21,23,5,232,1018,8,0.7,0.0,9.0,13,67,5,Henry County,Georgia
2020-04-07,26,26,12,19,19,5,19,21,7,252,1016,11,10.4,0.0,9.0,15,78,5,Henry County,Georgia
2020-04-08,28,28,16,22,23,5,23,24,8,268,1010,12,6.8,0.0,7.7,18,81,5,Henry County,Georgia
2020-04-09,26,26,19,22,22,6,22,24,10,308,1007,16,1.7,0.0,10.3,11,60,6,Henry County,Georgia
2020-04-10,17,17,10,13,13,6,14,14,10,336,1015,14,0.0,0.0,11.6,-3,35,4,Henry County,Georgia
2020-04-11,23,23,7,14,14,6,15,16,5,137,1018,8,0.0,0.0,11.6,2,45,5,Henry County,Georgia
2020-04-12,19,19,10,13,13,4,14,15,9,101,1013,15,11.6,0.0,7.8,11,77,3,Henry County,Georgia
2020-04-13,23,23,15,19,19,5,20,20,11,279,1012,16,70.0,0.0,11.6,13,69,5,Henry County,Georgia
2020-04-14,23,23,12,18,18,6,19,20,6,283,1016,8,0.0,0.0,10.3,9,60,4,Henry County,Georgia
2020-04-15,19,19,8,12,12,6,14,14,9,335,1017,13,0.0,0.0,11.6,-1,41,4,Henry County,Georgia
2020-04-16,22,22,8,14,14,6,16,16,6,52,1024,10,0.0,0.0,11.6,0,40,5,Henry County,Georgia
2020-04-17,22,22,10,15,15,6,16,17,6,176,1022,9,0.0,0.0,11.6,6,55,5,Henry County,Georgia
2020-04-18,22,22,14,18,18,6,18,20,9,307,1015,13,0.1,0.0,10.3,7,55,5,Henry County,Georgia
2020-04-19,15,15,9,11,11,4,12,12,3,111,1012,5,54.8,0.0,6.6,9,82,3,Henry County,Georgia
2020-04-20,23,23,13,18,18,4,19,19,7,307,1006,10,61.5,0.0,10.3,11,71,4,Henry County,Georgia
2020-04-21,24,24,12,17,17,6,19,20,9,284,1013,13,0.0,0.0,11.6,9,59,6,Henry County,Georgia
2020-04-22,22,22,13,17,17,6,18,19,4,123,1018,7,0.0,0.0,11.6,7,53,5,Henry County,Georgia
2020-04-23,17,17,11,13,13,4,14,15,10,130,1011,16,52.9,0.0,6.8,14,94,4,Henry County,Georgia
2020-04-24,24,24,15,18,18,5,19,20,7,285,1009,9,1.2,0.0,10.4,14,76,5,Henry County,Georgia
2020-04-25,26,26,14,20,21,6,21,22,7,189,1011,11,0.1,0.0,11.6,13,68,6,Henry County,Georgia
2020-04-26,20,20,11,15,15,6,16,17,12,291,1016,17,0.1,0.0,11.6,7,60,5,Henry County,Georgia
2020-04-27,23,23,9,15,15,6,16,18,7,311,1022,10,0.0,0.0,11.6,5,52,5,Henry County,Georgia
2020-04-28,25,25,12,18,18,6,19,21,5,199,1021,8,0.0,0.0,11.6,8,53,6,Henry County,Georgia
2020-04-29,22,22,13,16,16,5,17,18,10,191,1012,16,32.7,0.0,8.0,13,80,4,Henry County,Georgia
2020-04-30,17,17,12,14,14,6,14,15,8,287,1011,12,6.6,0.0,10.4,9,73,3,Henry County,Georgia
2020-05-01,24,24,10,17,17,6,18,19,7,299,1017,11,0.0,0.0,11.6,7,59,5,Henry County,Georgia
2020-05-02,28,28,13,21,21,6,21,23,4,210,1021,7,0.0,0.0,11.6,10,56,6,Henry County,Georgia
2020-05-03,28,28,16,22,22,6,22,24,8,240,1017,12,0.0,0.0,11.6,12,58,6,Henry County,Georgia
2020-05-04,29,29,18,23,24,6,24,25,6,264,1013,10,0.7,0.0,9.2,17,70,5,Henry County,Georgia
2020-05-05,30,30,18,24,25,6,25,25,9,250,1011,14,2.9,0.0,11.6,17,73,7,Henry County,Georgia
2020-05-06,22,22,14,18,18,6,19,19,12,292,1014,16,0.0,0.0,11.6,6,52,5,Henry County,Georgia
2020-05-07,21,21,9,14,14,6,14,17,6,318,1020,9,0.0,0.0,11.6,2,47,5,Henry County,Georgia
