date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,5,5,-7,-5,-5,6,-1,0,11,186,1017,20,0.0,0.0,11.2,-3,83,2,Henry County,Ohio
2020-03-02,6,6,0,2,2,5,5,6,10,278,1008,18,14.1,0.0,7.1,4,90,2,Henry County,Ohio
2020-03-03,10,10,3,2,2,5,5,6,10,262,1003,14,3.3,0.0,5.6,1,79,2,Henry County,Ohio
2020-03-04,6,6,0,-2,-2,5,2,3,11,285,1013,17,1.2,0.2,7.1,-2,76,1,Henry County,Ohio
2020-03-05,10,10,-1,1,1,5,4,5,8,195,1017,12,0.7,0.0,11.3,-2,65,3,Henry County,Ohio
2020-03-06,3,3,-1,-3,-3,2,1,2,13,342,1019,18,2.1,1.0,5.7,-1,83,1,Henry County,Ohio
2020-03-07,7,7,-2,-2,-2,6,1,2,7,225,1032,11,0.0,0.0,11.4,-5,65,2,Henry County,Ohio
2020-03-08,12,12,1,2,2,6,6,7,13,214,1026,23,0.0,0.0,10.2,0,65,2,Henry County,Ohio
2020-03-09,15,15,8,8,8,5,11,12,16,218,1021,27,0.8,0.0,8.8,7,75,3,Henry County,Ohio
2020-03-10,10,10,5,7,7,5,9,9,12,320,1018,18,6.0,0.0,5.9,6,81,2,Henry County,Ohio
2020-03-11,10,10,3,5,5,5,6,7,5,212,1018,7,1.0,0.0,5.9,3,82,2,Henry County,Ohio
2020-03-12,14,14,3,7,7,5,8,9,8,177,1011,12,0.2,0.0,5.9,6,84,2,Henry County,Ohio
2020-03-13,6,6,3,1,1,6,5,5,16,279,1018,22,1.2,0.0,11.6,-1,65,2,Henry County,Ohio
2020-03-14,5,5,0,1,1,5,3,3,4,23,1032,7,0.2,0.1,8.8,-3,68,1,Henry County,Ohio
2020-03-15,5,5,-2,-3,-3,5,1,2,9,60,1035,13,0.2,0.2,11.6,-4,71,2,Henry County,Ohio
2020-03-16,7,7,-1,0,0,6,3,4,6,205,1028,8,0.0,0.0,8.8,-1,74,1,Henry County,Ohio
2020-03-17,10,10,2,2,2,6,5,6,8,288,1024,12,0.0,0.0,10.2,0,74,2,Henry County,Ohio
2020-03-18,8,8,2,2,2,5,5,5,6,120,1024,9,12.0,0.0,6.0,2,85,2,Henry County,Ohio
2020-03-19,13,13,4,6,6,4,8,9,11,137,1017,17,16.6,0.0,6.0,9,92,2,Henry County,Ohio
2020-03-20,16,16,0,7,7,6,10,11,18,297,1016,25,3.2,0.0,6.1,6,78,3,Henry County,Ohio
2020-03-21,4,4,-2,-4,-4,6,0,1,9,51,1034,12,0.0,0.0,10.2,-7,60,1,Henry County,Ohio
2020-03-22,5,5,-2,-3,-3,5,1,2,9,100,1032,12,3.2,0.2,8.8,-5,68,1,Henry County,Ohio
2020-03-23,6,6,1,1,1,3,3,4,5,316,1022,8,3.2,0.0,6.1,2,91,1,Henry County,Ohio
