date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,10,10,10,6,13,13,17,244,1013,24,0.0,0.0,10.2,-1,40,3,Hidalgo County,New Mexico
2020-03-02,17,17,8,10,10,6,12,13,14,228,1009,19,0.0,0.0,11.6,-2,41,4,Hidalgo County,New Mexico
2020-03-03,9,9,6,6,6,5,8,7,6,257,1009,8,7.6,0.0,8.7,2,66,2,Hidalgo County,New Mexico
2020-03-04,16,16,5,8,8,6,10,11,8,133,1018,13,0.2,0.0,11.6,1,59,4,Hidalgo County,New Mexico
2020-03-05,18,18,7,11,11,6,12,13,11,112,1023,16,0.0,0.0,11.6,-2,43,4,Hidalgo County,New Mexico
2020-03-06,17,17,9,10,10,6,13,13,20,114,1023,29,0.0,0.0,10.2,0,42,3,Hidalgo County,New Mexico
2020-03-07,21,21,9,14,14,6,15,16,11,176,1017,16,0.0,0.0,11.6,1,41,5,Hidalgo County,New Mexico
2020-03-08,11,11,3,9,9,5,11,10,10,159,1016,15,18.2,0.0,5.9,6,69,2,Hidalgo County,New Mexico
2020-03-09,17,17,7,11,11,6,12,13,7,212,1020,10,1.1,0.0,11.6,5,65,4,Hidalgo County,New Mexico
2020-03-10,20,20,10,15,15,6,15,16,6,235,1022,9,0.0,0.0,11.6,5,52,5,Hidalgo County,New Mexico
2020-03-11,20,20,12,16,16,5,16,17,5,229,1018,7,1.6,0.0,10.2,9,65,4,Hidalgo County,New Mexico
2020-03-12,17,17,12,14,14,5,15,15,9,234,1013,14,8.3,0.0,10.2,10,72,4,Hidalgo County,New Mexico
2020-03-13,16,16,9,11,11,5,12,13,15,233,1012,20,4.6,0.0,8.8,5,64,3,Hidalgo County,New Mexico
2020-03-14,17,17,6,11,11,6,12,12,7,181,1019,10,0.0,0.0,11.6,2,55,4,Hidalgo County,New Mexico
2020-03-15,21,21,10,15,15,6,15,16,9,184,1018,13,0.0,0.0,11.6,-1,36,5,Hidalgo County,New Mexico
2020-03-16,22,22,10,15,15,6,16,17,9,201,1016,13,0.0,0.0,11.6,-2,32,5,Hidalgo County,New Mexico
2020-03-17,19,19,12,15,15,6,15,16,13,212,1014,18,0.0,0.0,10.2,0,36,4,Hidalgo County,New Mexico
2020-03-18,13,13,9,9,9,5,11,11,13,207,1012,17,2.9,0.0,10.2,4,60,3,Hidalgo County,New Mexico
2020-03-19,13,13,4,5,5,6,8,9,18,254,1017,25,2.3,0.0,11.6,-1,53,3,Hidalgo County,New Mexico
2020-03-20,17,17,5,11,11,6,11,13,7,179,1020,9,0.0,0.0,11.6,-1,45,4,Hidalgo County,New Mexico
2020-03-21,20,20,10,14,14,6,15,16,11,201,1018,16,0.0,0.0,11.6,-2,36,5,Hidalgo County,New Mexico
2020-03-22,20,20,8,13,13,6,14,14,6,243,1018,9,0.0,0.0,10.2,-3,35,3,Hidalgo County,New Mexico
2020-03-23,22,22,11,15,15,6,16,17,14,244,1016,20,0.0,0.0,11.6,-4,28,5,Hidalgo County,New Mexico
2020-03-24,19,19,8,13,13,6,14,14,8,284,1018,12,0.0,0.0,11.6,-1,39,4,Hidalgo County,New Mexico
2020-03-25,25,25,11,17,17,6,17,18,9,254,1014,13,0.0,0.0,11.6,-1,30,5,Hidalgo County,New Mexico
2020-03-26,22,22,15,17,17,6,18,19,19,240,1011,27,0.0,0.0,11.6,1,32,5,Hidalgo County,New Mexico
2020-03-27,14,14,7,7,7,5,11,11,24,275,1010,32,1.7,0.0,11.6,-1,47,4,Hidalgo County,New Mexico
2020-03-28,13,13,3,4,4,6,8,8,10,297,1019,14,0.0,0.0,11.6,-7,35,3,Hidalgo County,New Mexico
2020-03-29,21,21,8,13,13,6,14,15,10,191,1015,13,0.0,0.0,10.2,-7,25,4,Hidalgo County,New Mexico
2020-03-30,17,17,9,12,12,6,13,13,11,303,1017,16,0.0,0.0,11.6,-5,29,4,Hidalgo County,New Mexico
2020-03-31,22,22,9,15,15,6,16,16,7,130,1017,10,0.0,0.0,7.5,-5,26,4,Hidalgo County,New Mexico
2020-04-01,23,23,16,19,19,6,19,20,16,240,1010,22,0.0,0.0,11.6,-2,24,6,Hidalgo County,New Mexico
2020-04-02,24,24,11,17,17,6,18,19,14,251,1011,21,0.0,0.0,11.6,-4,24,5,Hidalgo County,New Mexico
2020-04-03,23,23,11,17,17,6,17,18,12,219,1011,17,0.0,0.0,11.6,-2,29,5,Hidalgo County,New Mexico
2020-04-04,22,22,10,16,16,6,16,18,12,222,1010,17,0.0,0.0,11.6,-5,25,5,Hidalgo County,New Mexico
2020-04-05,22,22,11,16,16,6,17,18,16,226,1011,22,0.0,0.0,10.3,-3,28,4,Hidalgo County,New Mexico
2020-04-06,22,22,12,17,17,6,17,18,14,222,1013,20,0.0,0.0,11.6,-4,25,5,Hidalgo County,New Mexico
2020-04-07,21,21,10,16,16,6,17,17,10,235,1016,14,0.0,0.0,11.6,1,36,5,Hidalgo County,New Mexico
2020-04-08,23,23,12,17,17,6,18,18,13,216,1015,18,0.0,0.0,11.6,2,37,5,Hidalgo County,New Mexico
2020-04-09,20,20,11,15,15,6,16,16,12,235,1015,17,0.0,0.0,11.6,-2,32,5,Hidalgo County,New Mexico
2020-04-10,21,21,9,15,15,6,15,17,12,222,1013,17,0.0,0.0,11.6,-9,19,5,Hidalgo County,New Mexico
2020-04-11,18,18,9,12,12,6,13,14,15,240,1010,21,0.0,0.0,11.6,-5,31,4,Hidalgo County,New Mexico
2020-04-12,19,19,6,10,10,6,12,13,17,288,1012,23,0.0,0.0,11.6,1,48,4,Hidalgo County,New Mexico
2020-04-13,21,21,9,14,14,6,16,16,16,258,1013,22,0.0,0.0,11.6,-1,36,5,Hidalgo County,New Mexico
2020-04-14,19,19,9,13,13,6,14,15,10,318,1016,14,0.1,0.0,11.6,-2,40,4,Hidalgo County,New Mexico
2020-04-15,20,20,7,14,14,6,14,15,6,220,1015,9,0.0,0.0,11.6,-10,18,4,Hidalgo County,New Mexico
2020-04-16,24,24,9,17,17,6,17,19,9,255,1012,13,0.0,0.0,11.6,-9,18,5,Hidalgo County,New Mexico
2020-04-17,24,24,10,18,18,6,18,19,12,228,1013,17,0.0,0.0,11.6,-7,18,5,Hidalgo County,New Mexico
2020-04-18,23,23,10,16,16,6,17,18,17,247,1013,24,0.0,0.0,11.6,-5,23,5,Hidalgo County,New Mexico
2020-04-19,22,22,10,14,14,6,16,16,11,287,1013,17,0.0,0.0,11.6,-4,27,5,Hidalgo County,New Mexico
2020-04-20,24,24,11,18,18,6,18,19,9,263,1013,12,0.0,0.0,11.6,-4,23,5,Hidalgo County,New Mexico
2020-04-21,27,27,12,19,19,6,20,20,14,260,1012,20,0.0,0.0,11.6,-5,22,6,Hidalgo County,New Mexico
2020-04-22,24,24,11,17,17,6,17,19,15,303,1014,21,0.0,0.0,11.6,-2,28,5,Hidalgo County,New Mexico
2020-04-23,27,27,12,20,20,6,20,22,12,290,1014,17,0.0,0.0,11.6,-1,27,6,Hidalgo County,New Mexico
2020-04-24,29,29,14,22,22,6,22,23,12,290,1012,18,0.0,0.0,11.6,-3,20,6,Hidalgo County,New Mexico
2020-04-25,28,28,15,22,22,6,22,23,5,219,1014,8,0.0,0.0,11.6,-4,19,6,Hidalgo County,New Mexico
2020-04-26,32,32,16,24,23,6,23,25,6,200,1014,10,0.0,0.0,11.6,-4,17,7,Hidalgo County,New Mexico
2020-04-27,31,31,17,25,25,6,25,26,9,253,1014,14,0.0,0.0,9.1,-5,15,6,Hidalgo County,New Mexico
2020-04-28,30,30,16,23,23,6,23,25,10,292,1014,16,0.0,0.0,11.6,-5,16,6,Hidalgo County,New Mexico
2020-04-29,28,28,17,23,23,6,23,24,12,120,1016,17,0.0,0.0,11.6,1,23,6,Hidalgo County,New Mexico
2020-04-30,32,32,16,24,24,6,24,25,10,166,1014,16,0.0,0.0,11.6,1,23,6,Hidalgo County,New Mexico
2020-05-01,33,33,18,26,26,6,26,28,13,238,1012,19,0.0,0.0,11.6,-5,13,7,Hidalgo County,New Mexico
2020-05-02,32,32,18,25,25,6,25,27,15,241,1014,22,0.0,0.0,11.6,0,21,7,Hidalgo County,New Mexico
2020-05-03,31,31,16,25,25,6,25,26,12,236,1014,17,0.0,0.0,11.6,-2,20,7,Hidalgo County,New Mexico
2020-05-04,31,31,16,24,24,6,24,26,10,292,1012,15,0.0,0.0,11.6,-4,17,7,Hidalgo County,New Mexico
2020-05-05,29,29,14,23,23,6,23,24,11,121,1014,16,0.0,0.0,11.6,0,22,6,Hidalgo County,New Mexico
2020-05-06,33,33,16,24,24,6,24,26,8,173,1014,12,0.0,0.0,11.6,-1,21,7,Hidalgo County,New Mexico
2020-05-07,35,35,18,27,26,6,26,29,12,287,1011,18,0.0,0.0,11.6,-7,11,7,Hidalgo County,New Mexico
2020-05-08,27,27,16,22,22,6,22,23,14,126,1014,18,0.0,0.0,11.6,-3,20,6,Hidalgo County,New Mexico
2020-05-09,29,29,14,22,22,6,22,23,5,118,1015,8,0.0,0.0,11.6,3,33,6,Hidalgo County,New Mexico
2020-05-10,26,26,15,20,20,6,21,21,12,224,1014,17,4.1,0.0,6.9,6,38,5,Hidalgo County,New Mexico
2020-05-11,29,29,15,22,21,6,21,24,10,230,1013,13,0.7,0.0,10.4,1,33,5,Hidalgo County,New Mexico
2020-05-12,29,29,14,23,22,6,22,24,12,235,1012,17,0.0,0.0,11.6,-1,22,6,Hidalgo County,New Mexico
2020-05-13,28,28,14,22,22,6,22,23,12,236,1012,17,0.0,0.0,11.6,-3,21,6,Hidalgo County,New Mexico
2020-05-14,27,27,13,20,20,6,21,22,8,246,1012,12,0.0,0.0,8.1,-4,21,5,Hidalgo County,New Mexico
2020-05-15,28,28,14,21,22,6,22,23,8,267,1010,12,0.0,0.0,11.6,-4,18,6,Hidalgo County,New Mexico
2020-05-16,29,29,15,22,22,6,22,24,8,278,1010,12,0.0,0.0,11.6,-4,18,6,Hidalgo County,New Mexico
2020-05-17,32,32,16,25,25,6,25,26,8,244,1011,13,0.0,0.0,11.6,-3,17,7,Hidalgo County,New Mexico
2020-05-18,33,33,16,26,25,6,25,27,11,233,1012,16,0.0,0.0,11.6,-4,15,7,Hidalgo County,New Mexico
2020-05-19,30,30,17,24,24,6,24,25,14,232,1011,19,0.0,0.0,11.6,-6,13,7,Hidalgo County,New Mexico
2020-05-20,27,27,12,20,20,6,20,21,11,270,1012,16,0.0,0.0,11.6,-4,23,6,Hidalgo County,New Mexico
2020-05-21,27,27,10,19,19,6,19,21,9,281,1011,13,0.0,0.0,11.6,-14,10,6,Hidalgo County,New Mexico
2020-05-22,29,29,12,22,21,6,21,24,10,235,1011,15,0.0,0.0,11.6,-11,11,6,Hidalgo County,New Mexico
2020-05-23,29,29,14,22,22,6,22,24,14,238,1010,21,0.0,0.0,11.6,-4,18,6,Hidalgo County,New Mexico
2020-05-24,28,28,13,22,22,6,22,23,13,281,1009,19,0.0,0.0,11.6,-4,19,6,Hidalgo County,New Mexico
2020-05-25,28,28,13,20,21,6,21,23,9,314,1009,14,0.0,0.0,11.6,-8,14,6,Hidalgo County,New Mexico
2020-05-26,29,29,13,21,21,6,21,23,9,212,1012,15,0.0,0.0,11.6,0,31,6,Hidalgo County,New Mexico
2020-05-27,34,34,17,26,26,6,26,28,10,302,1011,15,0.0,0.0,11.6,-5,13,7,Hidalgo County,New Mexico
2020-05-28,35,35,20,28,28,6,28,30,10,227,1013,15,0.0,0.0,11.6,-2,15,7,Hidalgo County,New Mexico
2020-05-29,34,34,19,27,27,6,27,29,15,128,1017,22,0.0,0.0,11.6,6,30,7,Hidalgo County,New Mexico
2020-05-30,34,34,18,27,26,6,26,28,12,130,1014,17,0.0,0.0,11.6,3,24,7,Hidalgo County,New Mexico
2020-05-31,33,33,17,26,26,6,26,28,13,111,1013,20,0.0,0.0,11.6,0,20,7,Hidalgo County,New Mexico
2020-06-01,33,33,16,26,25,6,25,27,10,117,1014,15,0.0,0.0,11.6,2,25,7,Hidalgo County,New Mexico
2020-06-02,34,34,17,25,25,6,25,27,7,203,1013,12,0.0,0.0,11.6,4,27,7,Hidalgo County,New Mexico
2020-06-03,36,36,19,28,28,6,28,30,8,293,1012,12,0.0,0.0,11.6,5,26,8,Hidalgo County,New Mexico
2020-06-04,36,36,21,30,29,6,29,31,7,302,1010,12,0.0,0.0,10.5,3,19,7,Hidalgo County,New Mexico
2020-06-05,39,39,21,30,30,6,30,32,9,234,1008,13,0.6,0.0,10.5,4,20,7,Hidalgo County,New Mexico
2020-06-06,35,35,23,29,29,6,29,31,16,216,1008,23,2.4,0.0,11.6,0,19,8,Hidalgo County,New Mexico
2020-06-07,33,33,15,25,25,6,25,27,13,233,1009,19,0.0,0.0,11.6,-4,16,7,Hidalgo County,New Mexico
2020-06-08,30,30,17,24,24,6,24,25,16,273,1011,22,0.0,0.0,11.6,1,27,7,Hidalgo County,New Mexico
2020-06-09,27,27,11,19,19,6,19,20,8,307,1016,14,0.0,0.0,11.6,-15,9,6,Hidalgo County,New Mexico
2020-06-10,33,33,14,23,23,6,23,26,7,120,1015,10,0.0,0.0,11.6,-12,8,7,Hidalgo County,New Mexico
2020-06-11,35,35,18,27,27,6,27,29,9,140,1016,15,0.1,0.0,11.6,-1,18,7,Hidalgo County,New Mexico
2020-06-12,34,34,19,27,27,6,27,28,15,124,1019,21,0.5,0.0,10.5,9,38,6,Hidalgo County,New Mexico
2020-06-13,33,33,20,26,26,6,26,28,11,147,1014,15,3.6,0.0,10.5,9,36,6,Hidalgo County,New Mexico
2020-06-14,32,32,20,26,26,5,26,28,9,178,1012,13,4.2,0.0,9.3,7,32,6,Hidalgo County,New Mexico
2020-06-15,32,32,19,25,26,5,26,27,5,141,1015,8,8.5,0.0,11.6,8,37,7,Hidalgo County,New Mexico
2020-06-16,32,32,20,26,26,6,26,27,6,205,1014,8,4.3,0.0,10.5,10,39,6,Hidalgo County,New Mexico
2020-06-17,33,33,21,28,27,6,27,29,14,241,1012,19,0.0,0.0,11.6,3,23,7,Hidalgo County,New Mexico
2020-06-18,33,33,20,27,25,6,25,28,12,236,1012,18,0.0,0.0,11.6,-1,17,7,Hidalgo County,New Mexico
2020-06-19,32,32,19,26,25,6,25,27,11,239,1011,16,0.0,0.0,11.6,-3,14,7,Hidalgo County,New Mexico
2020-06-20,33,33,20,27,26,6,26,28,8,274,1012,12,0.0,0.0,11.6,-3,14,7,Hidalgo County,New Mexico
2020-06-21,33,33,22,28,27,6,27,29,7,247,1012,12,0.0,0.0,11.6,-2,15,7,Hidalgo County,New Mexico
2020-06-22,35,35,22,29,28,6,28,30,11,288,1012,17,0.0,0.0,11.6,-3,13,7,Hidalgo County,New Mexico
