date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,-1,-1,-10,-10,-10,6,-5,-4,7,313,1017,10,0.0,0.0,11.2,-14,51,2,Hillsborough County,New Hampshire
2020-03-02,10,10,-5,0,0,5,2,4,6,190,1015,10,0.1,0.0,10.1,-3,72,1,Hillsborough County,New Hampshire
2020-03-03,14,14,4,6,6,4,8,10,6,200,1004,11,2.9,0.0,8.6,6,86,3,Hillsborough County,New Hampshire
2020-03-04,8,8,2,1,1,6,5,6,14,272,1001,20,2.5,0.0,11.2,-1,68,3,Hillsborough County,New Hampshire
2020-03-05,8,8,0,0,0,6,3,5,8,309,1016,11,0.0,0.0,11.3,-4,62,3,Hillsborough County,New Hampshire
2020-03-06,9,9,-1,1,1,5,3,5,7,99,1015,11,0.4,0.1,8.6,-3,68,2,Hillsborough County,New Hampshire
2020-03-07,4,4,-4,-5,-5,6,0,1,11,337,1020,16,0.0,0.0,10.1,-11,49,1,Hillsborough County,New Hampshire
2020-03-08,10,10,-3,0,0,6,3,5,8,277,1026,12,0.0,0.0,11.4,-8,49,3,Hillsborough County,New Hampshire
2020-03-09,17,17,3,9,9,6,11,13,7,252,1023,12,0.0,0.0,11.4,2,57,4,Hillsborough County,New Hampshire
2020-03-10,15,15,10,11,11,6,12,13,9,222,1015,15,0.5,0.0,7.2,7,71,3,Hillsborough County,New Hampshire
2020-03-11,8,8,1,3,3,6,5,5,6,337,1019,9,0.4,0.0,10.1,-4,56,2,Hillsborough County,New Hampshire
2020-03-12,9,9,-1,3,3,6,4,6,5,119,1022,7,0.1,0.0,5.7,-2,68,2,Hillsborough County,New Hampshire
2020-03-13,13,13,3,4,4,4,7,8,10,205,1013,16,21.1,0.0,7.2,3,84,2,Hillsborough County,New Hampshire
2020-03-14,9,9,0,0,0,6,4,6,10,291,1021,16,0.0,0.0,11.5,-4,59,3,Hillsborough County,New Hampshire
2020-03-15,5,5,-3,-3,-3,6,1,2,9,337,1032,12,0.0,0.0,11.6,-10,48,2,Hillsborough County,New Hampshire
2020-03-16,4,4,-4,-3,-3,6,0,1,6,135,1036,8,0.0,0.0,11.6,-11,48,2,Hillsborough County,New Hampshire
2020-03-17,7,7,-3,-1,-1,4,2,4,7,195,1023,12,2.2,0.0,7.4,0,87,1,Hillsborough County,New Hampshire
2020-03-18,11,11,-1,3,3,6,5,7,4,290,1030,7,0.0,0.0,11.6,-4,60,3,Hillsborough County,New Hampshire
2020-03-19,6,6,0,2,2,3,3,4,4,89,1028,6,12.9,0.0,6.0,2,95,1,Hillsborough County,New Hampshire
2020-03-20,17,17,3,10,10,4,11,13,9,217,1012,14,3.6,0.0,6.3,8,89,3,Hillsborough County,New Hampshire
2020-03-21,5,5,-2,-2,-2,6,2,3,10,339,1025,13,0.0,0.0,11.6,-8,48,2,Hillsborough County,New Hampshire
2020-03-22,9,9,-4,-1,-1,6,1,4,5,85,1038,6,0.0,0.0,11.6,-12,41,2,Hillsborough County,New Hampshire
2020-03-23,5,5,-3,-3,-3,5,0,3,7,136,1032,10,11.7,0.0,7.6,-6,63,1,Hillsborough County,New Hampshire
2020-03-24,5,5,-2,-2,-2,3,1,3,7,327,1019,11,17.3,0.0,6.3,1,95,1,Hillsborough County,New Hampshire
2020-03-25,5,5,-2,-1,-1,5,1,3,5,88,1022,8,0.8,0.4,6.3,0,91,1,Hillsborough County,New Hampshire
2020-03-26,11,11,-4,2,2,4,4,6,4,87,1015,7,0.0,0.0,11.6,0,84,3,Hillsborough County,New Hampshire
2020-03-27,12,12,5,5,5,5,8,9,9,319,1011,13,0.4,0.0,11.6,2,71,3,Hillsborough County,New Hampshire
2020-03-28,13,13,0,6,6,6,7,10,4,175,1021,6,1.4,0.0,10.3,0,62,3,Hillsborough County,New Hampshire
2020-03-29,6,6,2,2,2,3,5,6,9,107,1018,13,20.9,0.0,6.4,4,96,2,Hillsborough County,New Hampshire
2020-03-30,6,6,1,0,0,3,3,5,7,68,1014,11,16.3,3.7,6.4,3,95,2,Hillsborough County,New Hampshire
2020-03-31,8,8,0,2,2,5,4,5,6,45,1017,8,0.8,0.9,10.3,-2,76,1,Hillsborough County,New Hampshire
