date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,19,19,13,15,15,6,16,17,18,198,1013,28,1.0,0.0,5.9,13,81,4,Hopkins County,Texas
2020-03-02,23,23,17,19,19,6,19,20,13,231,1008,20,0.4,0.0,8.7,15,82,4,Hopkins County,Texas
2020-03-03,18,18,14,15,15,6,16,16,6,56,1010,9,0.1,0.0,10.2,12,78,4,Hopkins County,Texas
2020-03-04,13,13,12,11,11,4,13,13,12,55,1015,18,39.6,0.0,5.9,11,87,3,Hopkins County,Texas
2020-03-05,19,19,8,13,13,5,13,14,7,319,1023,11,8.6,0.0,11.6,7,70,4,Hopkins County,Texas
2020-03-06,16,16,6,9,9,6,11,11,8,24,1032,14,0.0,0.0,11.6,0,49,4,Hopkins County,Texas
2020-03-07,16,16,7,9,9,6,11,12,9,147,1030,14,0.0,0.0,11.6,3,59,4,Hopkins County,Texas
2020-03-08,19,19,6,11,11,6,12,13,11,172,1025,18,0.0,0.0,11.6,7,73,4,Hopkins County,Texas
2020-03-09,20,20,15,16,16,5,17,17,17,192,1020,27,4.9,0.0,5.9,14,86,4,Hopkins County,Texas
2020-03-10,23,23,9,16,16,6,16,16,5,85,1023,9,0.2,0.0,11.6,11,74,5,Hopkins County,Texas
2020-03-11,24,24,18,20,20,6,21,21,13,223,1016,21,0.7,0.0,7.4,18,87,5,Hopkins County,Texas
2020-03-12,25,25,18,21,21,6,22,21,14,217,1010,21,5.6,0.0,6.0,18,86,5,Hopkins County,Texas
2020-03-13,18,18,11,14,14,5,15,15,11,68,1017,16,25.8,0.0,6.0,14,95,4,Hopkins County,Texas
2020-03-14,22,22,14,18,18,6,20,20,11,197,1019,17,3.1,0.0,6.0,17,92,5,Hopkins County,Texas
2020-03-15,14,14,11,11,11,5,13,13,12,57,1026,17,9.3,0.0,6.0,12,90,3,Hopkins County,Texas
2020-03-16,18,18,10,12,12,3,13,13,8,112,1023,12,20.7,0.0,6.0,11,91,3,Hopkins County,Texas
2020-03-17,22,22,12,15,15,4,16,16,8,84,1020,14,1.6,0.0,6.0,14,90,4,Hopkins County,Texas
2020-03-18,23,23,18,20,20,5,21,21,12,196,1015,19,19.9,0.0,6.0,18,90,5,Hopkins County,Texas
2020-03-19,24,24,19,21,21,5,22,22,14,203,1014,23,13.7,0.0,6.0,19,87,5,Hopkins County,Texas
2020-03-20,17,17,11,15,15,6,16,15,9,350,1023,14,2.7,0.0,7.4,12,82,3,Hopkins County,Texas
2020-03-21,16,16,5,8,8,6,10,11,9,64,1028,13,0.1,0.0,11.6,6,77,4,Hopkins County,Texas
2020-03-22,18,18,11,13,13,4,14,14,7,136,1020,10,8.8,0.0,6.1,13,94,3,Hopkins County,Texas
2020-03-23,22,22,13,17,17,4,17,17,6,100,1017,9,0.0,0.0,6.1,15,90,4,Hopkins County,Texas
2020-03-24,27,27,18,21,22,6,22,23,13,244,1010,20,0.9,0.0,10.2,16,78,5,Hopkins County,Texas
2020-03-25,27,27,14,20,20,6,20,21,8,160,1012,14,0.0,0.0,11.6,15,76,6,Hopkins County,Texas
2020-03-26,29,29,19,23,24,6,24,24,15,204,1009,23,0.0,0.0,11.6,19,79,6,Hopkins County,Texas
2020-03-27,28,28,20,23,25,6,25,24,15,205,1007,23,0.3,0.0,11.6,19,78,6,Hopkins County,Texas
2020-03-28,22,22,15,19,19,6,20,20,12,270,1009,18,8.8,0.0,8.9,13,68,5,Hopkins County,Texas
2020-03-29,21,21,9,15,15,6,16,16,5,91,1020,10,0.0,0.0,7.5,7,58,4,Hopkins County,Texas
2020-03-30,14,14,12,13,13,5,14,14,10,92,1018,17,12.7,0.0,6.2,10,79,3,Hopkins County,Texas
2020-03-31,18,18,11,13,13,5,14,15,9,127,1015,13,3.0,0.0,10.2,11,82,3,Hopkins County,Texas
2020-04-01,20,20,10,14,14,6,15,16,6,168,1016,10,0.0,0.0,8.9,10,75,4,Hopkins County,Texas
2020-04-02,21,21,11,16,16,6,17,17,12,168,1013,19,3.7,0.0,6.2,14,85,4,Hopkins County,Texas
2020-04-03,21,21,5,15,15,5,16,17,9,164,1014,14,17.4,0.0,6.2,14,93,4,Hopkins County,Texas
2020-04-04,12,12,5,6,6,5,8,8,7,325,1018,11,14.3,0.0,6.2,7,92,2,Hopkins County,Texas
2020-04-05,20,20,10,14,14,4,14,15,3,169,1018,5,0.1,0.0,6.2,13,89,4,Hopkins County,Texas
2020-04-06,23,23,15,18,18,4,19,19,7,172,1016,11,0.2,0.0,6.2,16,89,4,Hopkins County,Texas
2020-04-07,28,28,19,23,24,6,24,24,11,223,1012,17,3.2,0.0,10.3,20,87,5,Hopkins County,Texas
2020-04-08,30,30,21,25,27,6,27,26,12,234,1009,19,0.0,0.0,11.6,21,82,7,Hopkins County,Texas
2020-04-09,21,21,17,19,19,6,19,19,11,68,1012,17,0.1,0.0,10.3,14,74,4,Hopkins County,Texas
2020-04-10,19,19,12,14,14,6,15,16,10,81,1018,16,0.1,0.0,11.6,8,63,5,Hopkins County,Texas
2020-04-11,20,20,10,14,14,5,15,16,11,171,1011,20,17.6,0.0,6.5,12,82,4,Hopkins County,Texas
2020-04-12,25,25,18,21,21,5,21,22,15,190,1001,24,9.8,0.0,7.8,17,85,5,Hopkins County,Texas
2020-04-13,12,12,3,4,4,6,7,8,12,10,1020,17,0.0,0.0,11.6,1,65,3,Hopkins County,Texas
2020-04-14,12,12,3,5,5,6,7,9,9,34,1023,15,0.0,0.0,10.3,2,68,2,Hopkins County,Texas
2020-04-15,16,16,2,8,8,6,10,10,4,192,1022,7,0.0,0.0,11.6,3,68,4,Hopkins County,Texas
2020-04-16,19,19,5,11,11,6,12,13,10,164,1020,17,0.0,0.0,11.6,6,69,4,Hopkins County,Texas
2020-04-17,18,18,10,12,12,5,14,15,10,250,1017,17,1.3,0.0,6.5,12,88,4,Hopkins County,Texas
2020-04-18,20,20,4,12,12,6,13,13,8,107,1017,12,1.4,0.0,10.3,9,80,3,Hopkins County,Texas
2020-04-19,21,21,16,19,19,4,19,20,7,142,1006,12,16.3,0.0,6.6,18,93,5,Hopkins County,Texas
2020-04-20,22,22,12,17,17,4,17,17,5,129,1011,8,0.0,0.0,9.1,15,88,4,Hopkins County,Texas
2020-04-21,25,25,13,19,19,6,20,21,7,115,1014,10,0.6,0.0,11.6,15,81,6,Hopkins County,Texas
2020-04-22,22,22,15,18,18,5,19,19,15,168,1007,29,32.0,0.0,6.6,18,92,4,Hopkins County,Texas
2020-04-23,24,24,13,18,18,6,20,19,9,311,1007,13,0.0,0.0,11.6,14,79,5,Hopkins County,Texas
2020-04-24,26,26,13,19,19,6,20,21,14,192,1006,24,4.2,0.0,6.8,15,76,5,Hopkins County,Texas
2020-04-25,22,22,10,15,15,6,16,17,12,335,1016,18,0.6,0.0,11.6,11,73,5,Hopkins County,Texas
2020-04-26,24,24,12,17,17,6,18,19,4,227,1021,7,0.0,0.0,11.6,11,65,5,Hopkins County,Texas
2020-04-27,24,24,13,19,19,6,20,20,12,179,1018,19,0.1,0.0,11.6,14,72,5,Hopkins County,Texas
2020-04-28,28,28,18,23,24,5,24,24,15,201,1011,25,19.6,0.0,6.8,20,88,5,Hopkins County,Texas
2020-04-29,21,21,15,18,18,5,18,19,13,333,1015,21,25.0,0.0,11.6,13,75,5,Hopkins County,Texas
2020-04-30,23,23,12,18,18,6,19,19,5,298,1018,9,0.0,0.0,11.6,12,70,5,Hopkins County,Texas
2020-05-01,25,25,13,19,19,6,20,20,12,192,1015,19,0.0,0.0,11.6,14,74,6,Hopkins County,Texas
2020-05-02,27,27,16,22,23,6,23,22,15,187,1014,23,0.0,0.0,11.6,18,82,6,Hopkins County,Texas
2020-05-03,28,28,20,24,26,6,26,24,13,202,1012,19,0.0,0.0,10.4,21,84,5,Hopkins County,Texas
2020-05-04,29,29,20,23,25,6,25,24,13,191,1010,20,0.0,0.0,9.2,21,86,5,Hopkins County,Texas
2020-05-05,23,23,17,20,20,5,21,20,11,125,1015,18,58.2,0.0,10.4,16,78,5,Hopkins County,Texas
2020-05-06,23,23,12,17,17,6,18,19,7,34,1022,11,0.0,0.0,11.6,11,64,5,Hopkins County,Texas
2020-05-07,25,25,12,19,19,6,20,20,10,147,1017,16,0.0,0.0,10.4,14,72,5,Hopkins County,Texas
2020-05-08,20,20,14,18,18,5,19,18,18,237,1014,28,8.1,0.0,9.3,14,78,4,Hopkins County,Texas
2020-05-09,20,20,8,14,14,6,15,15,8,99,1023,13,0.0,0.0,11.6,9,70,5,Hopkins County,Texas
2020-05-10,22,22,10,16,16,6,16,17,4,91,1024,7,0.0,0.0,11.6,11,73,5,Hopkins County,Texas
2020-05-11,22,22,11,16,16,6,17,17,9,106,1023,15,0.0,0.0,11.6,11,73,5,Hopkins County,Texas
2020-05-12,22,22,13,15,15,5,17,17,10,152,1017,16,12.9,0.0,6.9,15,89,4,Hopkins County,Texas
2020-05-13,26,26,17,21,21,6,22,22,11,161,1015,17,2.2,0.0,8.1,19,91,5,Hopkins County,Texas
2020-05-14,27,27,19,23,24,5,24,23,11,177,1013,17,4.3,0.0,7.0,20,88,5,Hopkins County,Texas
2020-05-15,28,28,20,23,25,5,25,24,11,175,1011,17,0.5,0.0,8.1,21,88,5,Hopkins County,Texas
2020-05-16,27,27,20,23,24,5,24,24,10,173,1010,16,14.6,0.0,10.4,21,89,5,Hopkins County,Texas
2020-05-17,24,24,18,20,20,5,21,22,9,83,1012,14,5.3,0.0,7.0,18,88,5,Hopkins County,Texas
2020-05-18,27,27,16,22,23,6,23,23,5,302,1013,8,0.0,0.0,11.6,17,78,6,Hopkins County,Texas
2020-05-19,25,25,17,21,21,5,22,22,7,66,1010,11,4.6,0.0,8.1,18,84,5,Hopkins County,Texas
2020-05-20,24,24,17,20,20,5,20,20,9,100,1011,15,8.8,0.0,7.0,17,85,4,Hopkins County,Texas
2020-05-21,27,27,18,22,24,5,24,23,8,155,1010,14,8.7,0.0,7.0,19,83,5,Hopkins County,Texas
2020-05-22,28,28,21,24,26,5,26,25,11,195,1010,16,1.4,0.0,8.2,22,90,5,Hopkins County,Texas
2020-05-23,29,29,22,25,28,6,28,26,11,190,1011,16,1.9,0.0,8.2,22,86,6,Hopkins County,Texas
2020-05-24,28,28,21,24,26,5,26,25,11,160,1011,18,9.7,0.0,9.3,21,89,6,Hopkins County,Texas
2020-05-25,23,23,18,20,20,5,21,21,9,185,1008,14,18.8,0.0,9.3,19,91,5,Hopkins County,Texas
2020-05-26,23,23,16,20,20,4,21,21,7,290,1011,10,6.3,0.0,8.2,17,86,5,Hopkins County,Texas
2020-05-27,25,25,15,20,20,6,21,21,5,300,1011,9,3.7,0.0,10.5,16,82,5,Hopkins County,Texas
2020-05-28,25,25,17,21,21,5,21,22,8,314,1013,13,6.2,0.0,10.5,18,85,5,Hopkins County,Texas
2020-05-29,27,27,17,22,22,4,22,23,10,14,1018,16,0.9,0.0,11.6,17,79,6,Hopkins County,Texas
2020-05-30,27,27,15,21,23,6,23,22,7,77,1020,11,0.0,0.0,11.6,16,75,6,Hopkins County,Texas
2020-05-31,27,27,15,21,22,6,22,22,7,85,1020,12,0.0,0.0,10.5,16,74,6,Hopkins County,Texas
2020-06-01,27,27,17,22,23,6,23,23,6,116,1020,10,0.0,0.0,11.6,17,75,6,Hopkins County,Texas
2020-06-02,28,28,18,23,25,5,25,25,5,152,1017,9,13.4,0.0,7.1,20,80,5,Hopkins County,Texas
2020-06-03,30,30,20,25,27,5,27,26,7,210,1014,13,17.4,0.0,8.2,21,82,6,Hopkins County,Texas
2020-06-04,31,31,22,26,30,4,30,27,9,210,1011,14,1.3,0.0,11.6,23,83,6,Hopkins County,Texas
2020-06-05,33,33,23,28,32,5,32,29,8,204,1012,12,0.0,0.0,11.6,23,79,6,Hopkins County,Texas
2020-06-06,32,32,23,28,32,6,32,29,4,47,1012,6,0.9,0.0,10.5,23,77,6,Hopkins County,Texas
2020-06-07,32,32,21,26,29,6,29,28,8,67,1009,13,0.4,0.0,11.6,21,76,7,Hopkins County,Texas
2020-06-08,31,31,23,27,30,6,30,28,8,224,1003,12,2.3,0.0,10.5,22,78,6,Hopkins County,Texas
2020-06-09,33,33,23,27,31,6,31,29,15,226,1005,25,0.0,0.0,11.6,20,70,7,Hopkins County,Texas
2020-06-10,26,26,15,21,21,6,21,22,12,320,1017,20,0.0,0.0,11.6,11,54,6,Hopkins County,Texas
2020-06-11,28,28,16,22,23,6,23,23,4,49,1023,6,0.0,0.0,11.6,14,63,6,Hopkins County,Texas
