date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,12,12,0,4,4,6,6,8,5,152,1026,9,0.0,0.0,10.2,-3,52,2,Horry County,South Carolina
2020-03-02,20,20,7,13,13,6,14,16,8,213,1020,13,0.0,0.0,11.6,5,57,5,Horry County,South Carolina
2020-03-03,18,18,10,14,14,5,16,16,10,219,1012,17,23.2,0.0,5.9,15,91,4,Horry County,South Carolina
2020-03-04,16,16,12,14,14,5,14,14,5,108,1015,9,6.3,0.0,5.9,11,84,3,Horry County,South Carolina
2020-03-05,11,11,5,8,8,3,10,10,9,55,1017,14,52.8,0.0,5.9,9,91,2,Horry County,South Carolina
2020-03-06,15,15,8,8,8,5,10,12,14,294,1014,20,3.0,0.0,11.6,4,67,4,Horry County,South Carolina
2020-03-07,12,12,3,4,4,6,7,8,11,355,1027,16,0.0,0.0,11.6,-2,53,3,Horry County,South Carolina
2020-03-08,15,15,3,8,8,6,9,11,5,116,1035,9,0.0,0.0,11.6,-2,50,4,Horry County,South Carolina
2020-03-09,20,20,7,13,13,6,14,15,6,181,1034,9,0.0,0.0,10.2,7,70,4,Horry County,South Carolina
2020-03-10,21,21,13,17,17,6,17,19,8,225,1027,13,4.9,0.0,7.4,13,79,4,Horry County,South Carolina
2020-03-11,24,24,14,18,18,4,19,20,8,235,1019,12,5.3,0.0,8.8,14,81,5,Horry County,South Carolina
2020-03-12,25,25,14,19,19,4,20,21,7,229,1016,12,1.2,0.0,11.6,14,77,6,Horry County,South Carolina
2020-03-13,25,25,17,20,21,5,21,22,9,265,1018,14,4.4,0.0,10.2,15,74,5,Horry County,South Carolina
2020-03-14,19,19,11,15,15,6,16,15,8,88,1026,13,1.2,0.0,10.2,8,65,4,Horry County,South Carolina
2020-03-15,16,16,10,14,14,3,14,15,7,36,1025,11,5.9,0.0,6.0,12,88,4,Horry County,South Carolina
2020-03-16,18,18,8,11,11,6,12,14,7,22,1028,10,0.0,0.0,8.8,6,67,3,Horry County,South Carolina
2020-03-17,20,20,12,16,16,5,15,17,4,204,1024,6,0.7,0.0,6.0,11,77,4,Horry County,South Carolina
2020-03-18,23,23,13,17,17,4,18,19,7,107,1026,10,0.0,0.0,11.6,14,83,5,Horry County,South Carolina
2020-03-19,28,28,17,21,22,4,22,24,9,204,1025,14,0.7,0.0,10.2,17,79,5,Horry County,South Carolina
2020-03-20,28,28,19,23,24,6,24,25,11,224,1024,17,0.1,0.0,11.6,18,78,6,Horry County,South Carolina
2020-03-21,26,26,19,22,23,5,23,23,8,301,1022,13,9.7,0.0,7.4,18,81,5,Horry County,South Carolina
2020-03-22,13,13,10,11,11,4,12,12,11,43,1026,15,2.8,0.0,6.1,9,83,3,Horry County,South Carolina
2020-03-23,21,21,9,14,14,6,15,17,5,291,1022,8,1.3,0.0,6.1,12,84,4,Horry County,South Carolina
2020-03-24,18,18,14,15,15,4,15,16,6,102,1017,8,47.6,0.0,6.1,14,93,4,Horry County,South Carolina
2020-03-25,23,23,13,18,18,5,18,21,11,319,1010,17,14.0,0.0,10.2,15,81,5,Horry County,South Carolina
2020-03-26,21,21,9,13,13,6,14,16,6,145,1018,9,0.0,0.0,11.6,9,74,5,Horry County,South Carolina
2020-03-27,28,28,14,21,22,4,22,23,8,248,1014,13,0.0,0.0,11.6,16,79,6,Horry County,South Carolina
2020-03-28,29,29,18,23,24,6,24,26,9,236,1015,15,0.0,0.0,11.6,18,74,7,Horry County,South Carolina
2020-03-29,29,29,20,24,26,6,26,26,11,248,1016,18,0.0,0.0,10.2,19,73,6,Horry County,South Carolina
2020-03-30,23,23,16,20,20,6,21,21,6,103,1017,10,0.0,0.0,11.6,11,58,6,Horry County,South Carolina
2020-03-31,18,18,10,14,14,5,15,16,11,88,1008,16,22.5,0.0,8.9,9,70,4,Horry County,South Carolina
2020-04-01,15,15,9,10,10,5,12,12,11,348,1009,15,3.1,0.0,6.2,7,75,3,Horry County,South Carolina
2020-04-02,17,17,8,11,11,6,12,14,9,327,1016,14,0.2,0.0,11.6,5,63,4,Horry County,South Carolina
2020-04-03,20,20,9,13,13,6,14,16,9,318,1014,14,0.0,0.0,11.6,5,55,5,Horry County,South Carolina
2020-04-04,20,20,11,15,15,6,16,17,7,14,1015,12,0.0,0.0,11.6,6,59,5,Horry County,South Carolina
2020-04-05,22,22,10,15,15,6,16,17,5,92,1019,9,0.0,0.0,11.6,9,70,5,Horry County,South Carolina
2020-04-06,25,25,13,20,20,5,21,22,7,255,1018,11,5.7,0.0,9.0,14,74,5,Horry County,South Carolina
