date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,2,2,-4,-5,-5,5,-1,0,10,200,1005,17,0.1,0.0,5.5,-2,93,1,Houghton County,Michigan
2020-03-02,-2,-2,-8,-9,-9,5,-3,-2,15,267,1004,23,0.1,0.0,7.1,-5,83,1,Houghton County,Michigan
2020-03-03,0,0,-5,-8,-8,4,-2,-2,12,248,998,18,0.9,0.3,5.6,-5,84,1,Houghton County,Michigan
2020-03-04,-2,-2,-6,-9,-9,4,-3,-3,11,295,1010,16,0.9,0.7,7.1,-6,82,1,Houghton County,Michigan
2020-03-05,0,0,-5,-9,-9,1,-3,-1,15,74,1012,22,19.0,1.9,5.6,-4,93,1,Houghton County,Michigan
2020-03-06,-4,-4,-11,-11,-11,5,-6,-5,8,132,1031,12,0.3,0.8,10.1,-8,84,1,Houghton County,Michigan
2020-03-07,3,3,-6,-5,-5,4,-1,1,10,217,1023,17,0.0,0.0,5.6,-3,87,1,Houghton County,Michigan
2020-03-08,6,6,-1,0,0,2,2,4,6,179,1013,12,0.0,0.0,8.6,2,95,1,Houghton County,Michigan
2020-03-09,0,0,-6,-7,-7,3,-2,-3,10,133,1015,14,0.8,0.4,5.7,-3,94,1,Houghton County,Michigan
2020-03-10,-2,-2,-7,-8,-8,6,-4,-4,6,291,1023,8,0.0,0.0,11.4,-7,81,2,Houghton County,Michigan
2020-03-11,2,2,-3,-3,-3,5,0,0,5,199,1016,9,0.1,0.0,10.1,-2,92,1,Houghton County,Michigan
2020-03-12,2,2,-8,-3,-3,2,0,1,10,179,1003,17,26.1,9.5,5.7,0,95,1,Houghton County,Michigan
2020-03-13,-2,-2,-3,-10,-10,1,-2,-3,24,280,1014,32,4.5,0.1,5.7,-6,78,1,Houghton County,Michigan
2020-03-14,-5,-5,-7,-11,-11,4,-6,-6,9,5,1037,13,0.6,0.3,5.8,-8,82,1,Houghton County,Michigan
2020-03-15,-2,-2,-8,-9,-9,5,-5,-4,5,105,1041,8,0.2,0.2,7.4,-7,84,1,Houghton County,Michigan
2020-03-16,1,1,-4,-7,-7,2,-1,-1,14,237,1022,19,4.4,3.4,6.0,-2,91,1,Houghton County,Michigan
2020-03-17,-2,-2,-5,-10,-10,3,-3,-3,15,283,1021,21,1.0,0.3,8.8,-7,78,1,Houghton County,Michigan
2020-03-18,3,3,-4,-3,-3,5,-1,0,5,110,1023,8,0.0,0.0,7.4,-2,89,1,Houghton County,Michigan
2020-03-19,2,2,-1,-2,-2,3,1,1,6,136,1016,10,5.1,0.7,6.2,0,95,1,Houghton County,Michigan
2020-03-20,-7,-7,-9,-15,-15,2,-7,-8,17,352,1027,22,5.8,0.0,8.9,-9,82,1,Houghton County,Michigan
2020-03-21,-3,-3,-11,-10,-10,6,-7,-6,4,178,1038,7,0.0,0.0,11.6,-10,76,2,Houghton County,Michigan
2020-03-22,1,1,-9,-9,-9,5,-4,-3,10,167,1030,16,0.4,0.1,8.9,-6,82,1,Houghton County,Michigan
2020-03-23,2,2,-2,-5,-5,6,-1,0,9,263,1020,14,0.1,0.0,9.0,-2,89,1,Houghton County,Michigan
2020-03-24,5,5,-4,-3,-3,6,0,1,7,159,1019,11,0.0,0.0,10.3,-2,84,1,Houghton County,Michigan
2020-03-25,3,3,-1,-2,-2,4,2,3,9,262,1010,15,3.1,0.0,6.3,1,93,1,Houghton County,Michigan
2020-03-26,1,1,-2,-4,-4,5,-1,0,6,54,1015,7,0.1,0.2,10.3,-4,78,2,Houghton County,Michigan
2020-03-27,7,7,-2,1,1,5,2,4,4,137,1015,7,0.0,0.0,11.6,-2,74,2,Houghton County,Michigan
2020-03-28,6,6,-2,0,0,3,3,4,9,75,1013,14,0.3,0.0,7.7,1,88,1,Houghton County,Michigan
2020-03-29,3,3,-4,-3,-3,3,2,2,18,28,1003,28,23.9,2.0,6.4,2,96,1,Houghton County,Michigan
2020-03-30,-1,-1,-5,-6,-6,4,-1,-1,12,238,1023,17,3.6,2.1,9.0,-3,86,1,Houghton County,Michigan
2020-03-31,0,0,-3,-4,-4,5,-1,-1,6,50,1024,9,0.1,0.0,6.4,-2,91,1,Houghton County,Michigan
