date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,13,13,7,8,8,5,10,11,12,189,1013,20,4.4,0.0,5.8,9,86,3,Howell County,Missouri
2020-03-02,16,16,11,12,12,5,13,14,5,19,1008,8,21.6,0.0,5.8,11,92,3,Howell County,Missouri
2020-03-03,15,15,5,9,9,6,10,11,7,290,1010,11,2.2,0.0,11.6,4,71,4,Howell County,Missouri
2020-03-04,14,14,6,8,8,6,9,11,5,232,1017,9,0.0,0.0,7.3,2,63,3,Howell County,Missouri
2020-03-05,15,15,4,8,8,6,9,10,8,279,1021,12,0.0,0.0,11.6,2,66,4,Howell County,Missouri
2020-03-06,10,10,1,2,2,6,5,6,9,341,1032,13,0.0,0.0,11.6,-3,59,3,Howell County,Missouri
2020-03-07,12,12,1,4,4,6,6,7,7,164,1032,12,0.0,0.0,10.2,-1,64,3,Howell County,Missouri
2020-03-08,16,16,5,8,8,6,10,11,11,185,1025,18,0.0,0.0,11.6,3,65,4,Howell County,Missouri
2020-03-09,13,13,7,9,9,4,12,12,15,188,1019,24,17.7,0.0,5.9,11,89,3,Howell County,Missouri
2020-03-10,16,16,5,8,8,6,10,10,7,320,1023,9,1.4,0.0,7.3,6,78,2,Howell County,Missouri
2020-03-11,17,17,8,11,11,4,12,13,6,151,1016,9,37.1,0.0,7.4,10,89,3,Howell County,Missouri
2020-03-12,22,22,13,16,16,4,17,18,10,208,1008,16,2.4,0.0,7.4,14,89,4,Howell County,Missouri
2020-03-13,11,11,6,6,6,6,8,8,10,58,1024,14,0.1,0.0,10.2,1,61,3,Howell County,Missouri
2020-03-14,5,5,0,1,1,4,4,4,9,69,1027,12,41.6,0.0,6.0,3,92,1,Howell County,Missouri
2020-03-15,7,7,2,1,1,6,4,5,8,50,1032,10,0.0,0.0,6.0,2,85,2,Howell County,Missouri
2020-03-16,8,8,2,3,3,4,4,5,4,163,1026,5,3.1,0.0,6.0,3,91,1,Howell County,Missouri
2020-03-17,12,12,5,7,7,4,8,8,5,84,1024,7,0.8,0.0,6.0,6,89,2,Howell County,Missouri
2020-03-18,18,18,8,12,12,3,13,14,9,207,1017,13,8.0,0.0,6.0,12,95,3,Howell County,Missouri
2020-03-19,21,21,16,18,18,5,18,19,12,207,1012,20,41.5,0.0,6.0,17,92,4,Howell County,Missouri
2020-03-20,13,13,3,9,9,6,11,11,10,346,1022,16,1.0,0.0,7.4,8,83,3,Howell County,Missouri
2020-03-21,12,12,-1,3,3,6,5,6,6,47,1032,8,0.0,0.0,11.6,-1,68,3,Howell County,Missouri
2020-03-22,7,7,1,1,1,5,4,3,8,131,1025,11,12.5,0.0,6.1,2,88,1,Howell County,Missouri
2020-03-23,15,15,3,8,8,3,9,11,4,80,1020,7,0.0,0.0,11.6,6,85,4,Howell County,Missouri
2020-03-24,14,14,7,7,7,4,9,10,7,92,1014,11,30.9,0.0,6.1,8,94,2,Howell County,Missouri
2020-03-25,17,17,6,11,11,5,12,12,6,156,1014,9,0.0,0.0,11.6,9,85,4,Howell County,Missouri
2020-03-26,26,26,10,16,16,6,18,19,9,205,1008,15,0.0,0.0,11.6,14,84,5,Howell County,Missouri
2020-03-27,24,24,19,21,21,4,21,21,9,198,1006,14,2.4,0.0,6.1,19,90,5,Howell County,Missouri
2020-03-28,20,20,14,19,19,5,19,20,12,194,1005,20,5.8,0.0,9.0,15,82,4,Howell County,Missouri
2020-03-29,18,18,7,10,10,6,12,13,12,276,1017,18,0.0,0.0,11.6,4,62,4,Howell County,Missouri
2020-03-30,19,19,9,13,13,6,14,16,4,117,1021,7,0.8,0.0,10.3,7,68,4,Howell County,Missouri
2020-03-31,16,16,8,10,10,5,11,13,6,233,1015,9,23.3,0.0,9.0,7,76,3,Howell County,Missouri
2020-04-01,18,18,5,11,11,5,11,13,5,160,1017,8,0.0,0.0,11.6,7,77,4,Howell County,Missouri
2020-04-02,19,19,9,12,12,6,13,14,10,159,1016,15,2.3,0.0,11.6,9,77,4,Howell County,Missouri
2020-04-03,16,16,7,11,11,4,12,14,6,157,1016,10,9.5,0.0,6.4,11,94,3,Howell County,Missouri
2020-04-04,11,11,2,4,4,4,7,8,6,23,1020,8,3.8,0.0,6.4,5,89,2,Howell County,Missouri
2020-04-05,14,14,6,9,9,4,10,11,4,138,1019,6,0.1,0.0,6.4,9,91,3,Howell County,Missouri
2020-04-06,21,21,9,15,15,3,15,17,7,187,1016,12,1.3,0.0,9.0,13,87,4,Howell County,Missouri
2020-04-07,24,24,14,19,19,4,20,20,8,215,1010,13,0.4,0.0,6.5,17,88,4,Howell County,Missouri
2020-04-08,28,28,16,21,23,3,23,23,6,206,1007,10,1.4,0.0,11.6,16,76,6,Howell County,Missouri
2020-04-09,15,15,7,10,10,6,11,13,10,325,1015,15,1.5,0.0,11.6,4,62,4,Howell County,Missouri
2020-04-10,14,14,-1,5,5,6,6,8,5,177,1021,8,0.0,0.0,11.6,-3,53,3,Howell County,Missouri
2020-04-11,17,17,5,8,8,6,10,12,10,177,1013,16,0.8,0.0,11.6,4,68,4,Howell County,Missouri
2020-04-12,18,18,13,15,15,5,16,16,12,158,1001,19,21.9,0.0,6.5,14,94,4,Howell County,Missouri
2020-04-13,9,9,-1,0,0,5,4,5,13,331,1018,18,13.1,0.0,9.1,-3,62,1,Howell County,Missouri
2020-04-14,9,9,1,3,3,5,5,6,4,230,1025,6,0.3,0.1,9.1,-4,57,2,Howell County,Missouri
2020-04-15,14,14,0,4,4,6,6,9,8,273,1021,12,0.1,0.0,11.6,0,65,3,Howell County,Missouri
2020-04-16,16,16,1,7,7,6,9,10,10,163,1021,16,0.0,0.0,11.6,4,72,4,Howell County,Missouri
2020-04-17,11,11,3,6,6,3,8,10,10,299,1017,16,1.6,0.0,6.6,6,83,2,Howell County,Missouri
2020-04-18,15,15,-2,5,5,5,6,8,6,173,1018,10,0.0,0.0,11.6,0,69,3,Howell County,Missouri
2020-04-19,13,13,7,9,9,5,10,11,4,92,1009,6,6.1,0.0,6.6,8,90,3,Howell County,Missouri
2020-04-20,19,19,7,12,12,4,13,15,6,196,1010,10,7.2,0.0,9.1,9,81,3,Howell County,Missouri
2020-04-21,20,20,8,13,13,6,13,15,6,220,1015,10,1.3,0.0,11.6,7,70,5,Howell County,Missouri
2020-04-22,18,18,9,11,11,6,13,14,12,160,1011,19,3.4,0.0,6.6,10,82,3,Howell County,Missouri
2020-04-23,16,16,12,13,13,4,14,14,10,322,1001,15,13.8,0.0,6.6,13,92,3,Howell County,Missouri
2020-04-24,20,20,10,14,14,5,14,16,5,177,1008,8,12.9,0.0,9.1,12,89,4,Howell County,Missouri
2020-04-25,13,13,9,10,10,4,12,12,12,317,1009,18,11.3,0.0,7.9,10,87,3,Howell County,Missouri
2020-04-26,19,19,5,11,11,6,12,14,6,327,1021,9,0.4,0.0,10.4,7,73,3,Howell County,Missouri
2020-04-27,16,16,10,12,12,4,13,13,7,170,1020,13,1.3,0.0,7.9,10,83,3,Howell County,Missouri
2020-04-28,22,22,13,17,17,5,18,19,11,201,1011,17,26.9,0.0,6.7,15,88,4,Howell County,Missouri
2020-04-29,14,14,5,9,9,5,11,12,12,307,1009,18,23.7,0.0,6.7,9,81,3,Howell County,Missouri
2020-04-30,19,19,8,12,12,6,13,15,9,315,1014,14,0.0,0.0,11.6,8,74,4,Howell County,Missouri
2020-05-01,23,23,10,16,16,6,17,18,7,174,1015,11,0.0,0.0,11.6,12,77,5,Howell County,Missouri
2020-05-02,27,27,15,20,20,6,21,22,8,197,1013,13,1.0,0.0,9.2,16,80,5,Howell County,Missouri
2020-05-03,23,23,17,19,19,5,19,20,6,205,1013,12,15.7,0.0,6.7,18,94,5,Howell County,Missouri
2020-05-04,18,18,11,14,14,5,15,16,9,122,1012,14,13.4,0.0,7.0,12,82,4,Howell County,Missouri
2020-05-05,19,19,13,15,15,5,16,16,13,314,1013,19,2.8,0.0,11.6,11,75,5,Howell County,Missouri
2020-05-06,17,17,6,10,10,6,12,12,9,343,1022,12,0.0,0.0,10.4,5,70,3,Howell County,Missouri
2020-05-07,19,19,7,13,13,5,13,15,5,213,1019,7,2.6,0.0,11.6,8,74,5,Howell County,Missouri
2020-05-08,15,15,7,9,9,4,11,12,11,118,1016,16,43.0,0.0,9.3,7,78,3,Howell County,Missouri
2020-05-09,18,18,2,10,10,6,11,13,4,227,1024,6,0.0,0.0,11.6,4,66,4,Howell County,Missouri
2020-05-10,15,15,7,8,8,6,10,12,10,309,1023,15,0.0,0.0,11.6,5,70,4,Howell County,Missouri
2020-05-11,13,13,4,6,6,5,8,10,7,308,1026,11,0.7,0.0,10.5,3,70,3,Howell County,Missouri
2020-05-12,7,7,-1,4,4,4,6,7,6,105,1024,8,19.8,0.0,7.0,7,99,2,Howell County,Missouri
2020-05-13,19,19,9,13,13,4,14,14,8,154,1018,12,5.6,0.0,7.0,13,93,3,Howell County,Missouri
2020-05-14,25,25,15,19,19,5,20,21,12,190,1014,18,0.2,0.0,9.9,17,84,5,Howell County,Missouri
2020-05-15,25,25,13,19,19,4,20,21,6,214,1012,11,18.4,0.0,8.8,18,91,5,Howell County,Missouri
2020-05-16,24,24,18,21,21,3,22,22,7,196,1011,13,16.6,0.0,9.1,19,93,5,Howell County,Missouri
2020-05-17,26,26,18,21,23,5,23,23,5,42,1014,8,2.2,0.0,10.2,17,83,5,Howell County,Missouri
2020-05-18,15,15,11,12,12,4,14,14,9,308,1011,14,0.7,0.0,10.2,11,85,3,Howell County,Missouri
2020-05-19,20,20,11,14,14,5,15,16,8,344,1011,12,0.2,0.0,10.2,12,83,4,Howell County,Missouri
2020-05-20,21,21,11,16,16,3,16,18,6,70,1014,9,0.4,0.0,9.1,14,87,4,Howell County,Missouri
2020-05-21,23,23,12,17,17,3,18,19,6,126,1014,9,0.8,0.0,9.1,15,86,4,Howell County,Missouri
2020-05-22,24,24,14,19,19,5,21,21,7,152,1013,11,3.6,0.0,9.1,17,89,5,Howell County,Missouri
2020-05-23,29,29,18,22,24,4,24,24,8,217,1012,13,0.9,0.0,11.3,19,82,5,Howell County,Missouri
2020-05-24,28,28,18,22,23,3,23,25,7,185,1012,12,10.4,0.0,9.1,19,85,5,Howell County,Missouri
